1. die Blutabnahme | blood decrease | WRONG: blood draw/blood sample collection - Blutabnahme means taking a blood sample, not a decrease in blood.
83. der Durstlöscher | thirst quencher | OK
84. die Duschwanne | shower tub | OK
85. die Ehescheidung | marriage divorce | WRONG: divorce - Ehescheidung means divorce, not marriage divorce.
86. die Ehrenurkunde | certificate of honor | OK
87. die Eibe | yew | OK
88. der Eichenwald | oak grove | OK
89. der Eigennutz | self interest/self-interest | OK
90. die Einkaufstour | shopping trip/shopping spree | OK
91. die Einschüchterung | browbeating/intimidation | OK
92. die Einsteigerin | beginner (female) | OK
93. die Einzelausstellung | individual exhibition/solo exhibition | OK
94. der Einzeller | unicellular organism | OK
95. der Eisbrecher | icebreaker | OK
96. der Eisenbahnverkehr | rail traffic | OK
97. das Eisenerz | iron ore | OK
98. der Eisenmangel | iron deficiency | OK
99. die Eismasse | ice bulk | WRONG: mass of ice/ice mass - Eismasse means a mass of ice, not bulk.
100. die Elektroinstallation | installation | WRONG: electrical installation - Elektroinstallation is specifically electrical installation.
101. das Elfmeterschießen | penalty shootout | OK
102. das Vereinsheim | clubhouse | OK
103. die Elsbeere | chequer tree/wild service tree | OK
104. das Elternpaar | parents/couple of parents | OK
105. das Elternverein | parent-teacher association/parents' association | OK
106. die Emeritierung | emeritation/retirement (academic) | OK
107. die Emissionsminderung | emissions reduction | OK
108. die Emulation | emulation | OK
109. die Emulsion | emulsion | OK
110. der Energiefluss | energy flow | OK
111. die Enkeltochter | granddaughter | OK
112. die Enklave | enclave | OK
113. der Entführer | abductor | OK
114. die Entgiftung | decontamination/detoxification | OK
115. die Entgleisung | derailment | OK
116. die Entladung | discharge/unloading | OK
117. der Erbauer | builder/founder | OK
118. der Erdenbürger | earth bourgeois | WRONG: earthling/citizen of the world - Erdenb?rger means an inhabitant of Earth, not a bourgeois.
119. der Erfindergeist | inventiveness/ingenuity | OK
120. die Ermöglichung | enabling | OK
121. der Eros | Eros | OK
122. der Erpel | drake | OK
123. die Ersatzhaltestelle | replacement stop | OK
124. die Erstaufführung | debut performance/premiere | OK
125. die Erstkommunion | First Communion | OK
126. das Sprachrohr | loud hailer/megaphone/mouthpiece | OK
127. die Eruption | eruption/explosion | OK
128. das Erwachsenenleben | life | WRONG: adult life - Erwachsenenleben means adult life, not life in general.
129. der Erziehungsauftrag | breeding application | WRONG: educational mandate/educational mission - Erziehungsauftrag means an educational mandate, not a breeding application.
130. das Erziehungsziel | child-rearing goal/parenting goal/parenting objective | OK
131. die Esoterik | esotericism | OK
132. die Espressomaschine | espresso machine | OK
133. der Essener | Essene | WRONG: person from Essen/Essen resident - Essener normally means someone or something from Essen, not an Essene.
134. der Esser | eater | OK
135. die Esskastanie | chestnut/chestnut tree/sweet chestnut | OK
136. das Ethos | ethos | OK
137. die Europameisterin | European champion (female) | OK
138. die Euthanasie | euthanasia | OK
139. das Exempel | example | OK
140. die Existenzgrundlage | basis of existence | OK
141. die Expertenmeinung | expert intention | WRONG: expert opinion - Expertenmeinung means an expert opinion, not intention.
142. der Exportschlager | export hit | OK
143. der Express | express | OK
144. das Extremwetterereignis | extreme weather phenomenon | OK
145. die Fabrikation | production | OK
146. der Facettenreichtum | facet wealth | WRONG: diversity/richness of facets - Facettenreichtum means multifacetedness, not literal wealth.
147. die Fachlichkeit | professional expertise | OK
148. der Fahnder | investigator/searcher | OK
149. die Fahreignung | aptitude | WRONG: fitness to drive - Fahreignung means fitness to drive, not aptitude in general.
150. das Fahrgestell | chassis | OK
151. der Fahrkartenautomat | ticket machine | OK
152. der Fahrradanhänger | bicycle follower | WRONG: bicycle trailer - Fahrradanh?nger is a trailer for a bicycle, not a follower.
153. die Fahrradstraße | bicycle road | IMPROVE: cycle street/bicycle street - Fahrradstra?e is a street prioritized for bicycles, not just any bicycle road.
154. die Fahrtroute | route | OK
155. die Falknerei | falconry | OK
156. das Fältchen | fine wrinkle/tiny wrinkle | OK
157. die Familienkarte | family ticket/family card | OK
158. der Familienverband | family association | WRONG: family unit/extended family - Familienverband usually means a family group, not a formal association.
159. die Staatsstraße | state road | OK
160. die Favoritenliste | favourite list | OK
161. die Fehleinschätzung | misjudgment/misjudgement | OK
162. die Fehleranalyse | error analysis/fault analysis/fault isolation | OK
163. die Fehlerkultur | blemish cultural | WRONG: error culture - Fehlerkultur means how errors are handled, not blemish cultural.
164. die Fehlsichtigkeit | defective vision | OK
165. der Fehltritt | misstep | OK
166. die Feile | file | OK
167. die Feinmechanik | fine mechanics/precision engineering/precision mechanics | OK
168. der Feldherr | commander/commander-in-chief/general | OK
169. das Fernsehteam | television crew/TV crew | OK
170. die Fernsteuerung | remote control | OK
171. der Festnetzanschluss | landline annexation | WRONG: landline connection - Festnetzanschluss means a landline connection, not annexation.
172. die Festnetznummer | landline number | OK
173. der Staatsvertrag | state treaty | OK
174. der Fetzen | fragment/piece/rag | OK
175. das Feuerwehrfahrzeug | fire truck | OK
176. der Verkaufsraum | sales area/showroom | OK
177. das Figurentheater | puppet theater/figure theater | OK
178. der Filialleiter | branch manager | OK
179. das Filmprogramm | film program | OK
180. der Filzstift | felt pen/felt tip | OK
181. der Finanzexperte | financial expert | OK
182. die Findung | finding | OK
183. die Firmenphilosophie | philosophy | WRONG: company philosophy - Firmenphilosophie is specifically a company philosophy.
184. der Fixpunkt | fixed point | OK
185. der Fladen | naan bread/nan bread | WRONG: flatbread - Fladen means a flatbread or flat cake, not specifically naan.
186. die Flaniermeile | league | WRONG: promenade/shopping mile - Flaniermeile means a promenade area, not a league.
187. das Fleischstück | piece of meat | OK
188. die Verkündung | announcement | OK
189. die Flosse | fin/flipper/foot | OK
190. der Flugbegleiter | flight attendant | OK
191. die Flugdauer | flight duration | OK
192. die Flurkarte | corridor billett | WRONG: cadastral map/parcel map - Flurkarte is a land-parcel map, not a corridor ticket.
193. der Flüssigkeitsverlust | fluid loss | OK
194. die Flüssigkeitszufuhr | clock | WRONG: fluid intake - Fl?ssigkeitszufuhr means intake or supply of fluids, not a clock.
195. die Föderalismusreform | federalism reform | OK
196. der Standesbeamte | registrar | OK
197. die Fontäne | fountain/jet | OK
198. der Football | ball | WRONG: football - Football is the sport or ball type, not simply any ball.
199. der Förderkurs | course | WRONG: support course/remedial course - F?rderkurs means a support or remedial course.
200. die Forensik | forensic science/forensics | OK
201. die Formatvorlage | stylesheet | OK
202. die Fotomontage | photo assemblage | IMPROVE: photomontage - Photomontage is the standard English term.
203. die Frauengruppe | women's group | OK
204. die Frauenkirche | church of Our Lady | OK
205. der Fressnapf | kisser cup | WRONG: feeding bowl/pet bowl - Fressnapf is an animal feeding bowl, not a kisser cup.
206. das Freundschaftsspiel | friendly match | OK
207. die Friedenskirche | peace church | OK
208. der Frohsinn | cheerfulness/exhilaration/glee | OK
209. die Fructose | fructose | OK
210. das Frühstadium | stage | WRONG: early stage - Fr?hstadium means an early stage, not any stage.
211. der Fun | fun | OK
212. die Funktechnik | broadcast equipment | WRONG: radio technology - Funktechnik means radio/wireless technology, not broadcast equipment.
213. die Funktionstaste | Fn/function key | OK
214. der Fürsprecher | intercessor | IMPROVE: advocate/supporter - F?rsprecher usually means an advocate, not only a religious intercessor.
215. die Furt | crossing/ford | OK
216. die Fußgängerbrücke | footbridge | OK
217. die Fußspur | spoor/track | OK
218. die Futterpflanze | fodder crop | OK
219. der Futterplatz | feeding place | OK
220. die Futterstelle | feeding ground/feeding site | OK
221. das Futur | future | IMPROVE: future tense - Futur is primarily the grammar term for the future tense.
222. die Gabelung | bifurcation/fork/forking | OK
223. die Versendung | verse desinence | WRONG: dispatch/sending - Versendung means dispatch or sending, not a verse ending.
224. der Gallenstein | gall-stone | OK
225. der Galopp | canter/gallop/galop | OK
226. die Gangart | gait/lode/way of walking | OK
227. das Garnier | garnish | OK
228. das Gartenhäuschen | garden shed | OK
229. die Garzeit | time | WRONG: cooking time - Garzeit means cooking time, not time in general.
230. die Gasflasche | gas bottle/gas cylinder | OK
231. der Gastauftritt | cameo | OK
232. das Gate | gate | OK
233. der Gatte | husband/spouse | OK
234. der Gaumenschmaus | culinary delight | OK
235. der Gauner | chiseler/chiseller/con | OK
236. der Gebäudeeigentümer | building owner | OK
237. der Gebirgszug | mountain range | OK
238. das Geburtenregister | birth index | WRONG: birth register - Geburtenregister means a register of births, not an index.
239. der Geburtstermin | due date/due day | OK
240. die Gefahrenzone | danger zone | OK
241. der Gegenangriff | counterattack | OK
242. der Gegenentwurf | counterproposal/alternative draft | OK
243. der Gehirntumor | brain tumor | OK
244. die Geisterstadt | ghost town | OK
245. der Geldeingang | incoming payment/receipt of funds | OK
246. die Gelenkerkrankung | ginglymus disease | WRONG: joint disease - Gelenkerkrankung means a disease of the joints.
247. die Verzerrung | pulled muscle | WRONG: distortion/deformation - Verzerrung means distortion, not a pulled muscle.
248. der Startplatz | starting place/grid position | OK
249. das Gerangel | skirmish/tussle/wrangling | OK
250. der Gerichtsvollzieher | bailiff/constable | OK
251. die Geruchsbelästigung | odor annoyance | IMPROVE: odor nuisance - This is the natural term for Geruchsbel?stigung.
252. die Geschmackssache | flavour business | WRONG: matter of taste - Geschmackssache means a matter of taste, not a business.
253. die Gesellenprüfung | companion audit | WRONG: journeyman examination - Gesellenpr?fung is the skilled-trade journeyman exam.
254. der Gesellschaftsanteil | company share/equity interest | OK
255. die Gesetzesvorlage | bill | OK
256. die Gestapo | Gestapo | OK
257. die Gesteinsschicht | rock layer | OK
258. die Getreidesorte | grain type | OK
259. der Gewerberaum | commercial space | OK
260. die Gewinnwarnung | profit warning | OK
261. das Glasfenster | glass window | OK
262. der Gliederschmerz | formation ache | WRONG: limb pain/body ache - Gliederschmerz means pain in the limbs, not formation ache.
263. der Glitzer | glitter | OK
264. der Globetrotter | globetrotter | OK
265. die Glockengießerei | bell foundry | OK
266. der Volontär | volunteer | WRONG: trainee/intern - German Volont?r usually means a trainee, not a volunteer.
267. der Glücksmoment | chance moment | WRONG: moment of happiness/lucky moment - Gl?cksmoment means a happy or lucky moment.
268. der Wahltag | election day/polling day | OK
269. der Gönner | patron | OK
270. das Gorleben | life | WRONG: Gorleben - Gorleben is a place name, not life.
271. das Gräberfeld | grave field | IMPROVE: burial ground/cemetery - Gr?berfeld is a burial ground, not a literal field of graves.
272. die Grabkammer | burial chamber/tomb | OK
273. die Gracht | canal | OK
274. der Gral | holy grail | OK
275. der Grashüpfer | grasshopper | OK
276. die Gräueltat | atrocity/outrage | OK
277. die Graugans | greylag goose | OK
278. das Waldstück | forest area | OK
279. die Grenzanlage | border installation | OK
280. der Grenzübertritt | kick | WRONG: border crossing - Grenz?bertritt means crossing a border, not a kick.
281. der Grips | brains/wits | OK
282. der Grizzly | grizzly | OK
283. das Großaufgebot | announcement | WRONG: large contingent/mass deployment - Gro?aufgebot means a large deployment or contingent.
284. der Großauftrag | major order/large contract | OK
285. die Sturmflut | storm surge/storm tide | OK
286. die Großkatze | big feline | OK
287. der Großmarkt | wholesale | WRONG: wholesale market - Gro?markt means a wholesale market, not wholesale alone.
288. der Grundton | keynote | OK
289. die Grundübung | basic exercise | OK
290. das Gründungsjahr | founding year | OK
291. der Grünstreifen | green strip | OK
292. die Gruppenleiterin | group leader (female) | OK
293. die Gruppentherapie | group therapy | OK
294. der Gully | gully | OK
295. das Gusseisen | cast iron/cast-iron | OK
296. der Gütertransport | freight transport | OK
297. der Gutmensch | bleeding heart liberal/do-gooder | OK
298. die Haarwurzel | hair root | OK
299. der Habicht | goshawk/hawk | OK
300. die Subdomain | subdomain | OK
301. die Haftanstalt | detention centre/gaol/jail | OK
302. die Halbierung | bisection/halving | OK
303. das Halbjahreszeugnis | half a year certificate | WRONG: mid-year report card - Halbjahreszeugnis is a school report for the half-year.
304. die Wärmeversorgung | heat supply | OK
305. die Handelsbeschränkung | trade restriction | OK
306. die Handwerksarbeit | craft business | WRONG: craft work/handicraft - Handwerksarbeit means craft work, not a craft business.
307. der Handyhersteller | mobile phone manufacturer | OK
308. der Hängeschrank | wall cupboard | OK
309. der Harnleiter | ureter | OK
310. der Harnwegsinfekt | infection | WRONG: urinary tract infection - Harnwegsinfekt is specifically a urinary tract infection.
311. der Haufe | heap/multitude | OK
312. der Hauptakteur | main actor/key player | OK
313. der Hauptlieferant | main supplier | OK
314. der Hauptraum | main room | OK
315. das Sehen | seeing/sight | OK
316. der Hauptverursacher | main culprit/main cause | OK
317. der Hauptvortrag | keynote speech | OK
318. der Hausarrest | house arrest | OK
319. der Hausgarten | home garden | OK
320. der Hausgebrauch | domestic use | OK
321. das Haushaltsbuch | budget book | OK
322. das Haushaltseinkommen | household income | OK
323. der Hausrotschwanz | black redstart | OK
324. der Hautton | skin tone | OK
325. das Hearing | hearing | OK
326. die Hebung | raising/elevation | OK
327. der Heimtrainer | exercise bike | OK
328. der Heizlüfter | fan heater | OK
329. die Heizperiode | heating period | OK
330. die Heizungstechnik | heating equipment | WRONG: heating technology/heating engineering - Heizungstechnik means heating technology, not equipment.
331. das Herbizid | herbicide/weedkiller | OK
332. die Herbstzeit | autumn time | OK
333. die Herkulesaufgabe | Hercules abandonment | WRONG: Herculean task - Herkulesaufgabe means a Herculean task, not abandonment.
334. die Herleitung | argumentation/deduction/derivation | OK
335. die Herrin | mistress/lady | OK
336. das Herzchen | sweetie pie | OK
337. die Herzenssache | business | WRONG: matter of the heart - Herzenssache means something close to the heart.
338. das Wasserkraftwerk | hydroelectric power plant/hydroelectric power station/hydropower station | OK
339. das Herzkranzgefäß | coronary arteries/coronary vessels | OK
340. der Hexer | mage/sorcerer/warlock | OK
341. das Hindi | Hindi | OK
342. die Hinrunde | first half of the season | OK
343. der Hintermann | backer/mastermind | OK
344. die Hitzewallung | hot flash | OK
345. der Hochaltar | high altar | OK
346. die Hochbahn | elevated railway | OK
347. das Hochmittelalter | Late Middle Ages | WRONG: High Middle Ages - Hochmittelalter is the High Middle Ages, not the Late Middle Ages.
348. der Hochqualifizierte | highly qualified person | OK
349. der Hochsprung | high jump | OK
350. das Hochzeitskleid | wedding dress | OK
351. der Hohlweg | defile/hollow-way/ravine | OK
352. das Hologramm | hologram | OK
353. der Holzboden | wooden flooring | OK
354. das Holzbrett | wooden board | OK
355. die Holzfigur | timber figure | WRONG: wooden figure - Holzfigur means a wooden figure, not timber figure.
356. die Holzkonstruktion | wood construction | OK
357. der Wassersport | aquatics/water sports | OK
358. der Hooligan | hooligan | OK
359. die Wegstrecke | method bag | WRONG: route/distance - Wegstrecke means a route or distance covered.
360. der Hörtest | hearing test | OK
361. der Hosenanzug | pantsuit | OK
362. das Hügelgrab | barrow/tumulus | OK
363. das Hühnerei | chicken egg | OK
364. die Hundesteuer | dog licence fee | OK
365. der Hungerstreik | hunger strike | OK
366. die Weiterverarbeitung | processing | OK
367. der Werbespot | spot | WRONG: commercial/ad spot - Werbespot means an advertising commercial.
368. die Imagination | imagination | OK
369. der Imperialismus | imperialism | OK
370. die Impfempfehlung | recommendation | WRONG: vaccination recommendation - Impfempfehlung is specifically a vaccination recommendation.
371. die Impfpflicht | compulsory vaccination | OK
372. die Impfquote | vaccination rate | OK
373. der Industrielle | industrialist | OK
374. die Informationsflut | information flood | OK
375. die Ingenieurschule | engineer school | WRONG: engineering school - Ingenieurschule means an engineering school.
376. das Innenfutter | inner lining | OK
377. die Innenrevision | appeal | WRONG: internal audit - Innenrevision means internal audit, not appeal.
378. der Insektenstich | bug engraving | WRONG: insect bite - Insektenstich means an insect bite or sting.
379. die Insellösung | island answer | WRONG: isolated solution/standalone solution - Insell?sung means an isolated standalone solution.
380. die Integrationsministerin | integration minister | OK
381. die Interessensvertretung | interest representation/lobby | OK
382. das Internetforum | Internet forum | OK
383. der Internetgigant | Internet giant | OK
384. die Investmentbank | investment bank | OK
385. der Iraner | Irani/Iranian | OK
386. das Islandpferd | Icelandic horse | OK
387. die Italienerin | Italian | OK
388. die Jacht | yacht | OK
389. der Jagdhund | gun dog/hound/hunting dog | OK
390. der Jaguar | jaguar | OK
391. der Jazzmusiker | jazz musician/jazzman | OK
392. die Jugendstrafe | adolescence fine | WRONG: juvenile sentence - Jugendstrafe is a sentence under juvenile law.
393. das Jugendstrafrecht | adolescence criminal law | WRONG: juvenile criminal law - Jugendstrafrecht means juvenile criminal law.
394. die Jungsteinzeit | Neolithic | OK
395. die Jurorin | juror | OK
396. der Kakadu | cockatoo | OK
397. der Kalifornier | Californian | OK
398. das Kaminzimmer | chimney chamber | WRONG: fireplace room - Kaminzimmer means a room with a fireplace.
399. der Kantersieg | blowout/emphatic win/hands-down victory | OK
400. der Wertstoff | recyclable material | OK
401. der Kapellmeister | bandleader | OK
402. das Kapitalvermögen | capital assets | OK
403. der Karikaturist | caricaturist/cartoonist | OK
404. das Tablett | tray | OK
405. der Karren | cart | OK
406. das Kartellamt | antitrust agency | OK
407. die Kartusche | cartouche | WRONG: cartridge - Kartusche normally means a cartridge, not only a cartouche.
408. die Käsesorte | cheese variety | OK
409. die Kastanienallee | chestnut avenue | OK
410. das Kastell | castelet/castellet/castellum | WRONG: fort/castle - Kastell is a small fort or castle, not castelet/castellum for learners.
411. die Kathode | cathode | OK
412. das Katzenfutter | cat food | OK
413. das Katzenhaar | bitch hair | WRONG: cat hair - Katzenhaar means cat hair.
414. der Kaufanreiz | purchase incentive | OK
415. die Taille | bodice/taillage/taille | WRONG: waist - Taille means waist, not bodice.
416. der Ketchup | ketchup/tomato sauce | OK
417. das Kiddie | kiddie/kiddy | OK
418. das Kiffen | smoking dope | OK
419. die Kinderfreundlichkeit | child friendliness | OK
420. der Kinderhort | child day-nursery | WRONG: after-school care center/daycare center - Kinderhort is a childcare facility, not a day nursery.
421. das Kinderleben | child life | IMPROVE: childhood/children's life - Kinderleben is more naturally childhood or the life of children.
422. die Kinderpornografie | child pornography | OK
423. die Kinderstube | nursery/childhood home | OK
424. das Kindertheater | children's theater | OK
425. das Kirchenasyl | church asylum | OK
426. die Kirchenbank | church bank | WRONG: pew - Kirchenbank means a church pew, not a bank.
427. das Kirchenbuch | parish register | OK
428. der Kirchenvertreter | church agent | WRONG: church representative - Kirchenvertreter means a representative of the church.
429. der Kirschbaum | cherry tree | OK
430. der Kitaplatz | daycare place | OK
431. das Klassenbuch | class book | IMPROVE: class register/grade book - Klassenbuch is the school class register, not a generic class book.
432. die Klaviatur | musical keyboard | OK
433. der Klebestreifen | adhesive strip | OK
434. die Kleidergröße | clothing size | OK
435. die Kleinarbeit | detailed work/painstaking work | OK
436. der Kleinsäuger | small mammal | OK
437. die Kletterpflanze | climber/creeper/vine | OK
438. der Klingelton | ringtone | OK
439. der Klinker | clinker | OK
440. der Klumpen | lump/nugget | OK
441. die Knappheit | scarcity | OK
442. die Kniescheibe | kneecap/kneepan/patella | OK
443. das Knistern | knee angel | WRONG: crackling/crackle - Knistern means crackling, not knee angel.
444. der Knobel | dice | OK
445. die Talfahrt | sail down stream | WRONG: descent/downward slide - Talfahrt means a descent or downward trend.
446. das Knöllchen | parking ticket/traffic ticket | OK
447. das Kochgeschirr | cookware | OK
448. das Kochsalz | table salt | OK
449. das Kochwasser | boiling water/cooking water | OK
450. die Kohärenz | coherence | OK
451. die Kohleverstromung | coal conversion into electricity | OK
452. die Kolik | colic | OK
453. das Kollagen | collagen | OK
454. der Kollaps | collapse/fainting/syncope | OK
455. der Kollateralschaden | collateral damage | OK
456. die Kolonialmacht | colonial power | OK
457. der Kommanditist | limited partner | OK
458. die Komorbidität | comorbidity | OK
459. die Kompression | compression | OK
460. das Kondenswasser | water | WRONG: condensation water/condensate - Kondenswasser means water from condensation.
461. der Konfliktfall | case of conflict | OK
462. die Konformitätserklärung | certificate of conformity | OK
463. der Königsweg | royal road/silver bullet | OK
464. die Winterspiele | Winter Games | OK
465. die Kontaktpflege | maintaining contacts/networking | OK
466. die Konzertreise | concert tour | OK
467. die Kopfstütze | head rest/head restraint/head support | OK
468. der Kopierschutz | copy protection | OK
469. die Körperbewegung | body movement | OK
470. das Korsett | corset | OK
471. die Kostenrechnung | cost accounting | OK
472. die Krabbelgruppe | playgroup/toddler group | OK
473. der Kracher | firecracker/banger/hit | OK
474. die Kräftigung | strengthening | OK
475. die Wirtschaftsregion | economic region | OK
476. die Krankenhausversorgung | hospital care | OK
477. der Krebskranke | cancer patient | OK
478. die Krebsvorsorge | cancer screening | OK
479. das Kreditgeschäft | lending business/credit business | OK
480. die Kreditlinie | credit line | OK
481. die Kreisklasse | district class | OK
482. der Kreuzfahrer | cruiser/crusader | OK
483. die Kreuzigung | crucifixion | OK
484. die Kreuzotter | European adder/adder | OK
485. das Krippenspiel | nativity play | OK
486. das Krisenjahr | crisis year | OK
487. der Kronkorken | bottle cap/crown cap/crown cork | OK
488. die Kronprinzessin | crown princess | OK
489. der Küchenschrank | kitchen cupboard | OK
490. das Kugelstoßen | shot put | OK
491. das Kühlregal | rack | WRONG: chiller cabinet/refrigerated shelf - K?hlregal is a refrigerated display shelf, not a rack in general.
492. die Kultstätte | place of worship | OK
493. die Kulturanthropologie | cultural anthropology | OK
494. der Kulturausschuss | cultural committee | OK
495. der Kulturfolger | synanthrope/follower of human culture | OK
496. das Kulturland | civilised/country/cultivable | WRONG: cultivated land/cultural nation - Kulturland is not the adjective civilised.
497. die Kulturstätte | ancient monument/cultural site | OK
498. die Kunstfreiheit | artistic freedom | OK
499. die Kunststoffverpackung | plastic packaging | OK
500. der Kurznachrichtendienst | intelligence agency | WRONG: short message service - Kurznachrichtendienst means a short-message service, not an intelligence agency.
501. das Küsschen | peck | OK
502. das Küssen | kissing | OK
503. das Küstengewässer | coast waterbody | WRONG: coastal waters - K?stengew?sser means coastal waters.
504. der Laborversuch | laboratory experiment/lab test | OK
505. der Laderaum | hold/loading space | OK
506. das Lagerhaus | warehouse | OK
507. die Lagerkapazität | storage capacity | OK
508. das Lampenfieber | glossophobia/stage fright | OK
509. die Landbevölkerung | rural population | OK
510. der Landeplatz | landing place/place to land | OK
511. das Landesgesundheitsamt | country health department | WRONG: state health office - Landesgesundheitsamt is a state-level health office.
512. das Landesinnere | interior of the country | OK
513. der Landesligist | state-league team | OK
514. das Landleben | country life | OK
515. die Landmarke | landmark | OK
516. die Landschaftsaufnahme | landscape absorption | WRONG: landscape photograph - Landschaftsaufnahme means a landscape photo, not absorption.
517. der Landschaftsgarten | landscape garden | OK
518. der Landschaftsschutz | landscape protection | OK
519. die Langstrecke | long distance | OK
520. die Lasche | butt strap/fishplate/flap | OK
521. die Lateinschule | Latin school | OK
522. das Latex | latex | OK
523. das LaTeX | LaTeX | OK
524. die Laube | arbor/arbour/arcade/bower | OK
525. der Laufstall | freestall barn/play-pen | OK
526. die Laufveranstaltung | race event/running event | OK
527. die Lauge | alkali/lye | OK
528. das Lazarett | military hospital | OK
529. die Lebenschance | opportunity in life | OK
530. die Lebensmittelallergie | food allergy | OK
531. die Lebensmittelkontrolle | food control | IMPROVE: food inspection/food safety control - Lebensmittelkontrolle is food inspection, not generic control.
532. die Lebensphilosophie | life philosophy | OK
533. der Lebensrhythmus | life rhythm | OK
534. der Leberkrebs | liver cancer | OK
535. der Leberschaden | liver damage | OK
536. das Lebkuchenherz | gingerbread heart | OK
537. das Leergewicht | unladen weight/empty weight | OK
538. das Leggings | leggings | OK
539. die Lehrbuchsammlung | coursebook collection | OK
540. die Lehrerkonferenz | instructor conference | WRONG: teachers' conference - Lehrerkonferenz means a teachers' conference.
