1. die Doppelseite | doubles angle | WRONG: double-page spread - Doppelseite means a two-page spread, not an angle.
45. die Essecke | chimney angle | WRONG: dining nook/dining area - Essecke is an eating area, not a chimney angle.
46. die Essensausgabe | food distribution/serving area | OK
47. das Establishment | establishment | OK
48. die Eucharistiefeier | Eucharist ceremony | OK
49. die Regionalliga | league | IMPROVE: regional league - Regionalliga specifically means a regional league, not just any league.
50. die Exploration | exploration | OK
51. das Exportland | export country | OK
52. die Extraktion | extraction | OK
53. die Facebookseite | angle | WRONG: Facebook page - Facebookseite means a Facebook page, not an angle.
54. die Fachanwältin | specialist lawyer (female) | OK
55. der Fachplaner | specialist planner | OK
56. das Fähnchen | small flag | OK
57. das Fahrgastschiff | passenger ship | OK
58. der Falschparker | illegal parker | OK
59. die Familienzusammenführung | command | WRONG: family reunification - Familienzusammenfuehrung means family reunification, not a command.
60. der Fanatismus | fanaticism | OK
61. die Fasanerie | pheasantry | OK
62. die Favoritenrolle | favourite part | WRONG: role as favourite/favourite status - Favoritenrolle means being in the role of favourite, not a favourite part.
63. die Fehlerquote | blemish disposable portion | WRONG: error rate - Fehlerquote means error rate, not a blemish or disposable portion.
64. die Feinstaubbelastung | fine dust burden | IMPROVE: particulate matter pollution - Feinstaubbelastung is the burden or pollution from fine particulate matter.
65. die Feldforschung | field research/fieldwork | OK
66. der Fender | fender | OK
67. der Feriengast | vacationist | OK
68. der Ferientag | holiday/vacation day | OK
69. der Fernsehfilm | made‐for‐TV movie/telefilm/telepicture | OK
70. der Fernsehmoderator | host | IMPROVE: television presenter - Fernsehmoderator is specifically a TV presenter or host.
71. die Fettreserve | fat reserve | OK
72. die Fibel | brooch/fibula/primer | OK
73. die Filmgeschichte | history of film/plot | OK
74. die Filmszene | filmstrip/movie scene | OK
75. die Finanzfrage | financial question | OK
76. das Flachland | lowland/plain | OK
77. der Fließtext | running text | OK
78. der Flugpreis | airfare/flight price | OK
79. die Flugzeit | flight time | OK
80. das Fluid | fluid | OK
81. das Flurförderzeug | industrial truck/materials-handling vehicle | OK
82. der Föderalismus | federalism | OK
83. das Förderband | conveyor belt | OK
84. der Formaldehyd | formaldehyde | OK
85. die Fotofalle | camera trap/photo trap | OK
86. die Fotokopie | photocopy/xerox | OK
87. die Fotostrecke | photo series | OK
88. der Frachter | cargo ship/freighter | OK
89. der Fraktionschef | faction boss | WRONG: parliamentary group leader - Fraktionschef is a group or caucus leader, not a faction boss.
90. der Freibauer | passed pawn | OK
91. das Freiheitsrecht | freedom | IMPROVE: civil liberty/right to freedom - Freiheitsrecht means a legal freedom or civil liberty, not freedom in general.
92. die Friedensmission | peace mission | OK
93. die Friedensverhandlung | peace negotiation | OK
94. der Friese | Frisian | OK
95. das Massaker | massacre | OK
96. die Medienbranche | branch | WRONG: media industry - Medienbranche means the media industry, not a branch in general.
97. das Funkloch | dead spot/skip zone | OK
98. der Funktionsträger | officeholder | OK
99. der Funkturm | radio tower | OK
100. der Fußballclub | football club | OK
101. die Fußballweltmeisterschaft | football world championship | OK
102. die Gage | fee | OK
103. das Gartengerät | gardening tool | OK
104. die Gartengestaltung | garden arrangement | IMPROVE: garden design - Gartengestaltung is more naturally garden design or landscaping than arrangement.
105. der Gasgrill | gas grill | OK
106. der Gecko | gecko | OK
107. das Gedränge | crowd/scrum | OK
108. die Gefängnisstrafe | jail term/prison term | OK
109. das Gegenargument | counterargument | OK
110. die Gegenliebe | love in return | OK
111. der Geisteswissenschaftler | humanities scholar | OK
112. der Geiz | avarice/penury/stinginess | OK
113. das Geldgeschenk | dough gift | WRONG: gift of money - Geldgeschenk means a monetary gift, not a dough gift.
114. die Geldsumme | sum of money/amount of money | OK
115. die Gemeinderatswahl | councilman adoption | WRONG: local council election - Gemeinderatswahl means a municipal or local council election.
116. der Gemeinschaftsgarten | community garden | OK
117. der Gemüseanbau | vegetable cultivation | OK
118. der Generalstaatsanwalt | attorney general/attorney-general/chief public prosecutor | OK
119. der Gentleman | gentleman | OK
120. die Geotechnik | geotechnical engineering/geotechnics | OK
121. das Gerede | chatter/gossip/gossiping | OK
122. die Gesamtschau | exhibition | WRONG: overall view/overview - Gesamtschau means a synoptic overview, not an exhibition.
123. der Gesamtzusammenhang | coherence | WRONG: overall context - Gesamtzusammenhang means the broader context, not coherence.
124. die Geschichtsschreibung | historiography/writing of history | OK
125. die Geschlossenheit | unity/closedness | OK
126. die Geschwindigkeitsmessung | speed measurement | OK
127. die Gesellschaftsordnung | company order | WRONG: social order - Gesellschaftsordnung means social order, not company order.
128. die Gesellschaftsschicht | company class | WRONG: social class - Gesellschaftsschicht means a social stratum, not a company class.
129. die Gesichtsmaske | face mask | OK
130. das Gestern | yesterday | OK
131. der Getötete | person killed | OK
132. das Getreideprodukt | cereal | IMPROVE: cereal product/grain product - Getreideprodukt is a product made from grain, not cereal in general.
133. der Geübte | practiced person/skilled person | OK
134. die Gewaltenteilung | checks and balances/separation of powers | OK
135. der Gewalttäter | violent criminal | OK
136. das Gewerkschaftshaus | trade union building | OK
137. der Gimmick | gimmick | OK
138. die Girlande | festoon/garland/swag | OK
139. die Glaskugel | glass ball | OK
140. der Meistertitel | championship title/master craftsmanship | OK
141. das Glücksgefühl | feeling of happiness | OK
142. der Golfsport | golf | OK
143. der Gottesdienstbesucher | (church) service patron | WRONG: worshipper/churchgoer - Gottesdienstbesucher is someone attending a service, not a service patron.
144. die Messstation | gaging station/measurement station | OK
145. die Grasnarbe | sod/turf | OK
146. die Grippeimpfung | cold vaccination | WRONG: flu vaccination - Grippeimpfung is a vaccination against influenza, not a cold vaccination.
147. die Grundfeste | foundation | OK
148. die Grundgesetzänderung | Basic Law alteration | IMPROVE: amendment to the Basic Law - This is the natural legal term for Grundgesetzaenderung.
149. die Grundstimmung | basic mood/general mood | OK
150. der Güterzug | cargo train/freighttrain/wagon train | OK
151. die Hämorrhoide | haemorrhoid | OK
152. das Handelsrecht | commercial law/mercantile law | OK
153. die Reifung | maturation/maturing/ripening | OK
154. die Hängebrücke | suspension bridge | OK
155. das Hardcover | hardback/hardcover | OK
156. der Hardliner | hard-liner/hardliner | OK
157. die Haselmaus | dormouse | OK
158. der Hasskommentar | hate comment | OK
159. das Hauptamt | main office | OK
160. die Hauptlast | main load | OK
161. das Hauptmerkmal | main feature | OK
162. das Hauptmotiv | main motif | OK
163. der Hauptort | main town/chief town | OK
164. der Hausbewohner | resident/occupant of a house | OK
165. die Hausfassade | house façade | OK
166. das Hausgerät | household appliance | OK
167. die Haushaltsware | household goods | OK
168. der Hausschuh | slipper | OK
169. der Haussperling | house sparrow | OK
170. das Mindesthaltbarkeitsdatum | best-before date/shelf-life date | OK
171. die Heiligkeit | holiness/holyness | OK
172. die Heimkehr | homecoming | OK
173. das Heimtier | pet | OK
174. die Heiserkeit | hoarseness | OK
175. die Heiztechnik | equipment | WRONG: heating technology - Heiztechnik means heating technology or systems, not equipment in general.
176. der Herbsttag | autumn day | OK
177. das Heroin | heroin/heroin (drug) | OK
178. die Herzdruckmassage | cardiac massage | OK
179. der Herzstillstand | cardiac arrest | OK
180. die Minze | mint | OK
181. die Hiobsbotschaft | Job’s news/bad tidings | OK
182. der Mitgründer | founder | WRONG: co-founder - Mitgruender means co-founder, not just founder.
183. die Historikerin | historian (female) | OK
184. der Schwindel | dizziness/giddiness/swindle | OK
185. das Hochregallager | high-bay warehouse | OK
186. der Hochzeitsgast | wedding guest | OK
187. das Hochzeitspaar | wedding couple/bride and groom | OK
188. die Hofanlage | farmstead/courtyard complex | OK
189. die Hoheit | Highness/sovereignty | OK
190. der Holunder | elder | OK
191. der Holzkohlegrill | charcoal barbecue grill | OK
192. der Holztisch | wooden table | OK
193. das Hügelland | hill country | OK
194. der Hummer | lobster | OK
195. der Hüter | custodian/guardian/keeper | OK
196. die Hydraulik | hydraulic system/hydraulics | OK
197. der Hypertext | hypertext | OK
198. die Hypnose | hypnosis | OK
199. die Immunreaktion | reaction | WRONG: immune response - Immunreaktion means an immune reaction or response, not reaction in general.
200. die Indexierung | indexing/index-linking | OK
201. der Influenzavirus | influenza virus/influenzavirus | OK
202. die Momentaufnahme | snapshot | OK
203. der Inhaftierte | detainee/inmate | OK
204. die Inhaltsangabe | summary | OK
205. der Innenstadtbereich | downtown area | OK
206. die Innenwand | inner wall | OK
207. die Innerei | innards | OK
208. die Instrumentalisierung | instrumentalisation | OK
209. der Interessenverband | interest group/association | OK
210. das Internetradio | internet radio | OK
211. die Internetrecherche | Internet enquiry | IMPROVE: internet research - Internetrecherche means online research, not an enquiry.
212. das Intervallfasten | intermittent fasting | OK
213. die Intimsphäre | sphere | WRONG: privacy/intimate sphere - Intimsphaere means privacy or intimate personal sphere, not sphere generally.
214. das Jagdrecht | hunting law | OK
215. das Jagdrevier | hunting ground | OK
216. die Jahresmitte | midyear | OK
217. der Jahresverbrauch | annual consumption | OK
218. das Jazzfestival | jazz festival | OK
219. die Johannisbeere | currant | OK
220. der Jugendstil | Art Nouveau | OK
221. der Jugendwart | adolescence supervisor | WRONG: youth leader - Jugendwart is a youth officer or leader, not an adolescence supervisor.
222. der Motorsport | motorsport | OK
223. der Junggeselle | bachelor | OK
224. der Juwelier | jeweller | OK
225. die Kaffeetafel | coffee banquet | WRONG: coffee-and-cake table/gathering - Kaffeetafel refers to a coffee table spread or gathering, not a banquet.
226. der Museumsbesuch | museum attendance | IMPROVE: museum visit - Museumsbesuch means a visit to a museum, not attendance in general.
227. das Kampfmittel | ordnance | OK
228. die Schwelle | on the verge/railroad tie/sleeper | WRONG: threshold - Schwelle primarily means threshold; 'on the verge' is only a phrase.
229. das Karma | karma | OK
230. der Kartenausschnitt | map section | OK
231. der Kartenleser | card reader | OK
232. der Kassenbon | cash receipt/receipt | OK
233. das Katastrophengebiet | disaster area | OK
234. die Kaufsumme | purchase price | OK
235. das Kellergeschoss | basement | OK
236. die Kelter | wine press | OK
237. das Kerngebiet | core area | OK
238. der Kerngedanke | core idea | OK
239. das Kernproblem | core problem | OK
240. der Kettenbrief | catenary letter | WRONG: chain letter - Kettenbrief means chain letter, not catenary letter.
241. die Kinderärztin | pediatrician (female) | OK
242. die Kinderlosigkeit | childlessness | OK
243. die Kinderzulage | child bonus | OK
244. das Nachrichtenmagazin | message depository | WRONG: news magazine - Nachrichtenmagazin means a news magazine, not a message depository.
245. der Kirchenpräsident | church chairman | OK
246. der Kirchhof | church graveyard/churchyard | OK
247. die Nachtruhe | night's rest/quiet hours | OK
248. der Klärschlamm | effluent sludge/sewage sludge/sludge | OK
249. die Klaviermusik | piano music | OK
250. der Klavierunterricht | piano lessons | OK
251. der Kleinkredit | small loan | OK
252. der Kleinstwagen | city car | OK
253. das Klettergerüst | climbing frame | OK
254. die Klimabilanz | carbon footprint/climate balance | OK
255. das Klimamodell | climate model | OK
256. der Knirps | kid | OK
257. die Kognition | cognition | OK
258. der Kohlrabi | German turnip/kohlrabi | OK
259. der Kokon | cocoon | OK
260. die Kommende | end | WRONG: commandery/coming one - Kommende does not mean end.
261. das Kommissionsmitglied | commission member | OK
262. der Kommunikationsprozess | communication lawsuit | WRONG: communication process - Kommunikationsprozess means communication process, not lawsuit.
263. die Kommunikationsstrategie | communication strategy | OK
264. der Komparse | extra | OK
265. der Konfirmand | confirmation candidate | OK
266. der Konsorte | consortium member | WRONG: consort - Konsorte means consort or spouse, not a consortium member.
267. die Kontoinformation | account information | OK
268. die Kontraktion | contraction | OK
269. das Konzentrat | concentrate | OK
270. die Kopfform | head form | IMPROVE: head shape - Kopfform is more naturally head shape than head form.
271. der Korken | plug/stopper | OK
272. die Korrespondentin | dentine | WRONG: correspondent - Korrespondentin means a female correspondent, not dentine.
273. der Korrosionsschutz | corrosion prevention | OK
274. der Kosmonaut | cosmonaut | OK
275. die Kostenart | cost element | OK
276. die Kostenstelle | cost centre | OK
277. die Kraftquelle | force fountain | WRONG: source of strength/power source - Kraftquelle means a source of strength or power, not a fountain.
278. der Krake | kraken/octopus | OK
279. der Kratzbaum | cat tree/scratching post | OK
280. die Kreditgenossenschaft | credit cooperative | OK
281. die Kreditkartenzahlung | credit card payment | OK
282. der Kreidefelsen | Cretaceous rock | WRONG: chalk cliff/chalk rock - Kreidefelsen means chalk cliffs or rocks, not Cretaceous rock in general.
283. der Kriminalbeamte | detective | OK
284. der Küchenhelfer | kitchenhand | IMPROVE: kitchen gadget/kitchen helper - Kuechenhelfer commonly means a kitchen tool, not just a kitchenhand.
285. die Küchenrolle | kitchen roll | OK
286. das Kugellager | ball bearing/ball-bearing/bearing | OK
287. das Kühlgerät | cooling appliance/refrigeration unit | OK
288. der Kunstgegenstand | object of art | OK
289. der Kunststoffabfall | plastic waste | OK
290. das Kunststoffprodukt | plastic product | OK
291. die Kurie | curia | OK
292. der Religionslehrer | faith instructor | IMPROVE: religious education teacher - Religionslehrer is a teacher of religion, not a faith instructor.
293. das Nähen | needlework/sewing | OK
294. der Kurzentschlossene | spur-of-the-moment decider | OK
295. die Küstenstadt | coastal town/seaside town | OK
296. die Kutschfahrt | carriage ride | OK
297. die Ladentheke | business counter | WRONG: shop counter - Ladentheke means a counter in a shop, not a business counter.
298. das Lämpchen | small lamp | OK
299. der Landarzt | country doc | OK
300. der Landbeschäler | country stud | WRONG: state stud stallion - Landbeschaeler is a stud stallion, especially state-owned, not a country stud.
301. der Landesdatenschutzbeauftragte | state data protection officer | OK
302. die Landeswährung | national currency | OK
303. die Landfläche | country area | WRONG: land area - Landflaeche means land area, not country area.
304. der Landgraf | landgrave | OK
305. der Landschaftsgärtner | landscaper | OK
306. die Landwehr | Landwehr | OK
307. der Landwirtschaftsbetrieb | agriculture business | IMPROVE: farm/agricultural enterprise - Landwirtschaftsbetrieb is a farm or agricultural operation.
308. die Namensgebung | naming | OK
309. die Lanze | lance/spear | OK
310. das Lastenfahrrad | cargo bike | OK
311. der Lastkraftwagen | heavy goods vehicle/lorry/truck | OK
312. der Lauch | leek | OK
313. das Lauftraining | barrel practice | WRONG: running training - Lauftraining means running practice, not barrel practice.
314. das Lebensmittelgeschäft | grocery/grocery store | OK
315. die Nonne | nun | OK
316. der Lebenstraum | life’s dream | OK
317. die Legion | legion | OK
318. das Notizbuch | commonplace book/commonplaces/composition book | WRONG: notebook - Notizbuch means notebook; the current gloss lists less central book types.
319. der Leidtragende | sufferer | OK
320. das Leidwesen | distress being | WRONG: regret/chagrin - Leidwesen is used for regret or annoyance, not a distress being.
321. das Leinöl | linseed oil | OK
322. der Leitindex | fist | WRONG: leading index/benchmark index - Leitindex is a financial benchmark index, not a fist.
323. das Liebeslied | love song | OK
324. das Lieblingsfach | favourite subject | OK
325. das Lieblingsrezept | favourite recipe | OK
326. das Lieblingstier | favourite animal | OK
327. das Lineal | ruler | OK
328. die Liposuktion | liposuction | OK
329. die Liquidation | liquidation | OK
330. der Obere | superior | OK
331. der Lizenzgeber | licensor | OK
332. die Lodge | lodge | OK
333. die Löslichkeit | solubility | OK
334. die Luftmasse | air bulk | WRONG: air mass - Luftmasse means air mass, not air bulk.
335. der Lügner | liar/lying so-and-so/storyteller | OK
336. der Lunch | lunch | OK
337. das Lunchpaket | packed lunch | OK
338. das Lungengewebe | lung tissue | OK
339. die Mache | make/pretence | WRONG: machination/way of doing - Mache means a way something is made or a contrivance, not simply make.
340. der Mähdrescher | combine/combine harvester | OK
341. das Mailprogramm | channel | WRONG: email program/mail client - Mailprogramm means an email program, not a channel.
342. das Mainzelmännchen | male | WRONG: Mainzelmaennchen (ZDF mascot) - Mainzelmaennchen is the name of German TV mascots, not male.
343. die Majestät | majesty | OK
344. die Makuladegeneration | macular degeneration | OK
345. der Oberstufenschüler | sixth-form student/upper secondary student | OK
346. die Mandelmilch | almond milk | OK
347. das Mangan | manganese | OK
348. der Rennwagen | race car/racecar | OK
349. die Maschinenfabrik | machine factory | OK
350. der Maschinenpark | machinery/machine fleet | OK
351. der Matchwinner | matchwinner | OK
352. die Mathematikerin | mathematician | OK
353. die Medienwissenschaftlerin | scientist | WRONG: media studies scholar - Medienwissenschaftlerin means a female media studies scholar, not scientist in general.
354. die Meeresluft | lake air | WRONG: sea air - Meeresluft means sea air, not lake air.
355. die Mehrausgabe | plus edition | WRONG: additional expenditure - Mehrausgabe means extra spending, not a plus edition.
356. der Meinungsaustausch | exchange of opinions | OK
357. die Meinungsumfrage | intention poll | WRONG: opinion poll - Meinungsumfrage means opinion poll, not intention poll.
358. die Membran | membrane | OK
359. die Meningitis | meningitis | OK
360. das Methanol | methanol | OK
361. die Mietzahlung | clamp payment | WRONG: rent payment - Mietzahlung means payment of rent, not clamp payment.
362. das Mikroklima | microclimate | OK
363. der Orthopäde | orthopaedic specialist/orthopaedist/orthopedic specialist | OK
364. die Mineralogie | mineralogy | OK
365. die Restauration | restoration | OK
366. der Pächter | leaseholder/lessee/tenant | OK
367. die Mittelstadt | average centre | WRONG: medium-sized town - Mittelstadt means a medium-sized town, not an average centre.
368. der Mob | criminal band/gang/mob | OK
369. der Mobilfunkbetreiber | mobile communications operator | OK
370. der Restmüll | radical garbage | WRONG: residual waste - Restmuell means residual waste, not radical garbage.
371. das Modelljahr | model year | OK
372. der Monsieur | Monsieur | OK
373. der Monsun | monsoon | OK
374. die Motte | moth | OK
375. der Museumsdirektor | museum director | OK
376. die Mutterschaft | motherhood | OK
377. das Nachfolgemodell | succession model | IMPROVE: successor model - Nachfolgemodell means the model that succeeds another one.
378. der Nachruf | obituary | OK
379. die Nachverfolgung | tracing | OK
380. die Nachwirkung | after-effect/aftereffect/aftermath | OK
381. der Nachzügler | latecomer/straggler | OK
382. das Namensrecht | naming law/right to a name | OK
383. das Nasenloch | nostril | OK
384. das Nationalteam | team | IMPROVE: national team - Nationalteam specifically means national team.
385. das Naturschauspiel | nature drama | WRONG: natural spectacle - Naturschauspiel means a natural spectacle, not a nature drama.
386. die Nebensaison | off-season | OK
387. der Neoliberalismus | neoliberalism | OK
388. das Netbook | netbook | OK
389. die Netzneutralität | net neutrality | OK
390. der Netzwerker | bay | WRONG: networker - Netzwerker means networker, not bay.
391. die Neugliederung | arrangement | WRONG: reorganisation - Neugliederung means restructuring or reorganisation, not arrangement in general.
392. der Neunjährige | nine-year-old | OK
393. die Niagarafälle | Niagara Falls | OK
394. der Nickname | nickname | OK
395. das Nierenversagen | kidney failure/renal failure | OK
396. der Nordpol | North Pole | OK
397. die Normierung | standardisation/norming | OK
398. die Nutzlast | payload | OK
399. das Oberhaus | House of Lords/upper chamber/upper house | OK
400. die Oberkante | top edge/upper edge | OK
401. die Oberstufenschülerin | sixth-form student/upper secondary student (female) | OK
402. die Observation | observation | OK
403. der Obstbauer | fruit farmer | OK
404. die Ölfarbe | oil paint | OK
405. das Opus | opus | OK
406. die Ordensschwester | religious sister/nun | OK
407. das Organisationskomitee | organisation committee | OK
408. der Organspendeausweis | organ donation identity card | IMPROVE: organ donor card - Organspendeausweis is the standard term for an organ donor card.
409. das Orgelkonzert | organ concert | OK
410. der Originaltitel | original title | OK
411. die Originalverpackung | original packaging | OK
412. das Ortsschild | town sign/place-name sign | OK
413. die Pagode | pagoda | OK
414. die Parabel | parable/parabola | OK
415. der Parkausweis | park identity card | WRONG: parking permit - Parkausweis means parking permit, not a park identity card.
416. das Parkverbot | parking ban | OK
417. das Paroli | raise | OK
418. der Pathologe | box seat | WRONG: pathologist - Pathologe means pathologist, not box seat.
419. das Pathos | pathos | OK
420. die Peitsche | scourge/whip | OK
421. die Pendlerpauschale | commuting allowance | OK
422. der Personalaufwand | personnel expenditure | OK
423. der Personenkraftwagen | passenger car | OK
424. der Perspektivenwechsel | perspective bill of exchange | WRONG: change of perspective - Perspektivenwechsel means a shift in perspective, not a bill of exchange.
425. der Pfau | peacock | OK
426. das Pfingstwochenende | weekend | IMPROVE: Whitsun/Pentecost weekend - Pfingstwochenende is the specific holiday weekend, not any weekend.
427. die Phänomenologie | phenomenology | OK
428. der Phönix | Phoenix | OK
429. der Photograph | graph | WRONG: photographer - Photograph means photographer, not graph.
430. der Pioniergeist | pioneering spirit | OK
431. das Piratenschiff | pirate ship | OK
432. die Pistazie | pistachio | OK
433. die Planänderung | alteration in the plan | OK
434. das Planschbecken | kiddie pool/paddling pool/pool | OK
435. der Podestplatz | podium place | OK
436. die Politikverdrossenheit | disenchantment with politics | OK
437. der Polizeibericht | police report | OK
438. der Polizeidienst | police duty | OK
439. die Polizeikraft | police force | OK
440. die Portokosten | postage costs | OK
441. die Pose | float/pose | OK
442. der Pragmatismus | pragmatism | OK
443. die Praktikabilität | practicability | OK
444. die Prellung | bruise | OK
445. das Privathaus | private house | OK
446. der Probelauf | test run | OK
447. die Produktgestaltung | product design | OK
448. der Profifußball | pro football | OK
449. das Programmkino | art house/repertory cinema/revival house | OK
450. der Protestantismus | Protestantism | OK
451. der Protestierende | protester | OK
452. die Psychoanalyse | psychoanalysis | OK
453. die Punktion | puncture | OK
454. das Punktspiel | dot game | WRONG: competitive match/league game - Punktspiel is a match for points, not a dot game.
455. der Qualitätsjournalismus | quality journalism | OK
456. der Quarterback | quarterback | OK
457. die Queen | Queen | OK
458. die Quitte | quince | OK
459. der Rabattvertrag | discount agreement | OK
460. der Radlader | loader | IMPROVE: wheel loader - Radlader specifically means wheel loader.
461. die Ranch | ranch | OK
462. der Ratsvorsitzende | council chair/chairman of the council | OK
463. die Raubkatze | big cat | OK
464. der Papagei | parrot/parroter/popinjay | OK
465. die Reaktivierung | crossing | WRONG: reactivation - Reaktivierung means reactivation, not crossing.
466. der Realist | realist | OK
467. die Reanimation | reanimation | IMPROVE: resuscitation - In German Reanimation most often means medical resuscitation.
468. das Rechnernetz | computer network | OK
469. die Rechnungsprüfung | financial audit | OK
470. der Rechtshänder | right-hander/righty | OK
471. die Rednerin | lecturer/orator/speaker | OK
472. die Regatta | boat race/regatta | OK
473. die Regenbogenfamilie | rainbow family | OK
474. das Regenrückhaltebecken | rainwater retention basin/storm water retention tank | OK
475. die Regierungserklärung | government declaration | OK
476. das Rehkitz | fawn | OK
477. die Reichsbahn | Reich face | WRONG: Reichsbahn/national railway - Reichsbahn is a railway name, not a Reich face.
478. der Reinraum | clean room/cleanroom/white room | OK
479. die Reiseapotheke | first-aid kit | OK
480. das Reisedokument | travel document | OK
481. das Reiseportal | travel portal | OK
482. der Reisetag | travel day | OK
483. der Rentenfonds | fixed-income fund | OK
484. die Replikation | cation | WRONG: replication - Replikation means replication, not cation.
485. das Ressentiment | resentment | OK
486. die Restlaufzeit | radical life | WRONG: remaining term - Restlaufzeit means remaining duration or term, not radical life.
487. die Restmülltonne | dustbin/garbage can/residual waste container | OK
488. der Reststoff | residual material | OK
489. das Rettungsboot | lifeboat/rescue boat | OK
490. das Rettungsfahrzeug | ambulance vehicle | OK
491. das Revival | revival | OK
492. der Revolver | revolver | OK
493. der Ringer | wrestler | OK
494. der Risikostrukturausgleich | risk adjustment scheme | OK
495. die Robe | evening gown/robe/vestment | OK
496. der Rockstar | rock star | OK
497. die Rodelbahn | toboggan run/sledding track | OK
498. der Rodler | luger/sledder | OK
499. die Rohkost | raw food | OK
500. das Rohöl | crude oil | OK
501. die Rückendeckung | backing/support | OK
502. das Rugby | rugby/rugby football | OK
503. der Ruhetag | rest day/day off | OK
504. der Ruhezustand | calm condition | WRONG: idle state/resting state - Ruhezustand means an inactive or resting state, not a calm condition.
505. der Ruhrpott | dysentery jug | WRONG: Ruhr area/Ruhrpott - Ruhrpott is the Ruhr region, not a dysentery jug.
506. der Rundflug | round flight | IMPROVE: sightseeing flight - Rundflug usually means a scenic circular flight.
507. die Staatssekretärin | minister/state secretary/undersecretary | OK
508. das Salzbergwerk | salt mine | OK
509. der Sammelbegriff | concept | WRONG: collective term - Sammelbegriff means collective term, not concept in general.
510. das Sammelsurium | hodgepodge | OK
511. die Samtpfote | velvet John Hancock | WRONG: cat/velvet paw - Samtpfote is a figurative word for a cat, not a John Hancock.
512. das Sandkorn | grain of sand | OK
513. der Sattelzug | articulated lorry/articulated truck/articulated vehicle | OK
514. die Sättigung | satiety/saturación/saturation | OK
515. der Sauerstoffgehalt | oxygen content | OK
516. die Schauspielkunst | acting | OK
517. das Schiedsgericht | arbitral court/court of arbitration | OK
518. die Schikane | harassment | OK
519. das Schlafbedürfnis | need for sleep | OK
520. das Schlagloch | pothole | OK
521. die Schleiereule | Goliath webcap/barn owl | WRONG: barn owl - Schleiereule means barn owl; the mushroom gloss is unrelated.
522. der Schleuser | people smuggler | OK
523. die Schlüsselposition | key position | OK
524. die Schlussrunde | final round | OK
525. der Schmöker | page-turner/book | OK
526. das Schmutzwasser | dirty water | IMPROVE: wastewater - Schmutzwasser is the normal term for wastewater.
527. der Schneebesen | egg whisk/eggbeater/wire whisk | OK
528. der Schnelltest | check | WRONG: rapid test - Schnelltest means rapid test, not check.
529. die Schnittfläche | average area | WRONG: cut surface/cross-section - Schnittflaeche means a cut or sectional surface, not an average area.
530. die Schonzeit | close season | OK
531. die Schreibe | pen/way of writing/written language | OK
532. die Schuhgröße | shoe quantity | WRONG: shoe size - Schuhgroesse means shoe size, not shoe quantity.
533. der Schulbezirk | school district | OK
534. die Schuldenkrise | debt crisis | OK
535. die Schulleistung | school benefit | WRONG: school performance - Schulleistung means academic or school performance, not a benefit.
536. der Schulraum | classroom | OK
537. der Schutt | debris/rubble | OK
