1. schleudern | catapult/fishtail/hurl | OK
273. aushelfen | assist/help out | OK
274. brummen | boom/flourish/growl | OK
275. durchatmen | breathe deeply/take a deep breath | OK
276. entbinden | absolve of/deliver/give birth | OK
277. entkräften | debilitate/invalidate/refute | OK
278. entlocken | coax | OK
279. erhellen | be evident/clarify/explain | OK
280. fälschen | fake | OK
281. heften | staple | OK
282. hinkriegen | carry off/fix/get sth. about right | OK
283. inkludieren | include | OK
284. kaputtgehen | break down | OK
285. kaschieren | cover up | OK
286. mehren | augment | OK
287. migrieren | migrate | OK
288. nicken | nod | OK
289. plündern | loot/pillage/plunder | OK
290. queren | cross | OK
291. schleifen | drag/drill/grind | OK
292. schwertun | have difficulty/find difficult | OK
293. selektieren | select | OK
294. stopfen | darn/mend/stuff | OK
295. übertreiben | exaggerate/overdo/overstate | OK
296. umkippen | faint/keel over/tip over | OK
297. verdrehen | misrepresent/twist | OK
298. verewigen | immortalise/perpetuate | OK
299. verschleiern | become blurred/become hazy/cover up | OK
300. vorschieben | pretext/push forward | OK
301. würfeln | roll dice | OK
302. zurückbilden | recede/regress | OK
303. zurückhaben | back/got/have | OK
304. zusammenstoßen | collide | OK
305. abbremsen | brake/retard/slow | OK
306. abkürzen | abbreviate/curtail/cut short | OK
307. abstecken | stake out | OK
308. auffassen | understand | OK
309. auffliegen | be busted | OK
310. aufregen | excite/upset | OK
311. ausreifen | be perfected/mature/ripen | OK
312. ausreizen | exhaust/outbid | OK
313. ausschenken | serve drinks | OK
314. bedrängen | press hard | OK
315. benehmen | behave | OK
316. beunruhigen | worry | OK
317. brillieren | excel/shine | OK
318. duschen | have a shower/shower/take a shower | OK
319. haltmachen | halt | OK
320. loggen | log | OK
321. pilgern | go on a pilgrimage | OK
322. polieren | brush/polish/shine | OK
323. posieren | pose | OK
324. präzisieren | specify | OK
325. prophezeien | foretell/predict/prophesy | OK
326. rächen | avenge/cost dearly/pay the price | OK
327. residieren | reside | OK
328. sägen | cut/saw/serrate | OK
329. salzen | salt | OK
330. schimpfen | curse/launch into a tirade against/rant | OK
331. schmieren | bribe/lubricate/scrawl | OK
332. schwenken | wave | OK
333. übriglassen | leave over/leave remaining | OK
334. verdampfen | vaporise | OK
335. vereidigen | put under oath/swear an oath/take an oath | OK
336. verschlafen | oversleep | OK
337. verspeisen | eat | OK
338. verunglücken | fail/go wrong/have an accident | OK
339. verzeihen | excuse/forgive/pardon | OK
340. weiterlesen | continue reading | OK
341. winden | try to wriggle out/wind/wrest | OK
342. zusammenfallen | coincide/collapse | OK
343. abbringen | dissuade/remove | OK
344. abnutzen | abrade/get worn out/wear out | OK
345. abwerten | debase/devalue | OK
346. anheizen | fire/fuel/liven things up | OK
347. bangen | be afraid/be worried/fear | OK
348. bereiterklären | agree | OK
349. bestäuben | dust/pollinate/sprinkle | OK
350. dementieren | deny | OK
351. diktieren | dictate | OK
352. einzeichnen | enter/map/mark | OK
353. erkaufen | bribe/buy/pay | OK
354. erübrigen | become unnecessary/remain/spare | OK
355. flanieren | stroll | OK
356. frequentieren | frequent | OK
357. gefrieren | congeal/freeze | OK
358. haken | hook/stick | OK
359. harmonieren | get on well together/go well together/harmonise with | OK
360. herausschneiden | cut out/excise/resect | OK
361. hinrichten | execute | OK
362. inspizieren | check/examine/inspect | OK
363. korrelieren | correlate | OK
364. outen | come out of the closet/out | OK
365. relaxen | relax | OK
366. rentieren | pay off/be worthwhile | OK
367. schmerzen | ache/hurt/pain | OK
368. schweißen | weld | OK
369. tarnen | camouflage/disguise | OK
370. triumphieren | exult/gloat/triumph | OK
371. tropfen | drip/drop | OK
372. überbieten | one-up | OK
373. umkehren | return | OK
374. verbreitern | broaden/get wider/widen | OK
375. vereinheitlichen | standardise/unify | OK
376. verleben | spend/use up | OK
377. verrutschen | slip | OK
378. verschrauben | screw | OK
379. verunreinigen | contaminate/dirty/pollute | OK
380. voraussagen | forecast/predict/prognosticate | OK
381. vorwegnehmen | anticipate | OK
382. weiterverkaufen | resell | OK
383. wittern | scent/sense/smell | OK
384. zittern | shiver/tremble | OK
385. zurückverfolgen | dereference/retrace/trace back | OK
386. abbrennen | burn down/burn off | OK
387. abdrehen | turn off/twist off | OK
388. abhelfen | remedy | OK
389. abhören | eavesdrop/listen in; auscultate | OK
390. abrücken | dissociate/march off/move away | OK
391. abstoßen | repel | OK
392. anheuern | engage/hire/sign on | OK
393. aufforsten | afforest | OK
394. aufleuchten | brighten up/flash/light up | OK
395. ausgraben | dig out/dig up | OK
396. aussäen | sow | OK
397. betten | bed | OK
398. durchleben | experience/go through/live through | OK
399. durchstehen | get through/stand/withstand | OK
400. einnisten | implant/nest/settle down | OK
401. einschieben | insert/slide in | OK
402. einschüchtern | intimidate | OK
403. einschulen | enrol or enroll at school/instruct/send to school | OK
404. enteignen | dispossess/expropriate | OK
405. erwidern | reciprocate/reply | OK
406. fußen | be based on/be based upon/rest on | OK
407. habilitieren | be promoted to professor/habilitate/qualify as professor | OK
408. harmonisieren | harmonise | OK
409. hergehen | go/walk | OK
410. herunterfahren | shut down/turn off | OK
411. innehalten | pause/stop for a moment | OK
412. korrespondieren | correspond | OK
413. misshandeln | maltreat/mistreat | OK
414. nachschlagen | consult/look up | OK
415. niederschreiben | record/set down/write down | OK
416. pochen | beat/insist/pound | OK
417. polarisieren | polarise | OK
418. quantifizieren | quantify | OK
419. reklamieren | complain | OK
420. rotieren | go like crazy/gyrate/revolve | OK
421. rütteln | shake/jolt | OK
422. sausen | speed/whistle | OK
423. scheren | care/mind/shear | OK
424. schminken | make up | OK
425. stillstehen | stand still | OK
426. twittern | tweet/twitter | OK
427. überschwemmen | deluge/drown/flood | OK
428. umschließen | enclose/include | OK
429. unterkommen | stay | OK
430. unterrühren | mix in/stir | OK
431. verachten | despise | OK
432. verblassen | fade | OK
433. verdächtigen | suspect | OK
434. vergewaltigen | rape | OK
435. vollstrecken | execute/terminate | OK
436. voranstellen | add as a prefix/prefix | OK
437. zurückfallen | drop back/fall behind/reflect on somebody | OK
438. zusammenrechnen | add up/tot up | OK
439. ablichten | photocopy/take a photo | OK
440. abstrahlen | emit/influence/radiate | OK
441. abtasten | frisk/palpate/scan | OK
442. abwaschen | wash off/wash up | OK
443. abwischen | wipe off/wipe up | OK
444. akkreditieren | accredit | OK
445. anspielen | allude/insinuate | OK
446. anspornen | encourage | OK
447. aufhellen | be cleared up/become clear/brighten up | OK
448. aufsaugen | soak up/absorb | OK
449. auslöschen | eliminate/erase/extinguish | OK
450. ausschlafen | sleep in/sleep off | OK
451. beerdigen | bury | OK
452. bügeln | iron | OK
453. coachen | coach | OK
454. desinfizieren | disinfect | OK
455. dünsten | steam/stew | OK
456. durchstreifen | prowl/through/wander | OK
457. einkochen | boil down | OK
458. einlaufen | enter port/mould/shrink | OK
459. einsprechen | record/speak into; urge | OK
460. einstürzen | collapse | OK
461. emittieren | emit/issue | OK
462. entgegensehen | await/face/look at | OK
463. erstarren | stiffen/freeze | OK
464. eruieren | elicit/find out/investigate | OK
465. implantieren | implant | OK
466. inserieren | advertise | OK
467. langweilen | bore | OK
468. nachladen | recharge/reload | OK
469. nähren | feed/nourish | OK
470. reaktivieren | reactivate/recall | OK
471. schocken | shock | OK
472. schütten | bucket/pour | OK
473. straffen | tighten/streamline | OK
474. summen | hum | OK
475. umfahren | bypass/drive round/round | OK
476. vergraben | bury | OK
477. verhungern | famish/starve | OK
478. verströmen | exude | OK
479. vertun | be mistaken/busy/make a mistake | OK
480. vorhersehen | anticipate/foresee | OK
481. wiederkehren | go back | OK
482. zerreißen | rip up/tear/tear up | OK
483. zollen | pay | OK
484. zucken | twitch/wince | OK
485. zurückerobern | reconquer | OK
486. zusteuern | head for | OK
487. abbezahlen | pay off | OK
488. abfassen | bust/catch in the act/compose | OK
489. abhaken | check off/consider done/put something behind one | OK
490. absperren | close off/lock/lock up | OK
491. abspülen | wash | OK
492. abstauben | dust/dust off/scold | OK
493. abtun | brush aside/dismiss/take off | OK
494. anfliegen | approach/befall/fly against | OK
495. anprobieren | try | OK
496. anschalten | switch on | OK
497. anwerben | recruit | OK
498. aufschrecken | jolt/startle | OK
499. ausharren | abide/hold out/patiently | OK
500. ausmessen | measure | OK
501. ausprägen | develop/express/mint | OK
502. ausspionieren | spy on | OK
503. ausstrecken | stretch out | OK
504. balancieren | balance | OK
505. beharren | insist | OK
506. betiteln | call/entitle | OK
507. draufhaben | be a dab hand at/have something down pat/to be good at | OK
508. einhängen | hang up/link arms/mount | OK
509. entgegnen | answer/counter/reply | OK
510. entkoppeln | decouple/uncouple | OK
511. fischen | fish | OK
512. flirten | coquet/flirt | OK
513. fluten | flood/flow/pour | OK
514. gewichten | weight | OK
515. hadern | quarrel with | OK
516. hinkommen | fit/manage/reach | OK
517. hinsetzen | put down/sit down | OK
518. hüllen | cover/wrap | OK
519. injizieren | inject | OK
520. klaffen | gape/yawn | OK
521. klatschen | backbite/clap/gossip | OK
522. mustern | scrutinise | OK
523. neutralisieren | neutralise | OK
524. sanktionieren | sanction | OK
525. sprudeln | bubble/gush/sparkle | OK
526. tangieren | bother/touch | OK
527. tracken | track | OK
528. traumatisieren | traumatise | OK
529. umsiedeln | resettle | OK
530. verblüffen | amaze/astound/baffle | OK
531. versöhnen | reconcile/resign | OK
532. vertagen | adjourn/delay/postpone | OK
533. verwischen | blur/cover up/obscure | OK
534. verwüsten | devastate | OK
535. verziehen | disappear/distort/warp | OK
536. verzinsen | bear interest/pay interest | OK
537. votieren | vote | OK
538. wähnen | imagine | OK
539. wegschmeißen | be in stitches/crack up/discard | OK
540. wiederhaben | back/got/have | OK
541. zerren | drag/rip up/strain | OK
542. zirkulieren | circulate | OK
543. zurückdrängen | push back/repel | OK
544. abdichten | seal/waterproof | OK
545. abkaufen | buy/buy into | OK
546. abreisen | depart/leave | OK
547. abspringen | abandon/back out/chip off | OK
548. abstrahieren | abstract | OK
549. abstützen | support/brace | OK
550. abtrocknen | dry/dry off/dry up | OK
551. abwählen | deselect/drop/vote out | OK
552. assistieren | assist | OK
553. aushebeln | lever | OK
554. aushöhlen | hollow out/undermine | OK
555. ausklammern | exclude/factor out | OK
556. berichtigen | correct | OK
557. beschwören | conjure/implore/swear | OK
558. bezaubern | enchant/fascinate | OK
559. blinken | flash | OK
560. detektieren | detect | OK
561. einbürgern | naturalise | OK
562. einpreisen | determine the price structure/set the prices | OK
563. einschleusen | infiltrate (into)/smuggle in | OK
564. fristen | keep alive/sustain | OK
565. hantieren | be busy with/handle | OK
566. hospitieren | sit in on classes/sit in on lectures | OK
567. jammern | lament/moan/wail | OK
568. joggen | jog | OK
569. katapultieren | catapult | OK
570. klammern | bracket/cling | OK
571. kneten | knead | OK
572. konterkarieren | foil/go against/thwart | OK
573. mailen | mail | OK
574. missverstehen | misapprehend/misunderstand | OK
575. nötigen | compel/force | OK
576. pflücken | pick/pluck | OK
577. präparieren | prepare | OK
578. preisen | glorify/laud/praise | OK
579. rasieren | shave | OK
580. schneien | snow | OK
581. schwelgen | revel in/indulge | OK
582. starren | be covered/stare | OK
583. stinken | stink | OK
584. überfliegen | fly over/glance over/skim | OK
585. überlaufen | overflow | OK
586. umhüllen | coat/cover/encase | OK
587. umkrempeln | roll up/turn inside out | OK
588. verbeamten | give the status of civil servant | OK
589. vergnügen | please | OK
590. vertonen | add sound/set something to music | OK
591. verzweifeln | despair | OK
592. wälzen | browse/handle/roll | OK
593. weggehen | disappear/go away/leave | OK
594. wirbeln | swirl | OK
595. wuchern | grow/profiteer/proliferate | OK
596. wüten | rage | OK
597. zerschneiden | cut/cut up/slice | OK
598. zersetzen | corrode/decompose/subvert | OK
599. abstammen | descend | OK
600. ankämpfen | battle | OK
601. anzweifeln | doubt/question | OK
602. aufbieten | mobilise/muster/summon | OK
603. auferstehen | rise/rise from the dead | OK
604. autorisieren | authorise | OK
605. befehlen | command/order | OK
606. benoten | grade | OK
607. betäuben | benumb/numb | OK
608. bloggen | blog | OK
609. buhlen | court/have a love affair/suck up | OK
610. designen | design | OK
611. durchgreifen | crack down | OK
612. durchlassen | leak/let get away someone/let off somebody | OK
613. einengen | concentrate/narrow | OK
614. einreden | delude/talk into | OK
615. einwandern | immigrate | OK
616. emigrieren | emigrate | OK
617. entwerten | devalue/cancel a ticket | OK
618. ertappen | catch/catch oneself | OK
619. flechten | plait/weave/wreathe | OK
620. freisprechen | exculpate | OK
621. gipfeln | culminate/peak/top | OK
622. herausragen | protrude/stand out | OK
623. herrühren | arise/stem | OK
624. herunterfallen | fall | OK
625. hervortun | excel | OK
626. heulen | bawl/blubber/hoot | OK
627. hocken | lounge around/sit down/squat | OK
628. kastrieren | castrate | OK
629. keimen | germinate/pullulate/sprout | OK
630. kontern | counter | OK
631. konzertieren | concert/give a concert | OK
632. krabbeln | crawl | OK
633. manövrieren | manoeuvre | OK
634. massieren | massage | OK
635. mutieren | crack/mutate | OK
636. nachspüren | track | OK
637. pflastern | pave | OK
638. polstern | cushion | OK
639. quatschen | babble/blab/blather | OK
640. rudern | row | OK
641. schockieren | shock | OK
642. stranden | founder/run aground/strand | OK
643. tasten | fumble/grope | OK
644. terminieren | schedule/time | OK
645. trommeln | bang/beat/drum | OK
646. turnen | do gymnastics | OK
647. verbünden | ally | OK
648. verdünnen | dilute/rarefy | OK
649. verengen | constrict | OK
650. verkommen | be wasted/decay/go bad | OK
651. verriegeln | bolt | OK
652. verscheiden | pass away | OK
653. wettern | fulminate/storm/thunder | OK
654. wimmeln | teem | OK
655. zudecken | cover | OK
656. zufließen | accrue/flow into/flow to | OK
657. aberkennen | deprive | OK
658. abschießen | fire/get drunk/oust | OK
659. abschleppen | tow | OK
660. abstempeln | brand/peg/stamp | OK
661. amüsieren | amuse/entertain | OK
662. andocken | dock | OK
663. ausatmen | breathe out/draw one's last breath/exhale | OK
664. auslosen | draw lots | OK
665. auswaschen | erode/rinse/rinse out | OK
666. einfüllen | fill | OK
667. einreiben | coat/rub in | OK
668. einwickeln | envelop/fool/hoodwink | OK
669. emulieren | emulate | OK
670. entbehren | be without/do without/go without | OK
671. entkernen | pit | OK
672. enttarnen | expose/reveal/unmask | OK
673. erdenken | devise/excogitate/think up | OK
674. fernsehen | watch TV | OK
675. fiebern | have a fever | OK
676. flüstern | susurrate/whisper | OK
677. fortpflanzen | procreate | OK
678. glühen | glow | OK
679. gutheißen | approve | OK
680. imitieren | copy/fake/imitate | OK
681. kuratieren | curate | OK
682. leasen | lease | OK
683. mausern | moult | OK
684. mitfinanzieren | cofinance | OK
685. mitschwingen | contain/resonate | OK
686. modulieren | modulate | OK
687. paddeln | canoe/paddle | OK
688. postulieren | posit/postulate | OK
689. pulsieren | circulate/pulsate/pulse | OK
690. reinfallen | fall for it | OK
691. rühmen | praise | OK
692. schränken | restrict | OK
693. stempeln | stamp | OK
694. strapazieren | get on somebody's nerves/strain/stress | OK
695. tätowieren | tattoo | OK
696. überladen | overload | OK
697. umstrukturieren | restructure | OK
698. verenden | die/perish | OK
699. verfangen | get caught/succeed/work | OK
700. verspäten | be late | OK
701. verstauben | gather dust/get dusty | OK
702. wägen | ponder/weigh | OK
703. wiederverwerten | reutilise | OK
704. zücken | pull out/whip out | OK
705. zufallen | close/devolve/fall | OK
706. zusammenzählen | add up/reckon up/sum up | OK
707. zutragen | befall | OK
708. abladen | unload | OK
709. abschauen | copy/peek | OK
710. abwälzen | pass on/pass the buck/roll away | OK
711. amortisieren | amortise/pay itself off | OK
712. anfeuern | cheer/fuel/light | OK
713. anfressen | build up/erode/nibble at | OK
714. anlasten | blame/saddle | OK
715. anstimmen | intone | OK
716. aufdrucken | imprint | OK
717. aufgießen | add water/make/pour in | OK
718. aufklappen | fold back/open/open up | OK
719. aufstecken | put on | OK
720. aufwecken | awake/wake up | OK
721. austreiben | cure/drive out/exorcise | OK
722. auswerfen | cough up/produce | OK
723. beladen | load | OK
724. beneiden | envy | OK
725. betteln | beg | OK
726. bombardieren | bomb/bombard/pelt | OK
727. deponieren | deposit | OK
728. düngen | fertilize/manure | OK
729. eingraben | bury | OK
730. entmutigen | discourage | OK
731. festsitzen | get stuck | OK
732. hinhalten | hold out/stall | OK
733. inhalieren | inhale | OK
734. instrumentalisieren | exploit | OK
735. kappen | cut/sever | OK
736. legalisieren | legalise | OK
737. liebäugeln | fancy/ogle | OK
738. lizenzieren | licence | OK
739. nachhaken | dig deeper | OK
740. philosophieren | philosophise | OK
741. promoten | promote | OK
742. pusten | blow/puff | OK
743. quetschen | bruise/crush/squeeze | OK
744. rammen | ram | OK
745. reglementieren | regularise/regulate | OK
746. revidieren | correct/revise | OK
747. schichten | layer | OK
748. schnitzen | carve/whittle | OK
749. sondieren | probe/sound | OK
750. subventionieren | subsidise | OK
751. suspendieren | suspend | OK
752. trimmen | clip/trim | OK
753. übergießen | dash/douse/spill | OK
754. überschatten | overshadow | OK
755. umkommen | get killed/perish | OK
756. untergraben | erode/undermine | OK
757. untertauchen | submerge | OK
758. uraufführen | premiere | OK
759. verpachten | lease/let | OK
760. vorfahren | drive ahead/drive up | OK
761. wegfahren | drive away/leave | OK
762. wölben | arch/bulge/camber | OK
763. zentralisieren | centralise | OK
764. zusammensuchen | gather up | OK
765. abberufen | recall/relieve from office | OK
766. abfertigen | dispatch | OK
767. abschotten | encapsulate/seal off | OK
768. abzahlen | pay in installments/pay in instalments/pay off | OK
769. akzentuieren | accentuate | OK
770. anbrennen | burn/kindle/light | OK
771. anhaften | adhere/stick to | OK
772. anklopfen | approach/knock/touch | OK
773. auflassen | close down/convey away/keep open | OK
774. aufreihen | line up/put things in a row/thread | OK
775. aufstoßen | belch/bump open/burp | OK
776. aufzwingen | force upon | OK
777. ausbessern | mend | OK
778. ausbrüten | brood/concoct/hatch | OK
779. ausreißen | tear out | OK
780. befruchten | fertilise | OK
781. beieinanderliegen | lie together | OK
782. berauben | deprive/rob | OK
783. beträufeln | sprinkle | OK
784. bluten | bleed | OK
785. bröckeln | break/crumble/disappear | OK
786. deckeln | cap/put a lid on | OK
787. diffamieren | defame/vilify | OK
788. diskreditieren | discredit | OK
789. disziplinieren | discipline | OK
790. einheimsen | reap | OK
