1. abfeuern | fire | OK
275. verknoten | become knotted/fasten with knots/knot | OK
276. verrotten | decompose/deteriorate/rot | OK
277. versauen | mess up/muck up/ruin | OK
278. verschlagworten | tag/index with keywords | OK
279. verstoffwechseln | metabolise | OK
280. vertilgen | eradicate/kill off/polish off | OK
281. vervielfachen | multiply | OK
282. vollführen | perform | OK
283. vorgaukeln | pretend | OK
284. wanken | falter | OK
285. wegwollen | go away/leave/want to go | OK
286. weiden | graze | OK
287. wühlen | rummage/dig | OK
288. zergehen | melt/dissolve | OK
289. zerstreiten | fall out/quarrel | OK
290. zerstreuen | disperse/scatter | OK
291. zischen | hiss | OK
292. zumessen | attribute/assign/measure out | OK
293. zuschütten | fill in/pour over | OK
294. zuwinken | beckon/wave to | OK
295. zweckentfremden | repurpose/use for a purpose not intended | OK
296. abfotografieren | take a photo | OK
297. abmessen | measure | OK
298. abspecken | lighten/slim | OK
299. ächzen | groan | OK
300. ängstigen | be afraid/frighten/worry | OK
301. anstiften | instigate | OK
302. anstreichen | paint/mark | OK
303. applizieren | administer/apply | OK
304. aufblähen | inflate/bloat | OK
305. aufgliedern | analyse/classify/split up | OK
306. aufschreien | cry out | OK
307. auseinanderhalten | to distinguish/to tell apart | OK
308. auseinandernehmen | take apart/tear apart | OK
309. auserkiesen | choose | OK
310. ausheilen | be cured/cure completely/heal | OK
311. auslaugen | exhaust | OK
312. ausmustern | decommission/discard | OK
313. ausreden | talk out of | OK
314. avisieren | notify/announce | OK
315. beben | tremble | OK
316. bedrücken | depress | OK
317. beipflichten | endorse | OK
318. bepacken | load up | OK
319. beringen | ring | OK
320. betonieren | concrete/firm up | OK
321. blamieren | disgrace/disgrace oneself/embarrass | OK
322. chauffieren | chauffeur/drive | OK
323. dichten | compose poetry/seal/write poetry | OK
324. donnern | thunder | OK
325. duplizieren | duplicate | OK
326. durchbrennen | bolt/elope/escape | OK
327. durchwühlen | ransack/rummage | OK
328. einbuchen | register | OK
329. einfädeln | thread; arrange/engineer | OK
330. einfetten | grease/lotion | OK
331. einschenken | pour in | OK
332. empören | be angered/be outraged/outrage | OK
333. entgiften | detoxicate/detoxify | OK
334. entmachten | disempower/remove from power | OK
335. erniedrigen | humiliate/degrade | OK
336. festkleben | stick/glue on | OK
337. filzen | felt/frisk | OK
338. fortdauern | continue/go on | OK
339. grundieren | prime | OK
340. hänseln | tease | OK
341. hasten | hurry/rush | OK
342. herausputzen | dress up/spruce up | OK
343. herunterbrechen | break down/fall off | OK
344. herunterkommen | come down; become run-down | OK
345. hinaufgehen | go up | OK
346. hinausschieben | postpone/push out/put off | OK
347. illuminieren | illuminate | OK
348. klimatisieren | air-condition/climatise | OK
349. knirschen | crunch/scrunch | OK
350. ködern | attract/bait | OK
351. kokettieren | flirt/play/toy | OK
352. kolorieren | colour/colourise | OK
353. kondensieren | condense/precipitate | OK
354. kränken | hurt one's feelings/offend | OK
355. krümmen | bend/crook | OK
356. malochen | drudge/graft/labour | OK
357. negieren | negate | OK
358. orchestrieren | orchestrate | OK
359. parieren | deflect/obey/parry | OK
360. pellen | peel | OK
361. pfeffern | chuck/fling/pepper | OK
362. proklamieren | proclaim | OK
363. rezipieren | absorb/receive | OK
364. rinnen | flow/leak/run | OK
365. rückerstatten | refund/reimburse | OK
366. schielen | squint | OK
367. schikanieren | bully | OK
368. schnallen | fasten/get | OK
369. schürfen | prospect/scrape | OK
370. schwirren | buzz/whir | OK
371. sickern | leak/ooze | OK
372. süßen | sweeten | OK
373. synthetisieren | synthesise | OK
374. tauen | thaw/melt | OK
375. terrorisieren | terrorise | OK
376. titulieren | address/call/entitle | OK
377. torpedieren | torpedo | OK
378. transkribieren | transcribe | OK
379. überbauen | overbuild | OK
380. überhöhen | exaggerate/elevate; bank (a road) | OK
381. überstrahlen | outshine/eclipse; flood with light | OK
382. überstürzen | hasten/rush | OK
383. ummünzen | convert | OK
384. umspinnen | weave around/envelop in threads | OK
385. umstimmen | bring someone round/change someone's mind/retune | OK
386. umwickeln | wrap | OK
387. unterschlagen | embezzle/suppress | OK
388. unterspülen | hollow out/undermine/wash away | OK
389. verflechten | interlace/intertwine/interweave | OK
390. vergesellschaften | socialize; collectivize | OK
391. vergießen | shed/spill | OK
392. verhallen | die away | OK
393. verheizen | burn/burn out/send to the slaughter | OK
394. verhüllen | cloak/cover/shroud | OK
395. verplanen | budget/miscalculate/plan | OK
396. verschmähen | scorn | OK
397. versilbern | silver-plate/turn into cash | OK
398. vertrösten | put off/fob off | OK
399. verunglimpfen | disparage | OK
400. verwaisen | be abandoned/be orphaned | OK
401. vollstopfen | cram/stuff/stuff oneself | OK
402. volltanken | fill up | OK
403. vorinformieren | inform in advance/pre-inform | OK
404. wegschauen | look away | OK
405. wegschicken | dismiss/dispatch/mail | OK
406. zentrieren | centre/focus | OK
407. abblocken | block | OK
408. abgewöhnen | give up | OK
409. absägen | saw off | OK
410. abstufen | grade/classify in levels | OK
411. abtippen | type | OK
412. abwinken | refuse/wave | OK
413. ächten | ostracise/outlaw/proscribe | OK
414. anblicken | glance at/look at | OK
415. aneinandergeraten | clash/come to blows/mix it up | OK
416. anleinen | leash/put on a lead/put on a leash | OK
417. anleuchten | shine on/illuminate | OK
418. anstauen | accumulate/bank/collect | OK
419. auditieren | audit/verify | OK
420. aufpäppeln | nurse back to health/build up | OK
421. aufragen | rise/tower | OK
422. aufschütten | heap up/backfill | OK
423. ausfragen | question/interrogate | OK
424. ausleiten | divert | OK
425. ausmerzen | eliminate/eradicate/extirpate | OK
426. auspflanzen | plant out | OK
427. ausschweigen | remain silent | OK
428. austüfteln | puzzle out/work out | OK
429. bändigen | tame | OK
430. beäugen | scrutinize/eye suspiciously | OK
431. beforschen | research | OK
432. begnadigen | commute/pardon/reprieve | OK
433. bekehren | bring over/convert/proselytise | OK
434. belagern | beleaguer/besiege/lay siege to | OK
435. benetzen | moisten | OK
436. bewalden | forest | OK
437. bewerfen | bombard/pelt | OK
438. buchstabieren | spell | OK
439. dahinschmelzen | melt away | OK
440. dahinterstehen | be behind it | OK
441. davonlaufen | run away | OK
442. deklinieren | decline | OK
443. demokratisieren | democratise | OK
444. demotivieren | demotivate | OK
445. denunzieren | denounce/denunciate | OK
446. dezimieren | decimate | OK
447. domestizieren | domesticate | OK
448. drangsalieren | torment | OK
449. durchdenken | think through | OK
450. durcheinandergeraten | get mixed up | OK
451. eingießen | cast/pour | OK
452. einkleiden | dress/outfit | OK
453. einknicken | buckle | OK
454. einrennen | knock down/force open; run in | OK
455. einschärfen | impress/inculcate | OK
456. entschlacken | purge/purify | OK
457. entwöhnen | wean | OK
458. entwurzeln | uproot | OK
459. erden | earth/ground | OK
460. erfrieren | die of exposure/freeze to death | OK
461. ergötzen | amuse/enjoy/entertain | OK
462. erhängen | hang | OK
463. erlegen | bag/kill/shoot | OK
464. ersinnen | imagine/invent | OK
465. erstreben | aim for/strive after/strive for | OK
466. erwählen | elect | OK
467. flackern | flicker | OK
468. floppen | flop | OK
469. fortgehen | go away/leave | OK
470. frankieren | frank/stamp | OK
471. gegenlesen | proofread/check | OK
472. gegenübersitzen | sit opposite/sit facing | OK
473. geißeln | castigate/flagellate/scourge | OK
474. genesen | recover | OK
475. gerben | tan | OK
476. horten | hoard/stockpile | OK
477. initialisieren | initialise | OK
478. internationalisieren | internationalise | OK
479. kapseln | case/encase/enclose | OK
480. kauern | be huddled somewhere/crouch | OK
481. kiffen | smoke pot | OK
482. knobeln | ponder | OK
483. knoten | knot | OK
484. knurren | growl/rumble | OK
485. konturieren | outline | OK
486. kumulieren | cumulate | OK
487. laminieren | laminate | OK
488. lodern | blaze/blaze up | OK
489. losen | draw lots | OK
490. mästen | batten/cram/fatten | OK
491. misslingen | fail | OK
492. misstrauen | distrust/doubt/mistrust | OK
493. munkeln | whisper/be rumored | OK
494. murmeln | mumble/play marbles | OK
495. niederreißen | tear down | OK
496. niederschießen | gun down/shoot down/swoop down | OK
497. niesen | sneeze | OK
498. nisten | nest | OK
499. patchen | patch | OK
500. pflügen | plough | OK
501. picken | peck/pick | OK
502. pimpen | pimp | OK
503. protzen | show off/splurge | OK
504. punktieren | dot/puncture | OK
505. randomisieren | randomise | OK
506. raufen | scuffle/fight/tussle | OK
507. rausfliegen | be kicked out/fly out | OK
508. reinziehen | check out/pull in | OK
509. remisieren | draw | OK
510. retuschieren | retouch | OK
511. röten | become red/make red/redden | OK
512. schliefen | crawl into a burrow (hunting) | OK
513. schmuggeln | smuggle | OK
514. schwärzen | blacken | OK
515. sezieren | dissect | OK
516. sinnieren | ponder | OK
517. skandieren | chant | OK
518. spitzen | sharpen; prick up | OK
519. stigmatisieren | brand/stigmatise | OK
520. stottern | stutter/stammer | OK
521. stülpen | evert/pull over | OK
522. taxieren | assess/estimate/look somebody up and down | OK
523. touchieren | touch/graze | OK
524. trachten | strive | OK
525. tränken | soak/water | OK
526. träufeln | drip/trickle | OK
527. tunken | dip | OK
528. überrumpeln | take by surprise | OK
529. übertrumpfen | one-up/outdo/overtrump | OK
530. überwachsen | grow all over/overgrow | OK
531. umherstreifen | roam | OK
532. umklammern | clutch onto/hold tight onto | OK
533. untersetzen | place underneath/underpin | OK
534. untervermieten | sublease/sublet | OK
535. vegetieren | vegetate | OK
536. verabscheuen | abhor/detest | OK
537. verarschen | fool/taunt/trick | OK
538. verbriefen | document/guarantee | OK
539. vereisen | freeze/freeze over/freeze up | OK
540. verlocken | entice/tempt | OK
541. vermasseln | mess up/fuck up (colloquial) | OK
542. verprellen | alienate/scare off | OK
543. verschrotten | scrap | OK
544. verschweißen | weld together | OK
545. verstimmen | upset/annoy; detune | OK
546. verwarnen | book/caution/warn | OK
547. verzagen | despair/lose heart | OK
548. vorgreifen | anticipate | OK
549. wegbrechen | break off/lose | OK
550. wegbringen | take away | OK
551. wegwischen | wipe off | OK
552. wildern | poach | OK
553. wurzeln | be rooted/root | OK
554. zähmen | tame | OK
555. zersägen | saw up | OK
556. zubringen | spend/pass time | OK
557. zufahren | drive toward/head for | OK
558. zügeln | rein in/restrain | OK
559. zurechtlegen | lay out/prepare | OK
560. zurechtschneiden | crop/cut | OK
561. zurückstehen | stand back | OK
562. zusammenschneiden | splice | OK
563. zusammenschrauben | screw together/assemble | OK
564. zusammentrommeln | rally/round up | OK
565. zweiteilen | bisect/split in two | OK
566. abdriften | drift | OK
567. abdunkeln | black out/darken/dim | OK
568. abfliegen | depart/overfly/patrol | OK
569. abhandeln | beat down the price/deal with | OK
570. abheften | file/file away | OK
571. abklemmen | disconnect/pinch off | OK
572. abnicken | agree | OK
573. abpacken | pack/package | OK
574. abrichten | train | OK
575. abschrauben | unscrew | OK
576. abwiegeln | appease | OK
577. abwürgen | crush/quash/stall | OK
578. akklimatisieren | acclimate (to)/acclimatise (to), be/become acclimatised (to) | OK
579. amtieren | hold office/officiate | OK
580. andrehen | turn on; palm off/sell | OK
581. anflehen | beg/beseech/implore | OK
582. anlügen | to lie to somebody | OK
583. anreden | address | OK
584. anwärmen | warm up | OK
585. aromatisieren | aromatise/flavour | OK
586. aufbekommen | get open; be assigned | OK
587. aufblicken | look up | OK
588. auferwecken | resurrect/awaken | OK
589. auflauern | ambush | OK
590. auflesen | catch/pick up | OK
591. aufschäumen | foam up | OK
592. aufsehen | look up | OK
593. aufsitzen | sit up; mount; be taken in | OK
594. aufsparen | put aside | OK
595. auftischen | dish up/serve | OK
596. auftrennen | rip open/undo/unravel | OK
597. auschecken | check out | OK
598. auseinanderziehen | move out/pull apart/pull open | OK
599. auskurieren | cure/heal/recover | OK
600. ausquetschen | squeeze out; grill/question closely | OK
601. aussitzen | ride out | OK
602. ausstreuen | scatter/sprinkle | OK
603. austrinken | drink up | OK
604. auswischen | clean out/wipe out | OK
605. begrünen | plant greenery/green | OK
606. bereden | converse/discuss/persuade | OK
607. beschlagen | fog up/shoe/steam up | OK
608. besticken | embroider | OK
609. bevormunden | act as guardian/domineer/patronise | OK
610. bewehren | reinforce/arm | OK
611. blanchieren | blanch | OK
612. borgen | borrow/lend | OK
613. boykottieren | boycott | OK
614. brandmarken | brand/denounce/stigmatise | OK
615. browsen | browse | OK
616. brutzeln | sizzle | OK
617. büffeln | swot | OK
618. chartern | affreight/charter | OK
619. cruisen | cruise | OK
620. dalassen | leave behind/leave there | OK
621. dichthalten | keep mum/keep one’s mouth shut | OK
622. dreschen | thresh | OK
623. durchscheinen | shine through | OK
624. durchspülen | flush/rinse thoroughly | OK
625. durchstellen | put through | OK
626. durchstreichen | cancel/cross out/scratch out | OK
627. durchwinken | wave through | OK
628. durchzählen | count through/count off | OK
629. eichen | calibrate | OK
630. einäschern | cremate | OK
631. eintüten | bag | OK
632. entarten | degrade | OK
633. entern | board | OK
634. entflammen | inflame | OK
635. entgleisen | derail | OK
636. entlehnen | borrow | OK
637. entschwinden | disappear/vanish | OK
638. ergaunern | obtain by fraud/swindle | OK
639. erhören | grant | OK
640. ermüden | tyre | OK
641. erspähen | catch sight of/espy/spot | OK
642. exmatrikulieren | take one's name off the university register/take someone's name off the university register | OK
643. federn | be elastic/be flexible/be springy | OK
644. frittieren | deep-fry | OK
645. glasieren | glaze | OK
646. grassieren | be rife/run rampant | OK
647. gravieren | engrave | OK
648. grummeln | grumble | OK
649. häkeln | crochet | OK
650. harren | await/wait for | OK
651. häuten | molt/moult/skin | OK
652. heranschaffen | bring in/procure | OK
653. heraufkommen | come up | OK
654. herauslassen | leave out/let out | OK
655. herfallen | attack | OK
656. hervorragen | protrude/stand out | OK
657. hineintragen | bring in/carry in | OK
658. hinuntergehen | decrease/go down/lead down | OK
659. hochgehen | blow up/climb up/go up | OK
660. huschen | flit/scamper/scurry | OK
661. imponieren | impress | OK
662. klonen | clone | OK
663. kneifen | pinch; chicken out | OK
664. knien | kneel | OK
665. krallen | clamp/cling/snatch | OK
666. krankschreiben | put on sick leave | OK
667. kreuzigen | crucify/nail to the cross | OK
668. loslaufen | start running/set off | OK
669. mappen | map | OK
670. melken | milk | OK
671. missfallen | displease | OK
672. mitfühlen | sympathise | OK
673. mitrechnen | include | OK
674. mitverdienen | be earning as well | OK
675. nachhängen | dwell on; lag behind | OK
676. observieren | observe | OK
677. panieren | bread/coat with breadcrumbs/crumb | OK
678. parodieren | parody | OK
679. patrouillieren | patrol | OK
680. pensionieren | pension off/retire | OK
681. pfänden | seize | OK
682. potenzieren | raise to the power | OK
683. preschen | dash/run/rush | OK
684. reimen | rhyme | OK
685. reorganisieren | reorganise | OK
686. rupfen | pluck | OK
687. satteln | saddle | OK
688. scharren | scratch/paw at | OK
689. scheppern | clatter/rattle | OK
690. schimmeln | mildew/mould | OK
691. schnorcheln | snorkel | OK
692. schönen | embellish/doctor | OK
693. schreddern | shred | OK
694. schuppen | shed | OK
695. segmentieren | segment | OK
696. spionieren | spy | OK
697. spotten | mock/scoff | OK
698. spreizen | spread | OK
699. stapfen | plod/tramp/trudge | OK
700. strampeln | cycle/kick/pedal | OK
701. stunden | defer/postpone payment | OK
702. subsumieren | subsume | OK
703. tabuisieren | make taboo/taboo something | OK
704. tingeln | tour/gig around | OK
705. totschlagen | beat to death | OK
706. türmen | pile up; run away (colloquial) | OK
707. überlesen | glance through/miss/overlook | OK
708. überstreichen | paint over/varnish over | OK
709. umändern | alter | OK
710. unterschieben | foist/plant | OK
711. unterwandern | infiltrate | OK
712. verdunkeln | darken | OK
713. verfaulen | rot | OK
714. vergolden | gild/gold-plate/reward | OK
715. verhaken | get caught/hook together | OK
716. verherrlichen | exalt/extol/glorify | OK
717. verjagen | chase away | OK
718. verklemmen | get stuck/jam | OK
719. verknallen | fall in love | OK
720. verkrampfen | cramp | OK
721. verpfänden | mortgage/pawn | OK
722. verrenken | dislocate/sprain/twist | OK
723. versalzen | spoil | OK
724. verschanzen | entrench | OK
725. verschleißen | sell/wear out | OK
726. verschnaufen | catch one's breath | OK
727. versteifen | harden/stiffen | OK
728. verstören | disturb/shock | OK
729. verstümmeln | mutilate | OK
730. vertikutieren | scarify (a lawn) | OK
731. verzinken | galvanize/zinc-coat | OK
732. verzocken | gamble away | OK
733. vorauseilen | hurry ahead | OK
734. vorbeireden | talk past each other | OK
735. vorknöpfen | take to task | OK
736. weben | weave | OK
737. wedeln | waft/wag/wave | OK
738. wegsehen | disregard/look away/overlook | OK
739. wuchten | heave/balance | OK
740. zapfen | tap | OK
741. zersplittern | dissipate/fragment/shatter | OK
742. zündeln | play with fire | OK
743. zurechtweisen | rebuke/reprimand/scold | OK
744. zurückstecken | back down | OK
745. zwicken | pinch | OK
746. abbürsten | brush down/brush off | OK
747. abchecken | check/check out/examine | OK
748. abfackeln | burn down/burn off/flare | OK
749. abfärben | rub off/run/stain | OK
750. abknicken | break/snap | OK
751. abkupfern | copy/plagiarise | OK
752. abschälen | exfoliate/peel/peel off | OK
753. abschlachten | slaughter | OK
754. abschminken | remove make up | OK
755. abschrägen | bevel/slant/slope | OK
756. abschwören | abjure/renounce | OK
757. abseihen | filter/sieve | OK
758. abseilen | abseil/rope down | OK
759. absondern | separate/secrete/excrete | OK
760. agitieren | agitate/stir up | OK
761. anbeten | adore/idolise/worship | OK
762. andicken | thicken | OK
763. anlagern | attach/deposit/accumulate | OK
764. anmessen | fit/measure | OK
765. annektieren | annex | OK
766. antragen | offer | OK
767. anzetteln | instigate/provoke | OK
768. approximieren | approximate | OK
769. ätzen | etch | OK
770. aufbleiben | stay open/stay up | OK
771. aufhetzen | agitate/incite/stir up | OK
772. aufpumpen | pump up | OK
773. aufreiben | beat/chafe/exhaust | OK
774. aufstemmen | prise/prop up/pry | OK
775. aufwickeln | wrap | OK
776. aushecken | cook up/hatch | OK
777. bagatellisieren | belittle/minimise | OK
778. behagen | please/appeal to | OK
779. beisammenhaben | have together/have collected | OK
780. beschmutzen | besmirch/make dirty/soil | OK
781. betrauern | grieve | OK
782. bewaffnen | arm | OK
783. bibbern | shiver/tremble | OK
784. blinzeln | blink/squint | OK
785. blödeln | daff/fool around/talk nonsense | OK
786. blubbern | bubble | OK
787. brausen | race/roar/rush | OK
788. bunkern | stash/stockpile | OK
789. büßen | atone/expiate/make amends for | OK
790. campen | camp/hang | OK
791. changieren | iridesce/shimmer | OK
792. covern | cover | OK
793. determinieren | determine | OK
794. dösen | doze | OK
795. dramatisieren | dramatise | OK
