1. prozessieren | litigate/process/sue | OK
248. nachempfinden | empathise with/understand emotionally | OK
249. weiterempfehlen | recommend to others/pass on a recommendation | OK
250. zusammenhalten | stick together/hold together | OK
251. herumprobieren | try things out/experiment around | OK
252. vorweisen | show/present/produce | OK
253. zujubeln | cheer for/acclaim | OK
254. schwerfallen | be difficult for someone | OK
255. sehnen | long/yearn | OK
256. trödeln | dawdle/waste time | OK
257. hingehören | belong (in a place/context) | OK
258. bedanken | thank/express thanks | OK
259. einhaken | hook in; interject/follow up | OK
260. wegklicken | click away/close by clicking | OK
261. hinauflaufen | run/walk up | OK
262. hinunterlaufen | run/walk down | OK
263. reinhören | listen in/sample briefly | OK
264. weiterschlafen | continue sleeping/go back to sleep | OK
265. zusammenlegen | combine/merge/put together | OK
266. hinzukommen | be added/join in | OK
267. weggeben | give away | OK
268. wegtun | put away/remove | OK
269. zwischenlagern | store temporarily | OK
270. draufgehen | be used up/break/die (colloquial) | OK
271. leichtfallen | be easy for someone | OK
272. weitergehen | continue/carry on | OK
273. herumliegen | lie around (colloquial pejorative) | OK
274. ausräumen | clear out/empty | OK
275. zusammenwohnen | live together | OK
276. nachschauen | check/look up | OK
277. herumlaufen | run/walk around | OK
278. dazusetzen | sit down (next to)/join | OK
279. dazustellen | place oneself next to/join | OK
280. vertiefen | deepen/explore further | OK
281. hinausschießen | overshoot/shoot beyond | OK
282. beruhen | be based on | OK
283. bewirtschaften | manage/farm/cultivate | OK
284. übrigbleiben | be left over/remain | OK
285. widerfahren | happen/befall | OK
286. gleichsetzen | equate (with) | OK
287. hämmern | hammer/pound | OK
288. entfahren | slip out/escape (of utterance) | OK
289. heranführen | introduce/bring closer to | OK
290. aneignen | acquire/learn (reflexive) | OK
291. zutreffen | apply/be true (of) | OK
292. verfahren | lose one's way (reflexive); proceed | OK
293. surren | whirr/buzz | OK
294. anpflanzen | plant/grow | OK
295. bestreichen | spread/coat | OK
296. einpinseln | brush/coat (with a brush) | OK
297. abschmecken | season to taste | OK
298. aufstocken | increase/top up | OK
299. zirpen | chirp | OK
300. schwernehmen | take to heart/take hard | OK
301. zuschieben | push (towards); pin (blame) on | OK
302. hinwegsehen | overlook/look past | OK
303. hereinstecken | stick in/put in | OK
304. regnen | rain | OK
305. beeilen | hurry (reflexive) | OK
306. parkieren | park (Swiss) | OK
307. grillieren | grill (Swiss) | OK
308. hageln | hail (weather) | OK
309. faxen | fax | OK
310. missverstanden | misunderstand | OK
311. eingegangen | be received/go in/arrive | OK
312. fernliegen | be remote/be far-fetched | OK
313. gekommen | come | OK
314. inmitten | amid/in the middle of | OK
315. weitergegangen | continue/carry on | OK
316. zerrissen | tear apart | OK
317. zusammengebunden | tie together | OK
318. wahrgenommen | perceive/notice | OK
319. herumschlagen | struggle around | OK
320. schwergefallen | be difficult for someone | OK
321. umgegangen | handle/deal with/go around | OK
322. draufhauen | hit/hit hard | OK
323. touren | tour | OK
324. zusammengehören | belong together | OK
325. hinhören | listen | OK
326. dahergekommen | come along | OK
327. phrasieren | phrase | OK
328. gewittern | thunderstorm/be stormy | OK
329. nieseln | drizzle | OK
330. ausgegangen | go out | OK
331. besagen | say | OK
332. eingestanden | admit | OK
333. nahegelegen | be nearby/be close | OK
334. anbringen | attach | OK
335. vorleben | set an example | OK
336. weitergegeben | pass on | OK
337. dermaßen | so/to such an extent | OK
338. ausgeschlafen | sleep in/get enough sleep | OK
339. durcharbeiten | work through | OK
340. verpennen | oversleep | OK
341. vergewissern | make sure | OK
342. verwählen | dial a wrong number | OK
343. dran | on it/one's turn | OK
344. entgegengesehen | look forward to | OK
345. ungeschlagen | unbeaten | OK
346. runterfallen | fall off | OK
347. ausrauben | rob | OK
348. erfolgen | take place | OK
349. vorausgegangen | precede/go before | OK
350. aufdrücken | press on | OK
351. aufgeschwungen | swing open | OK
352. besehen | inspect/view | OK
353. aufreißen | tear open | OK
354. wegkommen | get away | OK
355. aufliegen | lie on | OK
356. aufgelegen | lie on/rest on | OK
357. hinausgetragen | carry out/carry outside | OK
358. vorangegangen | precede/go ahead | OK
359. zurückgegangen | decrease/go back | OK
360. zuschlagen | strike | OK
361. verwiesen | refer to/expel | OK
362. zurückgegeben | return/give back | OK
363. ereignen | occur | OK
364. auseinandergerissen | tear apart | OK
365. ausreisen | depart | OK
366. beigetragen | contribute | OK
367. zusammengetragen | compile/gather together | OK
368. rotschämen | blush with shame | OK
369. abgeschrieben | copy/write off | OK
370. geschmissen | throw | OK
371. entlaufen | run away | OK
372. hinterherhinken | lag behind | OK
373. untertreiben | understate | OK
374. einpflanzen | plant | OK
375. sträuben | bristle | OK
376. zugekommen | come to/reach | OK
377. vorgesprochen | audition/present oneself | OK
378. wiedergetroffen | meet again | OK
379. zurufen | shout | OK
380. davongelaufen | run away | OK
381. entschleunigen | decelerate | OK
382. positionieren | position | OK
383. vorgekommen | occur/come up | OK
384. praktizieren | practise | OK
385. umschrieben | paraphrase/describe indirectly | OK
386. entsperren | unlock | OK
387. unterschieden | distinguish/differentiate | OK
388. weggebrochen | break away | OK
389. umgangen | bypass/avoid | OK
390. eingehalten | comply with/observe | OK
391. gesellen | join | OK
392. angesprochen | address/mention | OK
393. eingesehen | realize/inspect | OK
394. mitgestalten | co-design | OK
395. beheizen | heat | OK
396. nachgekommen | comply with/follow up on | OK
397. aufgegossen | infuse/pour on | OK
398. aufkochen | boil up/bring to the boil | OK
399. brühen | brew | OK
400. nachgelassen | ease/let up | OK
401. zurückgerufen | call back/recall | OK
402. ausgefallen | fail/be cancelled | OK
403. angegriffen | attack | OK
404. wehren | defend | OK
405. aufgegriffen | take up/pick up | OK
406. dagestanden | stand there | OK
407. umformen | reshape | OK
408. angeklungen | sound/resonate | OK
409. erschienen | appear/be published | OK
410. fortan | henceforth/from then on | OK
411. hervorgehoben | emphasize/highlight | OK
412. aufgestiegen | ascend/rise | OK
413. aufgewachsen | grow up | OK
414. aufgenommen | record/take up/admit | OK
415. herausfließen | flow out | OK
416. mitgerissen | carry away/sweep along | OK
417. konservatorien | conservatories | OK
418. weiterentwickeln | develop further | OK
419. abgeraten | advise against | OK
420. geboten | offer/provide | OK
421. gewonnen | win/gain | OK
422. verargumentieren | argue | OK
423. vollzogen | complete/carry out | OK
424. gegangen | go | OK
425. offengestanden | frankly | OK
426. überwogen | outweigh/predominate | OK
427. vorgezogen | bring forward/prefer | OK
428. ausbügeln | iron out | OK
429. gewachsen | grow/be equal to | OK
430. dageboten | offer/present | OK
431. einstürmen | storm in | OK
432. hindurchgelangen | get through | OK
433. vorgegeben | specify/set/give | OK
434. beinhalten | include | OK
435. durchgefallen | fail | OK
436. eingenommen | take in/take up | OK
437. strukturieren | structure | OK
438. verzetteln | get bogged down | OK
439. erklommen | climb | OK
440. angestiegen | increase/rise | OK
441. ausgestanden | get through/be over | OK
442. anfordern | request/demand | OK
443. enhalten | contain/include | OK
444. entpuppen | turn out | OK
445. erwiesen | prove/turn out to be | OK
446. hinauswollen | want to go out | OK
447. losgeworden | get rid of | OK
448. mäkeln | criticise | OK
449. zugestanden | concede/grant | OK
450. anmahnen | admonish | OK
451. einfordern | claim | OK
452. gutgeheißen | approve | OK
453. vorfinanzieren | pre-finance | OK
454. zweckgebunden | earmarked/restricted to a purpose | OK
455. herangegangen | approach | OK
456. zusammenkriegen | get together | OK
457. verblieben | remain | OK
458. zusammenhaben | have together | OK
459. herumirren | wander around | OK
460. vorangetrieben | drive forward/advance | OK
461. firmeneigen | company-owned/in-house | OK
462. verzweigen | branch out | OK
463. abgenommen | remove/decrease/take off | OK
464. aufgegeben | abandon/give up/assign | OK
465. aufgehoben | cancel/lift/pick up/save | OK
466. aufraffen | pull oneself together | OK
467. aufgeschoben | postpone | OK
468. geschwunden | dwindle | OK
469. gestoßen | bump/push/come across | OK
470. verpuffen | fizzle out | OK
471. honorieren | honour | OK
472. überleiten | transition | OK
473. weiterleben | live on | OK
474. hinaufgetragen | carry up | OK
475. nachgewiesen | prove/demonstrate | OK
476. aufgeworfen | raise/throw up | OK
477. eingewiesen | brief/instruct/admit | OK
478. entsprochen | correspond to/meet | OK
479. heran | close/near/approaching | OK
480. hineinschaufeln | shovel in | OK
481. vorbeigefahren | drive past/pass by | OK
482. zulasten | at the expense of | OK
483. aufgezogen | raise/wind up/open | OK
484. wärmen | warm | OK
485. zugebissen | bite | OK
486. zukaufen | buy in | OK
487. abknabbern | nibble off | OK
488. ansonsten | otherwise | OK
489. aufbessern | improve | OK
490. ausschöpfen | utilise | OK
491. hingucken | look | OK
492. geschworen | swear | OK
493. vorliegen | available | OK
494. festgehalten | hold onto/record | OK
495. mitgegeben | give to take along/pass on | OK
496. anmalen | paint | OK
497. ausloggen | log out | OK
498. bekritzeln | scribble on | OK
499. bezwungen | conquer/overcome | OK
500. einstreuen | sprinkle in | OK
501. erbeuten | capture | OK
502. missglücken | fail | OK
503. zugewiesen | assign | OK
504. kostümieren | dress up/costume | OK
505. mitgehalten | keep up | OK
506. aufgedunsen | bloated | OK
507. aufspringen | jump up/spring open | OK
508. erschauern | shiver | OK
509. überallhin | everywhere/to everywhere | OK
510. verschlungen | devour/entwine | OK
511. totlachen | laugh oneself silly/laugh oneself to death | OK
512. ausgebrochen | break out | OK
513. mitgegessen | eat along/also eat | OK
514. mitlächeln | smile along | OK
515. nachgegangen | follow up/pursue | OK
516. einparken | park | OK
517. verbummeln | fritter away | OK
518. zurückschalten | switch back | OK
519. breitmachen | spread out/take up space | OK
520. durchbeißen | bite through | OK
521. freinehmen | take time off | OK
522. durchgehalten | hold out/persevere | OK
523. individualisieren | individualise | OK
524. einüben | practise | OK
525. hinausposaunen | trumpet out | OK
526. versperren | block | OK
527. weggelassen | omit/leave out | OK
528. ausgerissen | tear out/run away | OK
529. hinauswachsen | outgrow | OK
530. ausgehalten | endure/withstand | OK
531. ausfeilen | file smooth/refine | OK
532. ausgelesen | read out/select | OK
533. dagesessen | sit there | OK
534. herumreisen | travel around | OK
535. verhelfen | help | OK
536. verholfen | help someone achieve/obtain | OK
537. wegsperren | lock away | OK
538. ablesen | read off | OK
539. belesen | well-read | OK
540. näherkommen | get closer | OK
541. überbewerten | overestimate | OK
542. einsenden | send in | OK
543. eingetroffen | arrive | OK
544. flottmachen | get ready/repair/refloat | OK
545. vorbeirasen | speed past | OK
546. weitergefahren | drive on/continue driving | OK
547. zurückdenken | think back | OK
548. rätseln | puzzle | OK
549. überlagern | overlay | OK
550. zusammenschweißen | weld together | OK
551. zuteilen | allocate | OK
552. schönfärben | whitewash | OK
553. einordnen | categorise | OK
554. weitererzählen | retell | OK
555. dokumentieren | document | OK
556. gegensteuern | counteract | OK
557. erschlossen | open up/develop; infer | OK
558. zusammenfegen | sweep together | OK
559. aufgesprungen | jump up/spring open | OK
560. danebenstellen | place next to it | OK
561. hochschauen | look up | OK
562. pieksen | prick | OK
563. wasserfarben | watercolours | OK
564. weggegangen | leave/go away | OK
565. zunicken | nod | OK
566. zurücknicken | nod back | OK
567. überhandgenommen | get out of hand/become rampant | OK
568. weggezogen | move away | OK
569. anheimgefallen | fall prey to | OK
570. hineinleben | settle into/get used to | OK
571. mitsprechen | speak along; have a say | OK
572. mitlesen | to read along | OK
573. nachsprechen | to repeat | OK
574. freihaben | have time off/have the day off | OK
575. zusammenpassen | to fit together | OK
576. drankommen | to have one's turn | OK
577. möchten | to want | OK
578. einsammeln | collect/gather up | OK
579. rausgehen | to go outside | OK
580. weiterhören | continue listening | OK
581. zuhaben | to be closed | OK
582. zurückfahren | to drive back | OK
583. zurückfinden | find one's way back | OK
