1. die Produktionsgesellschaft | production company | OK
143. der Schlafende | sleeper/sleeping person | OK
144. die Schläfrigkeit | doziness/drowsiness/sleepiness | OK
145. der Schlafwagen | sleeper/sleeping car/sleeping carriage | OK
146. die Schlangenlinie | swerving line | IMPROVE: serpentine line - Schlangenlinie is a serpentine or zigzag line
147. das Schlösschen | small castle/manor | OK
148. der Schlumpf | smurf | OK
149. das Schmelzwasser | meltwater | OK
150. die Schnäppchenjagd | bargain chase | WRONG: bargain hunting - Schn?ppchenjagd means hunting for bargains
151. der Schneesturm | blizzard/snowstorm | OK
152. das Schnellschachturnier | chess tournament | IMPROVE: rapid chess tournament - Schnellschach is rapid chess
153. der Schnitzer | blunder/carver | OK
154. die Schokoladenseite | best side/good side/upside | OK
155. der Schopf | tuft/forelock | OK
156. die Schöpfungshöhe | threshold of originality | OK
157. das Schöpfwerk | water-engine | WRONG: pumping station - Sch?pfwerk is a pumping station or drainage pump works
158. die Schramme | scratch/scrape | OK
159. der Schrauber | mechanic/tinkerer | OK
160. der Schraubstock | bench vice/bench vise | OK
161. das Schreckgespenst | bogey | OK
162. das Schriftbild | Bible idea | WRONG: typeface/writing appearance - Schriftbild is the visual appearance of writing or type
163. der Schriftwechsel | correspondence | OK
164. die Schubkarre | barrow/wheelbarrow | OK
165. die Schuhfabrik | shoe factory | OK
166. der Schulausflug | school excursion/school outing | OK
167. der Schulbegleiter | school accompanist | WRONG: school aide - Schulbegleiter is a school support assistant
168. der Lappen | banknote/botch/cloth | OK
169. die Schulgebühr | school fee | OK
170. der Schulgottesdienst | school (church) service | OK
171. das Schulheft | exercise book | OK
172. die Schulmensa | school cafeteria | OK
173. das Schulorchester | school orchestra | OK
174. das Zusammentreffen | encounter | OK
175. die Schulterhöhe | shoulder altitude | WRONG: shoulder height - H?he means height here
176. das Schulungsmaterial | training material | OK
177. das Schüttgut | bulk goods/bulk material | OK
178. der Schutzbedarf | protection requirement/need for protection | OK
179. das Schutzbedürfnis | need for protection | OK
180. die Schwägerin | sister-in-law | OK
181. die Schwebebahn | overhead railway/suspension railway | OK
182. der Schweinebraten | roast pork | OK
183. die Schwerstarbeit | hard labor | OK
184. der Schwund | attrition/fading/loss | OK
185. der Schwur | oath | OK
186. der Sechstklässler | sixth-grader/year-six pupil | OK
187. die Seebestattung | burial at sea | OK
188. der Seefisch | lake Pisces | WRONG: sea fish - See- means sea here, not lake
189. die Seeschifffahrt | maritime shipping/seagoing shipping | OK
190. der Seeweg | sea route | OK
191. der Tatbestand | facts of the case/factual findings/matter of fact | OK
192. der Sehnsuchtsort | place of longing/dream destination | OK
193. der Sehtest | eye test/visual test | OK
194. der Seifenspender | soap dispenser | OK
195. die Sektorengrenze | sector border | OK
196. der Sekundenschlaf | microsleep | OK
197. die Selbstachtung | self-respect | OK
198. die Selbstbehauptung | self assertion | OK
199. die Selbstheilungskraft | self-healing power | OK
200. die Selbstironie | self-irony/self-mockery | OK
201. die Selbstkritik | auto-critique/self-criticism | OK
202. die Selbstliebe | self-love | OK
203. die Selbstüberschätzung | hubris/hybris/overconfidence | OK
204. die Seminarschule | department school | WRONG: seminar school - The current gloss mistranslates Seminar- as department
205. der Semmelbrösel | breadcrumb | OK
206. der Sendersuchlauf | barrel | WRONG: channel scan - Sendersuchlauf is an automatic scan for channels
207. die Sequenzierung | sequencing | OK
208. der Serienkiller | serial killer | OK
209. der Serientäter | serial offender | OK
210. die Serpentine | switchback | OK
211. das Zutun | support | IMPROVE: involvement - Zutun most often means involvement or contribution
212. die Sexualerziehung | breeding | WRONG: sex education - Sexualerziehung means sex education
213. die Sichel | crescent/sickle | OK
214. die Sicherungsverwahrung | preventive detention | OK
215. die Sichtachse | vista | IMPROVE: sightline - Sichtachse is an architectural sightline or visual axis
216. der Siegtreffer | victory hit | WRONG: winning goal - Siegtreffer means the goal or point that wins a match
217. der Silberschmuck | silver jewellery | OK
218. der Silo | silo | OK
219. das Silvesterfeuerwerk | New Year's Eve fireworks | OK
220. das Singspiel | game | WRONG: singspiel - Singspiel is a musical/dramatic genre, not a game
221. der Sinkflug | descent | OK
222. die Sinusitis | sinusitis | OK
223. das Sitzungsprotokoll | meeting minutes | OK
224. der Sitzungstermin | meeting date | OK
225. das Sitzungszimmer | meeting chamber | IMPROVE: meeting room - Sitzungszimmer is a room for meetings
226. der Skandinavier | Scandinavian | OK
227. die Skihalle | indoor ski center/ski hall | OK
228. der Skisport | skiing | OK
229. der Skiverband | ski association | OK
230. der Smog | smog | OK
231. das Soloalbum | solo album | OK
232. die Sommerfrische | summer resort | OK
233. der Sommernachtstraum | summer night dream | WRONG: A Midsummer Night's Dream - This usually names Shakespeare's play
234. der Sonderdruck | probe pressing | WRONG: offprint - Sonderdruck is an offprint or special print
235. das Sondereigentum | probe ownership | WRONG: special ownership - Sondereigentum is special or separate property ownership
236. der Sonderermittler | probe investigator | WRONG: special investigator - Sonderermittler means special investigator
237. der Sondermüll | special waste | IMPROVE: hazardous waste - Sonderm?ll is commonly hazardous waste
238. das Sonderrecht | privilege | OK
239. der Sonderstatus | probe state | WRONG: special status - Sonderstatus means special status
240. das Sonnenblumenöl | sunflower oil | OK
241. der Sonnenstrom | solar power | OK
242. der Sonnentag | sunny day | OK
243. die Sonnenuhr | sundial | OK
244. der Sonntagsgottesdienst | Sunday (church) service | OK
245. die Sortieranlage | sorting facility | OK
246. der Souterrain | souterrain | OK
247. die Sozialausgabe | edition | WRONG: social expenditure - Sozialausgabe means social spending or expenditure
248. das Spalier | trellis/honour guard | OK
249. der Spamfilter | spam filter | OK
250. das Sparschwein | piggy bank/piggybank | OK
251. der Spätnachmittag | afternoon | IMPROVE: late afternoon - Sp?tnachmittag specifically means late afternoon
252. das Speiseeis | ice cream | OK
253. das Speiseöl | cooking oil/edible oil/nutritional oil | OK
254. der Sperrbezirk | restricted area | OK
255. der Spielaufbau | game assembly | WRONG: game structure - Spielaufbau is game structure or build-up
256. die Spielerfahrung | game experience | OK
257. der Lieferservice | service | IMPROVE: delivery service - Lieferservice is specifically delivery service
258. der Spiritus | alcohol/spirit | OK
259. der Spitzel | spy | OK
260. der Spitzenpreis | top price | OK
261. der Spitzensteuersatz | maximum tax rate | IMPROVE: top tax rate - This is the standard term for Spitzensteuersatz
262. der Sportartikelhersteller | manufacturer | IMPROVE: sporting goods manufacturer - The current gloss omits Sportartikel-
263. der Sportjournalist | sport journalist | OK
264. die Sportmannschaft | sports team | OK
265. die Sportschau | sports show | OK
266. der Sportvorstand | sports director | OK
267. der Sprachfehler | language blemish | WRONG: speech impediment - Sprachfehler means a speech or language error/impediment
268. die Sprachvermittlung | language arbitration | WRONG: language teaching - Sprachvermittlung is language teaching or mediation
269. der Sprungturm | diving platform | OK
270. der Spüler | dishwasher/flusher | OK
271. der Spülkasten | toilet tank | OK
272. die Spurensicherung | crime scene investigation | OK
273. die Staatlichkeit | statehood | OK
274. die Staatsform | form of government | OK
275. die Staatsgründung | States establishment | WRONG: founding of the state - Staatsgr?ndung means founding of a state
276. die Staatskapelle | States chapel | WRONG: state orchestra - Staatskapelle is a state orchestra
277. das Staatsrecht | constitutional law | OK
278. der Staatsstreich | coup/coup d’état | OK
279. die Lokomotive | engine/locomotive | OK
280. die Stadtgründung | centre establishment | WRONG: city founding - Stadtgr?ndung means foundation of a city
281. die Stammform | basic form/stem form | OK
282. die Stammkundschaft | regular customers | OK
283. der Stammwähler | core voters | IMPROVE: regular voter - Stammw?hler is singular and means a regular/core voter
284. die Standardausrüstung | standard equipment | OK
285. die Standesbeamtin | registrar | OK
286. der Standstreifen | hard shoulder | OK
287. das Statin | statin | OK
288. die Stationierung | stationing/deployment | OK
289. der Stationsarzt | ward physician | OK
290. der Stehtisch | cocktail table/stand/standing table | OK
291. der Steiger | deputy/foreman/pit foreman | OK
292. der Steinkauz | little owl | OK
293. der Steinpilz | boulder fungus | WRONG: porcini mushroom - Steinpilz is porcini, not a boulder fungus
294. der Steinzeitmensch | Stone Age person | OK
295. das Steißbein | coccyx/tailbone | OK
296. das Sterberisiko | chance | WRONG: mortality risk - Sterberisiko is risk of death
297. das Steueraufkommen | tax revenue | OK
298. die Steuererleichterung | tax consession/tax relief | IMPROVE: tax relief - The current gloss contains a typo and tax relief is primary
299. die Steueroase | tax haven | OK
300. das Zweirad | bicycle | WRONG: two-wheeler - Zweirad can be a bicycle or motorcycle
301. die Stichelei | jab | OK
302. das Stiftungsfest | endowment celebration | IMPROVE: foundation celebration - Stiftungsfest is a foundation or founding celebration
303. das Luftbild | air photograph | OK
304. die Stimmenzahl | number of votes/vote count | OK
305. der Stoffrest | fabric remnant/waste fabric | OK
306. der Stoßdämpfer | damper/shock absorber | OK
307. das Masters | Masters (golf tournament) | OK
308. die Strafandrohung | fine threat | WRONG: threat of punishment - Strafandrohung is a threatened penalty
309. die Strafkammer | criminal court | IMPROVE: criminal chamber - Strafkammer is a chamber/division of a criminal court
310. der Strampler | romper suit | OK
311. die Straßenbahnhaltestelle | streetcar stop/tram stop | OK
312. der Straßenbelag | road surfacing | IMPROVE: road surface - Stra?enbelag is the road surface or pavement
313. der Streckenposten | east | WRONG: track marshal - Streckenposten is a marshal posted along a route
314. die Streckung | stretching/elongation | OK
315. der Streifendienst | patrol duty | OK
316. der Streifenpolizist | patrol officer | OK
317. die Streitschrift | aggro Bible | WRONG: polemical pamphlet - Streitschrift is a polemical writing or pamphlet
318. das Streitthema | aggro subject | WRONG: contentious issue - Streitthema means a controversial issue
319. der Stressor | stressor | OK
320. die Strickjacke | cardigan/gilet | OK
321. der Strohhut | straw hat | OK
322. die Stromgewinnung | power generation/electricity generation | OK
323. das Stromsparen | saving electricity | OK
324. die Stromtankstelle | charging station | OK
325. die Stromtrasse | power line | OK
326. die Stückliste | bill of materials | OK
327. der Stückpreis | price | IMPROVE: unit price - St?ckpreis is price per unit
328. der Studentenausweis | student card | OK
329. die Sturheit | obstinacy/stubbornness | OK
330. der Stylus | style | WRONG: stylus - Stylus means stylus, not style
331. die Abdichtung | seal/sealing | OK
332. der Suchauftrag | search application | OK
333. der Süchtige | addict | OK
334. der Südkoreaner | South Korean | OK
335. die Südspitze | southern tip | OK
336. die Suffizienz | sufficiency | OK
337. das Super | Super (petrol grade) | OK
338. das Supermarktregal | supermarket rack | WRONG: supermarket shelf - Regal means shelf here
339. die Suppenküche | soup kitchen | OK
340. die Sure | sura/surah | OK
341. das Süßungsmittel | average | WRONG: sweetener - S??ungsmittel means sweetener
342. der Sympathisant | sympathizer | OK
343. die Systematisierung | systematisation | OK
344. der Systemsprenger | system-buster (problem child) | OK
345. der Tabubruch | breaking of a taboo | OK
346. der Tagesbedarf | day need | WRONG: daily requirement - Tagesbedarf is the amount needed per day
347. die Tagesform | form on the day | OK
348. die Tagespresse | daily press | OK
349. die Tagestemperatur | daytime temperature | OK
350. das Tagesthema | day subject | WRONG: topic of the day - Tagesthema means topic of the day
351. der Talg | sebum/tallow | OK
352. die Talgdrüse | sebaceous gland | OK
353. der Talkessel | basin | IMPROVE: valley basin - Talkessel is a basin-like valley
354. die Tankfüllung | tank batting | WRONG: tankful - Tankf?llung means a tankful or filling of a tank
355. der Tanzbär | dancing bear | OK
356. der Tape | tape | OK
357. der Tapir | tapir | OK
358. der Tariflohn | standard wage/union wage | OK
359. der Taschenkalender | diary/pocket calendar | OK
360. der Tatar | Tatar/steak tartare | OK
361. die Tatsachenbehauptung | fact assertion | IMPROVE: factual assertion - This is the idiomatic legal gloss
362. das Tausendstel | thousandth | OK
363. die Teamleiterin | team leader | OK
364. die Technikwissenschaft | equipment academic discipline | WRONG: technical science - Technikwissenschaft is technical or engineering science
365. der Teddybär | teddy bear/teddy-bear/teddybear | OK
366. die Teeküche | kitchenette | OK
367. die Teilzeitstelle | part-time position | OK
368. das Telefonnetz | telephone network/phone network | OK
369. die Telefonverbindung | phone call/telephone connection/telephone line | OK
370. das Telegramm | dispatch/telegram/telegramme | OK
371. die Tempelanlage | temple complex | OK
372. der Term | term | OK
373. die Terrassenwohnung | patio accommodation | WRONG: terrace apartment - Terrassenwohnung is an apartment with a terrace
374. die Terrorgruppe | terror group | OK
375. die Terrorismusbekämpfung | combating terrorism | OK
376. das Testcenter | test center/testing center | OK
377. die Textaufgabe | word problem/text task | OK
378. der Theaterabend | theater evening | OK
379. die Thermalquelle | hot spring | OK
380. die Thronfolge | line of succession | IMPROVE: succession to the throne - This is the standard gloss for Thronfolge
381. der Thüringer | Thuringian | OK
382. die Tiefebene | lowland/plain | OK
383. die Tiefkühlkost | frozen food | OK
384. der Tieflader | low loader/low-loading truck/lowboy | OK
385. der Tierbesitzer | animal owner/pet owner | OK
386. die Tierklinik | veterinary hospital | OK
387. das Timeout | time-out | OK
388. der Tischtennisspieler | table tennis player | OK
389. die Titelrolle | title role/titular role | OK
390. der Todesstoß | death blow/final blow | OK
391. der Todesumstand | death circumstance | IMPROVE: circumstances of death - Todesumstand is usually used in the plural as circumstances of death
392. die Tomatensoße | tomato sauce | OK
393. der Tontopf | clay pot | OK
394. der Töpfer | potter | OK
395. der Topos | topos | OK
396. der Tornister | knapsack/satchel | OK
397. die Tortilla | tortilla | OK
398. das Totschlagargument | deathblow argument/killer phrase/knockdown argument | OK
399. der Touristenmagnet | tourist magnet | OK
400. die Toxizität | toxicity | OK
401. der Tragegurt | carrying strap | OK
402. die Tragetasche | bag/carrier bag/tote bag | OK
403. die Traglast | load capacity | OK
404. das Transitland | astronomical transit country | WRONG: transit country - Transitland means a country used for transit
405. das Transparentpapier | banner document | WRONG: tracing paper - Transparentpapier is tracing paper
406. das Trapez | trapeze/trapezium/trapezoid | OK
407. das Traumazentrum | trauma centre | OK
408. das Traumpaar | perfect couple | OK
409. die Treffsicherheit | clubs assurance | WRONG: accuracy - Treffsicherheit means accuracy or marksmanship
410. das Treibhaus | greenhouse/hothouse | OK
411. der Trenchcoat | trench coat | OK
412. der Trendsport | trend sport | OK
413. das Trimester | term/trimester | OK
414. der Trinkhalm | drinking straw/drinking tube | OK
415. die Trübung | clouding/straining/turbidity | OK
416. der Trümmerhaufen | pile of rubble | OK
417. das Tryptophan | tryptophan/tryptophane | OK
418. der Tupf | polka-dot | WRONG: dab - Tupf means a dab or spot
419. die Abschaltung | shutdown/switching off | OK
420. die Türöffnung | door opening | OK
421. die Türzarge | door frame | OK
422. die Typologie | typology | OK
423. die Überalterung | ageing (population) | OK
424. der Überbegriff | concept | WRONG: generic term - ?berbegriff is a superordinate or generic term
425. die Übergangsregierung | caretaker government/provisional government | OK
426. der Überhang | overhang | OK
427. die Überheblichkeit | arrogance | OK
428. das Überraschungsei | Kinder Egg/Kinder Surprise | OK
429. das Überraschungsmoment | surprise moment | OK
430. der Überschlag | flashover/rough calculation/somersault | OK
431. die Übungsphase | exercise phase | OK
432. die Übungsstunde | exercise hour | IMPROVE: practice lesson - ?bungsstunde is a lesson or session for practice
433. der Uhrmacher | clockmaker/clocksmith | IMPROVE: watchmaker - Uhrmacher is normally watchmaker/clockmaker
434. die Ulme | elm | OK
435. der Ultra | extremist | OK
436. die Umgehungsstraße | bypass | OK
437. der Umhang | cape/cloak | OK
438. der Umkleideraum | changing room/locker room | OK
439. die Umlaufbahn | orbit | OK
440. das Umsatzvolumen | sales volume | OK
441. die Umsatzzahl | sales figure | OK
442. die Umweltschutzorganisation | environmental organisation | OK
443. die Unerfahrenheit | inexperience | OK
444. der Unfallbericht | accident report | OK
445. das Unfallfahrzeug | accident vehicle/crashed vehicle | OK
446. die Unfallflucht | hit and run | OK
447. das Unfallgeschehen | accident events/accident situation | OK
448. der Unfallverursacher | person who caused the accident | OK
449. die Matrix | matrix | OK
450. der Unfriede | discord/strife | OK
451. der Unicode | Unicode | OK
452. das Universalgenie | polymath | OK
453. der Unkenruf | fire-bellied toad call | WRONG: gloomy prediction - Unkenruf is primarily a pessimistic warning
454. das Meerwasser | sea water/seawater | OK
455. der Unrat | trash/waste | OK
456. die Unreinheit | item | WRONG: impurity - Unreinheit means impurity
457. der Unsicherheitsfaktor | danger factor | WRONG: uncertainty factor - Unsicherheitsfaktor means uncertainty factor
458. die Abtreibung | abortion | OK
459. der Unterbauch | lower abdomen/underbelly | OK
460. die Unterbindung | Jack attachment | WRONG: prevention - Unterbindung means prevention or stopping
461. die Unterforderung | Jack claim | WRONG: being underchallenged - Unterforderung means being insufficiently challenged
462. der Unterkiefer | lower jaw/mandible | OK
463. der Unterleib | abdomen/alvus | OK
464. die Unternehmensangabe | business declaration | WRONG: company information - Unternehmensangabe means company information or details
465. die Unternehmerfamilie | business family/entrepreneurial family | OK
466. die Unternehmerschaft | entrepreneurship/business community | OK
467. der Unterrichtsgegenstand | subject matter | OK
468. die Unterstreichung | underlining/emphasis | OK
469. die Unterzuckerung | hypoglycemia | OK
470. der Unwille | displeasure/reluctance | OK
471. der Uploadfilter | upload filter | OK
472. die Urabstimmung | secret ballot/strike ballot | OK
473. der Abwärtstrend | downward trend | OK
474. der Urheberrechtsverstoß | copyright infringement | OK
475. die Urinprobe | urine sample | OK
476. die Ursprünglichkeit | originality/authenticity | OK
477. das Vanillin | vanillin | OK
478. die Vasektomie | vasectomy | OK
479. das Verbreiten | verb horse riding | WRONG: spreading/dissemination - Verbreiten as a noun means spreading
480. das Verdachtsmoment | suspicion moment | WRONG: suspicious circumstance - Verdachtsmoment is an indication giving rise to suspicion
481. der Verdauungssaft | digestion juice | WRONG: digestive juice - Verdauungssaft means digestive juice
482. die Verdienstmedaille | earnings medal | WRONG: medal of merit - Verdienstmedaille is a medal for merit
483. die Vereinstätigkeit | association activity | OK
484. das Verfalldatum | decadence date | WRONG: expiry date - Verfalldatum means expiry date
485. der Verführer | seducer | OK
486. die Vergangenheitsbewältigung | accounting for the past/coming to terms with the past/coping with the past | OK
487. die Vergnügungsstätte | amusement venue | OK
488. der Verhandlungstisch | negotiating table | OK
489. die Verkehrspolizei | traffic police | OK
490. die Verkehrstechnik | communication equipment | WRONG: traffic engineering - Verkehrstechnik is traffic or transport engineering
491. die Verkrampfung | tension/cramping | OK
492. die Verlaufsform | course form | WRONG: progressive form - Verlaufsform is the grammatical progressive form
493. die Verlustleistung | loss benefit | WRONG: power loss - Verlustleistung is dissipated power or power loss
494. der Vermisstenfall | missing persons case | OK
495. der Vermögende | wealthy person | OK
496. die Vermögensteuer | wealth tax | OK
497. das Vermögensverhältnis | assets background | WRONG: financial circumstances - Verm?gensverh?ltnis means financial circumstances or asset ratio
498. die Verödung | depopulation | IMPROVE: desolation/sclerotherapy - Ver?dung can mean desolation or medical sclerotherapy
499. der Verrückte | crazy person/madman | OK
500. der Versammlungsort | meeting place/assembly venue | OK
501. das Versatzstück | stock element/cliché | OK
502. die Verschleppung | abduction/dragging out | OK
503. die Versicherungspolice | affirmation policy | WRONG: insurance policy - Versicherungspolice means insurance policy
504. das Versteckspiel | hide and seek | OK
505. die Versteinerung | petrifaction/petrification | OK
506. das Versuchstier | test animal | OK
507. der Vertragsentwurf | draft contract | OK
508. der Verwaltungsangestellte | administration employee | OK
509. der Verwaltungsapparat | administrative apparatus | OK
510. der Verwaltungsbeamte | administrative officer | OK
511. das Verwaltungszentrum | administration centre | OK
512. das Verwandtschaftsverhältnis | relationship background | WRONG: kinship relationship - Verwandtschaftsverh?ltnis is a kinship relationship
513. die Verwendbarkeit | applicability | OK
514. die Analysis | analysis/calculus/mathematical analysis | OK
515. die Veste | fortress (poetic) | OK
516. der Viadukt | viaduct | OK
517. das Violinkonzert | violin concert | IMPROVE: violin concerto - Violinkonzert is usually a concerto, not just a concert
518. der Virtuose | virtuoso | OK
519. die Vitalfunktion | vital function | OK
520. der Vitaminmangel | vitamin deficiency | OK
521. der Vize | deputy/vice (sport runner-up) | OK
522. die Vizemeisterschaft | finish as runners-up/second place | IMPROVE: runner-up title - Vizemeisterschaft is the runner-up position or title
523. der Volant | frill/steering wheel (Austrian) | OK
524. der Völkerbund | League of Nations | OK
525. die Volksgemeinschaft | folk community | WRONG: national community - Volksgemeinschaft is a loaded term meaning national community
526. der Volksheld | folk hero | OK
527. der Volkstanz | folk dance | OK
528. der Volksvertreter | folk agent | WRONG: representative of the people - Volksvertreter means elected representative
