1. das Gruppenspiel | group match | OK
120. die Rechnungsstellung | arithmetic attitude | WRONG: invoicing - Rechnungsstellung means issuing invoices, not arithmetic attitude.
121. die Rechtsabteilung | legal department | OK
122. der Rechtsbehelf | legal remedy | OK
123. die Regenzeit | rainy season/wet season | OK
124. das Reichstagsgebäude | Reichstag building | OK
125. das Rentier | reindeer | OK
126. die Roadshow | show | WRONG: roadshow - Roadshow should be translated as roadshow, not just show.
127. das Röntgenbild | X-ray/radiograph | OK
128. die Rückreise | return journey | OK
129. die Sachkenntnis | expertise | OK
130. die Sachlage | circumstance/situation | OK
131. der Samstagmorgen | Saturday morning | OK
132. der Schaft | shaft/stem/shank | OK
133. der Schaukasten | exhibition box | WRONG: showcase/display case - Schaukasten is a display case, not an exhibition box.
134. der Schliff | cut/polish/finesse | OK
135. der Schnorchel | snorkel | OK
136. die Schreibwerkstatt | pen automobile repair shop | WRONG: writing workshop - Schreibwerkstatt is a writing workshop, not a car repair shop.
137. die Schuldenbremse | debt brake | OK
138. die Schulwoche | school week | OK
139. das Schwarzwild | wild boars | OK
140. der Serbe | Serb | OK
141. die Sichtweite | visibility | OK
142. das Weinfest | grape celebration | WRONG: wine festival - Weinfest means wine festival, not grape celebration.
143. der Sir | sir | OK
144. die Winterzeit | standard time/wintertide/wintertime | OK
145. das Sodbrennen | heartburn | OK
146. die Sonderstellung | special position/special status | OK
147. die Sonderveranstaltung | special event | OK
148. die Sonnenblume | helianthus/sunflower | OK
149. die Sparsamkeit | economy/frugality/husbandry | OK
150. die Spenderin | donor (female) | OK
151. der Spielball | game ball/plaything/set ball | OK
152. der Spitzensport | elite sport | OK
153. der Sprössling | offspring/sprig | OK
154. die Spule | coil/inductor/reel | OK
155. der Stammgast | denizen/frequenter/habitue | IMPROVE: regular guest/customer - Stammgast means a regular guest or customer; the current gloss is too literary.
156. die Wirtschaftsleistung | economics benefit | WRONG: economic output/performance - Wirtschaftsleistung means economic performance, not economics benefit.
157. die Stigmatisierung | stigmatisation | OK
158. die Strahlenbelastung | radiation exposure | OK
159. die Strahlkraft | radiance/charisma | OK
160. der Strick | halter | IMPROVE: rope/noose - Strick primarily means rope or noose; halter is too narrow.
161. die Stromrechnung | electricity bill | OK
162. die Wochenzeitung | weekly newspaper | OK
163. die Studienanfängerin | first-year student (female) | OK
164. der Stützpunkt | base/fulcrum | OK
165. das Substrat | substrate | OK
166. der Subwoofer | subwoofer | OK
167. die Süßkartoffel | sweet potato | OK
168. die Symphonie | symphony | OK
169. die Symptomatik | symptomatology | OK
170. der Tabellenplatz | league position/table position | OK
171. der Tagungsort | conference venue | OK
172. der Tagungsraum | conference room/meeting room | OK
173. der Tatendrang | drive/dynamism/energy | OK
174. der Spieltag | matchday | OK
175. der Teelöffel | teaspoon | OK
176. das Teilnehmerfeld | field of participants | OK
177. die Theorieprüfung | theory audit | WRONG: theory test - Theoriepr?fung means theory test, not theory audit.
178. die Thermodynamik | thermodynamics | OK
179. der Tornado | tornado/twister | OK
180. der Totalschaden | total loss/write-off | OK
181. der Wuchs | cluster/growth/stature | IMPROVE: growth/stature - Wuchs means growth or stature; cluster is not the usual noun meaning.
182. die Tourismusbranche | tourism industry | OK
183. das Traditionsunternehmen | tradition business | WRONG: traditional company - Traditionsunternehmen means a long-established company, not tradition business.
184. das Traumhaus | dream house | OK
185. die Anordnung | order/arrangement | OK
186. der Tribut | tribute | OK
187. der Trupp | squad/troop | OK
188. der Tscheche | Czech | OK
189. die Überlassung | transfer/handing over | OK
190. das Überschwemmungsgebiet | flood area | OK
191. die Umgehung | avoidance/beltway/bypassing | OK
192. die Umweltverschmutzung | pollution | OK
193. die Unannehmlichkeit | inconvenience | OK
194. das Unheil | calamity/disaster | OK
195. die Unterart | subspecies | OK
196. die Untergruppe | subgroup | OK
197. das Vaterland | fatherland/native country | OK
198. der Verbrenner | verb hit | WRONG: combustion engine - Verbrenner commonly means an internal-combustion engine or vehicle.
199. der Verdienstorden | Order of Merit | OK
200. das Verhaltensmuster | behavior pattern | OK
201. die Verkehrsbehinderung | communication handicap | WRONG: traffic obstruction - Verkehrsbehinderung means a traffic disruption or obstruction.
202. die Verkostung | tasting | OK
203. der Vermögensverwalter | assets administrator | WRONG: asset manager - Verm?gensverwalter means asset manager, not assets administrator.
204. die Versiegelung | sealing | OK
205. das Verwaltungsrecht | administrative law | OK
206. die Zuwanderungsgeschichte | history of immigration | OK
207. das Vieh | cattle/livestock | OK
208. der Vizemeister | runner-up/vice-champion | OK
209. das Völkerrecht | international law/law of nations/public international law | OK
210. die Volkskrankheit | common illness/disease of the people | OK
211. der Vorgarten | front yard | OK
212. das Vorkaufsrecht | refusal | WRONG: right of first refusal - Vorkaufsrecht is the legal right of first refusal.
213. der Vorleser | reader | OK
214. der Vorplatz | forecourt | OK
215. der Wahlausschuss | election committee/electoral committee | OK
216. die Wählergruppe | elector group | WRONG: voter group - W?hlergruppe means voter group or electoral group.
217. die Wallfahrt | pilgrimage | OK
218. die Wanderkarte | hiking map | OK
219. der Wanderparkplatz | hikers' parking lot | OK
220. die Warenwirtschaft | inventory control | OK
221. der Waschtisch | sink | OK
222. der Wasserfilter | water filter | OK
223. das Wasserschutzgebiet | water protection area | OK
224. das Wechselspiel | interplay | OK
225. der Wehrdienst | military service/national service | OK
226. die Weihe | consecration/harrier | OK
227. der Weitsprung | long jump | OK
228. der Wertgegenstand | valuable | WRONG: valuable item - Wertgegenstand is a valuable object, not the adjective valuable.
229. der Westfale | Westphalian | OK
230. die Wirkungsstätte | place of work/sphere of activity | OK
231. das Wirren | disturbances/riots | OK
232. der Wissenschaftsminister | academic discipline minister | WRONG: science minister - Wissenschaftsminister means minister of science, not academic discipline minister.
233. die Wohngegend | neighbourhood/residential area | OK
234. die Wohnküche | cooking | WRONG: eat-in kitchen - Wohnk?che means a kitchen used also as a living/dining room.
235. der Wolkenkratzer | skyscraper | OK
236. die Wucht | force/impulse/kinetic energy | OK
237. die Würze | flavour/malt liquor | OK
238. der Zahlungsdienstleister | payment service provider | OK
239. das Zweifamilienhaus | two-family house | OK
240. der Zucchini | courgette/zucchini | OK
241. die Zuschreibung | friction | WRONG: attribution - Zuschreibung means attribution or ascription, not friction.
242. der Zwangsarbeiter | force worker | WRONG: forced laborer - Zwangsarbeiter means forced laborer, not force worker.
243. das Ableben | decease/demise | OK
244. die Abordnung | delegation/deputation | OK
245. der Abstract | abstract | OK
246. die Abzweigung | branch/branch duct/branch-off | OK
247. die Aktivistin | activist | OK
248. die Akupunktur | acupuncture | OK
249. die Altersstruktur | age structure | OK
250. die Anschauung | view/viewing | OK
251. die Arterie | artery | OK
252. die Arznei | drug/medicine | OK
253. der Arzneistoff | active ingredient | OK
254. das Auditorium | auditorium/auditory | OK
255. das Aufeinandertreffen | encounter | OK
256. die Abhandlung | disquisition/essay/treatise | OK
257. die Augenheilkunde | ophthalmology | OK
258. der Ausgangsstoff | base material/initial material/starting material | OK
259. die Aussaat | end seed | WRONG: sowing - Aussaat means sowing or seedtime, not end seed.
260. das Ausschussmitglied | committee member | OK
261. der Ausspruch | observation/pronouncement/pronunciation | OK
262. das Autogramm | autograph | OK
263. der Autoradio | automobile radio/car radio | OK
264. die Axt | ax/axe | OK
265. die Badesaison | bathing season/swimming season | OK
266. der Ballsaal | ballroom | OK
267. der Baukasten | building box | WRONG: construction kit - Baukasten means kit or construction set, not building box.
268. die Baukunst | building art | WRONG: architecture - Baukunst means architecture, not literal building art.
269. das Bauland | arable farmland/arable land/building land | IMPROVE: building land - Bauland primarily means land zoned for building; arable land is misleading.
270. der Bauleiter | construction manager/construction supervisor | OK
271. die Baumaschine | construction machine/construction vehicle | OK
272. die Begleiterscheinung | accompaniment/concomitant/concomitant phenomenon | OK
273. die Belüftung | aeration/oxygenation | OK
274. der Bergsteiger | climber/mountain climber/mountaineer | OK
275. der Besprechungsraum | meeting room | OK
276. die Bevölkerungsentwicklung | demographic development/population development/vital statistics | OK
277. die Bewirtung | catering | OK
278. die Bibliographie | bibliography | OK
279. der Bibliotheksausweis | library identity card | IMPROVE: library card - Bibliotheksausweis is normally a library card.
280. die Biennale | biennal/biennale | OK
281. die Bigband | big band | OK
282. das Binnenland | country | WRONG: inland - Binnenland means inland or interior, not simply country.
283. der Blues | blues | OK
284. die Blutbahn | circulatory system | OK
285. der Bombenangriff | air raid/bomb attack | OK
286. die Botschafterin | ambassador/ambassadress | OK
287. der Buggy | buggy | OK
288. der Bundesfinanzminister | Federal Minister of Finance | OK
289. das Bundesgesetz | federal law | OK
290. der Bundeshaushalt | federal budget | OK
291. die Bundesrechtsanwaltskammer | Federal Bar Association | OK
292. die Charaktereigenschaft | character attributes/character trait/trait of character | OK
293. das Chrom | chrome/chromium | OK
294. die Clique | clique | OK
295. das Collagen | collagen | OK
296. der Dachstuhl | roof truss | OK
297. der Dämpfer | damper/mute/steamer | OK
298. die Datenspeicherung | data retention/data storage | OK
299. der Dauerauftrag | banker's order/standing order | OK
300. die Deklaration | declaration | OK
301. die Denke | mindset/way of thinking | OK
302. die Diplomatie | diplomacy | OK
303. die Doppelstunde | doubles hour | WRONG: double lesson - Doppelstunde means a double lesson or two-period class.
304. das Drehkreuz | lug wrench/transport hub/turnstile | OK
305. die Einkommenssteuer | income tax | OK
306. das Einzelbett | single bed | OK
307. die Eisdiele | ice cream parlour | OK
308. der Eisvogel | admiral/kingfisher | IMPROVE: kingfisher - Eisvogel is normally kingfisher; admiral is not the useful learner gloss.
309. der Emissionshandel | emissions trading | OK
310. der Energiekonzern | energy company/energy giant | OK
311. das Entsetzen | dismay/horror/terror | OK
312. die Erdnuss | peanut | OK
313. die Abneigung | aversion/dislike/reluctance | OK
314. die Abnutzung | abrasion/wear | OK
315. der Abzweig | bifurcation/connector/junction | OK
316. der Admin | admin | OK
317. der Adrenalinkick | adrenaline kick | OK
318. der Afrikaner | African | OK
319. die Aggressivität | aggressiveness | OK
320. der Amtskollege | office co-worker | WRONG: counterpart - Amtskollege means an official counterpart or colleague in the same office.
321. das Anbaugebiet | area of cultivation/growing area | OK
322. die Angststörung | anxiety disorder | OK
323. das Arbeitsamt | employment agency/employment office/job centre | OK
324. das Arbeitszeugnis | certificate of employment/job reference | OK
325. die Atemluft | breathing air/respiratory air | OK
326. die Atemwegserkrankung | respiratory disease | OK
327. der Aufwind | impetus/upcurrent/upwind | OK
328. die Augenbraue | brow/eyebrow | OK
329. die Ausbeute | gain/yield | OK
330. die Systematik | systematics | OK
331. der Basar | bazaar | OK
332. der Baustil | architectural style/building style | OK
333. das Begehren | desire/wish | OK
334. der Belgier | Belgian | OK
335. die Beständigkeit | resistance | WRONG: consistency/durability - Best?ndigkeit means constancy or durability, not resistance.
336. die Bewährung | probation/reliability | OK
337. die Bewässerung | irrigation/watering | OK
338. die Bildsprache | idea language | WRONG: visual language - Bildsprache means imagery or visual language.
339. die Blähung | flatulence/gas | OK
340. der Braunbär | brown bear | OK
341. der Bremer | Bremen resident | OK
342. die Bundesautobahn | autobahn/federal motorway/highway | OK
343. der Bundesbeauftragte | federal commissioner | OK
344. das Bundesverkehrsministerium | department | WRONG: Federal Ministry of Transport - Bundesverkehrsministerium is a specific transport ministry.
345. das Burnout | burnout | OK
346. der Bußgeldbescheid | fine answer | WRONG: notice of fine - Bu?geldbescheid is an official fine notice, not a fine answer.
347. der CEO | CEO | OK
348. das Charakteristikum | feature | OK
349. die Dachorganisation | roof organisation | OK
350. der Dateiname | file name/filename | OK
351. der Diakon | deacon | OK
352. die Direktbank | bank | IMPROVE: direct bank/online bank - Direktbank is a direct or online bank, not just any bank.
353. der Donnerstagmorgen | Thursday morning | OK
354. die Drehscheibe | potter's wheel/transport hub/turntable | OK
355. der Dreier | three/threesome/three-pointer | OK
356. das Dressing | dressing | OK
357. der Duftstoff | fragrance/perfume/scent | OK
358. das Eichhörnchen | squirrel | OK
359. der Eierstock | ovary | OK
360. die Dividende | dividend | OK
361. der El | El | OK
362. der Endspurt | end sprint | IMPROVE: final spurt - Endspurt is idiomatically final spurt or final sprint.
363. die Energieeffizienzklasse | energy efficiency class | OK
364. der Entscheid | decision | OK
365. die Eroberung | conquest | OK
366. das Erwachsenwerden | growing up | OK
367. der Esprit | wit/esprit | OK
368. die Fahrplanauskunft | schedule information | OK
369. die Fangemeinde | admirer municipality | WRONG: fan community - Fangemeinde means fan base or fan community.
370. der Filz | felt/miser | OK
371. das Finanzwesen | finance/financial system | OK
372. der Fitnessraum | gym/fitness room | OK
373. der Forstwirt | silviculturist | OK
374. der Freitagmorgen | Friday morning | OK
375. der Fremdenverkehr | tourism | OK
376. der Fruchtsaft | fruit juice | OK
377. der Frühjahrsputz | spring cleaning | OK
378. das Tun | doing | OK
379. der Funktionär | functionary/official | OK
380. das Fürstentum | principality | OK
381. die Gastlichkeit | conviviality/hospitality | OK
382. das Geburtshaus | birth centre/birthing centre | OK
383. der Gewerbepark | business park | OK
384. die Gewichtszunahme | weight gain | OK
385. der Gips | cast/gypsum/orthopedic cast | OK
386. das Glasfaserkabel | fiberglass cable | WRONG: fibre optic cable - Glasfaserkabel means fiber/fibre optic cable, not generic fiberglass cable.
387. die Glashütte | glass factory/glassworks | OK
388. das Grabmal | tombstone | OK
389. das Grillgut | barbecue food/grillables/grills | OK
390. die Gülle | slurry/swill | OK
391. der Halbleiter | semiconductor | OK
392. der Hautarzt | dermatologist | OK
393. der Helikopter | helicopter | OK
394. die Überlieferung | deliverence/heritage/tradition | IMPROVE: tradition - ?berlieferung means tradition or transmission; deliverance is not correct here.
395. das Hochbeet | raised bed | OK
396. das Hospital | hospital | OK
397. die Hügellandschaft | hilly landscape | OK
398. das Idol | idol | OK
399. die Infusion | infusion | OK
400. der Inkubator | business incubator/incubator | OK
401. die Universitätsstadt | college town/university city/university town | OK
402. die Intrige | intrigue/plot/scheme | OK
403. die Irritation | irritation | OK
404. der Islamismus | Islamism | OK
405. das Kaiserreich | empire | OK
406. der Kanon | canon | OK
407. das Kartenspiel | card game/deck of cards/pack of cards | OK
408. die Kartierung | mapping/cartography | OK
409. die Katastrophenhilfe | disaster relief | OK
410. die Kehrseite | back/downside/flipside | OK
411. der Kiebitz | green plover/kibitzer/northern lapwing | OK
412. das Kinderfest | child celebration | WRONG: children's festival - Kinderfest means a children's festival or party.
413. die Kindergruppe | child group | OK
414. das Kohlekraftwerk | coal-fired power station | OK
415. die Konfirmation | confirmation | OK
416. der Konstrukteur | constructer/constructor/designer | OK
417. das Kontrastmittel | contrast agent/contrast medium | OK
418. das Krebsforschungszentrum | centre | WRONG: cancer research center - Krebsforschungszentrum is a cancer research center.
419. die Kreide | Cretaceous/chalk/crayon | OK
420. das Krisengebiet | conflict area/trouble area | OK
421. der Kühler | cooler/radiator | OK
422. der Kulturbesitz | cultural property | OK
423. die Kulturveranstaltung | cultural event | OK
424. die Kurzarbeit | furlough/short-time working | OK
425. die Kurzfassung | abridged version/short version | OK
426. der Landtagspräsident | Landtag chairman | IMPROVE: president of the state parliament - Landtagspr?sident is the president of a Landtag, not just a chairman.
427. die Laufleistung | mileage | OK
428. das Unterrichtsfach | school subject | OK
429. die Lenkung | steering | OK
430. die Leserschaft | readership | OK
431. das Lichtbild | photograph/passport photo | OK
432. der Verbrennungsmotor | CI engine/combustion engine/combustion motor | OK
433. das Lithium | lithium | OK
434. die Lockerung | easing/loosening/relaxation | OK
435. das Logistikunternehmen | logistics company | OK
436. die Malaria | malaria | OK
437. die Medikation | medication | OK
438. das Memorandum | memorandum | OK
439. das Mikro | mic/microphone | OK
440. der Urin | urine | OK
441. der Mittelmeerraum | Mediterranean area | OK
442. der Muttertag | Mother's Day | OK
443. die Nahrungssuche | foraging | OK
444. der Nationalstaat | nation state/nation-state | OK
445. die Neuanschaffung | new acquisition | OK
446. das Nickel | nickel | OK
447. die Notfallmedizin | emergency medicine | OK
448. der Ostdeutsche | east German | OK
449. die Paarungszeit | mating season | OK
450. das Pärchen | couple/pair | OK
451. die Parlamentswahl | parliament adoption | WRONG: parliamentary election - Parlamentswahl means parliamentary election, not parliament adoption.
452. der Pausenhof | playground/schoolyard | OK
453. der Pfirsich | peach | OK
454. der Ersatzteil | replacement part/spare part | OK
455. das Phishing | phishing | OK
456. der Phosphor | phosphorus | OK
457. die Plastikflasche | plastic bottle | OK
458. die Plausibilität | plausibility | OK
459. die Poliklinik | polyclinic | OK
460. die Polizeidirektion | police administration/police authority/police headquarters | OK
461. der Prälat | prelate | OK
462. die Praline | chocolate candy/praline | OK
463. der Preisnachlass | discount | OK
464. der Privatsender | broadcaster | WRONG: private broadcaster - Privatsender specifically means a private broadcaster/channel.
465. die Proportion | proportion | OK
466. die Prüfungsvorbereitung | audit preparation | WRONG: exam preparation - Pr?fungsvorbereitung means exam preparation, not audit preparation.
467. der Pub | pub | OK
468. die Ratenzahlung | payment by instalments/payment of an instalment | OK
469. die Rechtsanwältin | advocate/attorney/barrister | OK
470. die Rechtsanwaltskanzlei | law firm/law office | OK
471. der Rechtsextremist | right-wing extremist | OK
472. das Rechtssystem | legal system | OK
473. die Reisegruppe | tour group | OK
474. die Rektorin | headmistress | OK
475. die Repression | repression | OK
476. die Requisite | prop/requisite | OK
477. die Röhre | pipe/tube | OK
478. das Röhren | pipes/tubes/antlers (hunting) | WRONG: roaring/bellowing - Das R?hren is the act or sound of roaring, not plural tubes.
479. der Rückkehrer | returner | IMPROVE: returnee - R?ckkehrer is normally a returnee; returner is less idiomatic.
480. der Sanitätsdienst | medical service/ambulance service | OK
481. das Wasserwerk | water utility/water works/waterworks | OK
482. der Schlitz | fissure/fly/groove | OK
483. die Schnauze | snout | OK
484. das Schützenfest | shooting festival/marksmen's festival | OK
485. das Verkehrsunternehmen | transport company/transport operator | OK
486. der Selbstbehalt | deductible | OK
487. die Setzung | settlement/subsidence | OK
488. der Sicherheitsexperte | security expert | OK
489. die Sitzecke | domicile angle | WRONG: sitting area - Sitzecke means a sitting or seating area, not domicile angle.
490. die Sitzgruppe | domicile group | WRONG: seating group - Sitzgruppe means a set or group of seats, not domicile group.
491. das Spendengeld | donation money | OK
492. die Sphäre | sphere | OK
493. die Spielwiese | playground/playing field | OK
494. die Spinne | spider | OK
495. der Sportfreund | sports fan | OK
496. der Staatsbetrieb | States business | WRONG: state-owned enterprise - Staatsbetrieb means a state enterprise, not States business.
497. der Stachel | prickle/quill/spike | OK
498. das Steuergerät | electronic control unit | OK
499. die Strafverfolgungsbehörde | law enforcement agency | OK
500. die Strapaze | exertion/strain/trial | OK
501. der Straßenzug | row of buildings/street block | OK
502. die Studienreise | educational journey/study trip | OK
503. der Stundenlohn | hourly rate/hourly wage | OK
504. die Aufwendung | expense | OK
505. der Tippfehler | typing error/typo | OK
506. das Totholz | timber | WRONG: deadwood - Totholz means deadwood, not timber in general.
507. die Vernunft | good sense/intellect/reason | OK
508. die Tragweite | magnitude/range/scope | OK
509. die Trommel | drum | OK
510. der Turnus | rotation/cycle | OK
511. die Übersichtskarte | general map | OK
512. das Ungleichgewicht | disequilibrium/imbalance | OK
513. die Vereinheitlichung | standardisation | OK
514. die Verengung | narrowing/constriction | OK
515. die Verfärbung | discoloration/discolouration/stain | OK
516. der Vergleichstest | benchmark test | OK
517. die Verkündigung | annunciation | OK
518. der Verurteilte | convicted person | OK
519. die Verwandlung | metamorphosis/transformation | OK
520. die Vorerkrankung | disease | WRONG: pre-existing condition - Vorerkrankung means a previous illness or pre-existing condition.
521. der Vorgeschmack | foretaste | OK
522. der Wasserschaden | water damage | OK
523. der Wassersportler | water sports enthusiast/water sportsman | OK
524. der Werber | advertiser/suitor | OK
525. der Wikinger | Viking/viking | OK
526. die Wintersaison | winter season | OK
527. der Wintersport | winter sport | OK
528. der Wisent | European bison/wisent | OK
529. die Wohnlage | residential area | OK
530. der Zapfen | bung/cone/plug | OK
531. das Zeltlager | tent camp | OK
532. der Zement | cement/cementum/dental cement | OK
533. die Zunft | guild | OK
534. die Zwangsversteigerung | forcible auction | IMPROVE: forced sale/foreclosure auction - Zwangsversteigerung is a forced sale or foreclosure auction.
535. der Ahne | ancestor | OK
536. der Alleinstehende | single | OK
537. das Alpaka | alpaca | OK
538. der Ältestenrat | advice | WRONG: council of elders - ?ltestenrat is a council of elders/senior members, not advice.
539. das Ampere | ampere/ampère | OK
540. die Ablagerung | deposit | OK
541. die Anfeindung | hostility | OK
542. die Angleichung | alignment/harmonisation | OK
543. die Anwaltskanzlei | law firm/law office | OK
544. die Arbeitskleidung | working clothes/workwear | OK
545. das Ärgernis | annoyance | OK
546. der Arzneimittelhersteller | pharmaceutical manufacturer | OK
547. der Aschermittwoch | Ash Wednesday | OK
548. der AStA | student council (Allgemeiner Studierendenausschuss) | OK
549. der Atomausstieg | denuclearisation | IMPROVE: nuclear phase-out - Atomausstieg means phasing out nuclear power, not general denuclearisation.
550. der Attentäter | assassin | OK
551. das Aufenthaltsrecht | right of residence | OK
552. die Ausgangssituation | initial situation/point of departure/starting situation | OK
553. die Auslagerung | outsourcing/transfer | OK
554. die Auslosung | draw | OK
555. der Außenstehende | outsider/stranger | OK
556. die Autoimmunerkrankung | autoimmune disease | OK
557. die Bahncard | BahnCard (DB rail discount card) | OK
558. die Baumschule | tree nursery | OK
559. die Befriedigung | satisfaction | OK
560. der Bereichsleiter | department head/section manager | OK
561. die Bergwelt | mountain world/alpine world | OK
562. das Berichtsjahr | year under report | OK
563. der Bewegungsmelder | motion detector | OK
564. der Bienenstock | beehive | OK
565. der Bilderrahmen | picture frame | OK
566. die Biopsie | biopsy | OK
567. der Biss | bite/drive | OK
568. das Blutgerinnsel | blood clot/clot | OK
569. die Bootstour | boat tour | OK
570. die Brandstiftung | arson | OK
571. die Brise | breeze | OK
572. die Brüdergemeine | Moravian Church | OK
573. die Brustwarze | acromastium/mammary papilla/nipple | OK
