1. das Burgfräulein | castle Miss | WRONG: damsel of the castle - The current gloss is unidiomatic and mistranslates Fraeulein as the title Miss.
121. der Herstellungsprozess | manufacture lawsuit | WRONG: manufacturing process - The current gloss mistranslates Prozess as lawsuit.
122. das Erfrischungsgeld | refreshment dough | WRONG: refreshment allowance - Geld here means money/allowance, not dough.
123. der Erhebungszeitraum | survey period/collection period | OK
124. die Erholungspause | recovery break | OK
125. das Erinnerungsvermögen | memory | OK
126. die Erle | alder | OK
127. die Erlebnispädagogik | adventure education science | WRONG: experiential education - This is an educational approach, not adventure education science.
128. der Ermordete | murder victim | OK
129. die Erniedrigung | humiliation/indignity | OK
130. der Ernteertrag | crop harvest | WRONG: harvest yield - Ertrag means yield, not the act of harvesting.
131. die Erntemaschine | harvester/harvesting machine | OK
132. das Eröffnungsspiel | opening match | OK
133. die Erschaffung | creation | OK
134. die Ersetzung | replacement | OK
135. der Erstantrag | application | IMPROVE: initial application - Erst- adds the important meaning of first or initial.
136. der Erstflug | flight | IMPROVE: first flight - Erst- adds the important meaning of first.
137. die eSIM | eSIM | OK
138. die Europalette | Euro pallet | OK
139. die Evolutionstheorie | theory of evolution | OK
140. das Exerzitium | exercise/homework/spiritual exercises | OK
141. die Exklave | exclave | OK
142. der Exportweltmeister | export world champion | OK
143. die Extension | extension | OK
144. die Extravaganz | extravagance | OK
145. der Fachjargon | jargon/lingo | OK
146. der Fachwissenschaftler | subject specialist/academic expert | OK
147. der Fackellauf | torch relay | OK
148. die Fahrbahnmarkierung | road marking | OK
149. die Fahrbücherei | mobile library | OK
150. das Fahrgeräusch | noise | IMPROVE: driving noise - The current gloss is too broad for noise made by a vehicle.
151. die Fahrgeschwindigkeit | pace | WRONG: driving speed - Fahrgeschwindigkeit is vehicle/travel speed, not pace in general.
152. die Fahrgestellnummer | chassis number | OK
153. die Fahrradklingel | bicycle bell | OK
154. der Fahrradsattel | bicycle saddle | OK
155. der Fahrschüler | learner driver/student driver | OK
156. der Fahrstil | style of driving | OK
157. der Hoden | testicle/testicles | OK
158. die Fährverbindung | ferry affair | WRONG: ferry connection - The current gloss mistranslates Verbindung as affair.
159. das Fahrvergnügen | pleasure of driving | OK
160. die Falafel | falafel/felafel | OK
161. das Falschgeld | bad money/bogus money/counterfeit money | OK
162. die Falschinformation | information | WRONG: misinformation/false information - Falschinformation means false information, not information in general.
163. das Familienauto | family car | OK
164. das Familienbild | family idea | WRONG: family picture/family image - The current gloss is an unnatural literal rendering.
165. der Familienfilm | family film/family movie | OK
166. der Familiensinn | sense of family/family-mindedness | OK
167. die Familiensituation | family situation | OK
168. der Familientisch | family table | OK
169. das Fanzine | fanzine | OK
170. der Farbige | coloured | WRONG: person of color - The German noun refers to a person; the current English is only an adjective and has register issues.
171. das Farbpigment | colour pigment | OK
172. die Farbwahrnehmung | colour perception | OK
173. der Fasan | pheasant | OK
174. der Fassbinder | cooper | OK
175. die Fassungslosigkeit | consternation | OK
176. das Fastenbrechen | rake | WRONG: breaking the fast - Fastenbrechen means ending a fast, not a rake.
177. die Favoritin | favourite (female) | OK
178. der Fehlanreiz | incentive | WRONG: perverse incentive - Fehlanreiz is a wrong or counterproductive incentive.
179. die Feinkost | deli food/delicatessen/gourmet food | OK
180. die Feinstaubplakette | fine dust badge | WRONG: emissions sticker - Feinstaubplakette is the vehicle emissions sticker, not a literal dust badge.
181. die Feldmark | field march | WRONG: fields/land around a settlement - Feldmark is rural field land, not a march.
182. der Feldwebel | staff sergeant | OK
183. der Feldzug | campaign | OK
184. der Felsvorsprung | ledge | OK
185. das Fensterbrett | window board/window sill | OK
186. die Fensterfront | window front | OK
187. der Fensterladen | shutter | OK
188. das Feriendorf | holiday village | OK
189. das Festessen | banquet | OK
190. der Festredner | celebration lecturer | OK
191. die Feuerbestattung | cremation | OK
192. der Iban | Iban | OK
193. das Feuermachen | fire-making | OK
194. das Filmchen | short film/clip | OK
195. der Filmkritiker | film critic | OK
196. der Filmstar | film star/movie star | OK
197. der Finanzbeamte | revenue officer | OK
198. das Finanzgeschäft | financial transaction/financial business | OK
199. die Fingerfertigkeit | dexterity | OK
200. das Fingergelenk | finger ginglymus | WRONG: finger joint - Gelenk means joint; the current technical term is not useful learner English.
201. der Fingersatz | fingering | OK
202. der Firmling | confirmation candidate (Catholic) | OK
203. der Fischadler | fish eagle/osprey | OK
204. die Fischzucht | fish farming | OK
205. der Flachs | flax | OK
206. der Fleischfresser | carnivore | OK
207. das Fleischgericht | meat dish | OK
208. der Fleischwolf | meat chopper/meat grinder/mincer | OK
209. der Flicken | patch | OK
210. die Fließgeschwindigkeit | flow speed/flow velocity | OK
211. das Flipchart | flip chart | OK
212. die Flößerei | log driving | OK
213. der Flow | flow | OK
214. die Flüchtlingseigenschaft | refugee status | OK
215. die Flüchtlingssituation | refugee situation | OK
216. die Flüchtlingswelle | wave of refugees | OK
217. die Fluchtmöglichkeit | alignement chance | WRONG: escape option - The current gloss is nonsensical.
218. die Flugbahn | trajectory | OK
219. die Flugbegleiterin | flight attendant/stewardess | OK
220. der Flughafentransfer | airport transfer | OK
221. das Flugobjekt | flying object | OK
222. der Flugzeugbau | aircraft construction | OK
223. der Flussabschnitt | flow coupon | WRONG: river section - Fluss here means river, not flow.
224. die Flussgebietseinheit | river basin district | OK
225. das Flutlicht | floodlight | OK
226. die Flutwelle | tidal wave | OK
227. der Föderalist | federalist | OK
228. die Folgeerscheinung | consequence apparition | WRONG: aftereffect/consequence - Erscheinung is mistranslated literally as apparition.
229. die Folgerung | conclusion/consequence/deduction | OK
230. die Forschungsanlage | research facility | OK
231. das Forschungsflugzeug | research aeroplane | OK
232. die Fototapete | photo wallpaper | OK
233. das Fraktal | fractal | OK
234. die Franse | fringe | OK
235. die Fräsmaschine | milling machine | OK
236. die Frauenpower | female empowerment/women power | OK
237. der Freak | freak | OK
238. das Frei | free/free space | WRONG: day off/time off - Das Frei as a noun means time off, not free space.
239. der Freilauf | freewheel | OK
240. der Freizeitkontakt | leisure contact/social contact | OK
241. die Fremdbestimmung | calling | WRONG: external control/heteronomy - Fremdbestimmung means being determined by others, not calling.
242. der Frequenzumrichter | Judges | WRONG: frequency inverter - The current gloss is unrelated.
243. das Fresko | fresco | OK
244. das Frischfleisch | fresh meat | OK
245. der Frostschaden | frost damage/frostbite | OK
246. die Fruchtsäure | fruit acid | OK
247. die Frühphase | early phase/early stage | OK
248. der Führende | leader/leading figure | OK
249. die Immuntherapie | therapy | WRONG: immunotherapy - The compound specifies immune therapy, not therapy in general.
250. der Füllfederhalter | cartridge pen/fountain pen | OK
251. die Fünf | five | OK
252. der Fünftürer | five-door car | OK
253. das Fungizid | fungicide | OK
254. das Funktionselement | functional element | OK
255. die Funktionskleidung | functional clothing | OK
256. die Fürstin | princess | OK
257. der Furunkel | boil/furuncle | OK
258. die Fußballgeschichte | football history | OK
259. die Fußballliga | football league | OK
260. die Fußballnationalmannschaft | national soccer team | OK
261. das Fußballtraining | football practice | OK
262. die Fußgängerampel | traffic light for pedestrians | OK
263. der Fußraum | footwell | OK
264. die Fußstütze | footrest | OK
265. die Gämse | chamois | OK
266. die Gangschaltung | gear shift | OK
267. die Garküche | cookshop/street-food kitchen | OK
268. das Gartengelände | garden terrain | IMPROVE: garden area - Gelaende is an area or grounds; terrain is less useful here.
269. die Gartenschere | garden (pair of) scissors | OK
270. der Gartenschlauch | garden hose | OK
271. der Gaspreis | gas price | OK
272. das Gassigehen | ambulation | WRONG: walking the dog - Gassigehen is the idiom for taking a dog out.
273. der Gastdozent | guest docent | WRONG: guest lecturer - Dozent is lecturer; docent is not the usual learner gloss.
274. das Gästebett | bed | WRONG: guest bed - The compound specifies a guest bed, not any bed.
275. das Imperium | empire/imperium | OK
276. die Gastwirtschaft | inn | OK
277. der Gasverbrauch | gas consumption | OK
278. die Gaube | dormer | OK
279. das Geäst | boughs/branches | OK
280. die Gebärde | gesture/sign | OK
281. die Gebärmutterschleimhaut | uterus mucosa | WRONG: endometrium/uterine lining - The current gloss is an unnatural literal translation.
282. die Gebäudesubstanz | building substance | WRONG: building fabric/structure - Gebaeudesubstanz means the physical fabric of a building.
283. der Gebrauchswert | application price | WRONG: utility value - The current gloss mistranslates Wert as price.
284. der Gebrauchtwagenmarkt | second-hand car market | OK
285. der Geburtshelfer | (male) midwife | WRONG: obstetrician/birth attendant - Geburtshelfer is a birth professional, not simply a male midwife.
286. die Geburtsstätte | birthplace | OK
287. die Geburtstagstorte | birthday cake | OK
288. das Geflügelfleisch | poultry meat | OK
289. die Geflügelhaltung | poultry farming | OK
290. die Gefolgschaft | allegiance | WRONG: followers/retinue - Gefolgschaft refers to the following group, not allegiance itself.
291. der Gefühlsausbruch | emotional release | WRONG: emotional outburst - Ausbruch means outburst, not release.
292. die Gefühlslage | emotional state/state of mind | OK
293. das Gefühlsleben | emotional life | OK
294. das Gegenbeispiel | counterexample | OK
295. die Gegenreaktion | counterreaction | OK
296. der Geheimbund | secret society | OK
297. die Inflationsrate | inflation installment | WRONG: inflation rate - The current gloss mistranslates Rate as installment.
298. die Geiselnahme | hostage-taking/taking hostage/taking of a hostage | OK
299. das Geisternetz | ghost net | OK
300. die Geisteshaltung | mindset | OK
301. die Geldmenge | monetary aggregates/money stock/money supply | OK
302. das Geldvermögen | dough assets | WRONG: financial assets - The current gloss mistranslates Geld as dough.
303. die Geldverschwendung | dough extravagance | WRONG: waste of money - The current gloss is a literal mistranslation.
304. die Gelenkflüssigkeit | synovial fluid | OK
305. die Gelenkkapsel | articular capsule/joint capsule | OK
306. das Gemeindewappen | municipal coat of arms | OK
307. das Gemeingut | common good/common heritage/common property | OK
308. das Gemeinschaftseigentum | community ownership | OK
309. das Gemeinschaftskonto | community cash discount | WRONG: joint account - Gemeinschaftskonto is a shared bank account.
310. die Gemeinschaftsküche | communal kitchen | OK
311. der Gemeinsinn | community spirit | OK
312. die Gemengelage | mixed situation/complex situation | OK
313. der Genehmigungsantrag | approval application | OK
314. der Generalbevollmächtigte | chief representative/fully authorised representative | OK
315. die Generalisierung | generalisation | OK
316. die Generalklausel | comprehensive clause | IMPROVE: general clause - This is the standard legal term.
317. der Gerätetreiber | driver | IMPROVE: device driver - The compound specifies a computer device driver.
318. die Gerberei | tannery | OK
319. das Gerberviertel | tanners' quarter | OK
320. das Gerinnsel | clot/coagulum | OK
321. das Geröll | boulder/detritus/scree | OK
322. die Gerontologie | gerontology | OK
323. die Gerontopsychiatrie | psychiatry | WRONG: geriatric psychiatry - The compound specifies psychiatry for older people.
324. die Gesangsgruppe | singing group | OK
325. der Gesangverein | choral society/singing club | OK
326. das Geschlechtshormon | sex hormone | OK
327. das Informationsportal | information portal | OK
328. der Gestank | stench | OK
329. die Gestattung | permission | OK
330. der Gestus | gesture/bearing | OK
331. der Gesundheitsmanager | health manager | OK
332. das Getöse | bluster/deafening noise/din | OK
333. die Getränkedose | beverage can | OK
334. das Getreidefeld | grainfield | OK
335. der Getriebeschaden | gearbox damage/transmission damage | OK
336. der Gewaltausbruch | authority break-out | WRONG: outbreak of violence - Gewalt means violence here, not authority.
337. die Gewaltbereitschaft | willingness to use force/willingness to use violence | OK
338. das Gewaltmonopol | monopoly on violence | IMPROVE: monopoly on the use of force - This is the usual political/legal English term.
339. das Gewaltverbrechen | violent crime | OK
340. das Gewerkschaftsmitglied | trade unionist/unionist | OK
341. der Gichtanfall | gout attack | OK
342. die Giebelseite | Prussian carp angle | WRONG: gable end - The current gloss is nonsensical.
343. das Gis | G sharp | OK
344. die Glasfläche | glass area | OK
345. der Glasmacher | glassmaker | OK
346. die Glasscherbe | glass fragment | OK
347. das Glaukom | glaucoma | OK
348. das Gleisbett | track bed | OK
349. das Gleitschirmfliegen | paragliding | OK
350. das Glioblastom | glioblastoma | OK
351. die Glosse | gloss | OK
352. der Glücksgriff | choice/find | IMPROVE: lucky find - Gluecksgriff means a fortunate choice or find.
353. der Goldstandard | gold standard | OK
354. der Gospel | gospel (music) | OK
355. die Gottesmutter | Mother of God | OK
356. die Grabplatte | grave baldhead | WRONG: gravestone/grave slab - The current gloss mistranslates Platte.
357. der Granatapfel | pomegranate | OK
358. das Grandhotel | hotel | WRONG: grand hotel - The compound is not just any hotel.
359. die Wirtschaftsstruktur | economics structure | WRONG: economic structure - Wirtschafts- means economic; economics structure is unidiomatic.
360. die Grassilage | grass silage | OK
361. der Grat | burr/hip/ridge | OK
362. die Gratwanderung | balancing/piece of acrobatics/ridge walk | OK
363. die Grenznähe | border closeness | IMPROVE: border proximity - This is the more idiomatic gloss for Naehe.
364. die Grenzstadt | border town | OK
365. der Grenzverlauf | border course | OK
366. die Grenzziehung | demarcation/border drawing | OK
367. die Grippeschutzimpfung | vaccination | WRONG: flu vaccination - The compound specifies influenza vaccination.
368. die Großgemeinde | municipality | IMPROVE: large municipality - Gross- adds the meaning large.
369. der Großgrundbesitzer | large landowner | OK
370. der Großrechner | mainframe | OK
371. der Großstädter | city slicker/metropolitan | IMPROVE: big-city dweller - City slicker is colloquial and can sound pejorative.
372. die Groteske | grotesque | OK
373. die Grundannahme | basis acceptance | WRONG: basic assumption - Annahme means assumption, not acceptance here.
374. der Grundbesitzer | basis possessor | WRONG: landowner - Grund means land/property here, not basis.
375. das Gründungsjubiläum | foundation anniversary | OK
376. die Grundwasserabsenkung | descent | WRONG: groundwater lowering - The current gloss is too general and loses groundwater.
377. das Grünzeug | green stuff/greens | OK
378. die Gruppendynamik | group dynamics | OK
379. die Grütze | groats | OK
380. die Gurkenscheibe | cucumber slice | OK
381. die Gymnasiallehrerin | female | WRONG: female secondary school teacher - The current gloss omits the occupation.
382. der Haarspray | hair spray | OK
383. das Haff | lagoon | OK
384. das Hakenkreuz | fylfot/gammadion/hooked cross | IMPROVE: swastika - The current synonyms are obscure; swastika is the useful primary gloss.
385. der Halbfinal | semi-final (Swiss) | OK
386. der Halbkreis | hemicycle/semicircle | OK
387. die Halbwüste | semi-desert/semidesert | OK
388. die Halbzeitpause | half time/half-time/halftime | IMPROVE: half-time break - Halbzeitpause is specifically the interval, not just half time.
389. das Hallo | hallo | OK
390. die Halse | gybe (sailing) | OK
391. die Handbremse | hand brake/handbrake/parking brake | OK
392. der Handelskonzern | business combine | WRONG: trading group - The current gloss is unnatural and misleading.
393. das Handelsschiff | merchant ship/merchant vessel | OK
394. die Handelsware | merchandise/trading goods | OK
395. der Handwerksgeselle | journeyman | OK
396. der Handynutzer | mobile phone user | OK
397. das Handyverbot | mobile phone ban | OK
398. der Hänger | hanger/trailer/blank moment | OK
399. die Harke | rake | OK
400. die Harnwegsinfektion | urinary tract infection | OK
401. der Hashwert | hash value | OK
402. die Hassbotschaft | hate embassy | WRONG: hate message - Botschaft means message here, not embassy.
403. die Hasskriminalität | hate crime | OK
404. das Häufchen | small heap | OK
405. der Hauptgewinner | main winner | OK
406. der Hauptkonkurrent | main competitor | OK
407. das Hauptsacheverfahren | main thing action | WRONG: proceedings on the merits - This is a legal proceeding, not a main thing action.
408. der Hauptverdächtige | main suspect | OK
409. der Hausberg | local mountain | OK
410. die Hausdurchsuchung | house search | OK
411. die Häuserschlucht | canyon | IMPROVE: urban canyon/street canyon - The compound refers to a canyon-like street between buildings.
412. die Häuserzeile | row of houses | OK
413. der Hausflur | hallway | OK
414. die Hausgeburt | home birth | OK
415. die Haushaltsauflösung | household liquidation/clearing out a household | OK
416. die Haushaltskonsolidierung | budget consolidation | OK
417. das Haushaltsmitglied | household member | OK
418. die Hausstaubmilbe | dust mite | OK
419. die Häutung | moulting/shedding skin | OK
420. die Havarie | accident/damage/shipwreck | OK
421. die Heerschar | army/legion/multitude | OK
422. der Heiler | healer | OK
423. die Heilkunde | healing arts/medical science/medicine | OK
424. das Heimatdorf | home village | OK
425. der Heimathafen | home harbour | OK
426. die Heiratsurkunde | marriage certificate | OK
427. der Heizwert | heating value | OK
428. der Hektoliter | hectolitre | OK
429. das Heldentum | heroism | OK
430. der Hellseher | clairvoyant/seer | OK
431. der Hemmschuh | shoe | WRONG: obstacle - Hemmschuh figuratively means an impediment, not a shoe.
432. die Herabstufung | gradation | WRONG: downgrading - Herabstufung means a reduction in rank/status.
433. die Herbeiführung | command | WRONG: bringing about/inducement - The current gloss is unrelated to Herbeifuehrung.
434. das Herbstblatt | autumn leaf | OK
435. der Herkunftsnachweis | descent certificate | WRONG: proof of origin - Herkunft means origin, not descent in this document sense.
436. die Herkunftssprache | heritage language/language of origin | OK
437. die Hernie | hernia | OK
438. der Herrschaftsbereich | control area | OK
439. die Herrschaftszeit | control time | WRONG: reign - Herrschaftszeit means the period of rule.
440. die Rasse | breed/race/subspecies | OK
441. die Hessin | Hessian | OK
442. das Heulen | howl/roar | OK
443. der Hexenkessel | madhouse/nuthouse/witch's cauldron | OK
444. die Hexenverfolgung | witch-hunt/witch-hunting | OK
445. die Hexerei | witchcraft/witchery | OK
446. die Hintergrundinfo | background info | OK
447. der Hinterhalt | ambuscade/ambush/backing | OK
448. der Hinterteil | backside/behind | OK
449. das Hinterzimmer | back room/back shop | OK
450. die Hirnfunktion | brain function | OK
451. die Hirnrinde | cerebral cortex/cortex/cortex of brain | OK
452. der Hirntod | brain death/cerebral death/death of brain | OK
453. die Hitlerjugend | adolescence | WRONG: Hitler Youth - The current gloss is unrelated.
454. der Hobbyraum | hobby region | WRONG: hobby room - Raum means room here, not region.
455. das Hochgebirge | high mountains | OK
456. der Wohnungseigentümer | apartment owner/flat owner | OK
457. das Hochwasserrückhaltebecken | flood retention basin | OK
458. der Hofstaat | court | OK
459. das Hoftheater | court theater | OK
460. die Höhenlinie | contour line/isarithm/isoline | OK
461. der Hokkaido | Hokkaido (pumpkin) | OK
462. der Holocaustüberlebende | Holocaust survivor | OK
463. das Holozän | Holocene | OK
464. der Holzbalken | timber beam | OK
465. die Holzbank | timber bank | WRONG: wooden bench - Bank means bench here, not financial bank.
466. der Holzfäller | faller/feller/logger | OK
467. der Holzmarkt | lumber market/timber market/wood market | OK
468. das Holzmöbel | timber furniture | OK
469. die Holzskulptur | timber sculpture | OK
470. der Holzstab | wooden rod/wooden staff | OK
471. der Holzweg | wrong track (idiom) | OK
472. der Hormonspiegel | hormone level | OK
473. die Hörprobe | audio sample | OK
474. der Hörsturz | sudden deafness | OK
475. das Hortkind | after-school care child | OK
476. das Höschen | knickers/panties/short trousers | OK
477. die Hotellobby | hotel lobby | OK
478. der Hubschrauberlandeplatz | heliport | OK
479. der Hugenotte | Huguenot | OK
480. die Hühnerhaltung | chicken farming | OK
481. der Hühnerstall | chicken coop/hen house/henhouse | OK
482. das Hundertstel | hundredth | OK
483. die Hybris | hubris | OK
484. das Hygieneprodukt | hygiene product | OK
485. die Hyposensibilisierung | hyposensitisation | OK
486. der Ibis | ibis | OK
487. der Ideenaustausch | exchange of ideas | OK
488. der Identitätsdiebstahl | identity theft | OK
489. das Idyll | idyll | OK
490. der Imageschaden | image damage | OK
491. der Integrationsbeauftragte | integration commissioner | OK
492. der Immobilienboom | real estate boom | OK
493. die Impfdosis | dose | WRONG: vaccine dose - The compound specifies a vaccination dose.
494. der Impfpass | vaccination card | OK
495. der Inch | inch | OK
496. die Ironie | irony | OK
497. das Induktionskochfeld | induction cooker | OK
498. das Industriegebäude | industrial building/industry building | OK
499. die Infobroschüre | info brochure | OK
500. der Islamist | Islamist | OK
501. die Informationslücke | information gap | OK
502. der Informationstext | information text | OK
503. die Ingenieurgesellschaft | engineer company | WRONG: engineering company - Ingenieur- forms engineering in this compound.
504. die Ingenieurleistung | engineer benefit | WRONG: engineering services - Leistung means services/work here, not benefit.
505. die Ingenieurskunst | engineer art | WRONG: engineering skill - Kunst means craft/skill here, not art in the fine-art sense.
506. der Inhibitor | inhibitor | OK
507. die Initiation | initiation | OK
508. die Inkonsistenz | inconsistency | OK
509. der Inländer | domestic resident/native | OK
510. der Innenarchitekt | interior designer | OK
511. das Innovationspotential | innovation potential | OK
512. der Zählerstand | meter reading | OK
513. die Integralrechnung | integral calculus | OK
514. der Intercity | intercity train | OK
515. das Interim | arrangement/interim/meantime | OK
516. die Internetfirma | internet company | OK
517. der Internetprovider | Internet provider | OK
518. die Jahreszahl | date/year | OK
519. das Internierungslager | internment camp | OK
520. der Interpretationsspielraum | room for interpretation | OK
521. die Interviewpartnerin | interview partner (female) | OK
522. die Investorin | investor (female) | OK
523. der Iraker | Iraqi | OK
524. die Islamisierung | Islamisation | OK
525. der Islamwissenschaftler | Islam scientist | WRONG: Islamic studies scholar - Islamwissenschaft is Islamic studies, not Islam science.
526. der Israelit | Israelite | OK
527. die Iteration | iteration | OK
528. die Jahresangabe | year indication/year reference | OK
529. die Jahresbilanz | annual balance sheet | OK
530. die Jahrespressekonferenz | annual press conference | OK
531. der Kaiserschnitt | Caesarean section/abdominal delivery | OK
532. die Jazzszene | jazz scene | OK
533. der Jeside | Yazidi/Yezidi | OK
534. der Jetlag | jet lag/jet-lag/jetlag | OK
535. die Johanneskirche | St John's Church | OK
536. der Jordanier | Jordanian | OK
537. die Judenverfolgung | Jew chase | WRONG: persecution of Jews - Verfolgung means persecution, not chase.
538. die Jugendliebe | adolescence love | WRONG: youthful love/first love - Jugendliebe is love from youth, not adolescence love.
539. die Jugendseelsorge | care | WRONG: youth pastoral care - The current gloss is too broad and omits youth.
540. die Jugendsprache | youth language | OK
541. der Jugendtag | adolescence day | WRONG: Youth Day - Jugend means youth, not adolescence in this compound.
542. der Jungenname | name | WRONG: boy's name - The compound specifies a boy name.
543. die Jungfernfahrt | maiden voyage | OK
544. der Juniorpartner | junior associate | OK
545. der Junker | Junker | OK
546. die Jurte | yurt | OK
547. der Justizpalast | Law Courts/Palace of Justice | OK
