1. sein | be | OK
122. verÃ¶ffentlichen | publish | OK
123. denken | think | OK
124. Ã¶ffnen | open | OK
125. liefern | deliver/supply | OK
126. verlieren | lose | OK
127. betreffen | affect/concern | OK
128. richten | direct/aim | OK
129. erfÃ¼llen | fulfill | OK
130. feiern | celebrate | OK
131. fehlen | be missing/lack | OK
132. ergeben | result/yield | OK
133. prÃ¼fen | check/examine | OK
134. fordern | challenge/demand | OK
135. Ã¼berzeugen | convince | OK
136. genieÃŸen | enjoy | OK
137. betragen | amount to | OK
138. beteiligen | participate/involve | OK
139. erhÃ¶hen | increase/raise | OK
140. sichern | secure/protect | OK
141. berÃ¼cksichtigen | consider/take into account | OK
142. wÃ¼nschen | wish/want | OK
143. erzÃ¤hlen | tell/narrate | OK
144. verÃ¤ndern | change | OK
145. bestimmen | determine/rule | OK
146. achten | pay attention to/respect | OK
147. beitragen | contribute | OK
148. scheinen | seem/shine | OK
149. wirken | have an effect/seem | OK
150. schlieÃŸen | close/conclude | OK
151. eignen | be suitable | OK
152. umfassen | include/comprise | OK
153. aufbauen | build/build up | OK
154. fÃ¼hlen | feel | OK
155. beraten | advise/consult | OK
156. bauen | build/construct | OK
157. zahlen | pay | OK
158. beschreiben | describe | OK
159. abschlieÃŸen | complete/lock | OK
160. ankommen | arrive/depend on | OK
161. erÃ¶ffnen | open | OK
162. profitieren | profit | OK
163. diskutieren | discuss | OK
164. feststellen | determine/notice | OK
165. sammeln | collect/gather | OK
166. reichen | be enough/suffice | OK
167. vorbereiten | prepare | OK
168. auszeichnen | distinguish/award | OK
169. grÃ¼nden | found/establish | OK
170. sparen | save | OK
171. anpassen | adapt/adjust | OK
172. treten | step/kick | OK
173. besitzen | own/possess | OK
174. verkaufen | sell | OK
175. passieren | happen | OK
176. entsprechen | correspond to | OK
177. behandeln | cover/treat | OK
178. erweitern | expand/extend | OK
179. ergÃ¤nzen | add/supplement | OK
180. stÃ¤rken | strengthen | OK
181. warten | wait/maintain | OK
182. vertreten | represent | OK
183. organisieren | organise | OK
184. untersuchen | examine/investigate | OK
185. beziehen | refer to/obtain | OK
186. wachsen | grow | OK
187. angeben | state/indicate | OK
188. anzeigen | display/report | OK
189. passen | fit/suit | OK
190. bewegen | move | OK
191. dauern | last/take (time) | OK
192. kosten | cost/taste | OK
193. bezeichnen | describe/denote | OK
194. verhindern | prevent | OK
195. betreiben | operate/run | OK
196. anmelden | register/sign up | OK
197. verlassen | leave | OK
198. vermeiden | avoid | OK
199. lohnen | be worth it | OK
200. bestellen | order | OK
201. gewÃ¤hrleisten | guarantee/ensure | OK
202. glauben | believe | OK
203. herstellen | produce/manufacture | OK
204. auswÃ¤hlen | choose/select | OK
205. lÃ¶sen | solve/release | OK
206. erlauben | allow/permit | OK
207. wenden | turn/apply to | OK
208. unterscheiden | distinguish/differ | OK
209. vorsehen | plan/provide for | OK
210. bestÃ¤tigen | confirm | OK
211. ausgehen | go out/assume | OK
212. einstellen | set/hire/stop | OK
213. verpflichten | oblige/commit | OK
214. bezahlen | pay | OK
215. speichern | save/store | OK
216. sitzen | sit | OK
217. erinnern | remember/remind | OK
218. meinen | mean/think | OK
219. mÃ¶gen | like/may | OK
220. bitten | ask/request | OK
221. erwerben | acquire/obtain | OK
222. integrieren | integrate | OK
223. auftreten | appear/occur | OK
224. belegen | prove/occupy | OK
225. reduzieren | reduce | OK
226. festlegen | determine/define | OK
227. gefallen | please/like | OK
228. prÃ¤gen | shape/characterise | OK
229. laden | load/charge/invite | OK
230. melden | report | OK
231. betonen | emphasise/stress | OK
232. betreuen | take care of/look after | OK
233. einrichten | set up/furnish | OK
234. rechnen | calculate/expect | OK
235. mitteilen | communicate/inform | OK
236. studieren | study | OK
237. teilen | share/divide | OK
238. bewerben | apply | OK
239. vornehmen | carry out/intend | OK
240. beantworten | answer | OK
241. reagieren | react | OK
242. annehmen | accept/assume | OK
243. schauen | look/watch | OK
244. eingehen | go into/accept | OK
245. beschlieÃŸen | decide | OK
246. erzielen | achieve | OK
247. stammen | come from/originate | OK
248. engagieren | engage/hire | OK
249. leiten | lead/manage | OK
250. bewerten | evaluate/rate | OK
251. ersetzen | replace | OK
252. Ã¼berprÃ¼fen | check/review | OK
253. erlÃ¤utern | explain | OK
254. hinweisen | point out/indicate | OK
255. kÃ¼mmern | take care of | OK
256. testen | test | OK
257. ausstatten | equip/provide | OK
258. beobachten | observe/watch | OK
259. ermitteln | determine/investigate | OK
260. begrÃ¼ÃŸen | greet/welcome | OK
261. verzichten | do without/forgo | OK
262. stecken | put/be stuck | OK
263. verfolgen | pursue/follow | OK
264. sicherstellen | ensure/guarantee | OK
265. ansprechen | address/appeal to | OK
266. erheben | raise/charge | OK
267. abgeben | hand in/give | OK
268. verteilen | distribute | OK
269. Ã¼bertragen | transfer/broadcast | OK
270. wechseln | change/exchange | OK
271. produzieren | produce | OK
272. investieren | invest | OK
273. erfassen | record/capture | OK
274. enden | end | OK
275. fallen | fall | OK
276. erleichtern | make easier/facilitate | OK
277. benutzen | use | OK
278. betrachten | consider/look at | OK
279. holen | fetch/get | OK
280. ansehen | look at/watch | OK
281. wahrnehmen | perceive/notice | OK
282. erarbeiten | develop/work out | OK
283. regeln | regulate/arrange | OK
284. anlegen | create/invest | OK
285. buchen | book | OK
286. beantragen | apply for | OK
287. bearbeiten | edit/process | OK
288. verbringen | spend (time) | OK
289. austauschen | exchange/swap | OK
290. ausbauen | expand/develop | OK
291. klicken | click | OK
292. ausschlieÃŸen | exclude/rule out | OK
293. verleihen | lend/award | OK
294. hoffen | hope/trust | OK
295. schlagen | beat/hit | OK
296. umgehen | deal with/handle | OK
297. absolvieren | complete | OK
298. einfÃ¼hren | introduce/import | OK
299. verarbeiten | process | OK
300. fÃ¤llen | fell/make (a decision) | OK
301. versorgen | supply/take care of | OK
302. kennenlernen | get to know | OK
303. vergeben | forgive/award | OK
304. verlangen | demand/require | OK
305. vergessen | forget | OK
306. rufen | call/shout | OK
307. steigern | increase/improve | OK
308. widmen | dedicate | OK
309. vereinbaren | agree/arrange | OK
310. anfangen | begin/start | OK
311. wohnen | live | OK
312. drehen | turn/spin/shoot (film) | OK
313. klÃ¤ren | clarify | OK
314. lÃ¶schen | delete/extinguish | OK
315. erzeugen | produce/generate | OK
316. einbringen | introduce | OK
317. schicken | send | OK
318. essen | eat | OK
319. aufzeigen | show/demonstrate | OK
320. installieren | install | OK
321. vergleichen | compare | OK
322. lieben | love | OK
323. beenden | end/finish | OK
324. verdienen | earn/deserve | OK
325. vorlegen | present/submit | OK
326. sterben | die | OK
327. bereitstellen | provide/make available | OK
328. leiden | suffer | OK
329. garantieren | guarantee | OK
330. aufstellen | set up/establish | OK
331. finanzieren | finance | OK
332. mitbringen | bring along | OK
333. analysieren | analyse | OK
334. greifen | grab/reach | OK
335. ausfallen | fail/be cancelled | OK
336. entfernen | remove | OK
337. erfordern | require | OK
338. interessieren | interest | OK
339. nachweisen | prove/demonstrate | OK
340. aufweisen | feature | OK
341. beeinflussen | influence | OK
342. einreichen | submit | OK
343. gebÃ¤ren | give birth | OK
344. zulassen | allow/permit | OK
345. anschlieÃŸen | connect/join | OK
346. schÃ¤tzen | estimate/appreciate | OK
347. veranstalten | organise/host | OK
348. abhÃ¤ngen | depend on | OK
349. orientieren | orient/guide | OK
350. versprechen | promise | OK
351. werfen | throw | OK
352. realisieren | realise/implement | OK
353. zusammenarbeiten | cooperate/work together | OK
354. kombinieren | combine | OK
355. aktivieren | activate | OK
356. anschauen | look at/watch | OK
357. begeistern | inspire/excite | OK
358. einnehmen | take/occupy | OK
359. ausprobieren | try out | OK
360. kÃ¤mpfen | fight/struggle | OK
361. raten | advise/guess | OK
362. erkunden | explore | OK
363. vorkommen | occur/happen | OK
364. aufrufen | call/call up | OK
365. erteilen | give/issue | OK
366. optimieren | optimise | OK
367. bedienen | serve/operate | OK
368. landen | land | OK
369. lauten | be worded/read | OK
370. pflegen | care for/maintain | OK
371. klingen | sound | OK
372. ausfÃ¼hren | carry out/execute | OK
373. bedÃ¼rfen | need/require | OK
374. stimmen | be correct/vote | OK
375. berechnen | calculate/charge | OK
376. verletzen | injure/violate | OK
377. anwenden | apply/use | OK
378. ausreichen | suffice/be enough | OK
379. ausrichten | align/host | OK
380. zusammenstellen | compile/put together | OK
381. definieren | define | OK
382. abstimmen | vote/coordinate | OK
383. senden | send/broadcast | OK
384. verursachen | cause | OK
385. durchsetzen | enforce/prevail | OK
386. trennen | separate | OK
387. befassen | deal with | OK
388. errichten | build/establish | OK
389. eintragen | enter/register | OK
390. erledigen | take care of/finish | OK
391. messen | measure | OK
392. ankÃ¼ndigen | announce | OK
393. existieren | exist | OK
394. behalten | keep/remember | OK
395. sinken | sink/decline | OK
396. anerkennen | acknowledge/recognise | OK
397. auslÃ¶sen | trigger/cause | OK
398. herunterladen | download | OK
399. ausmachen | make up/turn off/matter | OK
400. tun | do | OK
401. gedenken | commemorate | OK
402. verbreiten | spread | OK
403. ablehnen | refuse/reject | OK
404. verraten | betray/reveal | OK
405. konzentrieren | concentrate/focus | OK
406. reden | talk/speak | OK
407. steuern | control/steer | OK
408. basieren | be based on | OK
409. eingeben | enter/input | OK
410. senken | lower/reduce | OK
411. verweisen | refer/point | OK
412. drohen | threaten | OK
413. begegnen | encounter/meet | OK
414. herausfinden | find out/discover | OK
415. zukommen | approach/be due to | OK
416. angehen | concern/tackle | OK
417. etablieren | establish | OK
418. entnehmen | take from/gather | OK
419. hinzufÃ¼gen | add | OK
420. kontrollieren | check/control | OK
421. fortsetzen | continue | OK
422. identifizieren | identify | OK
423. stoÃŸen | push/bump into | OK
424. einhalten | comply with/observe | OK
425. zunehmen | increase/gain weight | OK
426. verlaufen | proceed/go | OK
427. retten | rescue/save | OK
428. verschwinden | disappear | OK
429. verabschieden | say goodbye/pass (a law) | OK
430. binden | bind/tie | OK
431. flieÃŸen | flow | OK
432. danken | thank | OK
433. merken | notice/remember | OK
434. herrschen | rule/prevail | OK
435. einbeziehen | include | OK
436. ausgeben | spend/issue | OK
437. Ã¤uÃŸern | express | OK
438. antreten | begin/start | OK
439. registrieren | register/notice | OK
440. hÃ¤ngen | hang | OK
441. beweisen | prove | OK
442. unterliegen | be subject to | OK
443. abdecken | cover | OK
444. fÃ¼llen | fill | OK
445. auseinandersetzen | deal with/examine | OK
446. auffordern | request/urge | OK
447. auswirken | have an effect | OK
448. reisen | travel | OK
449. weitergeben | pass on | OK
450. unternehmen | undertake | OK
451. beauftragen | commission/hire | OK
452. besetzen | occupy/fill (a position) | OK
453. warnen | warn | OK
454. begrÃ¼nden | justify/establish | OK
455. besprechen | discuss | OK
456. fassen | grasp/hold | OK
457. verschaffen | provide/obtain | OK
458. deaktivieren | deactivate/disable | OK
459. mitnehmen | take along | OK
460. motivieren | motivate | OK
461. verlÃ¤ngern | extend/prolong | OK
462. festhalten | hold on to/record | OK
463. verbieten | forbid/prohibit | OK
464. wÃ¤hren | last | OK
465. ausbilden | train/educate | OK
466. aussprechen | pronounce/express | OK
467. drÃ¼cken | press/push | OK
468. erbringen | provide/produce | OK
469. einschrÃ¤nken | restrict/limit | OK
470. entfallen | be dropped/be omitted | OK
471. begrenzen | limit | OK
472. benennen | name/designate | OK
473. Ã¼bergeben | hand over | OK
474. akzeptieren | accept | OK
475. verringern | reduce/decrease | OK
476. zuordnen | assign/classify | OK
477. empfangen | receive/welcome | OK
478. auffallen | stand out/attract attention | OK
479. erwÃ¤hnen | mention | OK
480. schmecken | taste | OK
481. voraussetzen | presuppose/require | OK
482. beschrÃ¤nken | limit/restrict | OK
483. spÃ¼ren | feel/sense | OK
484. anregen | stimulate/suggest | OK
485. ausstellen | exhibit/issue | OK
486. verstÃ¤rken | strengthen/reinforce | OK
487. zurÃ¼ckkehren | return | OK
488. Ã¼berraschen | surprise | OK
489. fliegen | fly | OK
490. zeichnen | draw | OK
491. auswerten | analyse/evaluate | OK
492. gebieten | command/demand | OK
493. zustimmen | agree | OK
494. unterrichten | teach | OK
495. schenken | give (as a gift) | OK
496. gefÃ¤hrden | endanger | OK
497. kennzeichnen | characterise/mark | OK
498. kÃ¼ndigen | cancel/quit/fire | OK
499. versehen | equip/provide | OK
500. aufheben | pick up/keep/abolish | OK
501. aussetzen | expose/suspend | OK
502. ausÃ¼ben | exercise/practice | OK
503. zurÃ¼ckgehen | go back/decline | OK
504. aufgeben | give up/assign | OK
505. trainieren | train | OK
506. abnehmen | lose weight/decrease/take off | OK
507. rÃ¼cken | move | OK
508. Ã¼berschreiten | exceed | OK
509. treiben | drive/do (sports) | OK
510. abrufen | retrieve/call up | OK
511. ansteigen | increase/rise | OK
512. Ã¼ben | practice | OK
513. zerstÃ¶ren | destroy | OK
514. sperren | block/lock | OK
515. aktualisieren | update | OK
516. genÃ¼gen | suffice/be enough | OK
517. formulieren | formulate | OK
518. aufgreifen | pick up/take up | OK
519. ausfÃ¼llen | fill in/fill out | OK
520. bereiten | prepare/cause | OK
521. absehen | foresee/refrain from | OK
522. trinken | drink | OK
523. verpassen | miss | OK
524. stÃ¶ren | disturb | OK
525. singen | sing | OK
526. verzeichnen | record/register | OK
527. verwalten | manage/administer | OK
528. vorschlagen | suggest/propose | OK
529. beurteilen | judge/assess | OK
530. wecken | wake/arouse | OK
531. beleuchten | illuminate/shed light on | OK
532. klappen | work (out)/fold | OK
533. mitmachen | join in/participate | OK
534. belasten | burden/charge | OK
535. werben | advertise/recruit | OK
536. besichtigen | visit/view | OK
537. kommunizieren | communicate | OK
538. unterhalten | entertain/maintain/chat | OK
539. vereinen | unite | OK
540. erweisen | prove/show | OK
541. transportieren | transport | OK
542. eintreten | enter/occur | OK
543. zugreifen | access/grab | OK
544. erforschen | research/explore | OK
545. ablaufen | expire/proceed | OK
546. locken | lure/attract | OK
547. vorgehen | proceed | OK
548. abbauen | dismantle/reduce | OK
549. ablegen | put down/take (an exam) | OK
550. behaupten | claim | OK
551. kritisieren | criticise | OK
552. gebrauchen | use | OK
553. vernetzen | network/connect | OK
554. begeben | go/proceed | OK
555. erlernen | learn | OK
556. verknÃ¼pfen | link/connect | OK
557. auffÃ¼hren | list/perform | OK
558. einlÃ¶sen | redeem/cash | OK
559. konzipieren | conceive/design | OK
560. weiterleiten | forward/pass on | OK
561. abholen | pick up/collect | OK
562. verhalten | behave | OK
563. scheitern | fail | OK
564. zurÃ¼ckgreifen | fall back on/resort to | OK
565. abbilden | depict/map | OK
566. anrufen | call (on the phone) | OK
567. decken | cover | OK
568. erstrecken | extend/stretch | OK
569. wiederholen | repeat | OK
570. einsehen | understand/realise | OK
571. unterbringen | accommodate/house | OK
572. nachdenken | think/reflect | OK
573. bewahren | preserve/keep | OK
574. Ã¼berwachen | monitor/supervise | OK
575. vorantreiben | advance/push forward | OK
576. einbauen | install/build in | OK
577. auftauchen | appear/emerge | OK
578. hinterlassen | leave behind | OK
579. kochen | cook/boil | OK
580. absichern | safeguard/secure | OK
581. nachgehen | pursue/investigate | OK
582. versichern | assure/insure | OK
583. bewÃ¤ltigen | cope with/manage | OK
584. verstecken | hide | OK
585. wÃ¼rdigen | appreciate/acknowledge | OK
586. feststehen | be certain | OK
587. generieren | generate | OK
588. qualifizieren | qualify | OK
589. koordinieren | coordinate | OK
590. spezialisieren | specialise | OK
591. mieten | rent | OK
592. wandern | hike/wander | OK
593. blicken | look/glance | OK
594. fertigen | manufacture/produce | OK
595. verwandeln | transform/convert | OK
596. schneiden | cut | OK
597. anhÃ¶ren | listen to/sound | OK
598. ansetzen | schedule/set | OK
599. befragen | question/interview | OK
600. reinigen | clean | OK
601. weisen | point/show | OK
602. anstreben | strive for/aim at | OK
603. befreien | free/liberate | OK
604. Ã¼berwinden | overcome | OK
605. aufhalten | stop/delay | OK
606. erlangen | achieve/attain | OK
607. bedrohen | threaten | OK
608. ausweisen | identify/deport | OK
609. beeintrÃ¤chtigen | impair/affect | OK
610. vermuten | suspect/assume | OK
611. thematisieren | address/discuss | OK
612. bereitstehen | stand by | OK
613. hervorheben | emphasise/highlight | OK
614. ausgleichen | balance/compensate | OK
615. empfinden | feel/perceive | OK
616. verlegen | lay/relocate/misplace | OK
617. forschen | research | OK
618. auslegen | interpret/lay out | OK
619. einschÃ¤tzen | assess/evaluate | OK
620. zwingen | force/compel | OK
621. einleiten | initiate/introduce | OK
622. versenden | send/ship | OK
623. aussuchen | choose/select | OK
624. probieren | try/taste | OK
625. beseitigen | remove/eliminate | OK
626. geraten | get into/turn out | OK
627. verbrauchen | consume/use up | OK
628. ansiedeln | settle | OK
629. inspirieren | inspire | OK
630. platzieren | place | OK
631. verschieben | postpone/move | OK
632. auflÃ¶sen | dissolve/resolve | OK
633. ableiten | derive | OK
634. springen | jump | OK
635. spenden | donate | OK
636. variieren | vary | OK
637. verankern | anchor | OK
638. einkaufen | shop/buy | OK
639. abrunden | round off | OK
640. agieren | act/operate | OK
641. ausdrÃ¼cken | express | OK
642. unterstreichen | underline/emphasise | OK
643. mitwirken | participate/collaborate | OK
644. bergen | rescue/contain | OK
645. anstehen | be pending/queue | OK
646. wagen | dare/venture | OK
647. erstatten | reimburse/report | OK
648. knÃ¼pfen | tie/make (contacts) | OK
649. stoppen | stop | OK
650. angehÃ¶ren | belong to | OK
651. meistern | master/overcome | OK
652. erneuern | renew | OK
653. auszahlen | pay out/be worth it | OK
654. zubereiten | prepare (food) | OK
655. Ã¼berreichen | hand over/present | OK
656. bewirken | cause/bring about | OK
657. vorgeben | pretend/specify | OK
658. entfalten | unfold/develop | OK
659. kontaktieren | contact | OK
660. kopieren | copy | OK
661. bemÃ¼hen | make an effort/try | OK
662. versetzen | transfer/relocate | OK
663. entwerfen | design/draft | OK
664. begehen | commit/celebrate | OK
665. erproben | test/try out | OK
666. herausstellen | turn out/emphasise | OK
667. hervorgehen | result/emerge | OK
668. markieren | mark/highlight | OK
669. berechtigen | authorise/entitle | OK
670. verwirklichen | realise/achieve | OK
671. aufwachsen | grow up | OK
672. bÃ¼ndeln | bundle/combine | OK
673. ergreifen | seize/take | OK
674. heben | lift/raise | OK
675. Ã¼berlassen | leave to/hand over | OK
676. verschicken | send | OK
677. aufklÃ¤ren | enlighten/explain | OK
678. Ã¼bersetzen | translate | OK
679. zusammenkommen | come together/gather | OK
680. einholen | catch up/obtain | OK
681. vorbeugen | lean forward/prevent | OK
682. bemerken | notice/remark | OK
683. einfÃ¼gen | insert | OK
684. antworten | answer | OK
685. loben | praise | OK
686. weiterhelfen | help someone along | OK
687. beeindrucken | impress | OK
688. verfassen | write/compose | OK
689. zusammensetzen | assemble/be composed of | OK
690. beherrschen | master/dominate | OK
691. aufbereiten | process/prepare | OK
692. streichen | cancel/paint/delete | OK
693. kommentieren | annotate/comment | OK
694. entlasten | ease/relieve | OK
695. reflektieren | reflect | OK
696. einziehen | move in/collect | OK
697. erfreuen | please/delight | OK
698. vorbehalten | reserve | OK
699. einrÃ¤umen | admit/grant | OK
700. unterschreiben | sign | OK
701. anziehen | attract/dress | OK
702. aufkommen | arise/come up | OK
703. beheben | fix/remedy | OK
704. bevorzugen | prefer | OK
705. sanieren | renovate/redevelop | OK
706. vorschreiben | prescribe/require | OK
707. zugehen | approach | OK
708. aufteilen | divide/split | OK
709. demonstrieren | demonstrate | OK
710. herausgeben | publish/issue | OK
711. berufen | appoint/appeal | OK
712. schlafen | sleep | OK
713. verbergen | hide/conceal | OK
714. vertreiben | drive away/distribute | OK
715. bedenken | consider | OK
716. ehren | honour | OK
717. vereinfachen | simplify | OK
718. entspannen | relax | OK
719. umwandeln | convert/transform | OK
720. widersprechen | contradict | OK
721. brechen | break | OK
722. beschÃ¤digen | damage | OK
723. sensibilisieren | sensitise | OK
724. befÃ¼rchten | fear | OK
725. punkten | score points | OK
726. aufsuchen | visit/seek out | OK
727. einsteigen | get in/board | OK
728. anordnen | order/arrange | OK
729. zurÃ¼ckfÃ¼hren | attribute/trace back | OK
730. erkranken | fall ill | OK
731. absetzen | deduct/remove | OK
732. einlegen | insert | OK
733. unterzeichnen | sign | OK
734. widerspiegeln | reflect/mirror | OK
735. bereithalten | have ready | OK
736. beschleunigen | accelerate | OK
737. Ã¼berleben | survive | OK
738. berÃ¼hren | touch | OK
739. erfinden | invent | OK
740. initiieren | initiate | OK
741. tÃ¶ten | kill | OK
742. abschneiden | cut off/perform | OK
743. einstufen | classify/categorise | OK
744. rechtfertigen | justify | OK
745. bewÃ¤hren | prove itself | OK
746. aufbewahren | store/keep | OK
747. lachen | laugh | OK
748. auskommen | get by/manage | OK
749. kooperieren | cooperate | OK
750. losgehen | start/go off | OK
751. schieÃŸen | shoot | OK
752. servieren | serve | OK
753. bereichern | enrich | OK
754. genehmigen | approve/permit | OK
755. recherchieren | research/investigate | OK
756. tauschen | exchange/swap | OK
757. durchlaufen | go through/pass through | OK
758. hinterlegen | deposit | OK
759. nachfragen | inquire/follow up | OK
760. tanzen | dance | OK
761. schaden | harm/damage | OK
762. vertrauen | trust | OK
763. anhalten | stop/continue | OK
764. zertifizieren | certify | OK
765. erleiden | suffer/sustain | OK
766. erschweren | make more difficult | OK
767. bekanntgeben | announce | OK
768. nachkommen | comply with/follow | OK
769. umgeben | surround | OK
770. belohnen | reward | OK
771. verurteilen | condemn/sentence | OK
772. aufhÃ¶ren | stop/cease | OK
773. haften | be liable/stick | OK
774. heranziehen | consult/use | OK
775. lehren | teach | OK
776. waschen | wash | OK
777. zustehen | be entitled to | OK
778. brennen | burn | OK
779. freigeben | release/approve | OK
780. bekÃ¤mpfen | fight/combat | OK
781. betreten | enter | OK
782. packen | pack/grab | OK
783. schulen | train | OK
784. verteidigen | defend | OK
785. ausweiten | expand/extend | OK
786. schildern | describe | OK
787. basteln | do crafts/tinker | OK
788. nachvollziehen | understand/comprehend | OK
789. umstellen | switch/rearrange | OK
790. veranlassen | cause/arrange | OK
791. zulegen | gain/acquire | OK
792. lagern | store/camp | OK
793. verantworten | take responsibility for | OK
794. zusammenfassen | summarise | OK
795. ablÃ¶sen | replace/relieve | OK
796. drucken | print | OK
797. entsorgen | dispose of | OK
798. stÃ¼rzen | fall/overthrow | OK
799. Ã¼berarbeiten | revise/rework | OK
800. vermissen | miss | OK
801. einhergehen | go hand in hand with | OK
802. vergehen | pass/elapse | OK
803. wohlfÃ¼hlen | feel comfortable | OK
804. zurÃ¼ckgeben | return/give back | OK
805. angreifen | attack | OK
806. einschalten | turn on/intervene | OK
807. malen | paint/draw | OK
808. einplanen | plan/schedule | OK
809. ausnehmen | exclude/gut | OK
810. fungieren | act as/function as | OK
811. begreifen | understand/comprehend | OK
812. anfertigen | produce/make | OK
813. schieben | push/shove | OK
814. wiederfinden | find again | OK
815. gÃ¶nnen | not begrudge/treat oneself to | OK
816. verdanken | owe | OK
817. verkÃ¼rzen | shorten | OK
818. backen | bake | OK
819. erobern | conquer | OK
820. implementieren | implement | OK
821. gewÃ¤hren | grant | OK
822. abonnieren | subscribe | OK
823. befestigen | attach/fasten | OK
824. beherbergen | accommodate/house | OK
825. entgegennehmen | accept/receive | OK
826. fliehen | flee | OK
827. trauen | trust/dare/marry | OK
828. unterbrechen | interrupt | OK
829. zurÃ¼ckziehen | withdraw/pull back | OK
830. abwarten | wait/wait and see | OK
831. ausdrucken | print (out) | OK
832. ausschreiben | advertise/announce | OK
833. einschlieÃŸen | include/lock in | OK
834. eintauchen | dive in/immerse | OK
835. entgehen | escape/miss | OK
836. verkÃ¼nden | announce/proclaim | OK
837. einfallen | come to mind/occur | OK
838. anfÃ¼hlen | feel | OK
839. befÃ¶rdern | promote/transport | OK
840. korrigieren | correct | OK
841. schonen | spare/be easy on | OK
842. stÃ¼tzen | support/lean on | OK
843. abbrechen | break off/cancel | OK
844. anrechnen | credit/count | OK
845. blockieren | block | OK
846. minimieren | minimise | OK
847. vorwerfen | reproach/accuse | OK
848. abziehen | subtract/withdraw | OK
849. hinausgehen | go out/exceed | OK
850. zurÃ¼ckblicken | look back | OK
851. Ã¼bergehen | pass/skip over | OK
852. festsetzen | set/determine | OK
853. mischen | mix | OK
854. verstoÃŸen | violate/expel | OK
