1. beklatschen | applaud | OK
138. peitschen | flog/lash/whip | OK
139. pennen | sleep/crash | OK
140. pfropfen | graft | OK
141. piepen | beep/cheep | OK
142. pissen | drizzle/piss/spit | OK
143. ploppen | pop | OK
144. posaunen | play the trombone/trumpet | OK
145. puschen | push/boost | OK
146. quaken | croak/quack | OK
147. ramponieren | batter/ruin/spoil | OK
148. ratschen | chat | OK
149. referenzieren | reference | OK
150. rehabilitieren | rehabilitate | OK
151. reichmachen | enrich/make rich | OK
152. rekapitulieren | recapitulate | OK
153. resetten | reset | OK
154. restituieren | restitute | OK
155. reüssieren | have a success/succeed | OK
156. rubbeln | rub | OK
157. rumoren | make a noise/rumble | OK
158. rümpfen | wrinkle (one's nose) | OK
159. sacken | sink/sink in/slump | OK
160. säkularisieren | secularise | OK
161. salutieren | salute | OK
162. saubermachen | clean | OK
163. saufen | booze/drink | OK
164. säuseln | murmur/purr/whisper | OK
165. schänden | defile/desecrate/dishonour | OK
166. schlittern | slide | OK
167. schnaufen | breathe/breathe hard/wheeze | OK
168. schnüffeln | sniff/snuffle | OK
169. schönreden | gloss over/sugarcoat | OK
170. schrubben | scrub | OK
171. schwadronieren | rant/swagger | OK
172. schwängern | impregnate/make pregnant | OK
173. screenen | screen | OK
174. sekundieren | second | OK
175. seufzen | groan/sigh | OK
176. sieden | boil/seethe | OK
177. siezen | be on formal terms | OK
178. speien | spew/spit/vomit | OK
179. sputen | hurry | OK
180. steckenbleiben | become stuck/dry up/forget one´s line | OK
181. sticken | embroider | OK
182. stochern | poke | OK
183. stolzieren | strut | OK
184. stummschalten | mute | OK
185. stupsen | nudge/prod | OK
186. sündigen | indulge/sin | OK
187. tadeln | blame/censure/find fault with | OK
188. taggen | tag | OK
189. toasten | toast | OK
190. tollen | frolic/romp | OK
191. torkeln | reel/stagger | OK
192. transponieren | transpose | OK
193. tunneln | nutmeg | OK
194. überbezahlen | overpay | OK
195. überdehnen | overstretch/pull/stretch | OK
196. überreagieren | overreact | OK
197. umblättern | flip/page | OK
198. umherreisen | travel around | OK
199. umprogrammieren | reprogram/reprogramme | OK
200. umtopfen | repot | OK
201. uniformieren | dress in uniform; standardize | OK
202. unterminieren | undermine | OK
203. verbarrikadieren | barricade | OK
204. verbraten | squander/use up; fry | OK
205. verchromen | chromium-plate | OK
206. verfünffachen | increase fivefold/quintuple | OK
207. vergeigen | bungle/mess up | OK
208. verhehlen | conceal | OK
209. verklären | brighten up/glorify/liven up | OK
210. verlanden | silt up | OK
211. verleimen | bond/glue | OK
212. verquirlen | whisk | OK
213. verramschen | sell off cheaply | OK
214. versiegen | run dry | OK
215. verwehen | blow away | OK
216. verwirken | forfeit | OK
217. vorsortieren | presort | OK
218. vortreten | advance | OK
219. voten | vote | OK
220. walken | knead/full (textiles) | OK
221. walzen | mill/roll | OK
222. wegblasen | blow away | OK
223. weismachen | make believe/persuade | OK
224. weiterfliegen | continue one's flight/fly on | OK
225. witzeln | joke | OK
226. würgen | choke/gag/retch | OK
227. wuseln | scurry | OK
228. zelten | camp | OK
229. zerlassen | melt | OK
230. zermürben | wear down | OK
231. zerschießen | brick/hose/shoot | OK
232. zerschmettern | shatter/smash | OK
233. zerstückeln | dismember | OK
234. zukleistern | cover/plaster | OK
235. zurückerlangen | regain | OK
236. zurücktragen | carry back | OK
237. zusammenrufen | call together/convene/summon | OK
238. zusammenschreiben | write as one word/compile | OK
239. zusammenwerfen | lump together/pool/throw together | OK
240. abatmen | exhale | OK
241. abbaggern | excavate | OK
242. abbeißen | bite off | OK
243. abblättern | flake off/peel/peel off | OK
244. abblenden | dim/dip/stop down | OK
245. abbröckeln | crumble away/ease off | OK
246. abdreschen | thresh; overuse | OK
247. abernten | harvest/pick | OK
248. abfrieren | freeze off | OK
249. abhärten | harden/harden oneself/toughen | OK
250. abhusten | cough up/expectorate | OK
251. abisolieren | skin/strip | OK
252. abkacken | crash/die/pass out | OK
253. abklappern | canvass | OK
254. ablecken | lick clean/lick off | OK
255. abmähen | mow/scythe | OK
256. abnötigen | extort/wring out | OK
257. abrasieren | raze/shave off | OK
258. abspulen | reel off/unwind | OK
259. abstillen | wean | OK
260. abteilen | divide/group/hyphenate | OK
261. abtörnen | turn somebody off | OK
262. abzäunen | fence off | OK
263. abzwacken | cut off/pinch off | OK
264. adjustieren | adjust/issue | OK
265. akkumulieren | accumulate | OK
266. alternieren | alternate | OK
267. amalgamieren | amalgamate | OK
268. anbeißen | accept/bite/buy into | OK
269. anbellen | bark at | OK
270. anhaken | hook/tick off | OK
271. anlächeln | smile at | OK
272. anlachen | smile at | OK
273. annotieren | annotate | OK
274. anschleichen | come sneaking up/creep up on | OK
275. anschwärzen | blacken/denigrate | OK
276. anstupsen | nudge/poke | OK
277. argwöhnen | suspect | OK
278. arrondieren | round off/consolidate | OK
279. assimilieren | assimilate | OK
280. aufbahren | lay out | OK
281. aufbauschen | billow/blow up/exaggerate | OK
282. aufblinken | flash | OK
283. aufbrezeln | dress up/doll up | OK
284. auffädeln | string together/thread together | OK
285. aufnähen | patch/sew | OK
286. aufplatzen | burst | OK
287. aufprägen | emboss/imprint on/stamp | OK
288. aufprallen | crash into/collide with/bounce off | OK
289. aufschwimmen | float up; aquaplane | OK
290. aufstöhnen | groan | OK
291. aufstreben | aspire | OK
292. auftreffen | hit/impinge/strike | OK
293. aufzehren | burn oneself/eat up/exhaust | OK
294. auseinanderschrauben | unscrew | OK
295. ausflippen | flip out/freak out | OK
296. ausfransen | become frayed/fray | OK
297. ausgucken | case/look (everywhere) for/look out | OK
298. auskämpfen | battle it out/fight it out/fight out | OK
299. auskommentieren | comment out | OK
300. auslichten | prune/thin out | OK
301. auspeitschen | flagellate/flay/flog | OK
302. ausschütteln | shake out | OK
303. ausspeichern | save/export from storage | OK
304. austräumen | be over/come down to earth again | OK
305. auswringen | twist/wring/wring out | OK
306. ballern | shoot/bang | OK
307. befremden | disconcert | OK
308. begießen | water/pour over | OK
309. beieinanderstehen | stand together | OK
310. beiseitelassen | disregard/ignore/leave aside | OK
311. bellen | bark | OK
312. benebeln | fog/cloud; befuddle | OK
313. beratschlagen | deliberate | OK
314. bersten | asunder/break/burst | OK
315. bescheißen | pull a fast one/screw/swindle | OK
316. besolden | pay a salary/remunerate | OK
317. bespaßen | entertain | OK
318. biken | bike | OK
319. blondieren | bleach blond | OK
320. briefen | brief | OK
321. budgetieren | budget/budget for/draw up a budget | OK
322. casten | cast | OK
323. crawlen | crawl | OK
324. darben | pinch/starve/suffer want | OK
325. davonfahren | draw ahead/drive away/drive off | OK
326. davonziehen | march off/move ahead/move on | OK
327. dedizieren | dedicate | OK
328. deformieren | deform | OK
329. defragmentieren | defragment | OK
330. dekompilieren | decompile | OK
331. demolieren | demolish/vandalize | OK
332. desavouieren | compromise/disavow/expose | OK
333. destruieren | destroy | OK
334. dezentralisieren | decentralise | OK
335. dressieren | train | OK
336. durchfragen | ask/ask one after another/ask one after the other | OK
337. durchknallen | snap/go berserk | OK
338. egalisieren | equalise/level | OK
339. eifern | emulate/strive | OK
340. einflößen | infuse/instill | OK
341. einheften | file/staple in | OK
342. einnorden | orient | OK
343. einprasseln | pelt down/come pouring in | OK
344. einsagen | prompt | OK
345. einschwören | swear in | OK
346. eintopfen | pot | OK
347. eloxieren | anodise | OK
348. entbürokratisieren | cut bureaucracy | OK
349. enterben | disinherit | OK
350. entgelten | reward | OK
351. enträtseln | unravel | OK
352. entrinden | decorticate | OK
353. entrinnen | avoid/escape/run away from | OK
354. entschlafen | fall asleep; pass away | OK
355. entsprießen | emanate/issue from/spring | OK
356. entzaubern | disenchant/disenthrall | OK
357. erblassen | turn pale | OK
358. erküren | choose | OK
359. erlügen | fabricate | OK
360. ernüchtern | sober up; disillusion | OK
361. erodieren | erode | OK
362. erschaudern | shudder | OK
363. erschnüffeln | sniff | OK
364. erstversorgen | give first aid/provide initial care | OK
365. eskortieren | escort | OK
366. exekutieren | execute | OK
367. exhumieren | exhume | OK
368. explizieren | explicate | OK
369. exzerpieren | excerpt | OK
370. falzen | crimp/fold/groove | OK
371. fehlinterpretieren | misinterpret | OK
372. fertigmachen | beat up/blame oneself/bring somebody down | OK
373. filtrieren | filter/filtrate | OK
374. firmen | confirm | OK
375. flanken | cross | OK
376. forttragen | bear away | OK
377. freiräumen | clear | OK
378. fremdgehen | cheat/cheat on one's partner/have an affair | OK
379. frotzeln | tease | OK
380. fuchteln | wave about | OK
381. gabeln | branch/fork | OK
382. geifern | dribble/revile/slaver | OK
383. glotzen | gape/gawk | OK
384. gurgeln | gargle/gurgle | OK
385. häckseln | chip/shred | OK
386. hebeln | lever | OK
387. hecken | breed/hatch/produce | OK
388. heiligen | sanctify/consecrate | OK
389. heimzahlen | pay back | OK
390. hellen | bleach/brighten/discharge | OK
391. herausschmecken | taste | OK
392. herauswerfen | kick out/throw out | OK
393. herbeiholen | call for/fetch/summon | OK
394. herhören | listen | OK
395. herumfummeln | fiddle around/fumble | OK
396. herunternehmen | lower/take down | OK
397. herunterstufen | degrade/downgrade | OK
398. hervorbrechen | burst out/burst through/erupt | OK
399. heuern | enlist/hire | OK
400. hexen | astound/do wonders/practise witchcraft | OK
401. hinabgehen | descend/go down/walk down | OK
402. hinreichen | hand/suffice | OK
403. hintergehen | deceive | OK
404. hintragen | carry/take | OK
405. humpeln | hobble | OK
406. hypnotisieren | hypnotise | OK
407. indoktrinieren | indoctrinate | OK
408. industrialisieren | industrialise | OK
409. inhibieren | inhibit | OK
410. insistieren | insist | OK
411. internalisieren | internalise | OK
412. interpolieren | interpolate | OK
413. invertieren | invert | OK
414. ironisieren | ironise | OK
415. jäten | weed | OK
416. kandieren | candy/crystallise | OK
417. kannibalisieren | cannibalise | OK
418. karikieren | caricature/cartoon | OK
419. kellnern | wait tables/work as a waiter | OK
420. keuchen | gasp/wheeze | OK
421. klirren | clink | OK
422. kommerzialisieren | commercialise | OK
423. konfiszieren | confiscate | OK
424. konnotieren | connote | OK
425. konvergieren | converge | OK
426. konzedieren | admit/concede | OK
427. kriseln | (there is a crisis) loom(ing)/be in a crisis/come to a head | OK
428. kupieren | dock/crop; check/curb | OK
429. kurzhalten | keep short | OK
430. kurzschließen | short/short out/short-circuit | OK
431. kuschen | knuckle under/kowtow/lie down | OK
432. labern | blather/yap | OK
433. lasieren | varnish | OK
434. läutern | clarify/purge/purify | OK
435. leaken | leak | OK
436. leichtern | lighten | OK
437. losfliegen | fly off | OK
438. lupfen | lift | OK
439. lynchen | lynch | OK
440. maßregeln | censure/reprimand | OK
441. miauen | meow/mew/miaow | OK
442. missbilligen | disapprove | OK
443. mogeln | cheat | OK
444. mulchen | mulch | OK
445. murren | grumble/murmur | OK
446. nachäffen | ape/imitate/monkey | OK
447. nachbesetzen | backfill/fill a vacancy | OK
448. nachfahren | drive behind/follow/hunt a trail | OK
449. nachtreten | kick after; kick someone when they are down | OK
450. nassmachen | wet | OK
451. nebeneinandersitzen | sit next to each other | OK
452. nebeneinanderstehen | stand side by side | OK
453. neiden | envy | OK
454. niederknien | kneel down | OK
455. notlanden | make an emergency landing/force-land | OK
456. ohrfeigen | box someone's ears/slap | OK
457. onanieren | masturbate | OK
458. optieren | opt | OK
459. panaschieren | cross-vote/split one's vote; variegate | OK
460. partitionieren | partition | OK
461. pathologisieren | pathologise | OK
462. pauschalisieren | generalise | OK
463. peinigen | torment | OK
464. perpetuieren | perpetuate | OK
465. plappern | babble/chatter/gabble | OK
466. plattdrücken | flatten/squeeze flat | OK
467. plumpsen | flop/plump | OK
468. pochieren | poach | OK
469. politisieren | be politically active/make politically aware/politicise | OK
470. poltern | jangle/rant/rumble | OK
471. prellen | bounce/bruise/cheat | OK
472. prickeln | tingle | OK
473. puzzeln | puzzle | OK
474. quengeln | moan/whine | OK
475. quieken | squeal | OK
476. rausrutschen | slip out | OK
477. reinnehmen | take in/include/bring in | OK
478. rekurrieren | recur/refer back/appeal | OK
479. robben | crawl/creep | OK
480. röntgen | X-ray | OK
481. rotsehen | see red | OK
482. ruhigstellen | immobilise/sedate | OK
483. rülpsen | burp | OK
484. rumkriegen | cajole/pass the time | OK
485. rumpeln | rumble | OK
486. runzeln | crinkle/wrinkle | OK
487. scheffeln | accumulate/amass/pile up | OK
488. scheißen | fuck/shit/shit on | OK
489. schellen | jingle/ring | OK
490. scheuchen | shoo | OK
491. schillern | glisten/iridesce/shimmer | OK
492. schlechtmachen | badmouth | OK
493. schlingen | gobble/tie/wind around | OK
494. schludern | work sloppily/be careless | OK
495. schlurfen | shuffle | OK
496. schmähen | abuse/berate/blaspheme | OK
497. schmatzen | champ/chomp/smack | OK
498. schmollen | pout/sulk | OK
499. schraffieren | hatch | OK
500. schwindeln | cheat/feel dizzy/lie | OK
501. seilspringen | jump rope/skip rope | OK
502. sieben | shake out/sieve/sift | OK
503. spachteln | level out (with a spatula)/putty | OK
504. spähen | look out/peek/peer | OK
505. spaßen | joke | OK
506. steinigen | stone | OK
507. stelzen | stalk/strut | OK
508. strangulieren | strangle | OK
509. strippen | strip | OK
510. sublimieren | sublimate/sublime | OK
511. substanziieren | substantiate | OK
512. tänzeln | prance/sashay | OK
513. testieren | certify/attest | OK
514. timen | time | OK
515. titrieren | titrate | OK
516. topfen | pot | OK
517. töpfern | do pottery | OK
518. traben | trot | OK
519. tradieren | hand down | OK
520. traktieren | beat up/maltreat/pester | OK
521. trampen | hitchhike | OK
522. trotten | plod/trot/trudge | OK
523. überbleiben | be left | OK
524. überblenden | fade/fade over/outshine | OK
525. überdrehen | over-rev/overspeed/overwind | OK
526. übereinanderschlagen | cross/fold over each other; overlap | OK
527. überhandnehmen | increase uncontrollably/to get out of control | OK
528. überrunden | lap/outstrip | OK
529. überstimmen | defeat/outvote/override | OK
530. übertünchen | whitewash | OK
531. übervorteilen | cheat | OK
532. umentscheiden | change one's mind | OK
533. umformulieren | rephrase/restate | OK
534. umherirren | stray | OK
535. umladen | reload | OK
536. umpolen | change/change the polarity/reverse | OK
537. umringen | surround | OK
538. unken | predict the worst/prophesy doom | OK
539. unterjubeln | saddle with | OK
540. uploaden | upload | OK
541. urinieren | urinate | OK
542. verachtfachen | increase eightfold/octuple | OK
543. verängstigen | frighten/scare | OK
544. verbrühen | scald | OK
545. verdrücken | beat it/polish off | OK
546. verdursten | be dying of thirst/die from thirst/die of thirst | OK
547. verebben | ebb away | OK
548. verfeuern | burn/fire | OK
549. verfinstern | darken | OK
550. vergasen | fumigate/gas/gasify | OK
551. verkomplizieren | complicate | OK
552. verlautbaren | proclaim | OK
553. verleumden | asperse/backbite/calumniate | OK
554. vernageln | nail down/nail up | OK
555. verniedlichen | minimise/play something down | OK
556. verprassen | blow/fritter away/squander | OK
557. verpulvern | blow/throw away | OK
558. verquicken | amalgamate/bring together/combine | OK
559. versaufen | drown/inundate/waste on alcohol | OK
560. verschneiden | blend/intersect/neuter | OK
561. verschwören | conspire/plot | OK
562. versemmeln | screw up | OK
563. versklaven | enslave | OK
564. versohlen | spank | OK
565. verstaatlichen | nationalise | OK
566. verstauchen | sprain | OK
567. versteinern | be petrified/turn into stone | OK
568. vertelefonieren | spend on phone calls | OK
569. verunfallen | have an accident | OK
570. verwelken | wilt | OK
571. verwesen | decompose/rot | OK
572. verzapfen | spout/talk nonsense; tap | OK
573. vorausahnen | adumbrate/anticipate | OK
574. vorbacken | pre-bake | OK
575. vorbohren | predrill | OK
576. vorladen | subpoena/summon/summons | OK
577. vorschützen | pretend/use as a pretext | OK
578. warmmachen | warm up | OK
579. watscheln | waddle | OK
580. wegbleiben | stay away | OK
581. weglocken | entice away | OK
582. wegmachen | remove | OK
583. wegpusten | blow away | OK
584. weiterregieren | continue governing | OK
585. wetzen | sharpen/whet | OK
586. wiederauferstehen | rise from the dead | OK
587. wiederwollen | want (someone/something) back | OK
588. winseln | whimper/whine | OK
589. zähnen | teethe; tooth/serrate | OK
590. zanken | fight/quarrel | OK
591. zappen | channel-hop/channel-surf/zap | OK
592. zerfleddern | tatter | OK
593. zerplatzen | blow up/burst/explode | OK
594. zerreden | discuss to death | OK
595. zerspringen | shatter/burst | OK
596. zerstampfen | crush/mash/pound | OK
597. zerstäuben | spray | OK
598. zertrampeln | stomp/trample | OK
599. zertreten | crush/tread on | OK
600. zueinanderfinden | find each other/come together | OK
601. zuknöpfen | button up | OK
602. zumauern | wall up | OK
603. zurechtmachen | groom/prepare | OK
604. zurückentwickeln | regress/retrogress | OK
605. zurückrollen | roll back/roll back something | OK
606. zurückscheuen | shy away | OK
607. zurückschwimmen | swim back | OK
608. zusammenkneifen | pinch together/squeeze shut | OK
609. zusammenrühren | mix | OK
610. zusammensammeln | gather | OK
611. zusammenzucken | cringe/flinch/jump | OK
612. zuschließen | lock/lock up | OK
613. zutexten | talk someone's ear off/barrage with messages | OK
614. zweigen | branch off | OK
615. abblasen | blow away/blow the end/call off | OK
616. abfälschen | deflect | OK
617. abflachen | flatten out/go flat/level out | OK
618. abhacken | chop off | OK
619. abkratzen | kick the bucket/scrape | OK
620. abkündigen | announce cancellation/terminate | OK
621. abluchsen | wheedle out of/wangle | OK
622. abnabeln | become independent/become self-reliant/cut a baby's umbilical cord | OK
623. abputzen | clean off/clean up/plaster | OK
624. abqualifizieren | dismiss | OK
625. abreagieren | abreact/let off steam/work off | OK
626. abrüsten | disarm/take the scaffolding down | OK
627. abschaben | scrape/scrape off/wear thin | OK
628. abschmieren | grease/lubricate; crash; bribe | OK
629. abschmirgeln | abrade/rub off with emery/sand | OK
630. abschnüren | choke/cut off/have a stranglehold | OK
631. abschuppen | descale/scale | OK
632. abspannen | brace/guy; unharness | OK
633. adsorbieren | adsorb | OK
634. allokieren | allocate | OK
635. allozieren | allocate | OK
636. amnestieren | grant an amnesty/pardon | OK
637. anbaggern | flirt/hit on | OK
638. anbohren | bore into/drill for/drill into | OK
639. andichten | impute | OK
640. anfärben | dye/stain | OK
641. anfrieren | be damaged by frost/freeze/freeze on | OK
642. angeloben | inaugurate/swear in | OK
643. anketten | chain/chain up | OK
644. anknipsen | switch on | OK
645. anlabern | accost | OK
646. anläuten | ring the bell/call by phone | OK
647. anpingen | ping | OK
648. anrempeln | bump into | OK
649. anschleppen | tow/haul/drag in | OK
650. anschrauben | screw on/tighten a screw | OK
651. ansprühen | spray on | OK
652. approbieren | licence/qualify | OK
653. äsen | browse/graze | OK
654. aufdampfen | evaporate/vapour-deposit | OK
655. aufdröseln | disentangle/unravel | OK
656. aufgabeln | fork up/pick up | OK
657. aufhalsen | land/saddle | OK
658. aufklaren | brighten/clear | OK
659. aufknöpfen | button on/button to/unbutton | OK
660. auflöten | solder on | OK
661. aufmontieren | attach to/mount onto | OK
662. aufpflanzen | plant; mount/fix in place; plant oneself | OK
663. aufpicken | peck up/pick up | OK
664. aufrauen | roughen | OK
665. aufscheuchen | rouse/startle | OK
666. aufschwemmen | wash up; swell/bloat | OK
667. aufsprühen | spray on | OK
668. ausbooten | boot out/disembark/kick out | OK
669. ausbuhen | boo | OK
670. ausbüxen | abscond | OK
671. auseinanderbrechen | break/break apart/break up | OK
672. auseinanderbreiten | unfold | OK
673. auseinanderklappen | fold out | OK
674. auseinanderlaufen | break up/differ/disperse | OK
675. auseinandertreiben | break up/broaden/disperse | OK
676. ausfetten | grease | OK
677. ausformen | form/mould | OK
678. ausgrauen | grey out | OK
679. aushauchen | exhale/exude/whisper | OK
680. aushorchen | pump/sound someone out | OK
681. ausixen | cross out/ex out/x out | OK
682. ausklopfen | beat/knock out | OK
683. auskuppeln | declutch/disengage the clutch | OK
684. auslutschen | suck out | OK
685. ausposaunen | blazon abroad | OK
686. auspreisen | price/put a price tag on | OK
687. ausrangieren | discard/decommission | OK
688. ausräuchern | fumigate/smoke out | OK
689. aussägen | saw out | OK
690. aussaugen | suck out | OK
691. ausschaffen | deport/remove | OK
692. ausschlüpfen | hatch | OK
693. aussöhnen | reconcile | OK
694. auswalzen | laminate/roll/roll out | OK
695. ausweiden | disembowel | OK
696. auszehren | deplete | OK
697. auszischen | hiss | OK
698. auszupfen | pluck/pull | OK
699. beackern | plough/plough through/work on | OK
700. befehligen | command | OK
701. beflecken | stain | OK
702. beflocken | flock | OK
703. befühlen | feel | OK
704. beiseiteschaffen | get rid of/hide/stash away | OK
705. beistimmen | agree with/concur | OK
706. belauern | eye/spy/watch | OK
707. bemuttern | chaperon/cluck/mother | OK
708. bepreisen | price/put a price tag on | OK
709. berühmen | boast/cite/invoke | OK
710. besaufen | get drunk | OK
711. beschicken | load | OK
712. besohlen | sole | OK
713. besudeln | befoul/besmirch | OK
714. betupfen | dab/swab | OK
715. beweinen | bewail/beweep/mourn | OK
716. bimmeln | jingle | OK
717. blankziehen | draw/flash/strip | OK
718. blaumachen | skive | OK
719. blechen | cough up/fork up | OK
720. bluffen | bluff | OK
721. böllern | fire firecrackers/make loud bangs | OK
722. bonitieren | examine/rate | OK
723. brocken | pick | OK
724. brüskieren | affront | OK
725. buttern | butter/churn | OK
726. buzzern | buzz | OK
727. cachen | cache/geocache | OK
728. camouflieren | camouflage | OK
729. canceln | cancel | OK
730. chiffrieren | encipher/encrypt | OK
731. christianisieren | Christianise | OK
732. crashen | crash | OK
733. dahinraffen | carry off | OK
734. dahinschwinden | decline/dwindle/wane | OK
735. davonbrausen | speed off | OK
736. davonrennen | run away | OK
737. dazunehmen | add | OK
738. dazwischenkommen | come up/intervene | OK
739. dealen | deal | OK
740. dechiffrieren | decipher/decrypt | OK
741. degustieren | taste/sample | OK
742. dehydrieren | become dry/dehydrate/dehydrogenise | OK
743. deklassieren | outclass/demote | OK
744. dekolonisieren | decolonise | OK
745. demaskieren | unmask | OK
746. denominieren | denominate | OK
747. designieren | designate | OK
748. detaillieren | detail/give full details of something/specify | OK
749. dezidieren | decide | OK
750. dicken | thicken | OK
751. dippen | dip/dip the flag | OK
752. diskontieren | discount | OK
753. dispensieren | dispense | OK
754. dispergieren | disperse | OK
755. dissen | dis/diss | OK
756. doppelklicken | double-click | OK
757. draften | draft | OK
758. dreiteilen | trisect | OK
759. drillen | drill | OK
760. dritteln | trisect | OK
761. dünken | meseems/methinks/seem | OK
762. durchbiegen | bend/bend back/sag | OK
763. durchdehnen | stretch completely | OK
764. durchfeuchten | soak through | OK
765. durchschwimmen | swim through/across | OK
766. durchtränken | saturate | OK
767. dynamisieren | dynamise | OK
768. ehelichen | marry | OK
769. einbalsamieren | embalm | OK
770. einheben | collect/levy/lift | OK
771. einkoppeln | couple into/inject | OK
772. einkriegen | calm down | OK
773. einlullen | lull | OK
774. einrenken | set right; set a joint | OK
775. einsauen | make dirty | OK
776. einschiffen | embark | OK
777. einschwimmen | swim in; get into one's rhythm | OK
778. einseifen | soap/soap up | OK
779. einsickern | seep | OK
780. eislaufen | ice-skate/skate | OK
781. emporschießen | jump up/mushroom/run up | OK
782. entblöden | to have the effrontery to do something | OK
783. entehren | dishonor/dishonour | OK
784. entflechten | detangle/disentangle/split | OK
785. entgegenschleudern | hurl against/hurl towards | OK
786. entgegenwerfen | fling oneself into something/throw at/throw oneself in somebodys way | OK
787. entgräten | bone | OK
788. entmüllen | clear (sth) out/declutter | OK
789. entsagen | renounce | OK
790. entschweben | float away | OK
