1. der Milchpreis | price for milk | OK
99. die Niedrigzinspolitik | policy | WRONG: low-interest-rate policy - the current gloss omits the compound's main meaning
100. der Nierenstein | kidney stone/renal calculus | OK
101. die Nierentransplantation | kidney transplant | OK
102. der Nieselregen | drizzle | OK
103. der Nießbrauch | usufruct | OK
104. der Nissan | Nissan | OK
105. das Nitrit | nitrite | OK
106. die Nixe | mermaid | OK
107. die Nocke | cam/lobe | OK
108. der Sichtschutz | privacy screen | OK
109. der Nordhang | northern slope | OK
110. das Nordufer | north bank | OK
111. die Normalverteilung | Gaussian distribution/normal distribution | OK
112. der Notfallseelsorger | emergency minister | WRONG: emergency chaplain/crisis counsellor - Seelsorger is pastoral care, not a government minister
113. der Notizzettel | memo/notepad | OK
114. die Novemberwoche | week in November | OK
115. die Nullstelle | zero | OK
116. der Numerus | number | OK
117. die Nutrition | nutrition | OK
118. das Nylon | nylon/nylons | OK
119. die Obacht | attention/care | OK
120. die Obdachlosenhilfe | help | WRONG: homeless assistance/help for the homeless - the current gloss is too generic and omits Obdachlosen-
121. die Oberbürgermeisterwahl | Lord Mayor adoption | WRONG: mayoral election/Lord Mayor election - Wahl means election, not adoption
122. die Oberflächenbehandlung | surface dressing/surface treatment | OK
123. die Oberin | Mother Superior | OK
124. das Oberlicht | fanlight/skylight/transom window | OK
125. die Oberlippe | upper lip | OK
126. der Oberstleutnant | Lieutenant Colonel/Wing Commander | OK
127. der Obolus | obol | OK
128. der Obstsalat | fruit salad | OK
129. der Offenstall | boxing agency | WRONG: open stable - Offenstall is a livestock stable, not a boxing agency
130. die Öffentlichkeitsfahndung | public search | OK
131. die Ökonomin | economist | OK
132. die Oktoberrevolution | October Revolution | OK
133. der Ölkonzern | oil company | OK
134. die Ölkrise | oil crisis/oil shock | OK
135. die Ölraffinerie | oil refinery | OK
136. die Ölreserve | oil reserve | OK
137. der Olympiasieg | victory | WRONG: Olympic victory - the current gloss omits Olympia-
138. die Ombudsfrau | ombudswoman | OK
139. der Onlineservice | online service | OK
140. der Softwarehersteller | software manufacturer | OK
141. das Opium | opium | OK
142. der Opportunist | opportunist/temporizer/timeserver | OK
143. der Oralsex | oral sex | OK
144. der Orbit | orbit | OK
145. die Orchideenart | orchid species | OK
146. der Ordinarius | full professor/ordinary | OK
147. das Ordnungsgeld | administrative fine | OK
148. der Organizer | organiser | OK
149. die Orientalistik | Oriental studies | OK
150. die Orientierungslosigkeit | disorientation | OK
151. die Orthographie | orthography/spelling | OK
152. das Ortsverzeichnis | place directory/gazetteer | OK
153. der Ossi | East German | OK
154. der Osterbrunnen | Easter Well | OK
155. das Osterlamm | east lamb | WRONG: Easter lamb - Oster- means Easter, not east
156. die Osternacht | east night | WRONG: Easter Vigil/Easter night - Oster- means Easter, not east
157. das Osternest | Easter nest/Easter basket | OK
158. das Ostseebad | bath | WRONG: Baltic seaside resort - Ostseebad is a Baltic resort, not a bath
159. das Oszilloskop | oscilloscope | OK
160. der Paartanz | dance | WRONG: couple dance/partner dance - Paar- means couple here
161. der Pachtpreis | lease price | OK
162. der Pachtzins | rent/lease payment | OK
163. das Packeis | pack ice/pack-ice | OK
164. die Pak | AT gun/anti-tank artillery/anti-tank gun | OK
165. die PaK | anti-tank gun (Panzerabwehrkanone) | OK
166. das Pamphlet | pamphlet | OK
167. die Panade | breading | OK
168. der Pandabär | giant panda/panda/panda bear | OK
169. die Papeterie | stationery shop | OK
170. die Papiertapete | document wallpaper | WRONG: paper wallpaper - Papier means paper, not document
171. der Parabelflug | parabolic flight | OK
172. die Parallelgesellschaft | parallel society | OK
173. das Paralleluniversum | parallel universe | OK
174. die Paranuss | Brazil nut | OK
175. der Pardon | pardon | OK
176. das Solarium | sunbed/tanning bed | OK
177. das Parlamentsgebäude | parliament building | OK
178. das Parteiengesetz | party act | IMPROVE: Political Parties Act - party act is ambiguous in English
179. die Parteizentrale | party central office | IMPROVE: party headquarters - this is the usual English term
180. das Passepartout | master key/passkey | IMPROVE: mat/passepartout/master key - the current gloss misses the common picture-mat sense
181. das Passionsspiel | passion play | OK
182. die Passivität | passivity | OK
183. das Passivrauchen | passive smoking | OK
184. die Pathogenese | genesis | WRONG: pathogenesis - the word is the medical term pathogenesis
185. der Patriotismus | patriotism | OK
186. die Patrouille | patrol | OK
187. der Pausenraum | break room | OK
188. der Peak | peak | OK
189. der Peiniger | tormentor | OK
190. die Peinlichkeit | awkwardness/scrupulousness | WRONG: embarrassment/awkwardness - scrupulousness is a different meaning
191. die Pendlerin | commuter (female) | OK
192. das Pensum | workload | OK
193. der Pep | pep | OK
194. der Perfektionist | perfectionist | OK
195. die Perforation | ration | WRONG: perforation - the current gloss drops the initial syllable
196. die Perlenkette | Perl catenary | WRONG: pearl necklace/string of pearls - Perl catenary is a mistranslation
197. die Personalerin | HR officer (female) | OK
198. die Personalverantwortung | personnel responsibility | OK
199. der Peruaner | Peruvian | OK
200. die Peterskirche | St. Peter's Church | OK
201. das Pferdchen | little horse | OK
202. der Pferdekopf | horse head | OK
203. der Pferdeschwanz | horse's tail/pony-tail/ponytail | OK
204. das Pflanzloch | plant hole | OK
205. die Pflegehilfskraft | nursing assistant/care assistant | OK
206. der Pflichttermin | business date | WRONG: mandatory appointment - Pflichttermin is an obligatory appointment, not a business date
207. der Pharmakologe | pharmacologist | OK
208. der Sommerurlaub | summer furlough | WRONG: summer vacation/summer holiday - Urlaub is vacation or holiday, not furlough here
209. die Phoniatrie | phoniatrics | OK
210. die Photosynthese | synthesis | WRONG: photosynthesis - the current gloss is only the suffix, not the full word
211. der Physiklehrer | physics teacher | OK
212. das Physikstudium | physics studies | OK
213. die Picknickdecke | picnic blanket | OK
214. der Picknickkorb | picnic basket | OK
215. der Pickup | pickup/pickup truck | OK
216. das Pik | spade/spades (card suit) | OK
217. die Pirouette | pirouette | OK
218. der Plagegeist | pest | OK
219. die Plasmaphysik | plasma physics | OK
220. der Plastikbecher | plastic cup | OK
221. der Plastikbeutel | plastic bag | OK
222. die Podologie | chiropody/podiatry | OK
223. die Poetik | poetics | OK
224. das Pokemon | Pokémon | OK
225. der Polizeigewahrsam | police arrest | WRONG: police custody - Gewahrsam means custody, not arrest
226. die Polizeigewerkschaft | police trade union/police union | OK
227. die Pollenallergie | pollen allergy | OK
228. das Polygon | polygon | OK
229. die Polyneuropathie | polyneuropathy | OK
230. der Poncho | poncho | OK
231. die Populationsgröße | population quantity | WRONG: population size - Groesse means size here, not quantity
232. die Pornographie | pornography | OK
233. die Portabilität | portability | OK
234. die POS | point of sale | OK
235. die Posaune | trombone | OK
236. die Postadresse | mail address | OK
237. die Postmoderne | postmodernism | OK
238. die Poststraße | mail road | WRONG: Poststrasse/post road - mail road is not idiomatic for the street name or term
239. das Postulat | axiom/posit/postulate | OK
240. das Postwertzeichen | character | WRONG: postage stamp - Postwertzeichen is a stamp, not a character
241. die Präsidentenwahl | presidential election | OK
242. die Sonderzahlung | probe payment | WRONG: special payment - Sonder- means special, not probe
243. der Präzedenzfall | precedent | OK
244. die Preisfrage | price issue | WRONG: prize question/key question - Preisfrage is not a price issue
245. der Preissprung | price crack | WRONG: price jump - Sprung means jump here, not crack
246. das Prequel | prequel | OK
247. das Pressezentrum | press centre | OK
248. der Priel | tidal creek/tidal gully/tide-way | OK
249. die Primatenart | primate species | OK
250. der Prior | prior | OK
251. das Privatgespräch | conversation | WRONG: private conversation - the current gloss omits Privat-
252. die Privatuniversität | private university | OK
253. der Speisesaal | dining hall/dining room/refectory | OK
254. das Privatzimmer | private room | OK
255. die Spitzengruppe | leading group | OK
256. die Programmplanung | programming/scheduling | OK
257. die Programmzeitschrift | channel journal | WRONG: TV/radio listings magazine/program guide - Programmzeitschrift is a listings magazine
258. der Projektingenieur | project engineer | OK
259. das Proletariat | proletariat | OK
260. die Promovendin | doctoral candidate (female) | OK
261. die Pröpstin | provost | OK
262. die Prothetik | prosthetics | OK
263. die Prüfungslehrprobe | exam teaching sample | OK
264. die Pseudonymisierung | pseudonymisation | OK
265. die Psychotherapeutenkammer | psychotherapist chamber | OK
266. das Publikationsorgan | publication organ | IMPROVE: journal/publication/mouthpiece - publication organ is an unnatural calque
267. die Pulle | bottle | OK
268. der Pulsar | pulsar | OK
269. der Puppenspieler | puppet master/puppeteer | OK
270. der Putschversuch | coup attempt/coup bid | OK
271. die Putzhilfe | plaster help | WRONG: cleaning help/cleaner - Putz- means cleaning here, not plaster
272. das Putzmittel | cleaning agent | OK
273. die Pyrolyse | pyrolysis | OK
274. der Quader | cuboid/rectangular cuboid/rectangular parallelepiped | OK
275. das Qualifikationsspiel | qualifying match/qualification game | OK
276. die Qualitätssicherungsmaßnahme | action | WRONG: quality assurance measure - the current gloss omits the compound's meaning
277. der Qualitätswein | quality grape | WRONG: quality wine - Wein means wine, not grape
278. die Quantenmechanik | quantum mechanics | OK
279. der Quellentext | source text | OK
280. der Quellfluss | fountain flow | WRONG: source river/headstream - Quellfluss is a river source or headstream
281. die Quotierung | quota system | OK
282. der Radiator | radiator | OK
283. das Radioteleskop | radio telescope | OK
284. die Radiowerbung | radio advertisement | OK
285. der Rahm | cream | OK
286. der Randalierer | rioter | OK
287. die Randnotiz | edge note | IMPROVE: marginal note/side note - edge note is a literal calque
288. der Randstreifen | edge strip/shoulder | OK
289. die Randzone | edge zone | OK
290. der Rapport | report | OK
291. die Rasierklinge | razor blade | OK
292. die Raspel | rasp | OK
293. die Rassel | rattle | OK
294. die Rassendiskriminierung | racial discrimination | OK
295. der Raubfisch | predatory fish | OK
296. der Raubvogel | bird of prey/raptor | OK
297. der Raubzug | raid | OK
298. das Rauchgas | flue gas | OK
299. die Raumforschung | space research | WRONG: spatial research - Raumforschung here is regional/spatial research, not outer-space research
300. das Rauschmittel | intoxicant | OK
301. der Rausschmiss | sacking | OK
302. der Rauswurf | expulsion | OK
303. der Reaktorunfall | reactor accident | OK
304. der Real | real | OK
305. die Reblaus | grapevine louse | OK
306. der Rechen | rake | OK
307. die Rechenoperation | arithmetic operation | OK
308. der Rechtsbruch | breach of law | OK
309. die Rechtsgeschichte | legal history | OK
310. die Rechtshandlung | law act | WRONG: legal act - Rechts- means legal here, not law as an adjective
311. die Rechtspersönlichkeit | law personality | WRONG: legal personality - the standard legal term is legal personality
312. der Recorder | order | WRONG: recorder - the current gloss is a different word
313. die Recyclinganlage | recycling plant | OK
314. das Rednerpult | lecturer lectern | WRONG: lectern/speaker's podium - Rednerpult is for a speaker, not a lecturer specifically
315. das Reet | reed | OK
316. der Referee | referee | OK
317. der Referenzpunkt | point of reference | OK
318. die Reformbewegung | reform movement | OK
319. die Regenmenge | amount of rain/rainfall | OK
320. die Regenrinne | gutter | OK
321. die Regentonne | rain barrel | OK
322. das Regierungsmitglied | government member | OK
323. das Regierungssystem | government structure | OK
324. die Reglung | regulation | OK
325. der Regress | regress | IMPROVE: recourse - regress is rare and misleading as a learner gloss
326. der Regulator | regulator | OK
327. das Rehazentrum | rehab centre | OK
328. der Reibekuchen | fried mashed potatoes/fried potato patty/latke | IMPROVE: potato pancake/latke - fried mashed potatoes is misleading
329. der Reibungsverlust | friction loss | OK
330. die Reisebedingung | travel condition | OK
331. der Reisebegleiter | travel companion | OK
332. die Reisebeschreibung | book of travel/description of a journey/itinerary | OK
333. die Reisekasse | travel fund | OK
334. der Reisekonzern | travel group/travel company | OK
335. der Reiseverlauf | itinerary/course of the trip | OK
336. das Reiskorn | grain of rice | OK
337. das Reißbrett | drawing board/drawing table | OK
338. die Reitschule | school | WRONG: riding school - the current gloss omits Reit-
339. das Reittier | riding animal | OK
340. die Reizbarkeit | irritability | OK
341. der Rekordhalter | record holder | OK
342. das Rektum | rectum | OK
343. das Rendering | rendering | OK
344. die Reorganisation | reorganisation | OK
345. der Reparaturversuch | repair attempt | OK
346. die Ressourcenplanung | resource planning | OK
347. die Restaurantkette | chain of restaurants/restaurant chain | OK
348. das Retinol | retinol | OK
349. der Rettich | radish | OK
350. der Rettungsring | life preserver/lifebuoy/spare tyre | OK
351. der Rettungsschirm | bailout fund/emergency parachute | OK
352. der Revers | lapel/reverse | OK
353. das Rhizom | rhizome | OK
354. der Rhododendron | rhododendron | OK
355. der Sprachgebrauch | language use/linguistic usage/parlance | OK
356. der Riesenslalom | giant slalom | OK
357. das Rinderfilet | beef fillet/beef tenderloin | OK
358. die Rinderzucht | cattle breeding/cattle farming/cattle raising | OK
359. der Ringfinger | ring finger | OK
360. der Ringordner | ring binder | OK
361. der Risikopatient | chance patient | WRONG: risk patient/high-risk patient - Risiko means risk, not chance here
362. der Ritterorden | chivalric order/order of chivalry/order of knighthood | OK
363. das Roggenmehl | rye flour | OK
364. der Rohdiamant | diamond | WRONG: rough diamond - Roh- means raw or rough here
365. die Rolex | Rolex | OK
366. das Rollback | rollback | OK
367. die Rollstuhlfahrerin | wheelchair user | OK
368. die Romanfigur | novel figure | WRONG: novel character - Figur means character here, not figure
369. das Rosarium | rosary | WRONG: rosarium/rose garden - Rosarium is not a rosary
370. das Rosenblatt | rose petal | OK
371. das Rotlicht | red light | OK
372. der Rotstift | red pencil | OK
373. der Rubens | Rubens (painter) | OK
374. der Rückgabewert | return price | WRONG: return value - Wert means value here, not price
375. das Rückkehrrecht | right of return | OK
376. die Stückzahl | number of items/quantity | OK
377. die Ruhebank | calm bank | WRONG: rest bench - Ruhebank is a bench, not a calm bank
378. der Ruheplatz | resting place | OK
379. die Rührschüssel | banger | WRONG: mixing bowl - Ruehrschuessel is a bowl for stirring or mixing
380. der Rührteig | batter | OK
381. der Rundbau | round building | OK
382. der Runderlass | round abatement | WRONG: circular decree - Erlass means decree, not abatement
383. die Rune | rune | OK
384. die Rußpartikel | smut particle/soot particle | IMPROVE: soot particle - smut particle is not useful learner English
385. die Rüstungsproduktion | armour production | IMPROVE: arms production/defence production - armour production is too narrow
386. das Sabbatjahr | Shmita/sabbatical/sabbatical year | OK
387. die Säbelsäge | reciprocating saw/sabre saw | OK
388. der Saibling | char/charr | OK
389. die Saisoneröffnung | season opening | OK
390. der Sakko | sports jacket/suit jacket | OK
391. das Salatbuffet | salad bar | OK
392. die Samenflüssigkeit | seed fluid | WRONG: seminal fluid - Samen means semen here, not seed
393. der Sanddorn | seabuckthorn | OK
394. die Sanddüne | sand dune | OK
395. die Sandkiste | sand box/sand jack/sandbox | OK
396. der Sanierungsplan | redevelopment plan | OK
397. das Sanskrit | Sanskrit | OK
398. die Sardelle | anchovy | OK
399. das Satellitendaten | satellite data | OK
400. das Satellitenfernsehen | satellite TV | OK
401. die Satellitenschüssel | satellite dish | OK
402. die Sattelzugmaschine | bobtail/semi-trailer truck/tractor | OK
403. das Satzzeichen | punctuation mark/punctuation sign | OK
404. die Sauerstoffzufuhr | oxygen supply | OK
405. der Schachclub | chess club | OK
406. der Schachklub | chess club | OK
407. das Schächten | ritual slaughter (kosher/halal) | OK
408. das Schadensbild | damage idea | WRONG: damage pattern - Bild means pattern or picture here, not idea
409. das Schädlingsbekämpfungsmittel | biocide | IMPROVE: pesticide/pest-control agent - biocide is too broad and technical
410. der Schadstoffeintrag | harmful substance entry | IMPROVE: pollutant input - harmful substance entry is a literal calque
411. der Schadstoffgehalt | pollutant content | OK
412. die Schafwolle | sheep's wool | OK
413. der Schalthebel | handle | WRONG: gear lever - Schalten refers to shifting gears here
414. das Schamgefühl | shame | OK
415. der Schätzwert | price | WRONG: estimated value - Schaetzwert is an estimate, not simply a price
416. das Schaumbad | foam-bath | OK
417. der Schauraum | show room | OK
418. der Scheideweg | crossroads/forking | OK
419. der Schienenersatzverkehr | rail replacement service | OK
420. das Schiffchen | garrison cap | IMPROVE: little boat/shuttle - garrison cap is a specialized sense
421. der Schiffsführer | ship's captain/skipper | OK
422. der Schlachtruf | war cry | OK
423. die Schlafenszeit | bedtime | OK
424. die Schlafposition | sleeping position | OK
425. die Schlafstätte | sleeping place | OK
426. die Schlagersängerin | hit female | WRONG: Schlager singer/pop singer (female) - the current gloss is ungrammatical and misses Saengerin
427. der Schlagerstar | pop star | OK
428. der Schlagschrauber | impact driver | OK
429. die Schlagzahl | stroke rate/number of strokes | OK
430. der Schlammpeitzger | bougfish/dojo loach/pond loach | OK
431. das Schlaraffenland | Cockaigne | OK
432. die Schleifmaschine | grinding machine | OK
433. der Städtetag | association of cities | OK
434. die Schlosserei | metalworking shop | OK
435. der Schlot | chimney/smokestack | OK
436. der Schlupfwinkel | hideaway | OK
437. der Schlussbericht | final report | OK
438. die Schlüsselfrage | key question | OK
439. die Schlüsselstellung | key attitude | WRONG: key position - Stellung means position here, not attitude
440. der Schmerzzustand | ache condition | WRONG: pain condition - Schmerz means pain
441. der Schnack | chitchat | OK
442. die Schnalle | buckle | OK
443. die Schnappatmung | respiration | WRONG: gasping for breath/agonal breathing - the current gloss is too generic
444. die Schneeballschlacht | snowball fight | OK
445. die Schneelandschaft | snow landscape | OK
446. die Schneeschmelze | snowmelt | OK
447. das Stadtleben | city life | OK
448. der Schneidezahn | incisor | OK
449. der Schnellimbiss | fast food/snack bar | OK
450. der Schnellkochtopf | pressure cooker | OK
451. der Schnipsel | snippet | OK
452. der Schnittkäse | semi-hard cheese | OK
453. der Schnörkel | curlicue/curlycue | OK
454. der Schnürsenkel | bootlace/shoelace | OK
455. der Schönheitschirurg | beauty surgeon | WRONG: cosmetic surgeon/plastic surgeon - beauty surgeon is not idiomatic
456. der Schönheitsfehler | beauty blemish | WRONG: blemish/cosmetic flaw - Sch?nheitsfehler means a flaw, not a beauty blemish
457. die Schönheitsoperation | cosmetic surgery | OK
458. der Schöpfungstag | day of creation | OK
459. die Schotterpiste | dirt road/gravel road | OK
460. der Schraubenschlüssel | spanner/wrench | OK
461. die Schraubzwinge | C-clamp/F-clamp/bar clamp | OK
462. der Schreibblock | notepad/writing pad | OK
463. der Schreiner | cabinetmaker/joiner/woodworker | OK
464. der Schrottplatz | scrapyard | OK
465. die Schuleingangsphase | school entrance phase | OK
466. die Schulschließung | school closure | OK
467. das Schüsselchen | small bowl | OK
468. die Schützenhilfe | contactor help | WRONG: assistance/support - Schuetzenhilfe is support, not contactor help
469. der Schutzhelm | hard hat | OK
470. die Schützin | shooter (female) | OK
471. der Schutzschild | protective shield | OK
472. das Schwalbennest | swallow's nest | OK
473. das Schwarzlicht | black light | OK
474. der Schwebebalken | balance beam | OK
475. das Schweben | hovering/floating | OK
476. das Schweißgerät | welding device/welder | OK
477. der Schwellkörper | cavernous body/corpus cavernosum | OK
478. der Schwerhörige | hard-of-hearing person | OK
479. die Schwerindustrie | heavy industry | OK
480. der Schwerverbrecher | felon | OK
481. die Schwimmblase | swim bladder | OK
482. der Schwimmverein | association | WRONG: swimming club - the current gloss omits Schwimm-
483. das Sechseck | hexagon | OK
484. der Sechszylinder | six cylinder | OK
485. die Seekarte | nautical chart | OK
486. die Seekuh | sea cow/sirenian | OK
487. das Seelenleben | inner life/emotional life | OK
488. die Seeluft | lake air | WRONG: sea air - See means sea here, not lake
489. das Seemannsgarn | tall tale/yarn | OK
490. das Seengebiet | lake area | OK
491. die Seepromenade | lake promenade | OK
492. der Seeräuber | pirate | OK
493. die Seereise | cruise | OK
494. die Seeschlacht | naval battle/sea battle | OK
495. das Segelflugzeug | glider/sailplane | OK
496. der Seher | clairvoyant/seer/viewer | OK
497. die Sehstörung | visual impairment/vision disorder | OK
498. das Seilspringen | jump rope/skip rope | OK
499. der Seitenstreifen | shoulder | OK
500. die Seitentür | angle door | WRONG: side door - Seiten- means side, not angle
501. die Sektkellerei | sparkling-wine cellar | IMPROVE: sparkling wine producer/cellar - cellar alone can mislead about the business
502. die Selbstbestimmtheit | self-determination | OK
503. das Selbstgespräch | monologue/self-talk/soliloquy | OK
504. die Seligsprechung | beatification | OK
505. der Seltenheitswert | scarcity value | OK
506. die Semesterwochenstunde | semester hour per week | OK
507. das Semikolon | semicolon | OK
508. der Sendemast | mast | IMPROVE: transmission mast - mast alone is too generic
509. das Seniorenhandy | senior-friendly mobile phone | OK
510. der Serienbrief | series letter | WRONG: form letter/mail merge - Serienbrief is not a series letter
511. das Sexualdelikt | crime | WRONG: sexual offence - the current gloss is too generic
512. die Sexualstraftat | criminal act | WRONG: sexual offence - the current gloss is too generic
513. der Shaker | shaker | OK
514. die Shisha | hookah | OK
515. der Sicherheitsschuh | safety boot | OK
516. die Sicherheitswarnung | assurance warning | WRONG: safety warning/security warning - Sicherheit means safety or security, not assurance
517. der Sicherungskasten | breaker box/fuse box | OK
518. der Siebziger | (person) in their seventies/the seventies | OK
519. die Siedlungsgeschichte | settlement history | OK
520. das Siegerland | victor country | WRONG: Siegerland - this is a regional name, not victor country
521. der Siegerpodest | winners' podium | OK
522. die Siegerurkunde | victor certificate | WRONG: winner's certificate - Sieger means winner here
523. der Signalton | signal tone | OK
524. der Silvesterlauf | New Year's Eve run | OK
525. das Simsen | texting (SMS) | OK
526. der Singlehaushalt | single-person household | OK
527. der Sinus | sine/sinus | OK
528. der Sittich | parakeet | OK
529. der Sitznachbar | seat neighbor/person sitting next to you | OK
530. der Sitzungsraum | meeting region | WRONG: meeting room - Raum means room here, not region
531. der Sitzungstag | meeting stay | WRONG: meeting day/session day - Tag means day here, not stay
532. der Sixpack | six pack | OK
533. der Skin | skin (skinhead/cosmetic) | OK
534. das Skizzenbuch | sketch book | OK
535. die Skulpturensammlung | sculpture collection | OK
536. der Slapstick | chip | WRONG: slapstick - the current gloss is a different word
537. der Slum | slum | OK
538. der Softball | ball | WRONG: softball - the current gloss is too generic
539. die Sojasauce | soy sauce | OK
540. die Sommersonne | summer sun | OK
541. die Sommersonnenwende | summer solstice | OK
542. die Sonate | sonata | OK
543. der Sonderbericht | probe report | WRONG: special report - Sonder- means special, not probe
544. die Sonderbriefmarke | commemorative stamp | OK
545. der Sonderrabatt | probe discount | WRONG: special discount - Sonder- means special, not probe
546. das Sonnendeck | Sun deck | OK
547. der Sonnengott | god of the sun/sun god | OK
548. der Sonnenhut | sun hat | OK
549. die Soundkarte | sound card | OK
550. die Sowjetzeit | Soviet time | OK
551. die Sozialversicherungsnummer | social security number | OK
552. der Spachtel | putty knife | OK
553. die Spachtelmasse | filler/filling compound | OK
554. der Spanngurt | lashing strap/ratchet strap/ratchet tie-down strap | OK
555. die Sparquote | saving ratio | OK
556. der Spatel | spatula | OK
557. das Spätzle | spaetzle | OK
558. die Speerspitze | spearhead | OK
559. die Speiche | radius/spoke | OK
560. der Speisefisch | food Pisces | WRONG: edible fish/food fish - Fisch means fish, not Pisces here
561. der Speisepilz | edible mushroom | OK
562. das Spektrometer | spectrometer | OK
563. das Stativ | tripod | OK
