1. abfragen | query | OK
295. versagen | abstain/deny/fail | OK
296. verzehren | consume | OK
297. aufhängen | hang/hang out/hang up | OK
298. aushändigen | deliver/hand out/hand over | OK
299. begleichen | acquit/balance/pay | OK
300. stemmen | lift/mortice/mortise | OK
301. vorankommen | make headway/make progress/move forward | OK
302. weichen | give way/soften/wane | OK
303. aufschreiben | make a note/mark down/note down | OK
304. hervorbringen | make/produce/utter | OK
305. mangeln | lack | OK
306. umsteigen | change/switch | OK
307. verifizieren | verify | OK
308. adressieren | address | OK
309. erwärmen | take to/warm up | OK
310. färben | colour/dye | OK
311. guttun | do good | OK
312. kassieren | collect/confiscate | OK
313. unterbreiten | submit/present | OK
314. zurechtfinden | get along | OK
315. zusammenfinden | come together/form | OK
316. beleben | invigorate | OK
317. beten | pray | OK
318. herausarbeiten | bring out/carve out/struggle out | OK
319. komponieren | compose | OK
320. nahelegen | advise/recommend/suggest | OK
321. vermehren | augment/multiply | OK
322. gewöhnen | accustom/get used to | OK
323. musizieren | make music | OK
324. weigern | decline/refuse | OK
325. durchstarten | take off/launch | OK
326. innehaben | hold | OK
327. platzen | burst/burst with anger/burst with laughter | OK
328. referieren | present/report | OK
329. tanken | fill up/refuel/tank up | OK
330. tummeln | romp/hurry | OK
331. unterwerfen | subdue | OK
332. vorziehen | bring forward/prefer | OK
333. aufrechterhalten | maintain/perpetuate | OK
334. charakterisieren | characterise | OK
335. filmen | film | OK
336. isolieren | insulate/isolate | OK
337. toben | rage/romp | OK
338. überholen | overtake/overhaul | OK
339. verhaften | arrest/seize | OK
340. vorbeigehen | pass by/go past | OK
341. benachteiligen | disadvantage/discriminate | OK
342. erringen | achieve/gain/win | OK
343. hemmen | block/dam/hamper | OK
344. niederschlagen | knock down/suppress | OK
345. schulden | owe | OK
346. schweben | float/glide/hover | OK
347. zurücknehmen | go back on/take back/turn down | OK
348. abliefern | deliver/hand in | OK
349. abschrecken | deter/frighten off/quench | OK
350. abwägen | weigh/weigh up | OK
351. andeuten | allude/hint/indicate | OK
352. gedeihen | flourish/progress/prosper | OK
353. loslassen | let go/let loose/release | OK
354. verwerten | utilise | OK
355. abführen | evacuate/pay/walk off | OK
356. bewohnen | inhabit/live in/occupy | OK
357. festschreiben | codify/sanction | OK
358. hacken | chop/hack/hoe | OK
359. impfen | vaccinate | OK
360. leihen | borrow/lend | OK
361. starkmachen | advocate for/strengthen/support | OK
362. vervollständigen | complete | OK
363. abarbeiten | process/slave/slave away | OK
364. ansteuern | head/steer/strive | OK
365. befriedigen | satisfy | OK
366. bereisen | travel | OK
367. einbrechen | break down/break in/break through | OK
368. einspielen | install/record | OK
369. entkommen | escape | OK
370. erlöschen | become extinct/die out/expire | OK
371. erwachsen | arise | OK
372. rennen | race/run/sprint | OK
373. schalten | switch | OK
374. schöpfen | create/draw (water) | OK
375. schwingen | oscillate/swing | OK
376. staunen | be astonished | OK
377. ausleben | act out/enjoy life/live out | OK
378. durchhalten | hang on/hold out/persevere | OK
379. verlosen | raffle | OK
380. zurückliegen | date far back/lag behind/trail | OK
381. ahnden | punish/penalise | OK
382. bemängeln | criticise/find fault with | OK
383. dotieren | endow | OK
384. nerven | annoy/bother/bug | OK
385. preisgeben | abandon/disclose/reveal | OK
386. speisen | dine/feed | OK
387. strömen | stream/surge | OK
388. urteilen | judge | OK
389. vermögen | be able/be capable | OK
390. auslassen | leave off/leave out/let out | OK
391. baden | bathe/have a bath/swim | OK
392. befallen | befall/overcome | OK
393. biegen | bend/turn | OK
394. ebnen | even out/level | OK
395. freistellen | dismiss/exempt/leave something up to someone | OK
396. gelangen | attain/reach | OK
397. komplettieren | complete | OK
398. lehnen | lean | OK
399. beisteuern | contribute | OK
400. einblenden | fade in/display | OK
401. herkommen | come/derive/originate | OK
402. hingehen | go | OK
403. kühlen | cool/refrigerate | OK
404. restaurieren | restore | OK
405. schweigen | be silent/keep a secret/keep quiet | OK
406. streben | strive | OK
407. verabreichen | administer/give | OK
408. zurückhalten | hold back/hold back on sth./hold off | OK
409. abfahren | depart/leave/remove | OK
410. anlehnen | lean against/model on | OK
411. bestärken | encourage | OK
412. beziffern | amount to/come to/estimate | OK
413. ergattern | get hold of | OK
414. kippen | cant/overturn/tilt | OK
415. spalten | cleave/split | OK
416. verfehlen | fail/miss | OK
417. auffüllen | fill up/refill/replenish | OK
418. durchbrechen | appear/break in two/break through | OK
419. herausfordern | challenge/provoke | OK
420. lauern | lie in wait/lurk/watch | OK
421. mobilisieren | mobilise/stimulate | OK
422. scheiden | divorce/separate | OK
423. stillen | allay/breastfeed/calm | OK
424. verborgen | hidden | OK
425. vergüten | compensate | OK
426. verhängen | impose/decree | OK
427. zuschreiben | add by writing/ascribe/attribute | OK
428. zusehen | make sure/watch | OK
429. anlaufen | start up/begin | OK
430. anstecken | attach/become infected/broach | OK
431. beilegen | attach/resolve/settle | OK
432. checken | check | OK
433. ertragen | bear/endure/take | OK
434. kalkulieren | calculate/compute/figure | OK
435. täuschen | be mistaken/deceive/delude | OK
436. umgestalten | alter/rearrange/redesign | OK
437. verfeinern | refine | OK
438. voranschreiten | progress | OK
439. züchten | breed/cultivate | OK
440. antun | cause/do/dress | OK
441. ausgestalten | decorate/develop | OK
442. eindämmen | stem | OK
443. erachten | consider/deem | OK
444. gutschreiben | credit | OK
445. klarmachen | to get ready (a ship)/to make clear | OK
446. mahnen | admonish/dun/exhort | OK
447. rekonstruieren | reconstruct | OK
448. schnappen | catch/snap/snatch | OK
449. zuschauen | watch | OK
450. dringen | insist/penetrate | OK
451. einwirken | affect/appeal/influence | OK
452. erben | inherit | OK
453. erstrahlen | glitter/shine/sparkle | OK
454. grenzen | border on | OK
455. protestieren | protest | OK
456. säubern | clean | OK
457. schnuppern | get a taste of/sniff | OK
458. schwächen | weaken | OK
459. umsehen | browse/look around | OK
460. verunsichern | unsettle | OK
461. wehen | blow/drift/waft | OK
462. wiederkommen | come back | OK
463. würzen | flavour/season | OK
464. abgehen | come off/depart/be missing | OK
465. abwenden | avert/turn away/turn away from | OK
466. anschreiben | write/write down | OK
467. aushandeln | negotiate | OK
468. einwilligen | consent/agree | OK
469. gastieren | perform as a guest | OK
470. paaren | couple/mate | OK
471. radeln | bike/cycle/ride a bicycle | OK
472. spinnen | be crazy/spin | OK
473. symbolisieren | symbolise | OK
474. verkörpern | embody/impersonate/incarnate | OK
475. baumeln | dangle | OK
476. befüllen | fill | OK
477. bereuen | regret/repent/rue | OK
478. bezweifeln | doubt | OK
479. dekorieren | decorate | OK
480. einpacken | wrap up | OK
481. entschlüsseln | decipher/decode/decrypt | OK
482. erregen | arouse/elicit/evoke | OK
483. gleiten | float/glide/slide | OK
484. rangieren | rank/shunt | OK
485. scannen | scan | OK
486. weitermachen | continue/go on/keep going | OK
487. winken | beckon/expect/wave | OK
488. zusprechen | comfort/confer/grant | OK
489. abgleichen | reconcile | OK
490. archivieren | archive | OK
491. arrangieren | arrange | OK
492. auffrischen | freshen/refresh | OK
493. ausstehen | be pending/endure | OK
494. bemalen | paint | OK
495. einspeisen | feed in/inject | OK
496. herbeiführen | bring about/cause | OK
497. hinlegen | lay down/lie down/put down | OK
498. hinzuziehen | consult | OK
499. klingeln | ring | OK
500. spritzen | spray/inject | OK
501. strecken | stretch | OK
502. synchronisieren | synchronise | OK
503. unterdrücken | suppress/oppress | OK
504. verabreden | agree/arrange/make an appointment | OK
505. verzahnen | interlock/mesh | OK
506. wappnen | forearm/prepare | OK
507. weglassen | leave out/let go | OK
508. abklären | clarify/clear up | OK
509. aufwachen | awake/wake up | OK
510. ausschelten | scold | OK
511. befürworten | advocate/support | OK
512. erschüttern | shake/shatter | OK
513. lüften | air/ventilate | OK
514. vorhersagen | forecast/foretell/predict | OK
515. wickeln | wrap/wind | OK
516. abwehren | fend off/defend | OK
517. entschuldigen | apologise/excuse | OK
518. erahnen | guess/surmise | OK
519. handhaben | handle/operate | OK
520. klassifizieren | classify/grade | OK
521. taufen | baptise/christen | OK
522. umleiten | divert/redirect/reroute | OK
523. untermauern | substantiate/underpin | OK
524. versäumen | miss/neglect | OK
525. weinen | cry/weep | OK
526. zurückschicken | return/send back | OK
527. anfassen | touch | OK
528. atmen | breathe/respire | OK
529. bedauern | lament/pity/regret | OK
530. besiedeln | populate/settle | OK
531. digitalisieren | digitise | OK
532. downloaden | download | OK
533. interagieren | interact | OK
534. manipulieren | manipulate/rig | OK
535. ragen | jut/stick/tower | OK
536. revolutionieren | revolutionise | OK
537. sprengen | blow up/spray | OK
538. stornieren | cancel/reverse | OK
539. umbenennen | rename | OK
540. verschwenden | squander/waste | OK
541. aufholen | catch up | OK
542. auspacken | unpack | OK
543. beanstanden | complain about | OK
544. brüten | brood | OK
545. segnen | bless | OK
546. verkleinern | reduce/make smaller | OK
547. wegwerfen | discard/throw away | OK
548. zusammenleben | live together | OK
549. abfallen | decline/decrease/drop off | OK
550. bedingen | cause | OK
551. erklimmen | achieve/clamber/reach | OK
552. ermuntern | animate/encourage/excite | OK
553. fortschreiten | advance/continue/proceed | OK
554. garen | cook | OK
555. herausnehmen | take out/remove | OK
556. offenlegen | disclose/reveal/unfold | OK
557. ranken | climb/creep up/curl around | OK
558. regen | move/stir | OK
559. schwärmen | adore/swarm | OK
560. segeln | glide/sail | OK
561. vereinigen | band/coalesce/unify | OK
562. verzieren | decorate/garnish | OK
563. zusichern | pledge/reassure | OK
564. ausrufen | declare/exclaim/proclaim | OK
565. austreten | leave/quit/resign | OK
566. befolgen | obey | OK
567. navigieren | navigate | OK
568. niederlegen | lay down/lie down | OK
569. schmelzen | melt | OK
570. vormachen | demonstrate/pretend/fool | OK
571. wegnehmen | take away/take up | OK
572. zerbrechen | break | OK
573. belassen | leave | OK
574. bohren | bore/drill | OK
575. erwachen | awake/wake up | OK
576. hergeben | give up | OK
577. illustrieren | illustrate | OK
578. modifizieren | change/modify | OK
579. schälen | peel | OK
580. shoppen | shop | OK
581. spekulieren | speculate | OK
582. spülen | rinse | OK
583. umdrehen | flip/reverse/turn | OK
584. veräußern | sell | OK
585. verdecken | conceal | OK
586. verwehren | bar/deny/refuse | OK
587. anmieten | rent | OK
588. anzünden | light/set on fire | OK
589. betrauen | entrust | OK
590. beugen | bend/break/deflect | OK
591. durchgehen | go through/pass | OK
592. einkehren | come/set in/stop off | OK
593. entgegentreten | confront/oppose | OK
594. entstammen | be descended from/come from | OK
595. heraussuchen | pick sth. out/select | OK
596. hinziehen | drag on/pull toward | OK
597. kleiden | dress | OK
598. proben | rehearse | OK
599. zufügen | add/inflict | OK
600. abwechseln | alternate | OK
601. ankurbeln | boost/crank up | OK
602. entschärfen | defuse | OK
603. krönen | crown | OK
604. limitieren | limit | OK
605. mitbestimmen | decide together | OK
606. opfern | sacrifice | OK
607. streamen | stream | OK
608. überbrücken | bridge | OK
609. verführen | seduce/tempt | OK
610. verlangsamen | slow | OK
611. verreisen | go away | OK
612. versteuern | pay tax | OK
613. zusammenbrechen | collapse | OK
614. dulden | tolerate | OK
615. enthüllen | reveal/uncover/unveil | OK
616. kollidieren | clash/collide/conflict | OK
617. konkurrieren | compete/vie | OK
618. lächeln | grin/smile | OK
619. mitfahren | drive/go/ride | OK
620. reihen | arrange/follow one another/heap | OK
621. verspielen | gamble away/make a mistake/play a bum note | OK
622. abkommen | deviate/stray from | OK
623. abstatten | pay someone a visit/report to someone/thank someone | OK
624. aufschlagen | open | OK
625. bessern | better/improve | OK
626. entgegenkommen | approach/come towards/make someone concessions | OK
627. gestehen | confess | OK
628. personalisieren | personalise | OK
629. suggerieren | suggest | OK
630. verrichten | carry out/execute/perform | OK
631. zurückbringen | bring back | OK
632. ansammeln | accumulate/amass/hoard | OK
633. falten | fold | OK
634. kreisen | circle/circumgyrate | OK
635. lockern | loosen/relax | OK
636. pressen | press/push/squeeze | OK
637. schreiten | stride | OK
638. vorsorgen | make provision | OK
639. zumuten | demand/expect | OK
640. zweifeln | doubt | OK
641. abschreiben | copy/plagiarise/transcribe | OK
642. abtragen | clean up/pay off/remove | OK
643. addieren | add | OK
644. anvertrauen | commit/confide/entrust | OK
645. auslagern | relocate | OK
646. ausloben | offer a prize/offer a reward | OK
647. ausloten | fathom/test the waters | OK
648. ausruhen | rest | OK
649. boomen | boom | OK
650. einbüßen | lose | OK
651. einspringen | help out/step in for/substitute | OK
652. fortschreiben | continue/update | OK
653. quälen | harry/put about/torture | OK
654. reformieren | reform | OK
655. reiben | chafe/grate/rub | OK
656. schlendern | mooch/stroll | OK
657. spendieren | pay for/spend | OK
658. stürmen | invade/rush/storm | OK
659. tilgen | erase/pay off/remove | OK
660. umbringen | commit suicide/kill/kill oneself | OK
661. verwerfen | discard/dismiss/reject | OK
662. zurechnen | ascribe | OK
663. dämpfen | alleviate/damp/lessen | OK
664. durchdringen | fathom out/penetrate/permeate | OK
665. einstimmen | tune | OK
666. hassen | hate | OK
667. häufen | accumulate/pile up/stack | OK
668. klarkommen | manage/cope | OK
669. protokollieren | enter in the minutes/keep the record/protocol | OK
670. reifen | ripen/mature | OK
671. reiten | ride/ride on horseback | OK
672. resümieren | summarise | OK
673. taugen | be good for | OK
674. verklagen | sue | OK
675. verkraften | cope with/deal with/handle | OK
676. verorten | file/locate | OK
677. versinken | sink | OK
678. verwahren | keep/store | OK
679. zerlegen | analyse/cut up/dismantle | OK
680. zusammenfügen | fit together/join together | OK
681. absenken | deepen/layer/lower | OK
682. bestreben | endeavor/endeavour | OK
683. expandieren | expand | OK
684. fernhalten | avert/keep away/parry | OK
685. flankieren | flank | OK
686. leeren | empty | OK
687. ordern | order | OK
688. rauben | plunder/rob | OK
689. recyceln | recycle | OK
690. ringen | wrestle/wrestle with oneself/wring one's hands | OK
691. schlucken | swallow | OK
692. schmieden | forge | OK
693. überziehen | cover/overdraw | OK
694. umlegen | distribute/flip (switch) | OK
695. validieren | validate | OK
696. veranschlagen | estimate | OK
697. verneinen | deny/answer no | OK
698. verrühren | mix | OK
699. verweilen | abide/dwell/linger | OK
700. verwundern | astonish/surprise | OK
701. zurücklassen | leave behind/let/maroon | OK
702. zuspitzen | come to a head/sharpen | OK
703. angliedern | incorporate | OK
704. ausliegen | be on display | OK
705. bekunden | declare/express/show | OK
706. eingrenzen | enclose/limit | OK
707. einmischen | interfere/meddle/mix into | OK
708. explodieren | explode | OK
709. nachgeben | give in/yield | OK
710. offerieren | offer | OK
711. provozieren | provoke | OK
712. schütteln | shake | OK
713. standardisieren | standardise | OK
714. verbannen | banish/exile/relegate | OK
715. verderben | decay/ruin/spoil | OK
716. verkleiden | disguise/dress up | OK
717. verschonen | spare | OK
718. abverlangen | demand | OK
719. ausrollen | roll out | OK
720. begraben | bury | OK
721. braten | fry/roast | OK
722. entgegensetzen | counter/oppose/reply | OK
723. grillen | barbecue/grill/roast in the sun | OK
724. heizen | heat | OK
725. mitkommen | accompany/understand | OK
726. stapeln | pile up/stack | OK
727. verdichten | condense | OK
728. wehtun | hurt | OK
729. zusetzen | add/afflict/badger | OK
730. abbuchen | debit | OK
731. abfangen | intercept/repel | OK
732. belehren | correct/inform/undeceive | OK
733. beschneiden | circumcise/cut/trim | OK
734. distanzieren | distance oneself/dissociate | OK
735. einstecken | put in/pocket/take | OK
736. entspringen | originate/spring | OK
737. erzwingen | coerce/enforce/force | OK
738. forcieren | expedite | OK
739. fundieren | substantiate/ground | OK
740. interviewen | interview | OK
741. kreuzen | beat about/cross/cross one's legs | OK
742. schüren | incite/poke/stoke | OK
743. veralten | become obsolete/become outdated | OK
744. verschönern | beautify/embellish | OK
745. vordringen | advance/expand/extend | OK
746. wertschätzen | appreciate/value | OK
747. zurückrufen | call back/recall | OK
748. abschicken | dispatch/mail/post | OK
749. anbahnen | be in the offing/initiate/pave the way | OK
750. assoziieren | align/ally/associate | OK
751. ausgrenzen | exclude/marginalise/ostracise | OK
752. auslasten | occupy fully/use to capacity | OK
753. ausrechnen | calculate/work out for oneself | OK
754. beschimpfen | insult/swear at | OK
755. besteigen | climb | OK
756. blasen | blow | OK
757. entlarven | uncover/unmask | OK
758. graben | dig | OK
759. klauen | steal | OK
760. konsultieren | consult | OK
761. profilieren | distinguish/gain/make one's mark | OK
762. runden | round | OK
763. saugen | suck | OK
764. unterlassen | refrain from/omit | OK
765. verehren | admire/adore/honour | OK
766. verstellen | adjust/block/disguise | OK
767. verüben | carry out/commit/perpetrate | OK
768. ablassen | drain/release/desist from | OK
769. abrutschen | slip off | OK
770. abtreten | cede/step down/resign | OK
771. anfreunden | accept/befriend/get used to | OK
772. anschlagen | post/strike | OK
773. attackieren | attack | OK
774. ausschütten | distribute/spill | OK
775. ausverkaufen | sell off/sell out | OK
776. daherkommen | come along/go around | OK
777. einstehen | answer for/stand up for/take reponsibility for | OK
778. entsenden | dispatch | OK
779. erwägen | consider/ponder | OK
780. herausfiltern | filter out/sift out | OK
781. stolpern | stumble | OK
782. verrechnen | enter/miscalculate/offset | OK
783. verschlingen | devour/gobble (up)/swallow (up) | OK
784. zelebrieren | celebrate | OK
785. abschieben | deport/dump/get rid of | OK
786. absterben | necrotise | OK
787. aufrüsten | arm/increase armament/upgrade | OK
788. aussortieren | separate out/sort out/winnow | OK
789. beschlagnahmen | confiscate/seize | OK
790. einrechnen | factor in/include | OK
791. eintippen | type in | OK
792. eskalieren | escalate | OK
793. grüßen | greet/remember | OK
794. gutmachen | correct | OK
795. herabsetzen | abate/belittle/reduce | OK
796. plagen | plague | OK
797. verspüren | feel/perceive/sense | OK
798. widerlegen | disprove | OK
799. wiedererkennen | recognise | OK
800. andenken | think of/commemorate | OK
801. aufwenden | expend/spend/take | OK
802. auswandern | emigrate | OK
803. bedecken | bespread/cover/overlay | OK
804. beflügeln | buoy/spur | OK
805. betrügen | cheat/deceive | OK
806. dabeihaben | have there/have with | OK
807. eingliedern | incorporate | OK
808. einschlafen | fall asleep/go to sleep/pass away | OK
809. ergründen | determine/fathom/find out | OK
810. gestatten | allow/permit | OK
811. hegen | cherish/have/look after | OK
812. kandidieren | be a candidate/contest/run for | OK
813. konvertieren | convert | OK
