1. die Effektivität | effectiveness | OK
227. die Datenschutzgrundverordnung | General Data Protection Regulation | OK
228. die Dichtung | fibs/gasket/literary work | IMPROVE: seal/gasket/poetry — Dichtung means a seal or gasket, or poetry; fibs is misleading.
229. der Dreh | filming | OK
230. der Extremismus | extremism | OK
231. der Familienbetrieb | family-owned business | OK
232. der Generator | generator | OK
233. das Horn | horn | OK
234. das Industrieunternehmen | industrial company/industrial concern/industrial corporation | OK
235. das Interface | interface | OK
236. das Judentum | Jewry/Judaism | OK
237. der Klassenlehrer | class teacher/homeroom teacher | OK
238. die Knolle | tuber | OK
239. das Komitee | committee | OK
240. die Laudatio | encomium/eulogy/laudation | OK
241. die Markteinführung | bringing onto the market/commercial launch/launch | OK
242. der Nachholbedarf | backlog | OK
243. die Narbe | grain/scar/stigma | OK
244. die Relation | relation | OK
245. der Rückweg | way back/return journey | OK
246. das Schema | pattern/plan/schema | OK
247. der Schlosspark | castle grounds/castle park | OK
248. die Sicherheitsmaßnahme | security measures | OK
249. die Sortierung | classification/collation/ordering | OK
250. die Stirn | forehead/front | OK
251. die Symbiose | symbiosis | OK
252. das Tandem | bughouse/tandem/twin | OK
253. das Unbekannte | the unknown | OK
254. der Verleger | issuer/publisher | OK
255. das Zahlungsmittel | currency/means of payment/medium of exchange | OK
256. die Abfindung | payoff | IMPROVE: severance payment — Abfindung most often means severance compensation; payoff is vague and colloquial.
257. die Abkühlung | chilling/cooling/cooling-down | OK
258. der Abstieg | descent/relegation | OK
259. die Leitlinie | guideline | OK
260. die Altersgrenze | age limit/retirement age | OK
261. das Appartement | apartment | OK
262. der Arbeitsunfall | workplace accident | OK
263. das Aushängeschild | advertisement/figurehead/showpiece | OK
264. das Bauelement | structural element | OK
265. der Bedienstete | civil servant/employee/servant | OK
266. das Drittland | third country | OK
267. das Einzel | singles | OK
268. der Einzelteil | component | OK
269. die Eizelle | ovum | OK
270. die Elster | magpie | OK
271. der Flächennutzungsplan | land-use plan | OK
272. das Fließgewässer | stream/watercourse | OK
273. die Füllung | batting/dressing/fill | IMPROVE: filling — Füllung primarily means a filling; batting/dressing are narrower specialist senses.
274. der Haufen | dung/heap | OK
275. die Infektionskrankheit | infectious disease | OK
276. die Karrierechance | career opportunity | OK
277. der Kondom | condom/rubber | OK
278. der Kontoauszug | account statement/bank statement/statement of account | OK
279. der Hotspot | hot spot/hotspot | OK
280. der Kürbis | gourd/nut/pumpkin | OK
281. der Kurpark | spa gardens | OK
282. die Lounge | lounge | OK
283. die Messtechnik | measurement/measuring technique/metrology | OK
284. die Munition | ammunition/munitions | OK
285. die Organisationsstruktur | organisational structure | OK
286. der Pendler | commuter | OK
287. das Prädikat | grade/predicate/rating | OK
288. der Sachse | Saxon/Saxonian | OK
289. die Schnecke | auger/balloon foot/bun | WRONG: snail — Schnecke primarily means snail; the current gloss omits the main meaning.
290. das Schulbuch | schoolbook | OK
291. der Sneaker | sneaker/sports shoe | OK
292. die Spekulation | speculation | OK
293. der Stimmzettel | ballot | OK
294. die Tagesmutter | childminder/nanny | OK
295. der Tauber | cock pigeon/male pigeon | OK
296. der Tenor | tenor | OK
297. die Tilgung | redemption | OK
298. das Unkraut | weed | OK
299. die Vernichtung | destruction/extermination | OK
300. der Verschleiß | wearout | IMPROVE: wear and tear — Verschleiß means wear or wear and tear; wearout is not idiomatic English.
301. der Vorabend | eve | OK
302. das Weinen | crying/weeping | OK
303. die Agilität | agility | OK
304. die Alge | alga | OK
305. die Anfertigung | fabrication/making/manufacture | OK
306. die Annehmlichkeit | acceptability/advantage/amenity | OK
307. der Balken | beam/corpus callosum/fess | OK
308. das Bemühen | effort/endeavor/endeavour | OK
309. der Blinde | blind man | OK
310. der Bot | bot | OK
311. die Brennstoffzelle | F-cell/fuel cell | OK
312. die Buchführung | accounting/bookkeeping | OK
313. das Debüt | debut | OK
314. der Einschnitt | cut/financial cut/incision | OK
315. die Entnahme | extraction/withdrawal | OK
316. das Fachgeschäft | specialty store | OK
317. der Fahrstuhl | elevator/lift | OK
318. das Fehlverhalten | misconduct/misbehavior | OK
319. der Feinstaub | fine dust/particulate matter/particulates | OK
320. die Firmware | firmware | OK
321. das Freilichtmuseum | open air museum | OK
322. die Frische | freshness/viridity | OK
323. der Gamer | gamer | OK
324. die Gans | goose | OK
325. die Hafenstadt | port | WRONG: port city/harbor city — Hafenstadt is a city with a port, not the port itself.
326. das Informationssystem | information system | OK
327. der Hörfunk | radio | OK
328. das Hospiz | hospice | OK
329. das Industriegebiet | industrial area/industrial park | OK
330. der Jünger | disciple | OK
331. die Karibik | Caribbean | OK
332. die Karosserie | bodywork | OK
333. die Kinderarbeit | child labour | OK
334. der Kristall | crystal | OK
335. der Kurfürst | elector | OK
336. die Liquidität | liquidity | OK
337. die Magie | magic | OK
338. die Menschenwürde | diginity of man/human dignity | OK
339. das Misstrauen | distrust/mistrust/suspicion | OK
340. die Muschel | bivalve shellfish/clam/clamshell | OK
341. der Nachdruck | emphasis/reprint/stress | OK
342. die Obergrenze | upper limit | OK
343. die Pfarrerin | parson | IMPROVE: female pastor — Pfarrerin is a female pastor or minister; parson is dated and not gender-clear.
344. die Pressefreiheit | freedom of the press/press freedom | OK
345. die Propaganda | propaganda | OK
346. das Regenwasser | rainwater | OK
347. die Resolution | resolution | OK
348. der Sattel | saddle | OK
349. die Schreibweise | spelling/style | OK
350. der Sekt | sparkling wine | OK
351. die Sequenz | sequence | OK
352. der Sportwagen | sports car | OK
353. der Stammtisch | regulars' table/stammtisch | OK
354. das Syndrom | syndrome | OK
355. die Telefonie | telephony | OK
356. das Versagen | failure | OK
357. die Wehe | cloud/drift/flurry | WRONG: labor contraction — Wehe means a labor contraction; the listed weather-like glosses are wrong for this noun.
358. das Weihnachtsfest | Christmas | OK
359. die Wetterlage | atmospheric conditions | OK
360. das Wohlergehen | wellbeing | OK
361. die Ambition | ambition | OK
362. der Anker | anchor | OK
363. der Bildhauer | sculptor/statuary | OK
364. der Cache | cache | OK
365. das Carsharing | carsharing | OK
366. die Diplomarbeit | diploma thesis/thesis | OK
367. die Fußbodenheizung | underfloor heating | OK
368. die Geburtshilfe | midwifery/obstetrics | OK
369. das Gerichtsverfahren | legal proceedings | OK
370. die Gutschrift | credit/credit entry/credit note | OK
371. der Hautkrebs | skin cancer | OK
372. der Heide | atheist/heathen/pagan | OK
373. die Herzogin | duchess | OK
374. der Hirsch | deer/stag | OK
375. der Holocaust | Holocaust | OK
376. der Homosexuelle | fag/faggot/gay | WRONG: homosexual/gay person — The current gloss uses offensive slurs and the wrong register.
377. das Hostel | hostel | OK
378. die Kaufkraft | purchasing power/spending power | OK
379. der Knotenpunkt | junction | OK
380. die Konsolidierung | consolidation | OK
381. der Kostenträger | cost object | IMPROVE: cost bearer/payer — Kostenträger is the entity that bears or pays costs, especially in healthcare/accounting.
382. die Krankenpflege | nursing | OK
383. das Labyrinth | labyrinth/maze | OK
384. die Lebenszeit | lifetime | OK
385. der Leuchtturm | lighthouse | OK
386. das Magnetfeld | magnetic field | OK
387. der Mittelwert | mean | OK
388. das Multimedia | multimedia | OK
389. das Musikstück | composition/piece of music | OK
390. der Paragraf | article/paragraph/section | OK
391. die Plakette | badge/sticker | OK
392. die Poesie | poem/poetry | IMPROVE: poetry — Poesie means poetry; poem is the wrong count noun.
393. die Projektleiterin | project manager/project lead | OK
394. das Resort | resort | OK
395. das Mailing | mailing | OK
396. die Modernisierung | modernisation | OK
397. die Telekommunikation | telecommunication | OK
398. der Vorgänger | predecessor | OK
399. die Bescheinigung | certificate | OK
400. die Diakonie | diaconia | IMPROVE: Protestant welfare/diaconal work — Diakonie usually refers to church welfare work or its organization, not the obscure English diaconia.
401. die Schulklasse | class | OK
402. das Wohl | well-being/welfare | OK
403. die Fertigung | production/manufacturing | OK
404. die Dosis | dose | OK
405. der Freier | john/suitor | OK
406. die Bekämpfung | combating | OK
407. der Beauftragte | commissioner/representative | OK
408. die Evaluation | evaluation | OK
409. die Zusammensetzung | composition | OK
410. die Lizenz | licence | OK
411. der Set | set | OK
412. der Content | content | OK
413. der Einzelhandel | retail trade | OK
414. der Konkurrent | competitor | OK
415. der Support | support | OK
416. der Favorit | favourite | OK
417. das Gehäuse | housing/case | OK
418. der Pool | pool | OK
419. die Abwicklung | handling/processing | OK
420. der Ausbildungsplatz | training position | OK
421. die Akte | file/record | OK
422. das Amtsgericht | county court/district court/local court | OK
423. die Aufstellung | drawing up/list | OK
424. die Energieeffizienz | energy efficiency | OK
425. der Ursprung | origin | OK
426. die Optik | optics | OK
427. die Besetzung | cast/casting/occupation | OK
428. die Ehre | honour | OK
429. der Gesellschafter | associate/partner/shareholder | OK
430. das Gewebe | fabric/tissue | OK
431. die Liga | league | OK
432. das Abkommen | accord/treaty | OK
433. die Therme | thermal bath/thermal spring | OK
434. der Facharzt | specialist | OK
435. der Themenbereich | subject area | OK
436. die Lupe | hand lens/loupe/magnifier | OK
437. die Rehabilitation | rehabilitation/rehab | OK
438. der Vordruck | blank/form | OK
439. die Wahrung | preservation/safeguarding | OK
440. der Wegweiser | signpost | OK
441. der Zuspruch | encouragement/popularity | OK
442. die Antenne | aerial/antenna/feeler | OK
443. das Aus | end/out of bounds/touch | OK
444. das Bauprojekt | building project/construction project/development | OK
445. die Bebauung | buildings/construction/cultivation | OK
446. die Bundesnetzagentur | federal network agency | OK
447. das Center | centre | OK
448. die Eheschließung | marriage/matrimony/wedding | OK
449. die Erdbeere | strawberry | OK
450. die Festung | fortress/stronghold | OK
451. die Fliese | tile | OK
452. die Kolonie | colony | OK
453. der Onlineshop | online shop | OK
454. der Neustart | re-start/reboot | OK
455. die Ordnungswidrigkeit | infringement | OK
456. die Rampe | ramp | OK
457. das Recycling | recycling | OK
458. die Falte | fold/wrinkle | OK
459. die Reserve | backup/buffer/reservation | OK
460. die Sozialversicherung | social insurance | OK
461. der Tierschutz | animal protection/animal welfare | OK
462. der Trip | trip | OK
463. der Überschuss | surplus | OK
464. das Volksfest | fair/folk festival | OK
465. das Wohnmobil | camper/campervan/motor home | OK
466. die Zugehörigkeit | belonging/membership | OK
467. der Aufschlag | crash/extra charge/impact | OK
468. das Backen | baking | OK
469. die Benachteiligung | disadvantage | OK
470. der Benutzername | access code/login name/username | OK
471. die Blutung | bleeding/haemorrhage | OK
472. der Dachverband | umbrella organisation | OK
473. die Datenübertragung | data communication/data transmission | OK
474. die Devise | foreign currency/motto | OK
475. der Engpass | defile/scarcity | OK
476. die Erwärmung | warming | OK
477. das Fehlen | absence/lack | OK
478. die Geometrie | geometry | OK
479. die Indikation | indication | OK
480. der Italiener | Italian | OK
481. der Kanten | heel | WRONG: edges — Kanten is the plural of Kante, meaning edges; heel is misleading.
482. der Krebspatient | cancer patient | OK
483. der Radiosender | radio broadcaster/radio network/station | OK
484. das Stadtgebiet | urban area | OK
485. die Seltenheit | rareness/rarity | OK
486. das Shoppen | shopping | OK
487. das Staunen | amazement/astonishment | OK
488. das Steuerrecht | tax law/tax rights | OK
489. der Tatort | crime scene | OK
490. das Telefonbuch | directory/phone book/telephone book | OK
491. die Turnhalle | gym/gymnasium | OK
492. die Verschiebung | adjournment/displacement/relocation | OK
493. die Verschlechterung | deterioration | OK
494. die Wärmepumpe | heat pump | OK
495. die Wirbelsäule | spinal column/spine/vertebral column | OK
496. die Dreharbeit | principal photography | OK
497. die Einweisung | admission/assignment/briefing | OK
498. der Einzelhändler | tradesman | WRONG: retailer — Einzelhändler means retailer, not tradesman in general.
499. das Erdöl | oil/petroleum | OK
500. die Fortschreibung | Fortschreibung/adjustment of assessed value/perpetuation | IMPROVE: update/continuation — Fortschreibung means updating or continued revision; the current gloss is obscure and partly untranslated.
501. die Genossenschaft | cooperative | OK
502. das Kabinett | cabinet | OK
503. der Mietwagen | rental car | OK
504. der Mönch | blackcap/monk | OK
505. die Periode | period/tide | OK
506. die Rücksprache | consultation | OK
507. der Sonnenstrahl | sunbeam/sunray | OK
508. der Pfarrer | pastor | OK
509. die Vereinigung | association/unification | OK
510. die Verwirklichung | realization/fulfillment | OK
511. die Zuversicht | confidence | OK
512. der Anwendungsfall | use case | OK
513. der Arbeitsspeicher | main memory | OK
514. der Beutel | bag/pouch/sac | OK
515. der Bundestagsabgeordnete | member of German parliament | OK
516. das Christentum | Christendom/Christianity | OK
517. das Einsatzgebiet | area of application/operational area/theatre of operations | OK
518. das Erscheinen | appearance/publication | OK
519. die Erwägung | consideration | OK
520. das Inland | home country/inland | OK
521. der Käfer | beetle | OK
522. die Leckerei | delicacy | OK
523. die Neuzeit | modern age/modern era | OK
524. die Eingabe | input | OK
525. der Personennahverkehr | local passenger traffic/local public traffic | OK
526. die Rutsche | slide | OK
527. der Schütze | Sagittarius/marksman/shooter | OK
528. der Touchscreen | touch screen/touch-screen/touchscreen | OK
529. die Variable | variable | OK
530. der Vollzug | execution/full-length train/penal execution | OK
531. der Abriss | demolition/stub/summary | OK
532. die Altersstufe | age group | OK
533. der Nachfolger | successor | OK
534. die Arbeitnehmerin | employee | OK
535. der Cannabis | cannabis/hemp | OK
536. die Diskussionsrunde | discussion forum/discussion group | OK
537. der Existenzgründer | founder of a new business | OK
538. die Fahne | flag | OK
539. die Feierlichkeit | ceremony/festivity/solemnity | OK
540. das Fitnessstudio | fitness centre/fitness club/health club | OK
541. die Haltbarkeit | durability/long-lastingness/stability | OK
542. die HTML | HTML | OK
543. der Maßstab | scale/standard | OK
544. das Kupfer | copper | OK
545. die Liege | lounger | OK
546. der Mitspieler | teammate | OK
547. der Nordwesten | north-west/northwest | OK
548. der Ortsteil | district | OK
549. die Pforte | gate | OK
550. der Schwierigkeitsgrad | degree of difficulty/difficulty level | OK
551. der Teufel | devil/Satan | OK
552. die Abfrage | information retrieval/inquiry/monitoring | OK
553. die Allee | avenue/parkway | OK
554. die Annäherung | approach/convergence | OK
555. der Biotop | biotope | OK
556. der Burger | burger | OK
557. der Dampf | steam/vapour | OK
558. der Dirigent | conductor | OK
559. der Einlass | admission | OK
560. das Einvernehmen | understanding | OK
561. das Elektron | electron/electrum | OK
562. die Entscheidungsfindung | decision making/decision-finding/decision-making | OK
563. das Ermessen | discretion | OK
564. die Gewähr | guarantee | OK
565. das Honorar | emolument/fee | OK
566. die Kühlung | cooling | OK
567. die Kürzung | shortening | OK
568. das Minus | minus | OK
569. das Netzteil | PSU/power supply unit | OK
570. der Pionier | engineer/pioneer | OK
571. die Piste | course/floor/piste | IMPROVE: ski slope/track — Piste is usually a ski slope, runway, or track; floor is misleading.
572. der Reiseveranstalter | tour operator | OK
573. die Rücklage | reserve/savings | OK
574. der Schrecken | fear/horror | OK
575. das Schweigen | silence | OK
576. die Sozialhilfe | income support/social assistance | OK
577. der Spargel | asparagus | OK
578. die Umstellung | adjustment | OK
579. die Stichprobe | sample/spot check | OK
580. der Umschlag | (book) cover/compress/envelope | OK
581. der Wahlberechtigte | person entitled to vote | OK
582. die Ziege | bag/goat | OK
583. der Chirurg | surgeon | OK
584. der Eckpunkt | corner/guideline/standard value | OK
585. der Editor | editor | OK
586. die Federführung | lead/leadership | OK
587. der Gebrauchtwagen | second-hand car | OK
588. der Handgriff | handle | OK
589. der Auftraggeber | client/customer | OK
590. der Kombi | estate car/station wagon | OK
591. die Körperschaft | body/body corporate/corporation | OK
592. der Kratzer | scraper/scratch | OK
593. der Kreditnehmer | borrower | OK
594. die Krippe | christmas crib/crib/manger | OK
595. der Mittwochabend | Wednesday evening/Wednesday night | OK
596. die Bedienung | service/operation | OK
597. der Rückschlag | kickback/setback | OK
598. der Russe | Russian | OK
599. der Schwabe | Swabian | OK
600. der Fingerabdruck | dactylogram/fingermark/fingerprint | OK
601. die Glaubwürdigkeit | credibility/credit | OK
602. das Shirt | shirt | OK
603. die Sozialleistung | benefit/social security/social security benefits | OK
604. der Spitzenreiter | front runner | OK
605. das Städtchen | little town/small town | OK
606. die Videoüberwachung | CCTV/closed circuit television/video control | OK
607. der Vortag | previous day | OK
608. das Webdesign | Web design | OK
609. die Größenordnung | magnitude/magnitude order/order of magnitude | OK
610. die Informationstechnologie | information technology | OK
611. die Kernkompetenz | core competence | OK
612. der Webshop | webshop | OK
613. die Wiedergabe | playback/portrayal/rendition | OK
614. der Winzer | viticulturist/winegrower/winemaker | OK
615. der Workflow | workflow | OK
616. der Zahnersatz | prosthodontics | WRONG: dentures/dental prosthesis — Zahnersatz is the replacement teeth or prosthesis, not the field of prosthodontics.
617. der Appell | appeal/standing in formation | OK
618. der Lebenspartner | life partner/partner | OK
619. die Ära | calendar/era | OK
620. das Mädel | girl/maid | OK
621. der Beamer | PC projector/digital projector/multimedia projector | OK
622. der Buchmacher | bookie/bookmaker | OK
623. die Energiewirtschaft | energy industry/power industry | OK
624. die Erwähnung | mention/reference | OK
625. der Erzeuger | begetter/producer | OK
626. die Fachschaft | department club/student association | OK
627. der Motorradfahrer | biker/motorcyclist | OK
628. der Herzog | duke | OK
629. das Hörgerät | hearing aid | OK
630. das Körpergewicht | body weight | OK
631. der Kriminelle | criminal | OK
632. das Nervensystem | nervous system | OK
633. die Nische | niche | OK
634. die Präzision | precision | OK
635. die Schleife | bow/loop | OK
636. die Übernachtungsmöglichkeit | accommodation | OK
637. die Organspende | organ donation | OK
638. das Positionspapier | position paper | OK
639. die Umwandlung | conversion/metamorphosis/promotion | OK
640. der Rückenschmerz | back pain | OK
641. der Wettbewerbsvorteil | competitive advantage | OK
642. das Wild | game | OK
