row	rank	word	genders	bothInDrills
11	494	See	"[{""article"":""die"",""english"":""sea/ocean"",""plural"":""Seen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""lake"",""plural"":""Seen"",""singularOnly"":false,""pluralOnly"":false}]"	True
12	531	Moment	"[{""article"":""der"",""english"":""moment/moment (time)"",""plural"":""Momente"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""factor/element (physics: torque)"",""plural"":""Momente"",""singularOnly"":false,""pluralOnly"":false}]"	True
13	565	Leiter	"[{""article"":""die"",""english"":""ladder"",""plural"":""Leitern"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""leader/director"",""plural"":""Leiter"",""singularOnly"":false,""pluralOnly"":false}]"	True
14	571	Maß	"[{""article"":""die"",""english"":""liter of beer (Bavarian)"",""plural"":""Maß"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""measure/degree"",""plural"":""Maße"",""singularOnly"":false,""pluralOnly"":false}]"	True
15	703	Tor	"[{""article"":""der"",""english"":""fool (archaic)"",""plural"":""Toren"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""goal/gate"",""plural"":""Tore"",""singularOnly"":false,""pluralOnly"":false}]"	False
16	721	Kaffee	"[{""article"":""der"",""english"":""coffee"",""plural"":""Kaffees"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""cafe (regional/dialectal, standard: das Café)"",""plural"":""Kaffees"",""singularOnly"":false,""pluralOnly"":false}]"	False
17	750	Steuer	"[{""article"":""die"",""english"":""tax"",""plural"":""Steuern"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""steering wheel/helm"",""plural"":""Steuer"",""singularOnly"":false,""pluralOnly"":false}]"	True
18	756	Post	"[{""article"":""die"",""english"":""mail/post office"",""plural"":""—"",""singularOnly"":true,""pluralOnly"":false},{""article"":""der"",""english"":""post (online)"",""plural"":""Posts"",""singularOnly"":false,""pluralOnly"":false}]"	True
19	882	Morgen	"[{""article"":""der"",""english"":""morning"",""plural"":""Morgen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""tomorrow/the future"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
20	975	Mangel	"[{""article"":""die"",""english"":""mangle (laundry press)"",""plural"":""Mangeln"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""lack/shortage/deficiency"",""plural"":""Mängel"",""singularOnly"":false,""pluralOnly"":false}]"	True
21	1120	Gang	"[{""article"":""die"",""english"":""gang"",""plural"":""Gangs"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""corridor/aisle/gear"",""plural"":""Gänge"",""singularOnly"":false,""pluralOnly"":false}]"	True
22	1147	Gehalt	"[{""article"":""der"",""english"":""content/substance"",""plural"":""Gehalte"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""salary/wage"",""plural"":""Gehälter"",""singularOnly"":false,""pluralOnly"":false}]"	True
23	1257	Erbe	"[{""article"":""der"",""english"":""heir"",""plural"":""Erben"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""inheritance/heritage"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	True
24	1353	Mode	"[{""article"":""die"",""english"":""fashion"",""plural"":""Moden"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""mode (technical)"",""plural"":""Moden"",""singularOnly"":false,""pluralOnly"":false}]"	True
25	1425	Bauer	"[{""article"":""der"",""english"":""farmer/peasant"",""plural"":""Bauern"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""birdcage"",""plural"":""Bauer"",""singularOnly"":false,""pluralOnly"":false}]"	False
26	1518	Tee	"[{""article"":""der"",""english"":""tea"",""plural"":""Tees"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""tee (golf)"",""plural"":""Tees"",""singularOnly"":false,""pluralOnly"":false}]"	False
27	1555	Chor	"[{""article"":""der"",""english"":""choir/chorus"",""plural"":""Chöre"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""chancel (church architecture)"",""plural"":""Chöre"",""singularOnly"":false,""pluralOnly"":false}]"	False
28	1793	Mund	"[{""article"":""die"",""english"":""guardianship (legal, archaic)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false},{""article"":""der"",""english"":""mouth"",""plural"":""Münder"",""singularOnly"":false,""pluralOnly"":false}]"	False
29	1918	Schild	"[{""article"":""der"",""english"":""shield"",""plural"":""Schilde"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""sign/nameplate"",""plural"":""Schilder"",""singularOnly"":false,""pluralOnly"":false}]"	True
30	1964	Wende	"[{""article"":""die"",""english"":""flip turn/front vault/tumble turn/turn/change (die Wende = reunification)"",""plural"":""Wenden"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""Wend/Sorb (Slavic people)"",""plural"":""Wenden"",""singularOnly"":false,""pluralOnly"":false}]"	False
31	1973	Model	"[{""article"":""der"",""english"":""mold/form"",""plural"":""Model"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""model/model (fashion)"",""plural"":""Models"",""singularOnly"":false,""pluralOnly"":false}]"	True
32	2015	Plastik	"[{""article"":""die"",""english"":""sculpture"",""plural"":""Plastiken"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""plastic"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	True
33	2168	Mark	"[{""article"":""die"",""english"":""mark (currency)"",""plural"":""Mark"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""marrow/pith"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	True
34	2252	Verdienst	"[{""article"":""der"",""english"":""earnings/income/wages"",""plural"":""Verdienste"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""merit/credit"",""plural"":""Verdienste"",""singularOnly"":false,""pluralOnly"":false}]"	True
35	2276	Lob	"[{""article"":""der"",""english"":""lob (sports)"",""plural"":""Lobs"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""accolade/praise"",""plural"":""Lobe"",""singularOnly"":false,""pluralOnly"":false}]"	False
36	2374	Flur	"[{""article"":""die"",""english"":""open field/farmland"",""plural"":""Fluren"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""corridor/hall/hallway"",""plural"":""Flure"",""singularOnly"":false,""pluralOnly"":false}]"	True
37	2381	Stift	"[{""article"":""der"",""english"":""pen/pencil"",""plural"":""Stifte"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""collegiate church/monastery"",""plural"":""Stifte"",""singularOnly"":false,""pluralOnly"":false}]"	True
38	2404	Messer	"[{""article"":""der"",""english"":""measurer/gauge"",""plural"":""Messer"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""knife"",""plural"":""Messer"",""singularOnly"":false,""pluralOnly"":false}]"	True
39	2618	Golf	"[{""article"":""der"",""english"":""Golf/gulf"",""plural"":""Golfe"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""golf (sport)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	True
40	2830	Militär	"[{""article"":""der"",""english"":""military officer"",""plural"":""Militärs"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""army/military"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
41	3019	Reis	"[{""article"":""der"",""english"":""rice"",""plural"":""—"",""singularOnly"":true,""pluralOnly"":false},{""article"":""das"",""english"":""twig/shoot"",""plural"":""Reiser"",""singularOnly"":false,""pluralOnly"":false}]"	False
42	3293	Schock	"[{""article"":""der"",""english"":""shock"",""plural"":""Schocke"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""sixty (archaic unit)"",""plural"":""Schocke"",""singularOnly"":false,""pluralOnly"":false}]"	False
43	3558	Objektiv	"[{""article"":""der"",""english"":""objective case (grammar)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false},{""article"":""das"",""english"":""lens/objective/objective (camera)"",""plural"":""Objektive"",""singularOnly"":false,""pluralOnly"":false}]"	False
44	3790	Vorsatz	"[{""article"":""der"",""english"":""intention/prefix/resolution"",""plural"":""Vorsätze"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""endpaper (bookbinding)"",""plural"":""Vorsätze"",""singularOnly"":false,""pluralOnly"":false}]"	False
45	3868	Gift	"[{""article"":""die"",""english"":""gift (archaic/false friend)"",""plural"":""Giften"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""anger/wrath (archaic)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false},{""article"":""das"",""english"":""poison/toxin"",""plural"":""Gifte"",""singularOnly"":false,""pluralOnly"":false}]"	False
46	4558	Gefallen	"[{""article"":""der"",""english"":""favour"",""plural"":""Gefallen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""pleasure/liking"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	True
47	4815	Heide	"[{""article"":""die"",""english"":""heath/moor"",""plural"":""Heiden"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""heathen/pagan"",""plural"":""Heiden"",""singularOnly"":false,""pluralOnly"":false}]"	True
48	5043	Hummel	"[{""article"":""die"",""english"":""bumblebee/dumbledore/hommel"",""plural"":""Hummeln"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""breeding bull (dialectal)"",""plural"":""Hummel"",""singularOnly"":false,""pluralOnly"":false}]"	False
49	5082	Spektakel	"[{""article"":""der"",""english"":""racket/commotion"",""plural"":""Spektakel"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""spectacle/show"",""plural"":""Spektakel"",""singularOnly"":false,""pluralOnly"":false}]"	False
50	5179	Quark	"[{""article"":""der"",""english"":""cottage cheese/curd cheese/fromage frais/quark (curd cheese)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false},{""article"":""das"",""english"":""quark (physics)"",""plural"":""Quarks"",""singularOnly"":false,""pluralOnly"":false}]"	False
51	5265	Kiefer	"[{""article"":""die"",""english"":""pine/pine tree/pinewood"",""plural"":""Kiefern"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""jaw"",""plural"":""Kiefer"",""singularOnly"":false,""pluralOnly"":false}]"	True
52	5271	Mast	"[{""article"":""die"",""english"":""fattening (of animals)"",""plural"":""Masten"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""mast/pylon/pole"",""plural"":""Maste"",""singularOnly"":false,""pluralOnly"":false}]"	True
53	5536	Korn	"[{""article"":""der"",""english"":""grain schnapps"",""plural"":""Korn"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""grain/corn/kernel"",""plural"":""Körner"",""singularOnly"":false,""pluralOnly"":false}]"	True
54	5797	Treff	"[{""article"":""der"",""english"":""meeting point"",""plural"":""Treffs"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""clubs"",""plural"":""Treffs"",""singularOnly"":false,""pluralOnly"":false}]"	False
55	5875	Marsch	"[{""article"":""die"",""english"":""marsh/wetland"",""plural"":""Marschen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""march"",""plural"":""Märsche"",""singularOnly"":false,""pluralOnly"":false}]"	True
56	5883	Pony	"[{""article"":""der"",""english"":""fringe/bangs (hair)"",""plural"":""Ponys"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""pony/pony (small horse)"",""plural"":""Ponys"",""singularOnly"":false,""pluralOnly"":false}]"	True
57	6132	Pole	"[{""article"":""die"",""english"":""pole position"",""plural"":""Poles"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""Pole/Pole (Polish person)"",""plural"":""Polen"",""singularOnly"":false,""pluralOnly"":false}]"	False
58	6477	Bulle	"[{""article"":""die"",""english"":""papal bull"",""plural"":""Bullen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""bull/cop/copper/cop (slang)"",""plural"":""Bullen"",""singularOnly"":false,""pluralOnly"":false}]"	True
59	6772	Zink	"[{""article"":""der"",""english"":""cornett (Renaissance instrument)"",""plural"":""Zinken"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""zinc/zinc (metal)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
60	7147	Ex	"[{""article"":""die"",""english"":""pop quiz (Bavarian)"",""plural"":""Exen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""ex/ex (former partner)"",""plural"":""Ex"",""singularOnly"":false,""pluralOnly"":false}]"	False
61	7355	Hefe	"[{""article"":""die"",""english"":""barm/dregs/driving force/yeast"",""plural"":""Hefen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""wheat beer (colloquial)"",""plural"":""Hefe"",""singularOnly"":false,""pluralOnly"":false}]"	False
62	7616	Tram	"[{""article"":""die"",""english"":""tram/tramway"",""plural"":""Trams"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""beam"",""plural"":""Trame"",""singularOnly"":false,""pluralOnly"":false}]"	False
63	8393	Orange	"[{""article"":""die"",""english"":""China orange/bitter orange/orange/orange (fruit)"",""plural"":""Orangen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""orange (color)"",""plural"":""Orange"",""singularOnly"":false,""pluralOnly"":false}]"	True
64	886	Finne	"[{""article"":""die"",""english"":""fin/blade"",""plural"":""Finnen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""Finn"",""plural"":""Finnen"",""singularOnly"":false,""pluralOnly"":false}]"	False
65	8762	Titan	"[{""article"":""der"",""english"":""Titan (mythology)"",""plural"":""Titanen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""titanium/titanium (element)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
66	8924	Korpus	"[{""article"":""die"",""english"":""corpus"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false},{""article"":""der"",""english"":""base/body"",""plural"":""Korpusse"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""corpus"",""plural"":""Korpora"",""singularOnly"":false,""pluralOnly"":false}]"	False
67	9228	Lama	"[{""article"":""der"",""english"":""lama (Buddhist monk)"",""plural"":""Lamas"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""llama/llama (animal)"",""plural"":""Lamas"",""singularOnly"":false,""pluralOnly"":false}]"	True
68	9231	Laster	"[{""article"":""der"",""english"":""lorry/truck"",""plural"":""Laster"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""vice/bad habit"",""plural"":""Laster"",""singularOnly"":false,""pluralOnly"":false}]"	True
69	9274	Python	"[{""article"":""der"",""english"":""python/python (snake)"",""plural"":""Pythons"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""Python (programming)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
70	9287	Rentier	"[{""article"":""der"",""english"":""person of independent means"",""plural"":""Rentiers"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""reindeer"",""plural"":""Rentiere"",""singularOnly"":false,""pluralOnly"":false}]"	True
71	9592	Mahd	"[{""article"":""die"",""english"":""mowing/swath/swathe"",""plural"":""Mahden"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""alpine meadow"",""plural"":""Mähder"",""singularOnly"":false,""pluralOnly"":false}]"	False
72	9835	Elf	"[{""article"":""die"",""english"":""eleven/football team"",""plural"":""Elfen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""elf"",""plural"":""Elfen"",""singularOnly"":false,""pluralOnly"":false}]"	False
73	10283	Graph	"[{""article"":""der"",""english"":""graph"",""plural"":""Graphen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""grapheme"",""plural"":""Graphe"",""singularOnly"":false,""pluralOnly"":false}]"	False
74	10655	Franchise	"[{""article"":""die"",""english"":""deductible/excess (insurance)"",""plural"":""Franchisen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""franchise"",""plural"":""Franchises"",""singularOnly"":false,""pluralOnly"":false}]"	False
75	11746	Page	"[{""article"":""die"",""english"":""page (web/book)"",""plural"":""Pages"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""bellboy/bellhop/bellman/page (attendant)"",""plural"":""Pagen"",""singularOnly"":false,""pluralOnly"":false}]"	False
76	15177	Heroin	"[{""article"":""die"",""english"":""heroine"",""plural"":""Heroinnen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""heroin/heroin (drug)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
77	15650	Type	"[{""article"":""die"",""english"":""letter/type"",""plural"":""Typen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""type"",""plural"":""Types"",""singularOnly"":false,""pluralOnly"":false}]"	False
78	16342	Mandarin	"[{""article"":""der"",""english"":""mandarin"",""plural"":""Mandarine"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""standard Mandarin"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
79	17524	Laube	"[{""article"":""die"",""english"":""arbor/arbour/arcade/bower"",""plural"":""Lauben"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""bleak (fish)"",""plural"":""Lauben"",""singularOnly"":false,""pluralOnly"":false}]"	False
80	17967	Tau	"[{""article"":""der"",""english"":""dew"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false},{""article"":""das"",""english"":""rope/hawser"",""plural"":""Taue"",""singularOnly"":false,""pluralOnly"":false}]"	True
81	18507	Ekel	"[{""article"":""der"",""english"":""disgust/revulsion"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false},{""article"":""das"",""english"":""disgusting person"",""plural"":""Ekel"",""singularOnly"":false,""pluralOnly"":false}]"	True
82	18664	Gemahl	"[{""article"":""der"",""english"":""husband/spouse/husband (formal)"",""plural"":""Gemahle"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""spouse (archaic)"",""plural"":""Gemahle"",""singularOnly"":false,""pluralOnly"":false}]"	False
83	19375	Schote	"[{""article"":""die"",""english"":""pod/silique/pod (botany)"",""plural"":""Schoten"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""fool (Northern German)"",""plural"":""Schoten"",""singularOnly"":false,""pluralOnly"":false}]"	False
84	19850	As	"[{""article"":""der"",""english"":""as/ace"",""plural"":""Asse"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""A-flat (music)"",""plural"":""As"",""singularOnly"":false,""pluralOnly"":false}]"	False
85	20910	Ohm	"[{""article"":""der"",""english"":""uncle (dialectal)"",""plural"":""Ohme"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""ohm/ohm (unit)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
86	20934	Otter	"[{""article"":""die"",""english"":""adder/viper"",""plural"":""Ottern"",""singularOnly"":false,""pluralOnly"":false},{""article"":""der"",""english"":""otter"",""plural"":""Otter"",""singularOnly"":false,""pluralOnly"":false}]"	True
87	23216	Pik	"[{""article"":""der"",""english"":""grudge/pique"",""plural"":""Piks"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""spade/spades (card suit)"",""plural"":""?"",""singularOnly"":true,""pluralOnly"":false}]"	False
88	2152	Hut	"[{""article"":""der"",""english"":""cap/hat"",""plural"":""Hüte"",""singularOnly"":false,""pluralOnly"":false},{""article"":""die"",""english"":""guard/protection (auf der Hut sein = to be on guard)"",""plural"":""—"",""singularOnly"":true,""pluralOnly"":false}]"	True
89	340	Junge	"[{""article"":""der"",""english"":""boy"",""plural"":""Jungen"",""singularOnly"":false,""pluralOnly"":false},{""article"":""das"",""english"":""young animal/cub"",""plural"":""Jungen"",""singularOnly"":false,""pluralOnly"":false}]"	True
90	165	Weise	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""der"",""english"":""wise man/sage"",""plural"":""Weisen""},{""singularOnly"":false,""pluralOnly"":false,""article"":""die"",""english"":""way/manner"",""plural"":""Weisen""}]"	True
91	24015	Einheimische	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""der"",""english"":""local/native resident (male)"",""plural"":""Einheimischen""},{""singularOnly"":false,""pluralOnly"":false,""article"":""die"",""english"":""local/native resident (female)"",""plural"":""Einheimischen""}]"	True
92	760	Event	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""das"",""english"":""event"",""plural"":""Events""},{""singularOnly"":false,""pluralOnly"":false,""article"":""der"",""english"":""event (regional/Austrian/Swiss usage)"",""plural"":""Events""}]"	True
93	3470	Kajak	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""der"",""english"":""kayak"",""plural"":""Kajaks""},{""singularOnly"":false,""pluralOnly"":false,""article"":""das"",""english"":""kayak"",""plural"":""Kajaks""}]"	True
94	617	Download	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""der"",""english"":""download"",""plural"":""Downloads""},{""singularOnly"":false,""pluralOnly"":false,""article"":""das"",""english"":""download"",""plural"":""Downloads""}]"	True
95	3529	Like	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""der"",""english"":""like (e.g. social media)"",""plural"":""Likes""},{""singularOnly"":false,""pluralOnly"":false,""article"":""das"",""english"":""like (e.g. social media)"",""plural"":""Likes""}]"	True
96	2098	Level	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""der"",""english"":""level/stage"",""plural"":""Level""},{""singularOnly"":false,""pluralOnly"":false,""article"":""das"",""english"":""level/stage"",""plural"":""Level""}]"	True
97	4666	Flakon	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""der"",""english"":""(perfume) bottle/flacon"",""plural"":""Flakons""},{""singularOnly"":false,""pluralOnly"":false,""article"":""das"",""english"":""(perfume) bottle/flacon"",""plural"":""Flakons""}]"	True
98	4638	Kurkuma	"[{""singularOnly"":false,""pluralOnly"":false,""article"":""die"",""english"":""turmeric"",""plural"":""—""},{""singularOnly"":false,""pluralOnly"":false,""article"":""das"",""english"":""turmeric"",""plural"":""—""}]"	True
