row	rank	word	irregular	prateritum	perfekt	withSein	english	cefrLevel	source
106	106	berichten	False	UNSET	UNSET	UNSET	report	A1	UNSET
107	107	erstellen	False	UNSET	UNSET	UNSET	create	B1	UNSET
108	108	entdecken	False	UNSET	UNSET	UNSET	discover	B1	UNSET
109	109	ändern	False	UNSET	UNSET	UNSET	change	A2	UNSET
110	110	fragen	False	UNSET	UNSET	UNSET	ask	A1	UNSET
111	111	beschäftigen	False	UNSET	UNSET	UNSET	employ/occupy	B1	UNSET
112	112	funktionieren	False	UNSET	UNSET	UNSET	work/function	A2	UNSET
113	113	beachten	False	UNSET	UNSET	UNSET	pay attention to/observe	A2	UNSET
114	114	vermitteln	False	UNSET	UNSET	UNSET	convey/mediate	B2	UNSET
115	115	schützen	False	UNSET	UNSET	UNSET	protect	B1	UNSET
116	116	leisten	False	UNSET	UNSET	UNSET	accomplish/afford	B1	UNSET
117	117	lesen	True	las	gelesen	False	read	A1	UNSET
118	118	teilnehmen	True	nahm teil	teilgenommen	False	participate	A2	UNSET
119	119	begleiten	False	UNSET	UNSET	UNSET	accompany	A2	UNSET
120	120	steigen	True	stieg	gestiegen	True	climb/rise	B1	UNSET
121	121	aussehen	True	sah aus	ausgesehen	False	look/appear	A1	UNSET
122	122	veröffentlichen	False	UNSET	UNSET	UNSET	publish	B1	UNSET
123	123	denken	True	dachte	gedacht	False	think	A1	UNSET
124	124	öffnen	False	UNSET	UNSET	UNSET	open	A1	UNSET
125	125	liefern	False	UNSET	UNSET	UNSET	deliver/supply	A2	UNSET
126	126	verlieren	True	verlor	verloren	False	lose	A2	UNSET
127	127	betreffen	True	betraf	betroffen	False	affect/concern	B1	UNSET
128	128	richten	False	UNSET	UNSET	UNSET	direct/aim	B2	UNSET
129	129	erfüllen	False	UNSET	UNSET	UNSET	fulfil	B1	UNSET
130	130	feiern	False	UNSET	UNSET	UNSET	celebrate	A1	UNSET
131	131	fehlen	False	UNSET	UNSET	UNSET	be missing/lack	A1	UNSET
132	132	ergeben	True	ergab	ergeben	False	result/yield	B2	UNSET
133	133	prüfen	False	UNSET	UNSET	UNSET	check/examine	A2	UNSET
134	134	fordern	False	UNSET	UNSET	UNSET	demand/call for/challenge	B1	UNSET
135	135	überzeugen	False	UNSET	UNSET	UNSET	convince	B1	UNSET
136	136	genießen	True	genoss	genossen	False	enjoy	A1	UNSET
137	137	betragen	True	betrug	betragen	False	amount to	UNSET	UNSET
138	138	beteiligen	False	UNSET	UNSET	UNSET	participate/involve	B1	UNSET
139	139	erhöhen	False	UNSET	UNSET	UNSET	increase/raise	B1	UNSET
140	140	sichern	False	UNSET	UNSET	UNSET	secure/protect	B1	UNSET
141	141	berücksichtigen	False	UNSET	UNSET	UNSET	consider/take into account	B2	UNSET
142	142	wünschen	False	UNSET	UNSET	UNSET	wish/want	A1	UNSET
143	143	erzählen	False	UNSET	UNSET	UNSET	tell/narrate	A1	UNSET
144	144	verändern	False	UNSET	UNSET	UNSET	change	A2	UNSET
145	145	bestimmen	False	UNSET	UNSET	UNSET	determine/rule	B2	UNSET
146	146	achten	False	UNSET	UNSET	UNSET	pay attention to/respect	A1	UNSET
147	147	beitragen	True	trug bei	beigetragen	False	contribute	B2	UNSET
148	148	scheinen	True	schien	geschienen	False	seem/shine	A1	UNSET
149	149	wirken	False	UNSET	UNSET	UNSET	have an effect/seem	B1	UNSET
150	150	schließen	True	schloss	geschlossen	False	close/conclude	A1	UNSET
151	151	eignen	False	UNSET	UNSET	UNSET	sich eignen (für) — be suitable	UNSET	UNSET
152	152	umfassen	False	UNSET	UNSET	UNSET	include/comprise	B2	UNSET
153	153	aufbauen	False	UNSET	UNSET	UNSET	build/build up	B2	UNSET
154	154	fühlen	False	UNSET	UNSET	UNSET	feel	A2	UNSET
155	155	beraten	True	beriet	beraten	False	advise/consult	A2	UNSET
156	156	bauen	False	UNSET	UNSET	UNSET	build/construct	A2	UNSET
157	157	zahlen	False	UNSET	UNSET	UNSET	pay	A1	UNSET
158	158	beschreiben	True	beschrieb	beschrieben	False	describe	A1	UNSET
159	159	abschließen	True	schloss ab	abgeschlossen	False	complete/lock	A2	UNSET
160	160	ankommen	True	kam an	angekommen	True	arrive/depend on	A1	UNSET
161	161	eröffnen	False	UNSET	UNSET	UNSET	open	A2	UNSET
162	162	profitieren	False	UNSET	UNSET	UNSET	profit	B2	UNSET
163	163	diskutieren	False	UNSET	UNSET	UNSET	discuss	A1	UNSET
164	164	feststellen	False	UNSET	UNSET	UNSET	determine/notice	B1	UNSET
165	165	sammeln	False	UNSET	UNSET	UNSET	collect/gather	A1	UNSET
166	166	reichen	False	UNSET	UNSET	UNSET	be enough/suffice	B1	UNSET
167	167	vorbereiten	False	UNSET	UNSET	UNSET	prepare	A1	UNSET
168	168	auszeichnen	False	UNSET	UNSET	UNSET	distinguish/award	B2	UNSET
169	169	gründen	False	UNSET	UNSET	UNSET	found/establish	A2	UNSET
170	170	sparen	False	UNSET	UNSET	UNSET	save	A2	UNSET
171	171	anpassen	False	UNSET	UNSET	UNSET	adapt/adjust	B2	UNSET
172	172	treten	True	trat	getreten	True	step/kick	B1	UNSET
173	173	besitzen	True	besaß	besessen	False	own/possess	A2	UNSET
174	174	verkaufen	False	UNSET	UNSET	UNSET	sell	A1	UNSET
175	175	passieren	False	UNSET	UNSET	True	happen	A1	UNSET
176	176	entsprechen	True	entsprach	entsprochen	False	correspond to	C1	UNSET
177	177	behandeln	False	UNSET	UNSET	UNSET	treat/deal with/cover	B1	UNSET
178	178	erweitern	False	UNSET	UNSET	UNSET	expand/extend	B2	UNSET
179	179	ergänzen	False	UNSET	UNSET	UNSET	add/supplement	A1	UNSET
180	180	stärken	False	UNSET	UNSET	UNSET	strengthen	B2	UNSET
181	181	warten	False	UNSET	UNSET	UNSET	wait/maintain	A1	UNSET
182	182	vertreten	True	vertrat	vertreten	False	represent	B1	UNSET
183	183	organisieren	False	UNSET	UNSET	UNSET	organise	A2	UNSET
184	184	untersuchen	False	UNSET	UNSET	UNSET	examine/investigate	A1	UNSET
185	185	beziehen	True	bezog	bezogen	False	refer to/obtain	C1	UNSET
186	186	wachsen	True	wuchs	gewachsen	True	grow	B1	UNSET
187	187	angeben	True	gab an	angegeben	False	state/indicate	B1	UNSET
188	188	anzeigen	False	UNSET	UNSET	UNSET	display/report	B1	UNSET
189	189	passen	False	UNSET	UNSET	UNSET	fit/suit	A1	UNSET
190	190	bewegen	False	UNSET	UNSET	UNSET	move	A1	UNSET
191	191	dauern	False	UNSET	UNSET	UNSET	last/take (time)	A1	UNSET
192	192	kosten	False	UNSET	UNSET	UNSET	cost/taste	A1	UNSET
193	193	bezeichnen	False	UNSET	UNSET	UNSET	describe/denote	C1	UNSET
194	194	verhindern	False	UNSET	UNSET	UNSET	prevent	B1	UNSET
195	195	betreiben	True	betrieb	betrieben	False	operate/run	B2	UNSET
196	196	anmelden	False	UNSET	UNSET	UNSET	register/sign up	A1	UNSET
197	197	verlassen	True	verließ	verlassen	False	leave	B1	UNSET
198	198	vermeiden	True	vermied	vermieden	False	avoid	B1	UNSET
199	199	lohnen	False	UNSET	UNSET	UNSET	sich lohnen — be worth it (es lohnt sich)	B1	UNSET
200	200	bestellen	False	UNSET	UNSET	UNSET	order	A1	UNSET
201	201	gewährleisten	False	UNSET	UNSET	UNSET	guarantee/ensure	C1	UNSET
202	202	glauben	False	UNSET	UNSET	UNSET	believe	A1	UNSET
203	203	herstellen	False	UNSET	UNSET	UNSET	produce/manufacture	A2	UNSET
204	204	auswählen	False	UNSET	UNSET	UNSET	choose/select	A2	UNSET
205	205	lösen	False	UNSET	UNSET	UNSET	solve/release	A2	UNSET
206	206	erlauben	False	UNSET	UNSET	UNSET	allow/permit	A1	UNSET
207	207	wenden	False	wendete	gewendet	False	turn/apply to	B1	UNSET
208	208	unterscheiden	True	unterschied	unterschieden	False	distinguish/differ	B1	UNSET
209	209	vorsehen	True	sah vor	vorgesehen	False	plan/provide for	C1	UNSET
210	210	bestätigen	False	UNSET	UNSET	UNSET	confirm	A2	UNSET
211	211	ausgehen	True	ging aus	ausgegangen	True	go out/assume	A1	UNSET
212	212	einstellen	False	UNSET	UNSET	UNSET	set/hire/stop	B1	UNSET
213	213	verpflichten	False	UNSET	UNSET	UNSET	oblige/commit	UNSET	UNSET
214	214	bezahlen	False	UNSET	UNSET	UNSET	pay	A1	UNSET
215	215	speichern	False	UNSET	UNSET	UNSET	save/store	A1	UNSET
216	216	sitzen	True	saß	gesessen	False	sit	A1	UNSET
217	217	erinnern	False	UNSET	UNSET	UNSET	remember/remind	A2	UNSET
218	218	meinen	False	UNSET	UNSET	UNSET	mean/think	A1	UNSET
219	219	mögen	True	mochte	gemocht	False	like/may	A1	UNSET
220	220	bitten	True	bat	gebeten	False	ask/request	A1	UNSET
221	221	erwerben	True	erwarb	erworben	False	acquire/obtain	B2	UNSET
222	222	integrieren	False	UNSET	UNSET	UNSET	integrate	B1	UNSET
223	223	auftreten	True	trat auf	aufgetreten	True	appear/occur	B1	UNSET
224	224	belegen	False	UNSET	UNSET	UNSET	prove/occupy	B2	UNSET
225	225	reduzieren	False	UNSET	UNSET	UNSET	reduce	A2	UNSET
226	226	festlegen	False	UNSET	UNSET	UNSET	determine/define	B1	UNSET
227	227	gefallen	True	gefiel	gefallen	False	please/like	A1	UNSET
228	228	prägen	False	UNSET	UNSET	UNSET	shape/characterise	B2	UNSET
229	229	laden	True	lud	geladen	False	load/charge/invite	B1	UNSET
230	230	melden	False	UNSET	UNSET	UNSET	report	A1	UNSET
231	231	betonen	False	UNSET	UNSET	UNSET	emphasise/stress	A2	UNSET
232	232	betreuen	False	UNSET	UNSET	UNSET	take care of/look after	A1	UNSET
233	233	einrichten	False	UNSET	UNSET	UNSET	set up/furnish	A2	UNSET
234	234	rechnen	False	UNSET	UNSET	UNSET	calculate/expect	A2	UNSET
235	235	mitteilen	False	UNSET	UNSET	UNSET	communicate/inform	A2	UNSET
236	236	studieren	False	UNSET	UNSET	UNSET	study	A1	UNSET
237	237	teilen	False	UNSET	UNSET	UNSET	share/divide	A2	UNSET
238	238	bewerben	True	bewarb	beworben	False	sich bewerben (um/bei) — apply (for a job)	A2	UNSET
239	239	vornehmen	True	nahm vor	vorgenommen	False	carry out/intend	B2	UNSET
240	240	beantworten	False	UNSET	UNSET	UNSET	answer	A1	UNSET
241	241	reagieren	False	UNSET	UNSET	UNSET	react	A1	UNSET
242	242	annehmen	True	nahm an	angenommen	False	accept/assume	B1	UNSET
243	243	schauen	False	UNSET	UNSET	UNSET	look/watch	A1	UNSET
244	244	eingehen	True	ging ein	eingegangen	True	go into/accept	B2	UNSET
245	245	beschließen	True	beschloss	beschlossen	False	decide	B1	UNSET
246	246	erzielen	False	UNSET	UNSET	UNSET	achieve	B2	UNSET
247	247	stammen	False	UNSET	UNSET	UNSET	come from/originate	B1	UNSET
248	248	engagieren	False	UNSET	UNSET	UNSET	sich engagieren — be actively involved/committed	B2	UNSET
249	249	leiten	False	UNSET	UNSET	UNSET	lead/manage	B1	UNSET
250	250	bewerten	False	UNSET	UNSET	UNSET	evaluate/rate	B2	UNSET
251	251	ersetzen	False	UNSET	UNSET	UNSET	replace	B1	UNSET
252	252	überprüfen	False	UNSET	UNSET	UNSET	check/review	B1	UNSET
253	253	erläutern	False	UNSET	UNSET	UNSET	explain	C1	UNSET
254	254	hinweisen	True	wies hin	hingewiesen	False	point out/indicate	B1	UNSET
255	255	kümmern	False	UNSET	UNSET	UNSET	sich kümmern um — take care of/see to	A2	UNSET
256	256	testen	False	UNSET	UNSET	UNSET	test	B1	UNSET
257	257	ausstatten	False	UNSET	UNSET	UNSET	equip/provide	C1	UNSET
258	258	beobachten	False	UNSET	UNSET	UNSET	observe/watch	B1	UNSET
259	259	ermitteln	False	UNSET	UNSET	UNSET	determine/investigate	C1	UNSET
260	260	begrüßen	False	UNSET	UNSET	UNSET	greet/welcome	B1	UNSET
261	261	verzichten	False	UNSET	UNSET	UNSET	do without/forgo	A2	UNSET
262	262	stecken	False	UNSET	UNSET	UNSET	put/be stuck	B1	UNSET
263	263	verfolgen	False	UNSET	UNSET	UNSET	pursue/follow	B1	UNSET
264	264	sicherstellen	False	UNSET	UNSET	UNSET	ensure/guarantee	B2	UNSET
265	265	ansprechen	True	sprach an	angesprochen	False	address/appeal to	A2	UNSET
266	266	erheben	True	erhob	erhoben	False	raise/charge	C1	UNSET
267	267	abgeben	True	gab ab	abgegeben	False	hand in/give	A1	UNSET
268	268	verteilen	False	UNSET	UNSET	UNSET	distribute	B1	UNSET
269	269	übertragen	True	übertrug	übertragen	False	transfer/broadcast	UNSET	UNSET
270	270	wechseln	False	UNSET	UNSET	UNSET	change/exchange	A1	UNSET
271	271	produzieren	False	UNSET	UNSET	UNSET	produce	A2	UNSET
272	272	investieren	False	UNSET	UNSET	UNSET	invest	B2	UNSET
273	273	erfassen	False	UNSET	UNSET	UNSET	record/capture	B2	UNSET
274	274	enden	False	UNSET	UNSET	UNSET	end	A1	UNSET
275	275	fallen	True	fiel	gefallen	True	fall	A2	UNSET
276	276	erleichtern	False	UNSET	UNSET	UNSET	make easier/facilitate	B1	UNSET
277	277	benutzen	False	UNSET	UNSET	UNSET	use	A1	UNSET
278	278	betrachten	False	UNSET	UNSET	UNSET	consider/look at	C1	UNSET
279	279	holen	False	UNSET	UNSET	UNSET	fetch/get	A1	UNSET
280	280	ansehen	True	sah an	angesehen	False	look at/watch	A1	UNSET
281	281	wahrnehmen	True	nahm wahr	wahrgenommen	False	perceive/notice	B2	UNSET
282	282	erarbeiten	False	UNSET	UNSET	UNSET	develop/work out	B2	UNSET
283	283	regeln	False	UNSET	UNSET	UNSET	regulate/arrange	B1	UNSET
284	284	anlegen	False	UNSET	UNSET	UNSET	create/invest	B2	UNSET
285	285	buchen	False	UNSET	UNSET	UNSET	book	A2	UNSET
286	286	beantragen	False	UNSET	UNSET	UNSET	apply for	A2	UNSET
287	287	bearbeiten	False	UNSET	UNSET	UNSET	edit/process	A2	UNSET
288	288	verbringen	True	verbrachte	verbracht	False	spend (time)	A2	UNSET
289	289	austauschen	False	UNSET	UNSET	UNSET	exchange/swap	A2	UNSET
290	290	ausbauen	False	UNSET	UNSET	UNSET	expand/develop	B2	UNSET
291	291	klicken	False	UNSET	UNSET	UNSET	click	B1	UNSET
292	292	ausschließen	True	schloss aus	ausgeschlossen	False	exclude/rule out	B1	UNSET
293	293	verleihen	True	verlieh	verliehen	False	lend/award	B2	UNSET
294	294	hoffen	False	UNSET	UNSET	UNSET	hope (auf — hope for)	A2	UNSET
295	295	schlagen	True	schlug	geschlagen	False	beat/hit	B1	UNSET
296	296	umgehen	True	ging um	umgegangen	True	handle/deal with; go around	B1	UNSET
297	297	absolvieren	False	UNSET	UNSET	UNSET	complete	B2	UNSET
298	298	einführen	False	UNSET	UNSET	UNSET	introduce/import	B1	UNSET
299	299	verarbeiten	False	UNSET	UNSET	UNSET	process	B2	UNSET
300	300	fällen	False	UNSET	UNSET	UNSET	fell/make (a decision)	B2	UNSET
301	301	versorgen	False	UNSET	UNSET	UNSET	supply/take care of	B1	UNSET
302	302	kennenlernen	False	UNSET	UNSET	UNSET	get to know	A1	UNSET
303	303	vergeben	True	vergab	vergeben	False	forgive/award	C1	UNSET
304	304	verlangen	False	UNSET	UNSET	UNSET	demand/require	B1	UNSET
305	305	vergessen	True	vergaß	vergessen	False	forget	A1	UNSET
306	306	rufen	True	rief	gerufen	False	call/shout	A2	UNSET
307	307	steigern	False	UNSET	UNSET	UNSET	increase/improve	B2	UNSET
308	308	widmen	False	UNSET	UNSET	UNSET	dedicate	B2	UNSET
309	309	vereinbaren	False	UNSET	UNSET	UNSET	agree/arrange	A1	UNSET
310	310	anfangen	True	fing an	angefangen	False	begin/start	A1	UNSET
311	311	wohnen	False	UNSET	UNSET	UNSET	live	A1	UNSET
312	312	drehen	False	UNSET	UNSET	UNSET	turn/spin/shoot (film)	B1	UNSET
313	313	klären	False	UNSET	UNSET	UNSET	clarify	B1	UNSET
314	314	löschen	False	UNSET	UNSET	UNSET	delete/extinguish	A2	UNSET
315	315	erzeugen	False	UNSET	UNSET	UNSET	produce/generate	B2	UNSET
316	316	einbringen	True	brachte ein	eingebracht	False	introduce	B2	UNSET
317	317	schicken	False	UNSET	UNSET	UNSET	send	A1	UNSET
318	318	essen	True	aß	gegessen	False	eat	A1	UNSET
319	319	aufzeigen	False	UNSET	UNSET	UNSET	show/demonstrate	C1	UNSET
320	320	installieren	False	UNSET	UNSET	UNSET	install	B1	UNSET
321	321	vergleichen	True	verglich	verglichen	False	compare	A1	UNSET
322	322	lieben	False	UNSET	UNSET	UNSET	love	A1	UNSET
323	323	beenden	False	UNSET	UNSET	UNSET	end/finish	A2	UNSET
324	324	verdienen	False	UNSET	UNSET	UNSET	earn/deserve	A1	UNSET
325	325	vorlegen	False	UNSET	UNSET	UNSET	present/submit	C1	UNSET
326	326	sterben	True	starb	gestorben	True	die	A2	UNSET
327	327	bereitstellen	False	UNSET	UNSET	UNSET	provide/make available	UNSET	UNSET
328	328	leiden	True	litt	gelitten	False	suffer	B1	UNSET
329	329	garantieren	False	UNSET	UNSET	UNSET	guarantee	B1	UNSET
330	330	aufstellen	False	UNSET	UNSET	UNSET	set up/establish	A1	UNSET
331	331	finanzieren	False	UNSET	UNSET	UNSET	finance	B1	UNSET
332	332	mitbringen	True	brachte mit	mitgebracht	False	bring along	A1	UNSET
333	333	analysieren	False	UNSET	UNSET	UNSET	analyse	B1	UNSET
334	334	greifen	True	griff	gegriffen	False	grab/reach	B1	UNSET
335	335	ausfallen	True	fiel aus	ausgefallen	True	fail/be cancelled	A2	UNSET
336	336	entfernen	False	UNSET	UNSET	UNSET	remove	B1	UNSET
337	337	erfordern	False	UNSET	UNSET	UNSET	require	B1	UNSET
338	338	interessieren	False	UNSET	UNSET	UNSET	interest	A1	UNSET
339	339	nachweisen	True	wies nach	nachgewiesen	False	prove/demonstrate	B2	UNSET
340	340	aufweisen	True	wies auf	aufgewiesen	False	exhibit/show/have (a feature)	UNSET	UNSET
341	341	beeinflussen	False	UNSET	UNSET	UNSET	influence	B1	UNSET
342	342	einreichen	False	UNSET	UNSET	UNSET	submit	UNSET	UNSET
343	343	gebären	True	gebar	geboren	False	give birth	UNSET	UNSET
344	344	zulassen	True	ließ zu	zugelassen	False	allow/permit	B2	UNSET
345	345	anschließen	True	schloss an	angeschlossen	False	connect/join	B1	UNSET
346	346	schätzen	False	UNSET	UNSET	UNSET	estimate/appreciate	B1	UNSET
347	347	veranstalten	False	UNSET	UNSET	UNSET	organise/host	B2	UNSET
348	348	abhängen	True	hing ab	abgehangen	False	depend on	B1	UNSET
349	349	orientieren	False	UNSET	UNSET	UNSET	orient/guide	A1	UNSET
350	350	versprechen	True	versprach	versprochen	False	promise	A2	UNSET
351	351	werfen	True	warf	geworfen	False	throw	B1	UNSET
352	352	realisieren	False	UNSET	UNSET	UNSET	realise/implement	B1	UNSET
353	353	zusammenarbeiten	False	UNSET	UNSET	UNSET	cooperate/work together	A2	UNSET
354	354	kombinieren	False	UNSET	UNSET	UNSET	combine	B2	UNSET
355	355	aktivieren	False	UNSET	UNSET	UNSET	activate	C1	UNSET
356	356	anschauen	False	UNSET	UNSET	UNSET	look at/watch	UNSET	UNSET
357	357	begeistern	False	UNSET	UNSET	UNSET	inspire/excite	B1	UNSET
358	358	einnehmen	True	nahm ein	eingenommen	False	take/occupy	B1	UNSET
359	359	ausprobieren	False	UNSET	UNSET	UNSET	try out	A2	UNSET
360	360	kämpfen	False	UNSET	UNSET	UNSET	fight/struggle	B1	UNSET
361	361	raten	True	riet	geraten	False	advise/guess	A1	UNSET
362	362	erkunden	False	UNSET	UNSET	UNSET	explore	B1	UNSET
363	363	vorkommen	True	kam vor	vorgekommen	True	occur/happen	B1	UNSET
364	364	aufrufen	True	rief auf	aufgerufen	False	call/call up	B2	UNSET
365	365	erteilen	False	UNSET	UNSET	UNSET	give/issue	UNSET	UNSET
366	366	optimieren	False	UNSET	UNSET	UNSET	optimise	B2	UNSET
