row	rank	verb	preposition	case	english	example
29	29	sich beschäftigen	mit	Dat	occupy oneself with / deal with	Sie beschäftigt sich mit Kunst.
30	30	sich beschweren	über	Akk	complain about	Die Gäste beschweren sich über den Service.
31	31	sich beschweren	bei	Dat	complain to	Er beschwert sich beim Manager.
32	32	bestehen	auf	Dat	insist on	Sie besteht auf ihrem Recht.
33	33	bestehen	aus	Dat	consist of	Das Team besteht aus fünf Leuten.
34	34	bestehen	in	Dat	consist in / lie in	Das Problem besteht in der Finanzierung.
35	35	sich beteiligen	an	Dat	participate in	Alle beteiligen sich an der Diskussion.
36	36	beten	für	Akk	pray for	Sie betet für seine Genesung.
37	37	sich bewerben	um	Akk	apply for	Er bewirbt sich um die Stelle.
38	38	sich beziehen	auf	Akk	refer to	Das bezieht sich auf Ihren Brief.
39	39	bitten	um	Akk	ask for / request	Ich bitte um Verständnis.
40	40	bürgen	für	Akk	vouch for / guarantee	Ich bürge für seine Ehrlichkeit.
41	41	danken	für	Akk	thank for	Ich danke Ihnen für Ihre Hilfe.
42	42	denken	an	Akk	think of / about	Ich denke oft an dich.
43	43	dienen	zu	Dat	serve as / for	Das dient zur Sicherheit.
44	44	diskutieren	über	Akk	discuss	Wir diskutieren über das Thema.
45	45	drängen	auf	Akk	push for / urge	Er drängt auf eine schnelle Lösung.
46	46	sich drehen	um	Akk	revolve around / be about	Es dreht sich alles um Geld.
47	47	duften	nach	Dat	smell of (pleasant)	Die Küche duftet nach frischem Brot.
48	48	sich eignen	für	Akk	be suitable for	Das Buch eignet sich für Anfänger.
49	49	einladen	zu	Dat	invite to	Sie lädt uns zum Essen ein.
50	50	sich einigen	auf	Akk	agree on	Wir einigen uns auf einen Kompromiss.
51	51	sich einlassen	auf	Akk	get involved in	Lass dich nicht auf dieses Risiko ein.
52	52	sich einsetzen	für	Akk	stand up for / advocate for	Sie setzt sich für den Umweltschutz ein.
53	53	sich ekeln	vor	Dat	be disgusted by	Er ekelt sich vor Mäusen.
54	54	sich entscheiden	für	Akk	decide on / choose	Sie entscheidet sich für das rote Kleid.
55	55	sich entscheiden	gegen	Akk	decide against	Er entscheidet sich gegen den Umzug.
56	56	sich entschließen	zu	Dat	resolve to / decide on	Er entschließt sich zur Abreise.
57	57	sich entschuldigen	bei	Dat	apologize to	Entschuldige dich bei deiner Schwester.
58	58	sich entschuldigen	für	Akk	apologize for	Er entschuldigt sich für sein Verhalten.
59	59	erfahren	von	Dat	learn of / find out about	Ich habe von dem Unfall erfahren.
60	60	sich erholen	von	Dat	recover from	Sie erholt sich von der Krankheit.
61	61	sich erinnern	an	Akk	remember	Ich erinnere mich an den Tag.
62	62	sich erkundigen	nach	Dat	inquire about	Er erkundigt sich nach dem Weg.
63	63	erschrecken	vor	Dat	be frightened of	Das Kind erschrickt vor dem Hund.
64	64	erzählen	von	Dat	tell about	Sie erzählt von ihrer Reise.
65	65	erzählen	über	Akk	tell about	Er erzählt über seine Erfahrungen.
66	66	fahren	mit	Dat	go/travel by	Ich fahre mit dem Zug.
67	67	fliehen	vor	Dat	flee from	Sie fliehen vor dem Krieg.
68	68	fluchen	über	Akk	curse about	Er flucht über das schlechte Wetter.
69	69	forschen	nach	Dat	research / search for	Sie forscht nach einer Lösung.
70	70	fragen	nach	Dat	ask about	Er fragt nach dem Preis.
71	71	sich freuen	auf	Akk	look forward to	Ich freue mich auf den Urlaub.
72	72	sich freuen	über	Akk	be happy about	Sie freut sich über das Geschenk.
73	73	führen	zu	Dat	lead to	Das führt zu Problemen.
74	74	sich fürchten	vor	Dat	be afraid of	Das Kind fürchtet sich vor der Dunkelheit.
75	75	garantieren	für	Akk	guarantee	Wir garantieren für die Qualität.
76	76	gehen	um	Akk	be about / concern	Es geht um viel Geld.
77	77	gehören	zu	Dat	belong to / be part of	Das gehört zu meinen Aufgaben.
78	78	gelten	als	Nom	be considered / regarded as	Er gilt als Experte.
79	79	gelten	für	Akk	apply to / be valid for	Das gilt für alle.
80	80	geraten	in	Akk	get into (a state)	Er gerät in Panik.
81	81	sich gewöhnen	an	Akk	get used to	Ich gewöhne mich an das Klima.
82	82	glauben	an	Akk	believe in	Sie glaubt an die Zukunft.
83	83	gratulieren	zu	Dat	congratulate on	Ich gratuliere dir zum Geburtstag.
84	84	greifen	nach	Dat	reach for / grab	Er greift nach dem Glas.
85	85	greifen	zu	Dat	resort to / turn to	Sie greift zu drastischen Maßnahmen.
86	86	grenzen	an	Akk	border on	Das grenzt an Wahnsinn.
87	87	gründen	auf	Akk	base on / found on	Die Theorie gründet auf Fakten.
88	88	halten	für	Akk	consider / regard as	Ich halte das für falsch.
89	89	halten	von	Dat	think of / have an opinion about	Was hältst du davon?
90	90	handeln	von	Dat	be about / deal with	Das Buch handelt von einem Abenteuer.
91	91	handeln	mit	Dat	trade in / deal in	Er handelt mit Antiquitäten.
92	92	sich handeln	um	Akk	be a matter of / be about	Es handelt sich um einen Irrtum.
93	93	herrschen	über	Akk	rule over	Er herrscht über ein großes Reich.
94	94	hindern	an	Dat	prevent from / hinder	Nichts hindert ihn an der Flucht.
95	95	hinweisen	auf	Akk	point out / refer to	Ich weise auf die Gefahr hin.
96	96	hoffen	auf	Akk	hope for	Wir hoffen auf besseres Wetter.
97	97	hören	von	Dat	hear from / about	Ich habe lange nichts von ihm gehört.
98	98	sich informieren	über	Akk	inform oneself about	Informiere dich über die Möglichkeiten.
99	99	sich interessieren	für	Akk	be interested in	Sie interessiert sich für Musik.
100	100	sich irren	in	Dat	be mistaken about	Du irrst dich in diesem Punkt.
101	101	kämpfen	für	Akk	fight for	Sie kämpfen für ihre Rechte.
102	102	kämpfen	gegen	Akk	fight against	Er kämpft gegen die Krankheit.
103	103	kämpfen	um	Akk	fight for / struggle for	Sie kämpft um ihr Überleben.
104	104	klagen	über	Akk	complain about	Er klagt über Kopfschmerzen.
105	105	kommen	zu	Dat	come to / arrive at	Wie komme ich zum Bahnhof?
106	106	sich konzentrieren	auf	Akk	concentrate on	Konzentrier dich auf die Prüfung.
107	107	sich kümmern	um	Akk	take care of / look after	Sie kümmert sich um die Kinder.
108	108	lachen	über	Akk	laugh about/at	Alle lachen über seinen Witz.
109	109	leiden	an	Dat	suffer from (illness)	Er leidet an einer Allergie.
110	295	leiden	unter	Dat	suffer from (condition/situation)	Sie leidet unter dem Stress.
111	111	liegen	an	Dat	be due to / be because of	Das liegt am Wetter.
112	112	mangeln	an	Dat	lack / be short of	Es mangelt an Geld.
113	113	meinen	mit	Dat	mean by	Was meinst du damit?
114	114	nachdenken	über	Akk	think about / reflect on	Ich denke über dein Angebot nach.
115	115	neigen	zu	Dat	tend to / be inclined to	Er neigt zu Übertreibungen.
116	116	passen	zu	Dat	suit / go with	Die Schuhe passen zum Kleid.
117	117	profitieren	von	Dat	profit from / benefit from	Alle profitieren von der Änderung.
118	118	protestieren	gegen	Akk	protest against	Sie protestieren gegen die Kürzungen.
119	119	sich rächen	an	Dat	take revenge on	Er rächt sich an seinem Feind.
120	120	sich rächen	für	Akk	take revenge for	Sie rächt sich für die Beleidigung.
121	121	raten	zu	Dat	advise / recommend	Ich rate dir zur Vorsicht.
122	122	rechnen	mit	Dat	count on / expect	Rechne mit Verspätungen.
123	123	reden	über	Akk	talk about	Sie reden über Politik.
124	124	reden	von	Dat	talk about / speak of	Er redet von seinen Plänen.
125	125	riechen	nach	Dat	smell of	Es riecht nach Rauch.
126	126	rufen	nach	Dat	call for	Das Kind ruft nach seiner Mutter.
127	127	schauen	auf	Akk	look at	Er schaut auf die Uhr.
128	128	sich schämen	für	Akk	be ashamed of	Er schämt sich für sein Verhalten.
129	129	scheitern	an	Dat	fail because of	Das Projekt scheitert am Geld.
130	130	schicken	an	Akk	send to	Schick den Brief an die Firma.
131	131	schimpfen	über	Akk	grumble / curse about	Er schimpft über die Regierung.
132	132	schmecken	nach	Dat	taste of	Die Suppe schmeckt nach Knoblauch.
133	133	sich sehnen	nach	Dat	long for / yearn for	Sie sehnt sich nach Ruhe.
134	134	sorgen	für	Akk	take care of / ensure	Er sorgt für seine Familie.
135	135	sich sorgen	um	Akk	worry about	Sie sorgt sich um ihre Kinder.
136	136	sprechen	mit	Dat	speak with	Ich spreche mit dem Chef.
137	137	sprechen	über	Akk	speak about	Wir sprechen über die Zukunft.
138	138	sprechen	von	Dat	speak of	Er spricht von seinen Erfahrungen.
139	139	stammen	aus	Dat	come from / originate from	Das Wort stammt aus dem Lateinischen.
140	140	staunen	über	Akk	be amazed at	Ich staune über seine Leistung.
141	141	sterben	an	Dat	die of / from	Er starb an einer Krankheit.
142	142	stimmen	für	Akk	vote for	Die Mehrheit stimmt für den Antrag.
143	143	stimmen	gegen	Akk	vote against	Drei Mitglieder stimmten gegen den Vorschlag.
144	144	stoßen	auf	Akk	come across / encounter	Ich bin auf ein Problem gestoßen.
145	145	streiken	für	Akk	strike for	Die Arbeiter streiken für höhere Löhne.
146	146	sich streiten	über	Akk	argue about	Sie streiten sich über das Erbe.
147	147	sich streiten	um	Akk	fight over	Die Kinder streiten sich um das Spielzeug.
148	148	streben	nach	Dat	strive for / aspire to	Er strebt nach Perfektion.
149	149	suchen	nach	Dat	search for / look for	Ich suche nach meinem Schlüssel.
150	150	teilnehmen	an	Dat	take part in / participate in	Sie nimmt am Wettbewerb teil.
151	151	telefonieren	mit	Dat	talk on the phone with	Ich telefoniere mit meiner Mutter.
152	152	tendieren	zu	Dat	tend toward	Ich tendiere zu der ersten Option.
153	153	träumen	von	Dat	dream of / about	Sie träumt von einer besseren Welt.
154	154	trauern	um	Akk	mourn for	Sie trauert um ihren Vater.
155	155	tun	für	Akk	do for	Was kann ich für Sie tun?
156	156	überreden	zu	Dat	persuade to	Sie überredet ihn zum Bleiben.
157	157	überzeugen	von	Dat	convince of	Er überzeugt mich von seiner Idee.
158	158	sich unterhalten	mit	Dat	converse with	Ich unterhalte mich mit Freunden.
159	159	sich unterhalten	über	Akk	converse about	Wir unterhalten uns über den Film.
160	160	sich unterscheiden	von	Dat	differ from	Dieses Modell unterscheidet sich vom alten.
161	161	sich verabreden	mit	Dat	arrange to meet with	Sie verabredet sich mit einer Freundin.
162	162	sich verabschieden	von	Dat	say goodbye to	Er verabschiedet sich von seinen Kollegen.
163	163	verfügen	über	Akk	have at one's disposal / possess	Die Firma verfügt über große Ressourcen.
164	164	vergleichen	mit	Dat	compare with	Vergleich das mit dem Original.
165	165	sich verlassen	auf	Akk	rely on	Du kannst dich auf mich verlassen.
166	166	sich verlieben	in	Akk	fall in love with	Er verliebt sich in sie.
167	167	verstehen	von	Dat	know about / understand	Er versteht viel von Musik.
168	168	sich vertiefen	in	Akk	immerse oneself in	Sie vertieft sich in das Buch.
169	169	vertrauen	auf	Akk	trust in	Ich vertraue auf dein Urteil.
170	170	verzichten	auf	Akk	do without / forgo	Er verzichtet auf Zucker.
171	171	sich vorbereiten	auf	Akk	prepare for	Wir bereiten uns auf die Prüfung vor.
172	172	warnen	vor	Dat	warn about/against	Ich warne dich vor diesem Mann.
173	173	warten	auf	Akk	wait for	Ich warte auf den Bus.
174	174	sich wehren	gegen	Akk	defend oneself against	Er wehrt sich gegen die Vorwürfe.
175	175	sich wenden	an	Akk	turn to / contact	Wenden Sie sich an den Kundendienst.
176	176	werden	zu	Dat	become / turn into	Das Wasser wird zu Eis.
177	177	wirken	auf	Akk	have an effect on	Die Musik wirkt beruhigend auf mich.
178	178	wissen	von	Dat	know about	Ich weiß nichts von dem Plan.
179	179	sich wundern	über	Akk	be surprised at	Ich wundere mich über seine Reaktion.
180	180	zählen	zu	Dat	count among / be one of	Er zählt zu den Besten.
181	181	zweifeln	an	Dat	doubt	Ich zweifle an seiner Ehrlichkeit.
182	182	zwingen	zu	Dat	force to	Niemand zwingt dich zu einer Entscheidung.
183	183	abstimmen	über	Akk	vote on	Wir stimmen über den Vorschlag ab.
184	184	sich abfinden	mit	Dat	come to terms with / accept	Er findet sich mit der Situation ab.
185	185	sich abgrenzen	von	Dat	distance oneself from	Sie grenzt sich von der Gruppe ab.
186	186	sich absichern	gegen	Akk	protect oneself against	Er sichert sich gegen Verluste ab.
187	187	abzielen	auf	Akk	aim at / target	Die Maßnahme zielt auf junge Leute ab.
188	188	appellieren	an	Akk	appeal to	Ich appelliere an Ihre Vernunft.
189	189	basieren	auf	Dat	be based on	Der Film basiert auf einer wahren Geschichte.
190	190	sich bedienen	an	Dat	help oneself to	Bedien dich am Buffet.
191	191	sich belaufen	auf	Akk	amount to	Die Kosten belaufen sich auf 1000 Euro.
192	193	sich beraten	mit	Dat	consult with	Er berät sich mit seinem Anwalt.
193	194	sich berufen	auf	Akk	appeal to / invoke	Er beruft sich auf die Verfassung.
194	195	sich beschränken	auf	Akk	limit oneself to	Beschränken wir uns auf das Wesentliche.
195	196	bestimmen	über	Akk	decide about / have authority over	Jeder bestimmt über sein Leben.
196	197	blicken	auf	Akk	look at / look back on	Er blickt auf eine lange Karriere zurück.
197	198	brennen	auf	Akk	be dying to / be eager for	Sie brennt auf eine Antwort.
198	199	büßen	für	Akk	atone for / pay for	Er büßt für seine Fehler.
199	200	deuten	auf	Akk	point to / indicate	Alles deutet auf Regen.
200	201	dienen	als	Nom	serve as	Das Gebäude dient als Museum.
201	202	drängen	zu	Dat	urge toward	Sie drängt zum Aufbruch.
202	203	sich drücken	vor	Dat	shirk / avoid	Er drückt sich vor der Arbeit.
203	204	dürsten	nach	Dat	thirst for	Er dürstet nach Gerechtigkeit.
204	205	sich einfühlen	in	Akk	empathize with	Sie fühlt sich in andere ein.
205	206	einwilligen	in	Akk	consent to / agree to	Er willigt in die Operation ein.
206	207	sich empören	über	Akk	be outraged at	Alle empören sich über die Tat.
207	208	sich erstrecken	über	Akk	extend over / span	Der Park erstreckt sich über 50 Hektar.
208	209	sich erweisen	als	Nom	prove to be / turn out as	Das erweist sich als schwierig.
209	210	fahnden	nach	Dat	search for (police)	Die Polizei fahndet nach dem Täter.
210	211	fehlen	an	Dat	be lacking in	Es fehlt an Fachkräften.
211	212	festhalten	an	Dat	hold on to / stick to	Er hält an seinem Plan fest.
212	213	flehen	um	Akk	beg for / plead for	Sie fleht um Gnade.
213	214	sich freisprechen	von	Dat	acquit of	Das Gericht spricht ihn vom Vorwurf frei.
214	215	fungieren	als	Nom	function as / serve as	Er fungiert als Vermittler.
215	216	sich grämen	über	Akk	grieve about	Sie grämt sich über den Verlust.
216	217	grübeln	über	Akk	brood over / ponder	Er grübelt über das Problem.
217	218	sich hüten	vor	Dat	beware of	Hüte dich vor falschen Freunden.
218	219	hadern	mit	Dat	be at odds with / struggle with	Er hadert mit seinem Schicksal.
219	220	haften	für	Akk	be liable for	Eltern haften für ihre Kinder.
220	221	hängen	an	Dat	be attached to	Sie hängt an ihrer Familie.
221	222	hervorrufen	bei	Dat	evoke in / cause in	Das ruft Erstaunen bei den Zuschauern hervor.
222	224	hungern	nach	Dat	hunger for	Das Volk hungert nach Freiheit.
223	225	insistieren	auf	Dat	insist on	Er insistiert auf einer Erklärung.
224	226	jubeln	über	Akk	cheer about	Die Fans jubeln über den Sieg.
225	227	klagen	gegen	Akk	sue / file suit against	Sie klagt gegen ihren Arbeitgeber.
226	228	knüpfen	an	Akk	attach to / link to	Sie knüpft Bedingungen an das Angebot.
227	229	sich lossagen	von	Dat	renounce / break away from	Er sagt sich von der Partei los.
228	230	münden	in	Akk	flow into / result in	Die Diskussion mündet in einen Streit.
229	231	sich orientieren	an	Dat	orientate oneself by / follow	Wir orientieren uns an den Vorgaben.
230	232	plädieren	für	Akk	plead for / advocate for	Er plädiert für mehr Transparenz.
231	233	pochen	auf	Akk	insist on	Sie pocht auf ihr Recht.
232	234	sich ranken	um	Akk	grow around / revolve around (legends)	Viele Legenden ranken sich um das Schloss.
233	235	sich richten	nach	Dat	go by / comply with	Richte dich nach den Regeln.
234	236	sich richten	gegen	Akk	be directed against	Die Kritik richtet sich gegen die Leitung.
235	237	sich richten	an	Akk	be aimed at / addressed to	Das Angebot richtet sich an Studenten.
236	238	ringen	um	Akk	struggle for / wrestle for	Er ringt um Fassung.
237	239	scheiden	aus	Dat	leave / depart from	Er scheidet aus dem Amt.
238	240	schließen	aus	Dat	conclude from	Daraus schließe ich, dass er recht hat.
239	241	schwärmen	für	Akk	be crazy about / rave about	Sie schwärmt für den Sänger.
240	242	schwärmen	von	Dat	rave about / enthuse about	Er schwärmt von dem Urlaub.
241	243	sinnen	auf	Akk	plot / devise	Er sinnt auf Rache.
242	244	spekulieren	auf	Akk	speculate on / hope for	Sie spekuliert auf einen Gewinn.
243	245	sich sträuben	gegen	Akk	resist / balk at	Er sträubt sich gegen die Änderung.
244	246	taugen	zu	Dat	be suitable for / be good for	Das taugt zu nichts.
245	247	trachten	nach	Dat	strive for / aspire to	Er trachtet nach Macht.
246	248	sich umsehen	nach	Dat	look around for	Sie sieht sich nach einem Job um.
247	249	sich vergewissern	über	Akk	make sure about	Vergewissern Sie sich über die Fakten.
248	250	sich vergehen	an	Dat	commit an offence against	Er vergeht sich an fremdem Eigentum.
249	251	verhelfen	zu	Dat	help (someone) to achieve	Das verhilft ihr zum Erfolg.
250	252	sich verschwören	gegen	Akk	conspire against	Sie verschwören sich gegen den König.
251	253	sich verwandeln	in	Akk	transform into	Der Frosch verwandelt sich in einen Prinzen.
252	254	sich verwenden	für	Akk	intercede for / advocate for	Er verwendet sich für seinen Kollegen.
253	255	wetteifern	mit	Dat	compete with / vie with	Die Firmen wetteifern miteinander.
254	256	sich winden	um	Akk	wind around	Der Efeu windet sich um den Stamm.
255	257	wirken	als	Nom	work as / act as	Sie wirkt als Vermittlerin.
256	258	zählen	auf	Akk	count on / rely on	Ich zähle auf dich.
257	259	zurückführen	auf	Akk	attribute to / trace back to	Das führe ich auf den Stress zurück.
258	260	zusammenhängen	mit	Dat	be connected with	Das hängt mit dem Wetter zusammen.
259	261	absehen	von	Dat	disregard / apart from	Abgesehen von diesem Punkt stimme ich zu.
260	262	anlehnen	an	Akk	lean against / be modelled on	Der Stil lehnt sich an die Klassik an.
261	263	anrechnen	als	Akk	count as / credit as	Das wird dir als Berufserfahrung angerechnet.
262	264	sich auseinandersetzen	mit	Dat	engage with / come to grips with	Man muss sich mit dem Problem auseinandersetzen.
263	265	auslösen	bei	Dat	trigger in	Das löst Unruhe bei den Mitarbeitern aus.
264	266	beneiden	um	Akk	envy for	Ich beneide dich um deinen Job.
265	267	sich bewähren	in	Dat	prove oneself in	Er bewährt sich in der Krise.
266	268	bieten	an	Akk	offer (to someone)	Er bietet die Ware an.
267	269	eingreifen	in	Akk	intervene in	Die Polizei greift in den Konflikt ein.
268	270	eintreten	für	Akk	stand up for / advocate	Er tritt für Gleichberechtigung ein.
269	271	sich engagieren	für	Akk	be committed to / campaign for	Sie engagiert sich für den Tierschutz.
270	272	sich entpuppen	als	Nom	turn out to be	Das entpuppt sich als Fehler.
271	273	feilschen	um	Akk	haggle over	Sie feilschen um den Preis.
272	274	sich herausstellen	als	Nom	turn out to be	Es stellt sich als wahr heraus.
273	275	hervorgehen	aus	Dat	emerge from / result from	Aus der Studie geht hervor, dass...
274	276	hinauslaufen	auf	Akk	amount to / boil down to	Es läuft auf das Gleiche hinaus.
275	277	konfrontieren	mit	Dat	confront with	Sie konfrontiert ihn mit den Beweisen.
276	278	sich messen	mit	Dat	compete with / measure up to	Er misst sich mit den Besten.
277	279	resultieren	aus	Dat	result from	Das resultiert aus Nachlässigkeit.
278	296	schwanken	zwischen	Dat	waver between	Er schwankt zwischen zwei Optionen.
279	281	sich solidarisieren	mit	Dat	show solidarity with	Die Bevölkerung solidarisiert sich mit den Opfern.
280	282	tüfteln	an	Dat	tinker with / puzzle over	Er tüftelt an einer Lösung.
281	283	sich verdingen	als	Nom	hire oneself out as	Er verdingt sich als Tagelöhner.
282	284	sich verbünden	mit	Dat	ally oneself with	Die Parteien verbünden sich miteinander.
283	285	sich verständigen	über	Akk	reach an understanding about	Wir verständigen uns über die Bedingungen.
284	286	sich versündigen	an	Dat	sin against	Man versündigt sich an der Natur.
285	287	sich wappnen	gegen	Akk	arm oneself against / brace for	Wappne dich gegen Kritik.
286	288	wettern	gegen	Akk	rail against / inveigh against	Er wettert gegen die neuen Gesetze.
287	290	sich zurechtfinden	in	Dat	find one's way around in	Er findet sich in der neuen Stadt zurecht.
288	291	zurückgreifen	auf	Akk	fall back on / resort to	Wir greifen auf bewährte Methoden zurück.
289	292	zusammenarbeiten	mit	Dat	cooperate with / work together with	Die Firma arbeitet mit Partnern zusammen.
290	293	aufkommen	für	Akk	be liable for / pay for	Wer kommt für den Schaden auf?
291	294	beharren	auf	Dat	persist in / insist on	Er beharrt auf seiner Meinung.
292	297	sich hervortun	durch	Akk	distinguish oneself through	Er tut sich durch Fleiß hervor.
293	299	helfen	bei	Dat	help with	Ich helfe dir bei den Hausaufgaben.
294	300	verweisen	auf	Akk	refer to / point to	Der Text verweist auf weitere Quellen.
295	301	bewundern	an	Dat	admire about	Ich bewundere an ihr ihre Gelassenheit.
296	302	übereinstimmen	in	Dat	agree on / match in	Die beiden Berichte stimmen in vielen Punkten überein.
297	303	verstehen	unter	Dat	understand by	Was verstehst du unter diesem Begriff?
298	304	verknüpfen	mit	Dat	link / connect with	Sie verknüpft die Theorie mit praktischen Beispielen.
299	305	sich einstellen	auf	Akk	adjust / prepare for	Wir stellen uns auf neue Bedingungen ein.
300	306	einhergehen	mit	Dat	go hand in hand with	Der Wandel geht mit großen Chancen einher.
301	307	hindeuten	auf	Akk	point to / indicate	Die Zahlen deuten auf eine Verbesserung hin.
302	308	erfüllen	mit	Dat	fill with	Die Nachricht erfüllte sie mit Freude.
303	309	sich einschreiben	an	Dat	enroll at	Sie schreibt sich an der Universität ein.
304	310	sich einschreiben	für	Akk	enroll / register for	Er schreibt sich für den Kurs ein.
305	311	sich entfremden	von	Dat	become alienated from	Er entfremdete sich von seiner Familie.
306	312	investieren	in	Akk	invest in	Das Unternehmen investiert in neue Technologien.
307	313	geradestehen	für	Akk	answer / be responsible for	Jeder muss für seine Fehler geradestehen.
308	314	zeugen	von	Dat	testify to / show evidence of	Sein Verhalten zeugt von großem Mut.
309	315	sich abheben	von	Dat	stand out from / differ from	Unser Modell hebt sich von der Konkurrenz ab.
310	316	unterscheiden	von	Dat	distinguish from / differ from	Dieses Merkmal unterscheidet das Produkt von anderen.
311	317	begeistern	für	Akk	inspire / excite someone about	Der Vortrag begeisterte viele für das Projekt.
312	318	sich entscheiden	zwischen	Dat	choose between	Wir entscheiden uns zwischen zwei Möglichkeiten.
313	319	kämpfen	mit	Dat	struggle with	Er kämpft mit großen Schwierigkeiten.
314	320	reden	mit	Dat	talk with/to	Sie redet mit ihrer Freundin.
315	321	sich verständigen	mit	Dat	communicate with	Sie verständigen sich mit den Nachbarn.
316	322	ansprechen	auf	Akk	speak to someone about / raise with	Sie spricht ihn auf das Problem an.
317	323	urteilen	über	Akk	judge / form an opinion about	Man sollte nicht vorschnell über andere urteilen.
318	324	einwenden	gegen	Akk	object to / raise against	Was wendest du gegen diesen Vorschlag ein?
319	325	stehen	zu	Dat	stand by / admit to	Sie steht zu ihrer Entscheidung.
320	326	aufrufen	zu	Dat	call for / appeal for	Die Initiative ruft zu mehr Engagement auf.
321	327	gelangen	in	Akk	get into / reach	Die Daten gelangen in das System.
322	328	stehen	für	Akk	stand for / represent	Die Zwanzigerjahre stehen für Aufbruch und Lebensfreude.
323	329	zurückkehren	nach	Dat	return to	Sie kehrt nach Wien zurück.
324	330	liegen	in	Dat	lie/be rooted in	Der Grund liegt in der Geschichte.
325	331	entscheiden	über	Akk	decide on/about	Die Kommission entscheidet über den Antrag.
326	332	sich auswirken	auf	Akk	affect/have an impact on	Der Schlafmangel wirkt sich auf die Konzentration aus.
327	333	reagieren	auf	Akk	react to	Sie reagiert gelassen auf Kritik.
328	334	eingehen	auf	Akk	address/respond to	Der Autor geht auf die Frage ein.
329	335	sich vernetzen	mit	Dat	network/connect with	Sie vernetzt sich mit anderen Gründerinnen.
330	336	stoßen	an	Akk	bump/hit against	Er stößt an seine Grenzen.
331	337	trösten	mit	Dat	comfort with	Sie tröstet ihn mit guten Worten.
332	338	abweichen	von	Dat	deviate from/differ from	Die Werte weichen vom Durchschnitt ab.
333	339	aufbauen	auf	Dat	build on	Der Kurs baut auf Grundkenntnissen auf.
334	340	versetzen	in	Akk	put into/transport into a state	Die Musik versetzt sie in gute Stimmung.
335	341	sich trennen	von	Dat	separate from/break up with	Er trennt sich von alten Sachen.
336	342	sich streiten	mit	Dat	argue with	Sie streitet sich mit ihrem Bruder.
337	343	angeben	mit	Dat	show off/brag about	Er gibt mit seinem Erfolg an.
338	344	verbinden	mit	Dat	connect/link with	Viele verbinden Wien mit Kaffeehäusern.
339	345	wahrnehmen	als	Akk	perceive as	Sie nimmt die Situation als Chance wahr.
340	346	kommunizieren	mit	Dat	communicate with	Das Team kommuniziert mit den Kunden.
341	347	werben	für	Akk	advertise/promote	Sie wirbt für ein neues Produkt.
342	348	sich verstehen	mit	Dat	get along with	Er versteht sich gut mit seinen Kollegen.
343	349	umgehen	mit	Dat	deal/handle	Sie geht professionell mit Kritik um.
344	350	sich halten	an	Akk	stick to/abide by	Wir halten uns an die Regeln.
345	351	sich austauschen	mit	Dat	exchange ideas with	Wir tauschen uns mit Kolleg:innen aus.
346	352	sich einmischen	in	Akk	interfere in	Mische dich nicht in fremde Angelegenheiten ein.
347	353	anknüpfen	an	Akk	build on/connect with	Wir knüpfen an die Vorlesung an.
