row	rank	word	irregular	prateritum	perfekt	withSein	english	cefrLevel	source
816	816	verdanken	False	UNSET	UNSET	UNSET	owe	C1	UNSET
817	817	verkürzen	False	UNSET	UNSET	UNSET	shorten	UNSET	UNSET
818	818	backen	True	backte	gebacken	False	bake	A2	UNSET
819	819	erobern	False	UNSET	UNSET	UNSET	conquer	C1	UNSET
820	820	implementieren	False	UNSET	UNSET	UNSET	implement	UNSET	UNSET
821	821	gewähren	False	UNSET	UNSET	UNSET	grant	C1	UNSET
822	822	abonnieren	False	UNSET	UNSET	UNSET	subscribe	A2	UNSET
823	823	befestigen	False	UNSET	UNSET	UNSET	attach/fasten	UNSET	UNSET
824	824	beherbergen	False	UNSET	UNSET	UNSET	accommodate/house	C1	UNSET
825	825	entgegennehmen	True	nahm entgegen	entgegengenommen	False	accept/receive	UNSET	UNSET
826	826	fliehen	True	floh	geflohen	True	flee	B1	UNSET
827	827	trauen	False	UNSET	UNSET	UNSET	trust/dare/marry	C1	UNSET
828	828	unterbrechen	True	unterbrach	unterbrochen	False	interrupt	B1	UNSET
829	829	zurückziehen	True	zog zurück	zurückgezogen	False	withdraw/pull back	C1	UNSET
830	830	abwarten	False	UNSET	UNSET	UNSET	wait/wait and see	UNSET	UNSET
831	831	ausdrucken	False	UNSET	UNSET	UNSET	print (out)	A2	UNSET
832	832	ausschreiben	True	schrieb aus	ausgeschrieben	False	advertise/announce	UNSET	UNSET
833	833	einschließen	True	schloss ein	eingeschlossen	False	include/lock in	C1	UNSET
834	834	eintauchen	False	UNSET	UNSET	True	dive in/immerse	B2	UNSET
835	835	entgehen	True	entging	entgangen	True	escape/miss	UNSET	UNSET
836	836	verkünden	False	UNSET	UNSET	UNSET	announce/proclaim	C1	UNSET
837	837	einfallen	True	fiel ein	eingefallen	True	come to mind/occur	A1	UNSET
838	838	anfühlen	False	UNSET	UNSET	UNSET	feel	B2	UNSET
839	839	befördern	False	UNSET	UNSET	UNSET	promote/transport	C1	UNSET
840	840	korrigieren	False	UNSET	UNSET	UNSET	correct	A1	UNSET
841	841	schonen	False	UNSET	UNSET	UNSET	spare/be easy on	C1	UNSET
842	842	stützen	False	UNSET	UNSET	UNSET	support/lean on	UNSET	UNSET
843	843	abbrechen	True	brach ab	abgebrochen	False	break off/cancel	B2	UNSET
844	844	anrechnen	False	UNSET	UNSET	UNSET	credit/count	UNSET	UNSET
845	845	blockieren	False	UNSET	UNSET	UNSET	block	C1	UNSET
846	846	minimieren	False	UNSET	UNSET	UNSET	minimise	UNSET	UNSET
847	847	vorwerfen	True	warf vor	vorgeworfen	False	reproach/accuse	B1	UNSET
848	848	abziehen	True	zog ab	abgezogen	False	subtract/withdraw	UNSET	UNSET
849	849	hinausgehen	True	ging hinaus	hinausgegangen	True	go out/exceed	UNSET	UNSET
850	850	zurückblicken	False	UNSET	UNSET	UNSET	look back	C1	UNSET
851	851	übergehen	True	ging über	übergegangen	True	pass/skip over	C1	UNSET
852	852	festsetzen	False	UNSET	UNSET	UNSET	set/determine	B1	UNSET
853	853	mischen	False	UNSET	UNSET	UNSET	mix	A1	UNSET
854	854	verstoßen	True	verstieß	verstoßen	False	violate/expel	B2	UNSET
855	855	ernähren	False	UNSET	UNSET	UNSET	feed/nourish	B1	UNSET
856	856	verbauen	False	UNSET	UNSET	UNSET	block/use up (materials)	B2	UNSET
857	857	wandeln	False	UNSET	UNSET	False	change/stroll	C1	UNSET
858	858	einigen	False	UNSET	UNSET	UNSET	agree/unite	B1	UNSET
859	859	hinterfragen	False	UNSET	UNSET	UNSET	question	B2	UNSET
860	860	lenken	False	UNSET	UNSET	UNSET	steer/direct	B2	UNSET
861	861	sortieren	False	UNSET	UNSET	UNSET	sort	B2	UNSET
862	862	verhandeln	False	UNSET	UNSET	UNSET	negotiate	UNSET	UNSET
863	863	bewundern	False	UNSET	UNSET	UNSET	admire	A2	UNSET
864	864	drängen	False	UNSET	UNSET	UNSET	push/urge	UNSET	UNSET
865	865	vergrößern	False	UNSET	UNSET	UNSET	enlarge/increase	B1	UNSET
866	866	verschließen	True	verschloss	verschlossen	False	close/lock	UNSET	UNSET
867	867	verwöhnen	False	UNSET	UNSET	UNSET	spoil/pamper	B2	UNSET
868	868	abhalten	True	hielt ab	abgehalten	False	hold/prevent	UNSET	UNSET
869	869	anbauen	False	UNSET	UNSET	UNSET	grow/cultivate	C1	UNSET
870	870	anstellen	False	UNSET	UNSET	UNSET	employ/hire	A2	UNSET
871	871	entgegenwirken	False	UNSET	UNSET	UNSET	counteract	C1	UNSET
872	872	gratulieren	False	UNSET	UNSET	UNSET	congratulate	A1	UNSET
873	873	verbleiben	True	verblieb	verblieben	True	remain	B2	UNSET
874	874	erlassen	True	erließ	erlassen	False	enact/waive	C1	UNSET
875	875	fürchten	False	UNSET	UNSET	UNSET	fear	B1	UNSET
876	876	hochladen	True	lud hoch	hochgeladen	False	upload	A2	UNSET
877	877	montieren	False	UNSET	UNSET	UNSET	install/mount	UNSET	UNSET
878	878	auskennen	True	kannte aus	ausgekannt	False	be familiar with	A2	UNSET
879	879	fortführen	False	UNSET	UNSET	UNSET	continue	UNSET	UNSET
880	880	spiegeln	False	UNSET	UNSET	UNSET	reflect/mirror	A2	UNSET
881	881	träumen	False	UNSET	UNSET	UNSET	dream	A2	UNSET
882	882	auflisten	False	UNSET	UNSET	UNSET	list	B2	UNSET
883	883	erörtern	False	UNSET	UNSET	UNSET	discuss/debate	UNSET	UNSET
884	884	fangen	True	fing	gefangen	False	catch	B1	UNSET
885	885	überweisen	True	überwies	überwiesen	False	transfer	A1	UNSET
886	886	verdoppeln	False	UNSET	UNSET	UNSET	double	B2	UNSET
887	887	abschalten	False	UNSET	UNSET	UNSET	turn off	B2	UNSET
888	888	anführen	False	UNSET	UNSET	UNSET	lead/cite	B2	UNSET
889	889	ausliefern	False	UNSET	UNSET	UNSET	deliver/extradite	UNSET	UNSET
890	890	abstellen	False	UNSET	UNSET	UNSET	turn off/park	A2	UNSET
891	891	voranbringen	True	brachte voran	vorangebracht	False	advance/move forward	UNSET	UNSET
892	892	abheben	True	hob ab	abgehoben	False	take off/withdraw	A2	UNSET
893	893	entziehen	True	entzog	entzogen	False	withdraw/revoke	C1	UNSET
894	894	fotografieren	False	UNSET	UNSET	UNSET	photograph/take a photo	A1	UNSET
895	895	interpretieren	False	UNSET	UNSET	UNSET	interpret	UNSET	UNSET
896	896	mitarbeiten	False	UNSET	UNSET	UNSET	collaborate	UNSET	UNSET
897	897	ausleihen	True	lieh aus	ausgeliehen	False	borrow/lend	B1	UNSET
898	898	hervorrufen	True	rief hervor	hervorgerufen	False	cause/evoke	UNSET	UNSET
899	899	entschließen	True	entschloss	entschlossen	False	decide	UNSET	UNSET
900	900	ermutigen	False	UNSET	UNSET	UNSET	encourage	UNSET	UNSET
901	901	übertreffen	True	übertraf	übertroffen	False	surpass/exceed	UNSET	UNSET
902	902	verpacken	False	UNSET	UNSET	UNSET	pack/wrap	B1	UNSET
903	903	zuhören	False	UNSET	UNSET	UNSET	listen	A2	UNSET
904	904	programmieren	False	UNSET	UNSET	UNSET	program/code	A2	UNSET
905	905	darlegen	False	UNSET	UNSET	UNSET	explain/present	C1	UNSET
906	906	heiraten	False	UNSET	UNSET	UNSET	marry	A1	UNSET
907	907	widerrufen	True	widerrief	widerrufen	False	revoke/cancel	B2	UNSET
908	908	einlassen	True	ließ ein	eingelassen	False	let in/get involved in	B2	UNSET
909	909	ernennen	True	ernannte	ernannt	False	appoint	B2	UNSET
910	910	werten	False	UNSET	UNSET	UNSET	rate/evaluate	UNSET	UNSET
911	911	nachlesen	True	las nach	nachgelesen	False	look up/read up on	UNSET	UNSET
912	912	abzielen	False	UNSET	UNSET	UNSET	aim at	C1	UNSET
913	913	anweisen	True	wies an	angewiesen	False	instruct/assign	UNSET	UNSET
914	914	bestechen	True	bestach	bestochen	False	bribe/impress	UNSET	UNSET
915	915	schädigen	False	UNSET	UNSET	UNSET	damage/harm	C1	UNSET
916	916	verweigern	False	UNSET	UNSET	UNSET	refuse/deny	C1	UNSET
917	917	anklicken	False	UNSET	UNSET	UNSET	click on	A1	UNSET
918	918	aufbringen	True	brachte auf	aufgebracht	False	raise/apply	C1	UNSET
919	919	versammeln	False	UNSET	UNSET	UNSET	gather/assemble	C1	UNSET
920	920	gliedern	False	UNSET	UNSET	UNSET	structure/divide	B2	UNSET
921	921	unterschätzen	False	UNSET	UNSET	UNSET	underestimate	C1	UNSET
922	922	abschaffen	False	UNSET	UNSET	UNSET	abolish	C1	UNSET
923	923	abweichen	True	wich ab	abgewichen	True	deviate/differ	B2	UNSET
924	924	stehlen	True	stahl	gestohlen	False	steal	B1	UNSET
925	925	übersteigen	True	überstieg	überstiegen	False	exceed	UNSET	UNSET
926	926	vortragen	True	trug vor	vorgetragen	False	present/recite	A2	UNSET
927	927	ausstrahlen	False	UNSET	UNSET	UNSET	broadcast/radiate	C1	UNSET
928	928	erholen	False	UNSET	UNSET	UNSET	recover/relax	B1	UNSET
929	930	verschenken	False	UNSET	UNSET	UNSET	give away	B2	UNSET
930	931	vorlesen	True	las vor	vorgelesen	False	read aloud	A1	UNSET
931	932	zurücklegen	False	UNSET	UNSET	UNSET	cover (distance)/save	UNSET	UNSET
932	933	schwimmen	True	schwamm	geschwommen	True	swim	A1	UNSET
933	934	ansagen	False	UNSET	UNSET	UNSET	announce	UNSET	UNSET
934	935	kriegen	False	UNSET	UNSET	UNSET	get	A1	UNSET
935	936	repräsentieren	False	UNSET	UNSET	UNSET	represent	C1	UNSET
936	937	streiten	True	stritt	gestritten	False	argue/fight	A2	UNSET
937	938	abspielen	False	UNSET	UNSET	UNSET	play (back)	B1	UNSET
938	939	ausscheiden	True	schied aus	ausgeschieden	True	drop out/be eliminated	UNSET	UNSET
939	940	ignorieren	False	UNSET	UNSET	UNSET	ignore	B2	UNSET
940	941	umziehen	True	zog um	umgezogen	True	move/change clothes	A1	UNSET
941	942	übersehen	True	übersah	übersehen	False	overlook	B2	UNSET
942	943	wiegen	True	wog	gewogen	False	weigh	A1	UNSET
943	944	einbetten	False	UNSET	UNSET	UNSET	embed	UNSET	UNSET
944	945	fokussieren	False	UNSET	UNSET	UNSET	focus	UNSET	UNSET
945	946	kleben	False	UNSET	UNSET	UNSET	stick/glue	B1	UNSET
946	947	zuweisen	True	wies zu	zugewiesen	False	assign	C1	UNSET
947	948	abrechnen	False	UNSET	UNSET	UNSET	settle/bill	UNSET	UNSET
948	949	ausbreiten	False	UNSET	UNSET	UNSET	spread out	UNSET	UNSET
949	950	dominieren	False	UNSET	UNSET	UNSET	dominate	C1	UNSET
950	951	eingreifen	True	griff ein	eingegriffen	False	intervene	UNSET	UNSET
951	952	umbauen	False	UNSET	UNSET	UNSET	rebuild/renovate	B2	UNSET
952	953	vollziehen	True	vollzog	vollzogen	False	carry out/execute	C1	UNSET
953	954	aufladen	True	lud auf	aufgeladen	False	charge/load	B1	UNSET
954	955	erbauen	False	UNSET	UNSET	UNSET	build/construct	UNSET	UNSET
955	956	ernten	False	UNSET	UNSET	UNSET	harvest	B2	UNSET
956	957	reservieren	False	UNSET	UNSET	UNSET	reserve	A1	UNSET
957	958	verständigen	False	UNSET	UNSET	UNSET	notify/inform	B2	UNSET
958	959	zusammenführen	False	UNSET	UNSET	UNSET	bring together	C1	UNSET
959	960	zusammenhängen	True	hing zusammen	zusammengehangen	False	be connected/be related	B2	UNSET
960	961	fressen	True	fraß	gefressen	False	eat (animals)/devour	B1	UNSET
961	962	reparieren	False	UNSET	UNSET	UNSET	repair	A1	UNSET
962	963	zugeben	True	gab zu	zugegeben	False	admit	B2	UNSET
963	964	pflanzen	False	UNSET	UNSET	UNSET	plant	B1	UNSET
964	965	unterteilen	False	UNSET	UNSET	UNSET	divide	C1	UNSET
965	966	aufpassen	False	UNSET	UNSET	UNSET	pay attention/be careful	A1	UNSET
966	967	bestreiten	True	bestritt	bestritten	False	deny/finance	B2	UNSET
967	968	eintreffen	True	traf ein	eingetroffen	True	arrive	C1	UNSET
968	969	erwirtschaften	False	UNSET	UNSET	UNSET	generate/earn	C1	UNSET
969	970	hinnehmen	True	nahm hin	hingenommen	False	accept/put up with	B2	UNSET
970	971	überfordern	False	UNSET	UNSET	UNSET	overwhelm	B2	UNSET
971	972	tauchen	False	UNSET	UNSET	UNSET	dive	A2	UNSET
972	973	zusagen	False	UNSET	UNSET	UNSET	accept/promise	A2	UNSET
973	974	aufsetzen	False	UNSET	UNSET	UNSET	put on/draft	UNSET	UNSET
974	975	bestaunen	False	UNSET	UNSET	UNSET	marvel at	UNSET	UNSET
975	976	wiedergeben	True	gab wieder	wiedergegeben	False	reproduce/render	A1	UNSET
976	977	austragen	True	trug aus	ausgetragen	False	deliver/host (event)	A2	UNSET
977	978	einloggen	False	UNSET	UNSET	UNSET	log in	UNSET	UNSET
978	979	erhoffen	False	UNSET	UNSET	UNSET	hope for	B2	UNSET
979	980	zurückweisen	True	wies zurück	zurückgewiesen	False	reject/refuse	C1	UNSET
980	981	behindern	False	UNSET	UNSET	UNSET	hinder/obstruct	B1	UNSET
981	982	entlassen	True	entließ	entlassen	False	dismiss/fire	A2	UNSET
982	983	klagen	False	UNSET	UNSET	UNSET	complain/sue	B1	UNSET
983	984	weiterführen	False	UNSET	UNSET	UNSET	continue	C1	UNSET
984	985	anheben	True	hob an	angehoben	False	raise/lift	UNSET	UNSET
985	986	anknüpfen	False	UNSET	UNSET	UNSET	connect/resume	B2	UNSET
986	987	aufgehen	True	ging auf	aufgegangen	True	open/work out	B2	UNSET
987	988	beanspruchen	False	UNSET	UNSET	UNSET	claim/demand	C1	UNSET
988	989	gucken	False	UNSET	UNSET	UNSET	look/watch	B1	UNSET
989	990	ordnen	False	UNSET	UNSET	UNSET	arrange/organise	B1	UNSET
990	991	teilhaben	False	UNSET	UNSET	UNSET	participate/share in	C1	UNSET
991	992	verbrennen	True	verbrannte	verbrannt	False	burn	B1	UNSET
992	993	versterben	True	verstarb	verstorben	True	pass away/die	B2	UNSET
993	994	ausnutzen	False	UNSET	UNSET	UNSET	exploit/take advantage of	B2	UNSET
994	995	schelten	True	schalt	gescholten	False	scold	UNSET	UNSET
995	996	unterziehen	True	unterzog	unterzogen	False	undergo/subject to	UNSET	UNSET
996	997	vermerken	False	UNSET	UNSET	UNSET	note/record	C1	UNSET
997	998	vorfinden	True	fand vor	vorgefunden	False	find	UNSET	UNSET
998	999	reißen	True	riss	gerissen	False	tear/rip	C1	UNSET
999	1000	resultieren	False	UNSET	UNSET	UNSET	result	UNSET	UNSET
1000	1001	abfragen	False	UNSET	UNSET	UNSET	query	UNSET	UNSET
1001	1002	anreisen	False	UNSET	UNSET	True	arrive/travel (to)	UNSET	UNSET
1002	1003	erwischen	False	UNSET	UNSET	UNSET	catch	B2	UNSET
1003	1004	gegenüberstehen	True	stand gegenüber	gegenübergestanden	False	face	UNSET	UNSET
1004	1005	nominieren	False	UNSET	UNSET	UNSET	designate/nominate	UNSET	UNSET
1005	1006	notieren	False	UNSET	UNSET	UNSET	note/write down	A1	UNSET
1006	1007	mitspielen	False	UNSET	UNSET	UNSET	play along/cooperate	A2	UNSET
1007	1008	verlieben	False	UNSET	UNSET	UNSET	fall in love	A2	UNSET
1008	1009	entführen	False	UNSET	UNSET	UNSET	kidnap/abduct	B2	UNSET
1009	1010	hindeuten	False	UNSET	UNSET	UNSET	indicate/point	C1	UNSET
1010	1011	neigen	False	UNSET	UNSET	UNSET	tend/incline	C1	UNSET
1011	1012	rauchen	False	UNSET	UNSET	UNSET	smoke	A1	UNSET
1012	1013	räumen	False	UNSET	UNSET	UNSET	clear/vacate	B1	UNSET
1013	1014	aufbrechen	True	brach auf	aufgebrochen	True	break open/set off	B2	UNSET
1014	1015	aufzeichnen	False	UNSET	UNSET	UNSET	record	C1	UNSET
1015	1016	ausrüsten	False	UNSET	UNSET	UNSET	equip	UNSET	UNSET
1016	1017	beschaffen	False	UNSET	UNSET	UNSET	obtain/procure	UNSET	UNSET
1017	1018	surfen	False	UNSET	UNSET	UNSET	surf	A2	UNSET
1018	1019	auflegen	False	UNSET	UNSET	UNSET	hang up/put on	UNSET	UNSET
1019	1020	einteilen	False	UNSET	UNSET	UNSET	divide/classify	B2	UNSET
1020	1021	evaluieren	False	UNSET	UNSET	UNSET	evaluate	UNSET	UNSET
1021	1022	offenbaren	False	UNSET	UNSET	UNSET	reveal	C1	UNSET
1022	1023	vermieten	False	UNSET	UNSET	UNSET	let/rent out	A1	UNSET
1023	1024	bewilligen	False	UNSET	UNSET	UNSET	approve/grant	UNSET	UNSET
1024	1025	fertigstellen	False	UNSET	UNSET	UNSET	complete/finish	UNSET	UNSET
1025	1026	mindern	False	UNSET	UNSET	UNSET	reduce	UNSET	UNSET
1026	1027	obliegen	True	oblag	oblegen	False	be the responsibility of	UNSET	UNSET
1027	1028	überstehen	True	überstand	überstanden	False	survive/get through	UNSET	UNSET
1028	1029	untersagen	False	UNSET	UNSET	UNSET	ban	UNSET	UNSET
1029	1030	vernichten	False	UNSET	UNSET	UNSET	destroy/wipe out	B2	UNSET
1030	1031	fügen	False	UNSET	UNSET	UNSET	join/merge	UNSET	UNSET
1031	1032	herauskommen	True	kam heraus	herausgekommen	True	come out/result	C1	UNSET
1032	1033	vorbeikommen	True	kam vorbei	vorbeigekommen	True	come by/pass by	UNSET	UNSET
1033	1034	klarstellen	False	UNSET	UNSET	UNSET	clarify/make clear	UNSET	UNSET
1034	1035	zielen	False	UNSET	UNSET	UNSET	aim/direct	UNSET	UNSET
1035	1036	antreiben	True	trieb an	angetrieben	False	drive/urge	C1	UNSET
1036	1037	freischalten	False	UNSET	UNSET	UNSET	activate/unlock	UNSET	UNSET
1037	1038	bekennen	True	bekannte	bekannt	False	confess/profess	UNSET	UNSET
1038	1039	zurückkommen	True	kam zurück	zurückgekommen	True	come back/return	A2	UNSET
1039	1040	missen	False	UNSET	UNSET	UNSET	miss/do without	UNSET	UNSET
1040	1041	riechen	True	roch	gerochen	False	smell	A1	UNSET
1041	1042	überführen	False	UNSET	UNSET	UNSET	convict/transport	UNSET	UNSET
1042	1043	überqueren	False	UNSET	UNSET	UNSET	cross/traverse	B1	UNSET
1043	1044	wundern	False	UNSET	UNSET	UNSET	surprise/wonder	B2	UNSET
1044	1045	anstoßen	True	stieß an	angestoßen	False	initiate/clink glasses	UNSET	UNSET
1045	1046	aufwerten	False	UNSET	UNSET	UNSET	upgrade/enhance	UNSET	UNSET
1046	1047	einweihen	False	UNSET	UNSET	UNSET	inaugurate/initiate	UNSET	UNSET
1047	1048	errechnen	False	UNSET	UNSET	UNSET	calculate	C1	UNSET
