batch	bank	source_rows	word	field	severity	category	current	correct	why
nouns_001	nouns	535	Publikum	cefrLevel	low	cefr	A1	approximately B1	this collective cultural noun is well above a core A1 inventory.
nouns_001	nouns	555	Standard	cefrLevel	low	cefr	C1	approximately B1–B2	this frequent, transparent noun is grossly overgraded.
nouns_001	nouns	578	Krankenkasse	english	high	gloss	"""health insurance"""	"""health insurer/statutory health insurance fund"""	the insurance itself is *Krankenversicherung*; a *Krankenkasse* is the fund or organisation providing it.
nouns_001	nouns	587	Druck	plural	high	plural	"`—` / ""pressure/print"""	"`Drücke` for countable physical pressures; `Drucke` for printed works (or split/remove the countable ""print"" sense)"	the entry falsely presents the noun as plural-less even though both gloss families have established, sense-dependent plurals.
nouns_001	nouns	633	Nachfrage	plural, english	high	gloss	"`Nachfragen` / ""demand"""	"""demand; enquiry/follow-up question"" and clarify that plural `Nachfragen` normally realizes the question/enquiry senses"	economic *Nachfrage* is normally singular, while the very usable plural refers to enquiries or follow-up questions omitted from the gloss.
nouns_001	nouns	653	Objekt	cefrLevel	low	cefr	C1	approximately B1	this common, internationally transparent noun is grossly overgraded.
nouns_001	nouns	691	Tool	cefrLevel	low	cefr	C1	approximately B1	this common computing/workplace loanword is far below C1 in practical learner difficulty.
nouns_002	nouns	712	Beschwerde	cefrLevel	low	cefr	C1	B1 (approximately)	This common word for making a complaint is established well below C1; the current level substantially overstates its difficulty. uncertain: yes
nouns_002	nouns	769	Niveau	cefrLevel	low	cefr	C1	B1 (approximately)	`Niveau` is ordinary intermediate vocabulary, including for language level itself, so C1 is a grossly late placement. uncertain: yes
nouns_002	nouns	781	Bundestag	english	low	gloss	Bundestag	German federal parliament (the Bundestag)	Repeating the German institution name does not explain it to a learner who does not already know what it is.
nouns_002	nouns	848	Kontext	cefrLevel	low	cefr	A1	B1/B2	The abstract noun `Kontext` is not realistic beginner vocabulary at A1; its current placement is materially too early. uncertain: yes
nouns_002	nouns	852	Aufmerksamkeit	plural, english	low	gloss	Aufmerksamkeiten | attention	Aufmerksamkeiten | attention; small present/token of appreciation (plural sense)	`Aufmerksamkeiten` is valid, but the main sense “attention” is normally singular; the common countable plural belongs to the unshown “small presents/courtesies” sense.
nouns_002	nouns	911	Architektur	cefrLevel	low	cefr	A1	B1 (approximately)	Despite the English cognate, `Architektur` is implausibly early at A1 and is normally intermediate vocabulary. uncertain: yes
nouns_002	nouns	983	Statistik	cefrLevel	low	cefr	A1	B1 (approximately)	Both the discipline/data sense and the countable “statistic” sense are substantially beyond ordinary A1 vocabulary. uncertain: yes
nouns_002	nouns	1057	Cloud	english	medium	gloss	cloud	cloud (computing); cloud storage/service	German `Cloud` refers to cloud computing, not a cloud in the sky (`Wolke`); the unrestricted gloss invites a false equivalence.
nouns_002	nouns	1068	Schwester	english	medium	gloss	sister/nurse	sister; nurse (dated/colloquial shortening of `Krankenschwester`)	Unqualified `Schwester` for a nurse is now dated or context-dependent; presenting it as a neutral modern equivalent gives learners an unnatural model.
nouns_002	nouns	1075	Naturpark	english	medium	gloss	natural preserve/nature park	nature park	“Natural preserve” is neither idiomatic British English nor an accurate equivalent; a `Naturpark` is not the same category as a nature reserve (`Naturschutzgebiet`).
nouns_002	nouns	1095	Sicherung	english	low	gloss	fuse/safeguard	fuse; backup; securing/safeguarding	The very common computing sense “backup” is missing, while the broad noun “safeguard” does not make the central action/process sense especially clear.
nouns_002	nouns	1115	Interessent	english	medium	gloss	prospective customer	interested person/party; prospective customer/buyer	`Interessent` is not restricted to a customer; it can be any person or party expressing interest, so the current gloss is materially too narrow.
nouns_002	nouns	1146	Gehalt	article, plural, english	medium	gloss	der | Gehalte | content/substance	Add the much commoner separate entry `das Gehalt | Gehälter | salary/pay`; retain `der Gehalt | Gehalte | content/substance` only as the less frequent homograph.	The stored entry is internally correct, but it teaches only the uncommon masculine homograph and omits the everyday neuter word for salary, whose article and plural differ.
nouns_002	nouns	1163	Diagnose	english	high	gloss	diagnosis/diagnostics	diagnosis	German `Diagnose` means a diagnosis; “diagnostics” is normally `Diagnostik` or diagnostic testing and is not an interchangeable translation.
nouns_002	nouns	1166	Mithilfe	plural	high	plural	Mithilfen	—	`Mithilfe` in the sense “assistance/help” has no standard plural; `Mithilfen` is not a valid learner citation plural.
nouns_002	nouns	1194	Bord	english	medium	gloss	das Bord | Borde | board	das Bord | Borde | wall shelf/shelf (chiefly Swiss or otherwise dated); prefer `das Brett` for ordinary “board”	The neuter noun with this plural is a rare word for a shelf or, regionally/dated, an edge or slope; plain “board” suggests a much broader and more useful equivalence than the German word has.
nouns_002	nouns	1255	Typ	english	low	gloss	type	type; guy/bloke (informal)	The very common everyday person sense (`ein netter Typ`) is missing, leaving learners with only the abstract classification sense.
nouns_002	nouns	1271	Sorte	cefrLevel	low	cefr	C1	B1 (approximately)	`Sorte` is common intermediate vocabulary used for kinds and varieties of everyday products; C1 substantially overstates its level. uncertain: yes
nouns_002	nouns	1285	Großstadt	english	low	gloss	city/metropolis	large city/big city; metropolis	Generic “city” loses the defining `groß-` distinction and may lead learners to treat `Großstadt` as interchangeable with `Stadt`.
nouns_002	nouns	1292	Filiale	cefrLevel	low	cefr	C1	B1 (approximately)	The everyday “branch” sense used for shops and banks belongs well below C1. uncertain: yes
nouns_002	nouns	1302	Landwirt	cefrLevel	low	cefr	C1	B1/B2	This standard word for a farmer is intermediate rather than advanced C1 vocabulary. uncertain: yes
nouns_002	nouns	1313	Fotografie	english	medium	gloss	photography	photograph; photography	Singular `eine Fotografie` commonly means an individual photograph and the plural `Fotografien` specifically relies on that countable sense; the current mass-noun gloss hides it.
nouns_002	nouns	1320	Finanz	plural, english	high	plural	die Finanz | Finanzen | finance	Replace with `die Finanzen` (plural-only) = finances, or `das Finanzwesen` = finance; if singular `die Finanz` is retained, mark it as jargon and give no plural.	Jargon singular `die Finanz` has no plural; `Finanzen` is a separate plural-only lexeme, not its regular plural, so the row splices two entries together.
nouns_002	nouns	1336	Möbel	english	medium	gloss	furniture	piece of furniture; furniture (collectively in the plural `Möbel`)	Singular `das Möbel` is one piece of furniture, while English “furniture” is uncountable; the current gloss encourages the false form “a furniture.”
nouns_002	nouns	1380	Zoll	plural, english	high	plural	Zölle | customs/inch	`Zoll | Zölle | customs duty/tariff; customs authority`; distinguish `Zoll | Zoll | inch`	The plural `Zölle` belongs to customs duties/tariffs, while the unit “inch” has invariant plural `Zoll`; the row merges the homographs without explaining the incompatible plurals.
nouns_003	nouns	1415	Presse	plural	high	plural	Pressen for “press”	Use — for the media sense “the press”; retain Pressen only in a separate machine/printing-press sense.	The media sense is uncountable in German; Pressen is the plural of the physical machine sense.
nouns_003	nouns	1428	Linker	word/plural	high	junk	der Linker; plural Linker	der Linke; stored plural Linken; mark as an adjectival noun.	With the definite article, the masculine nominative is der Linke, not der Linker; because the app prepends die to stored plurals, the stored value must produce die Linken.
nouns_003	nouns	1440	Begeisterung	cefrLevel	low	cefr	A1	Reassess as approximately B1.	This abstract deverbal noun is substantially beyond core A1 vocabulary. uncertain: yes
nouns_003	nouns	1449	Räumlichkeit	english	medium	gloss	premises	room/interior; note that the usual German equivalent of “premises” is the plural Räumlichkeiten.	The English plural-only gloss is aligned with the German plural, not with the singular headword.
nouns_003	nouns	1513	Hindernis	cefrLevel	low	cefr	C1	Reassess as approximately B1/B2.	This is an ordinary, productive word for “obstacle” and C1 is implausibly late. uncertain: yes
nouns_003	nouns	1583	Tumor	english	low	spelling	tumor	tumour	The bank is for British-English-speaking learners, and “tumour” is the standard British spelling.
nouns_003	nouns	1599	Radweg	english	high	gloss	bike path/cycle lane	cycle path/cycle route	A cycle lane is normally a Radfahrstreifen/Radspur and is not a general synonym of Radweg.
nouns_003	nouns	1621	Reinigung	english	low	gloss	cleaning/dry cleaner	cleaning; dry-cleaning shop/dry cleaner’s	The place sense is the shop, not the person or machine denoted by unqualified English “dry cleaner”.
nouns_003	nouns	1685	Regisseur	cefrLevel	low	cefr	A1	Reassess as approximately A2/B1.	This occupation/cultural term is not normally core beginner A1 vocabulary. uncertain: yes
nouns_003	nouns	1695	Lohn	english	medium	gloss	wage/salary	wage/pay; distinguish Gehalt as the normal word for a fixed salary.	Giving “salary” without qualification obscures a useful everyday German distinction and encourages the wrong headword for salaried pay.
nouns_003	nouns	1696	Schulleiter	english	low	gloss	principal	headteacher/head teacher; optionally “school principal” as a regional-English equivalent.	“Principal” is not the normal general British-English term for the person in charge of a school.
nouns_003	nouns	1811	Süd	article/word/gloss	high	article	der Süd; south; no plural	Teach der Süden, —, “south”, or change this entry to der Süd, Süde, “southerly/south wind” and label its poetic/nautical use.	Der Süd is a marked word for a south wind; generic directional “south” is Süd without an article or der Süden.
nouns_003	nouns	1847	Sänger	english	low	gloss	singer/songster	singer	“Songster” is archaic/marked English and adds noise to a basic learner entry.
nouns_003	nouns	1874	Neuigkeit	english	medium	gloss	news	piece of news/news item; use “news” for the plural Neuigkeiten.	English “news” is uncountable, whereas singular Neuigkeit is a countable item.
nouns_003	nouns	1877	Kopfhörer	english	low	gloss	headphone	headphones/earphones; optionally “one earpiece” for a literal singular device.	A complete German Kopfhörer is normally called “headphones” in idiomatic British English.
nouns_003	nouns	1893	Fülle	english/plural	low	gloss	Füllen; abundance/fill/filling	For the standard core sense use “abundance/fullness” and no plural; label the countable “filling” sense as Austrian/regional if retained.	Füllen is usable only for the regional filling sense, while the unlabelled main “abundance” senses have no plural.
nouns_003	nouns	1910	Sportverein	cefrLevel	low	cefr	C1	Reassess as approximately A2/B1.	This transparent, everyday compound for a sports club is far below C1. uncertain: yes
nouns_003	nouns	1926	Abendessen	english	low	gloss	dinner/supper/supping	dinner/evening meal/supper	“Supping” is the activity of eating or drinking, not an idiomatic translation of the meal noun.
nouns_003	nouns	1929	Elektrotechnik	english	low	gloss	electrical engineering/electro-technics/electrotechnology	electrical engineering	The added alternatives are non-idiomatic or highly marginal English and reduce learner clarity.
nouns_003	nouns	1932	Geschwister	article/english	medium	gloss	das Geschwister; Geschwister; brother and sister/brothers and sisters/sibling	Teach the common plural-only die Geschwister, “siblings/brothers and sisters”; use das Geschwisterteil for a singular sibling.	Das Geschwister is a valid but rare singular; presenting it as an A1 singular lemma obscures the overwhelmingly common plural use and mixes number in the gloss.
nouns_003	nouns	1938	Arbeitsalltag	english	low	gloss	work life	everyday working life/day-to-day work	“Work life” is broader and does not convey Alltag’s everyday, routine sense.
nouns_003	nouns	1962	Mandant	english	low	gloss	client	client of a lawyer/tax adviser; legal client	Unqualified “client” is too broad and hides the professional/legal restriction that distinguishes Mandant from Kunde or Auftraggeber.
nouns_003	nouns	1977	Vorstandsvorsitzende	english	medium	gloss	chairman/chief executive officer	chair/chair of the management board, with “CEO” only where the roles coincide.	A Vorstandsvorsitzender is not automatically identical to a CEO in every governance structure, and gender-neutral “chair” is clearer British English.
nouns_003	nouns	1979	Stellenangebot	cefrLevel	low	cefr	C1	Reassess as approximately B1/B2.	This transparent and common job-search compound is not plausibly C1. uncertain: yes
nouns_003	nouns	1989	Model	english	medium	gloss	model/model (fashion)	fashion model	Das Model specifically denotes a fashion model; a model in the general sense is das Modell, so the unqualified first gloss creates a false-friend risk.
nouns_003	nouns	2011	Forschungseinrichtung	english	low	gloss	research institute	research institution/research facility	An Einrichtung is broader than an Institut, so the current gloss unnecessarily narrows the German headword.
nouns_003	nouns	2026	Auszahlung	english	medium	gloss	paying off/paying out/payment	payout/disbursement/payment	“Paying off” normally means clearing a debt or bribing someone and is a misleading model for Auszahlung.
nouns_003	nouns	2034	Spezialität	english	low	spelling	specialty	speciality	“Speciality” is the standard general British-English spelling.
nouns_003	nouns	2041	Verfolgung	english	medium	gloss	chase/persecution/pursuance	pursuit/chase/persecution/prosecution; remove “pursuance”.	“Pursuance” means carrying something out or acting in accordance with it, not pursuing or persecuting someone.
nouns_003	nouns	2044	Entdeckung	english	low	gloss	detection/discovery	discovery	“Detection” normally corresponds to Entdeckung only in specialised contexts and is a misleading general equivalent beside the core sense.
nouns_003	nouns	2052	Elektroauto	cefrLevel	low	cefr	C1	Reassess as approximately A2/B1.	This transparent everyday compound is grossly over-levelled at C1. uncertain: yes
nouns_003	nouns	2059	Fortsetzung	english	low	spelling	continuation/installment/sequel	continuation/instalment/sequel	“Instalment” is the British spelling required for this learner audience.
nouns_003	nouns	2072	Elektronik	english	medium	gloss	electronic circuit/electronics	electronics/electronic circuitry	A single electronic circuit is eine elektronische Schaltung; Elektronik denotes the field or the circuitry/electronic components collectively.
nouns_003	nouns	2076	Nord	article/word/gloss	high	article	der Nord; north; no plural	Teach der Norden, —, “north”, or change this entry to der Nord, Norde, “northerly/north wind” and label its marked use.	Der Nord is a word for a north wind; generic directional “north” is Nord without an article or der Norden.
nouns_003	nouns	2092	Watt	plural/english	high	plural	Watten; watt (unit); tidal flats	Split the homonyms: das Watt, plural Watt, “watt (unit)”; and das Watt, plural Watten, “tidal flat”.	Watten is the plural of the coastal landform, not of the unit, so one plural cannot correctly serve the two combined senses.
nouns_003	nouns	2096	Beschaffung	english	low	gloss	obtaining/procuration/procurement	procurement/acquisition/obtaining; remove “procuration”.	“Procuration” is rare and has distracting legal/agency senses; it is not good learner-facing British English here.
nouns_004	nouns	2109	Mediziner	cefrLevel	low	cefr	A2	Reassess as approximately B1/B2.	This relatively formal occupational noun is not core A2 vocabulary; Arzt is the normal earlier learner word. uncertain: yes
nouns_004	nouns	2120	Celsius	word/article/plural	high	junk	das Celsius; plural Celsius; Celsius	Remove this noun entry; teach Celsius only in a construction such as Grad Celsius.	Celsius is not normally an article-bearing count noun in German, so “das Celsius/die Celsius” teaches a nonexistent paradigm.
nouns_004	nouns	2140	Handhabung	plural	high	plural	—	Handhabungen	Handhabung has the standard plural Handhabungen, even though the singular is more frequent.
nouns_004	nouns	2148	Gebot	english/cefrLevel	high	gloss	commandment/requirement/bid; B2; cefrLevel A1	commandment/requirement/bid; move the apparent level annotation to cefrLevel B2.	“; B2” is stray metadata embedded in the learner-facing translation, and A1 is a gross mismatch for this polysemous abstract/legal noun.
nouns_004	nouns	2171	Mond	english	medium	gloss	moon/crescent	moon; use Mondsichel or Halbmond for “crescent”.	Mond is the moon generally, whereas an actual crescent shape or lunar crescent needs a more specific German noun.
nouns_004	nouns	2212	Steuerberater	english	medium	gloss	accountant/tax advisor	tax adviser	Steuerberater is a specific regulated tax profession; unqualified “accountant” is broader and normally maps to Buchhalter/Wirtschaftsprüfer according to role.
nouns_004	nouns	2193	Ausweis	english	medium	gloss	identity card	ID/identification document; reserve “identity card” specifically for Personalausweis.	Ausweis is the generic term for an identification document and the bank separately contains Personalausweis.
nouns_004	nouns	2234	Fahrbahn	english	high	gloss	roadway/lane	carriageway/roadway; use Fahrstreifen or Fahrspur for “lane”.	A Fahrbahn can contain several lanes, so teaching it as “lane” gives learners a false road-vocabulary equivalence.
nouns_004	nouns	2250	Vorliebe	cefrLevel	low	cefr	A1	Reassess as approximately B1/B2.	This abstract preference noun and its usual constructions are well beyond core A1 vocabulary. uncertain: yes
nouns_004	nouns	2258	Revision	english	low	gloss	appeal/audit/change	appeal/review/audit/revision; remove the unqualified “change”.	“Change” is too broad to model any of the legal, auditing, or revision senses reliably.
nouns_004	nouns	2204	Erdgeschoss	word	low	duplicate	das Erdgeschoss, Erdgeschosse, ground floor	Keep this standard entry and merge/remove the later synonymous variant Erdgeschoß (row 16475).	The bank otherwise teaches the same concept twice under spelling variants, with the later entry adding no learner-useful sense distinction.
nouns_004	nouns	2362	Äußerung	cefrLevel	low	cefr	A1	Reassess as approximately B1/B2.	This abstract/formal noun for a statement or utterance is not realistic core A1 vocabulary. uncertain: yes
nouns_004	nouns	2363	Auszug	english	medium	gloss	extract/excerpt/statement/moving out	extract/excerpt/moving out; qualify “statement” as bank statement, normally Kontoauszug.	Bare English “statement” suggests a general Aussage/Erklärung; Auszug has that translation only in restricted compounds or contexts.
nouns_004	nouns	2386	Abkürzung	english	low	spelling	abbreviation/acronym/short cut	abbreviation/acronym/shortcut	The noun “shortcut” is normally written as one word in current British English.
nouns_004	nouns	2416	Aufforderung	cefrLevel	low	cefr	A1	Reassess as approximately B1/B2.	This abstract deverbal noun and its request/demand/prompt senses are substantially beyond A1. uncertain: yes
nouns_004	nouns	2428	Präsidium	english	high	gloss	headquarters	executive committee/presiding board/presidium	Präsidium denotes a presiding or executive body, not the place or offices meant by “headquarters”.
nouns_004	nouns	2449	Kapelle	english	medium	gloss	chapel/folk group	chapel/band/small musical ensemble	A Kapelle is not inherently a folk group; that reading depends on a compound or context such as Musikkapelle or Blaskapelle.
nouns_004	nouns	2456	Strich	english	medium	gloss	stroke	line/dash/stroke	“Line” and “dash” are central everyday senses, while the single current gloss leaves a learner with an unnecessarily narrow model.
nouns_004	nouns	2469	Verkehrsunfall	cefrLevel	low	cefr	C1	Reassess as approximately B1.	This transparent, practical compound for a traffic accident is ordinary intermediate vocabulary, not C1. uncertain: yes
nouns_004	nouns	2472	Arbeitskraft	english	low	gloss	manpower/worker	labour/workforce/worker	“Manpower” is dated and unnecessarily gendered in learner-facing British English.
nouns_004	nouns	2503	Kennzeichnung	english	low	spelling	marking/labeling	marking/labelling	“Labelling” is the standard British-English spelling.
nouns_004	nouns	2515	Jurist	english/cefrLevel	medium	gloss	jurist/lawyer; A1	legal professional/law graduate/jurist; lawyer only as a broad contextual rendering; reassess as approximately B2.	A Jurist is not necessarily a practising lawyer, and this formal profession/qualification term is a gross A1 mismatch.
nouns_004	nouns	2538	Brunnen	cefrLevel	low	cefr	C1	Reassess as approximately A2/B1.	The common “well/fountain” noun is normal practical vocabulary far below C1. uncertain: yes
nouns_004	nouns	2546	Massage	cefrLevel	low	cefr	C1	Reassess as approximately A2/B1.	This transparent and common health/leisure word is not plausibly C1. uncertain: yes
nouns_004	nouns	2548	Ortschaft	english	medium	gloss	village	locality/settlement; optionally “village” where context establishes one.	An Ortschaft is a populated locality or settlement and is not necessarily a village.
nouns_004	nouns	2549	Preisgeld	english	low	gloss	prize money/trophy money	prize money	“Trophy money” is not an idiomatic British-English term for Preisgeld.
nouns_004	nouns	2556	Freundeskreis	cefrLevel	low	cefr	C1	Reassess as approximately B1.	This transparent everyday compound for a circle of friends is far below C1. uncertain: yes
nouns_004	nouns	2570	Flamme	english	low	gloss	blaze/burner/flame	flame/blaze; remove “burner”.	Flamme is the flame produced by a burner, not the burner apparatus itself.
nouns_004	nouns	2575	Mühle	cefrLevel	low	cefr	C1	Reassess as approximately A2/B1.	The ordinary concrete noun “mill” is not advanced C1 vocabulary. uncertain: yes
nouns_004	nouns	2576	Nachbarland	cefrLevel	low	cefr	C1	Reassess as approximately B1.	This highly transparent compound for a neighbouring country is normal intermediate vocabulary. uncertain: yes
nouns_004	nouns	2625	Antibiotikum	cefrLevel	low	cefr	C1	Reassess as approximately B1/B2.	This common medical noun is widely needed and encountered well before C1. uncertain: yes
nouns_004	nouns	2632	Gemeinsamkeit	english	medium	gloss	common ground/commonality/togetherness	common feature/thing in common/commonality; remove “togetherness”.	Togetherness is Zusammengehörigkeit/Gemeinschaftsgefühl, whereas Gemeinsamkeit denotes something shared or held in common.
nouns_004	nouns	2639	Sonderpreis	english	low	gloss	exceptional price/special price/special reduced price	special price/reduced price; special prize where the award sense is intended.	“Exceptional price” is not an idiomatic or dependable translation and obscures the separate price/prize readings.
nouns_004	nouns	2645	Fragebogen	english	low	spelling	form/opinionaire/questionnaire	questionnaire/form; remove “opinionaire”.	“Opinionaire” is a nonstandard or highly marginal English formation and is unsuitable learner vocabulary.
nouns_004	nouns	2646	Geschäftsfeld	english	high	gloss	business unit	business area/field/line of business	A Geschäftsfeld is an area of commercial activity; a business unit is an organisational entity, normally a Geschäftseinheit.
nouns_004	nouns	2650	Rind	english	medium	gloss	cow/head of cattle/cattle	bovine/head of cattle/cattle; beef where the meat sense is intended.	Rind is not sex-specific, whereas “cow” properly denotes an adult female and is normally Kuh in German.
nouns_004	nouns	2693	Grußwort	english	medium	gloss	greeting/regards	welcoming address/message of greeting	Grußwort is a short formal greeting or welcoming address; “regards” corresponds to Grüße, not Grußwort.
nouns_004	nouns	2696	Instanz	english	medium	gloss	instance	authority/body/court level; instance only with an explicit computing qualifier.	The unqualified cognate is a false-friend trap and omits the main legal and institutional senses.
nouns_004	nouns	2706	Wellness	english	medium	gloss	wellness	spa treatments/health and relaxation activities; note the narrower German loanword usage.	German Wellness usually refers to spa-style relaxation and health activities, not every English use of the abstract term “wellness”.
nouns_004	nouns	2728	Bad	english	medium	gloss	bath/bathhouse/beach establishment	bathroom/bath; spa/baths where context requires it.	The current gloss omits the central everyday room sense “bathroom” and foregrounds an obscure “beach establishment” rendering.
nouns_004	nouns	2731	Gefäß	english	medium	gloss	container/hilt/receptacle	vessel/container; blood vessel in anatomy; retain “hilt” only as a labelled specialist sense.	The important general and anatomical “vessel” senses are missing while a rare weapons sense is presented without qualification.
nouns_004	nouns	2758	Richtigkeit	plural	high	plural	Richtigkeiten	—	Standard Richtigkeit in the stated “correctness/rightness” sense has no plural; Richtigkeiten is not the citation plural.
nouns_004	nouns	2759	Sonnenschein	cefrLevel	low	cefr	C1	Reassess as approximately A2.	This common, transparent weather word is far below C1. uncertain: yes
nouns_004	nouns	2783	Verwertung	english	low	gloss	exploitation/using/utilisation	exploitation/use/utilisation	“Using” is an unnatural gerund label here; the corresponding English noun is “use”.
nouns_004	nouns	2787	Bonus	cefrLevel	low	cefr	C1	Reassess as approximately B1/B2.	This transparent, widely used loanword is not plausibly restricted to C1. uncertain: yes
nouns_004	nouns	2791	Glaube	cefrLevel	low	cefr	C1	Reassess as approximately B1/B2.	“Belief/faith” is common intermediate vocabulary and occurs in basic everyday and cultural contexts well before C1. uncertain: yes
nouns_005	nouns	2873	Vorreiter	english	low	gloss	outrider/precursor/trailblazer	forerunner/pioneer/trailblazer	“Outrider” is a rare literal/historical match and is a poor first gloss for the normal figurative sense.
nouns_005	nouns	2888	Lebensbedingung	english	low	gloss	condition of life	living condition	“Condition of life” is not idiomatic British English; the plural Lebensbedingungen is normally “living conditions.”
nouns_005	nouns	2898	Blicke	article, word, plural, english	high	junk	die Blicke | plural Blicken | glances/views	der Blick | plural Blicke | glance/look/view	The stored headword is already a nominative plural, while Blicken is its dative plural; learners need the singular lemma Blick.
nouns_005	nouns	2933	Schulhof	cefrLevel	medium	cefr	C1	A2 or B1	This transparent, everyday school noun is far below C1.
nouns_005	nouns	2964	Kerze	english	high	gloss	candle/candlestick/spark plug	candle; colloquially spark plug	A Kerze is the candle itself, not a candlestick (Kerzenhalter/Leuchter).
nouns_005	nouns	2972	Sekretariat	english	low	gloss	office	secretariat/administrative office/secretary's office	Bare “office” is too broad and does not teach what kind of office Sekretariat denotes.
nouns_005	nouns	2999	Web	english	low	gloss	W3/WWW/Web	web/World Wide Web	“W3” is obscure and dated learner-facing shorthand; it should not precede the ordinary terms.
nouns_005	nouns	3000	Aufsatz	cefrLevel	medium	cefr	C1	B1 (at most B2)	The common school sense “essay/composition” is core intermediate vocabulary, not C1.
nouns_005	nouns	3002	Belohnung	cefrLevel	medium	cefr	C1	B1 or B2	“Reward” is common everyday vocabulary and C1 is a gross overstatement.
nouns_005	nouns	3012	Kinderrecht	english	low	gloss	children's right	child's right/right of the child; plural Kinderrechte = children's rights	The current singular English phrase is awkward and obscures the much more usual plural expression.
nouns_005	nouns	3040	Sporthalle	english	low	gloss	gymnasium/sports hall	sports hall/gym	For British learners “gymnasium” strongly suggests a German secondary school false friend and is not the normal modern English term here.
nouns_005	nouns	3053	Hammer	english	medium	gloss	hammer; (colloquial) stunner/blunder	hammer; colloquially something amazing/shocking	Colloquial der Hammer can be an amazing or shocking thing, but it does not mean “blunder.”
nouns_005	nouns	3067	Whatsapp	word, plural	high	spelling	Whatsapp | Whatsapps	WhatsApp | WhatsApps	The brand-derived German noun retains the internal capital A in both singular and plural.
nouns_005	nouns	3070	Bushaltestelle	cefrLevel	medium	cefr	C1	A1 or A2	“Bus stop” is basic travel vocabulary and is grossly mislevelled at C1.
nouns_005	nouns	3079	Leiche	english	medium	gloss	body/cadaver/carcass	corpse/dead body	“Body” without “dead” is ambiguous, “cadaver” is specialist, and “carcass” normally denotes an animal; the everyday translation is “corpse/dead body.”
nouns_005	nouns	3084	Pension	english	medium	gloss	pension	pension; guest house/boarding house	The identical English word covers the retirement-payment sense but omits the very common German accommodation sense.
