1. der Ansturm | onslaught/rush | OK
223. die Mondlandung | moon landing | OK
224. die Motorik | motor skill | IMPROVE: motor skills - Motorik is normally motor skills or motor function.
225. die Mukoviszidose | cystic fibrosis | OK
226. der Musiklehrer | music teacher | OK
227. die Nachtstunde | night hour | OK
228. der Nagellack | nail polish | OK
229. der Hackathon | hackathon | OK
230. die Nationalbibliothek | national library | OK
231. die Navigationsleiste | navigation bar | OK
232. der Nerd | nerd | OK
233. das Nettoeinkommen | net income | OK
234. die Neurodermitis | Brocq-Jaquet neurodermitis | IMPROVE: neurodermatitis - The current medical eponym is overly specific and not learner-friendly.
235. der Notfallsanitäter | emergency paramedic | OK
236. das Ödem | edema/oedema | OK
237. der Ohrring | earring | OK
238. der Omnibus | bus | OK
239. der Paradigmenwechsel | bill of exchange | WRONG: paradigm shift - Paradigmenwechsel is a paradigm shift, not a bill of exchange.
240. die Ordensgemeinschaft | religious order/community | OK
241. die Originalität | originality | OK
242. das Ortszentrum | town centre | OK
243. das Osterfeuer | Easter fire | IMPROVE: Easter bonfire - Osterfeuer is usually an Easter bonfire.
244. die Parodie | parody | OK
245. der Parteichef | party leader | OK
246. der Pelz | fur/hide/pelt | OK
247. das Periodensystem | periodic table | OK
248. die Perücke | wig | OK
249. das Pflichtfach | compulsory subject | OK
250. das Pigment | pigment | OK
251. das Pils | pilsner | OK
252. der Polizeipräsident | chief of police/police chief | OK
253. das Parfum | perfume | OK
254. die Personalakte | personal file/personnel file | OK
255. das Profilbild | profile idea | WRONG: profile picture - Profilbild is a profile picture, not a profile idea.
256. der Pflanzenteil | plant component | OK
257. die Psychose | psychosis | OK
258. der Publikumsverkehr | audience communication | WRONG: visitor traffic/public access - Publikumsverkehr means dealings with or traffic from the public.
259. die Publizistik | journalism/media studies | OK
260. der Haltegriff | hold grip | WRONG: grab handle/handle - Haltegriff is a handle to hold onto.
261. die Ratio | ratio/reason | OK
262. die Ratsversammlung | advice assembly | WRONG: council meeting - Ratsversammlung is an assembly or meeting of a council.
263. die Raumplanung | spatial planning | OK
264. die Räumung | removal | IMPROVE: eviction/clearing - This is often eviction or clearing, while removal is too vague.
265. die Razzia | bust/ghazwa/raid | OK
266. der Referatsleiter | head of unit/section head | OK
267. der Pharao | pharaoh | OK
268. das Registergericht | register court | OK
269. die Regulation | regulation | OK
270. der Reifendruck | bangle pressing | WRONG: tire pressure - Reifendruck is tire pressure, not bangle pressing.
271. der Reim | rhyme | OK
272. das Reisegepäck | luggage/travel baggage | OK
273. die Reizung | irritation | OK
274. die Rentenkasse | annuity cash | WRONG: pension fund - Rentenkasse is a pension fund or pension office.
275. die Rille | crease/furrow/glyph | OK
276. der Rohling | blank/brute | OK
277. die Romanistik | Romance studies | OK
278. der Röntgenstrahl | X-ray | OK
279. die Rosine | currant/raisin | OK
280. das Rotorblatt | rotor blade | OK
281. die Rückschau | hindsight/retrospect | OK
282. der Ruheständler | retiree | OK
283. der Ruin | ruin | OK
284. der Rundumblick | glance | WRONG: all-around view/panoramic view - Rundumblick means a view in all directions.
285. die Rüstungsindustrie | armaments industry/defence industry | OK
286. die Sabotage | sabotage | OK
287. das Saisonende | season end | IMPROVE: end of season - Saisonende is naturally end of season.
288. der Salafist | Salafist | OK
289. der Sammelbehälter | bin | OK
290. der Saugroboter | robot | WRONG: robot vacuum cleaner - Saugroboter specifically means a robotic vacuum cleaner.
291. die Schadstoffbelastung | harmful substance burden | WRONG: pollutant load/pollution exposure - Schadstoffbelastung means burden or exposure from pollutants.
292. der Schenker | donor | OK
293. der Schiffbau | shipbuilding | OK
294. die Schizophrenie | schizophrenia | OK
295. das Schlachtfeld | battle field/battle ground/battlefield | OK
296. der Haltepunkt | halt | OK
297. der Schlüsselanhänger | key chain/key fob/keychain | OK
298. der Schnäppchenjäger | bargain hunter | OK
299. die Schnittmenge | cut-set/intersecting set/intersection | OK
300. die Scholle | clod/plaice | OK
301. die Schulausbildung | school education | OK
302. der Pickel | blain/pick-axe/pickax | WRONG: pimple - Pickel commonly means pimple; the current gloss misses that primary meaning.
303. die Schulgemeinde | school municipality | WRONG: school community - Schulgemeinde is the community of a school.
304. die Schürze | apron/lead apron/stone deflector | OK
305. die Schutzbrille | safety goggles | OK
306. der Schutzengel | guardian angel | OK
307. der Schutzraum | shelter | OK
308. das Schwiegereltern | parents-in-law | OK
309. das Plasma | plasma | OK
310. das Selbstbestimmungsrecht | self-determination law | IMPROVE: right to self-determination - This is the standard English phrase for Selbstbestimmungsrecht.
311. die Sendezeit | time | WRONG: airtime/broadcast time - Sendezeit is broadcast airtime, not time in general.
312. der Sicherheitsabstand | safety game | WRONG: safety distance - Sicherheitsabstand is a safety distance or clearance.
313. die Sitzreihe | row/row of seats | OK
314. der Handball | handball | OK
315. der Sozialausschuss | committee | WRONG: social affairs committee - Sozialausschuss is specifically a social affairs committee.
316. der Spalt | gap/crack | OK
317. der Spätherbst | late autumn | OK
318. der Spediteur | forwarder | OK
319. die Speicherstadt | warehouse district | OK
320. die Spielbank | casino | OK
321. der Spielstand | score/state of play | OK
322. der Spion | peephole/spy | OK
323. das Sportabzeichen | sport badge | OK
324. das Polizeirevier | police station/precinct/station house | OK
325. der Springbrunnen | artesian well/fountain/waterspout fountain | IMPROVE: fountain - Springbrunnen is simply a fountain; the other glosses distract.
326. das Spülmittel | sink average | WRONG: dish soap/washing-up liquid - This is detergent for washing dishes.
327. das Posting | post/posting | OK
328. die Staatskasse | public purse/treasury | OK
329. der Stadtbus | City bus | OK
330. die Startelf | starting eleven/starting lineup | OK
331. das Statussymbol | state icon | WRONG: status symbol - Statussymbol is status symbol, not state icon.
332. die Staumauer | dam | OK
333. der Stecken | stick | OK
334. der Steckverbinder | connector | OK
335. die Stele | stela/stele | OK
336. der Stellenabbau | reduction in staff/staff reductions | OK
337. der Stent | stent | OK
338. die Steppe | steppe/veld/veldt | OK
339. das Stickoxid | chip oxide | WRONG: nitrogen oxide - Stickoxid is nitrogen oxide, not chip oxide.
340. das Stilmittel | stylistic device | OK
341. die Stoffwechselerkrankung | metabolic disease/metabolic disorder | OK
342. das Preisniveau | price level | OK
343. der Straßenverlauf | road course | IMPROVE: road layout/course of the road - This means the course or layout of a road.
344. der String | string/thong | OK
345. der Strohhalm | drinking straw/straw | OK
346. die Supermarktkette | supermarket chain | OK
347. der Handelsvertreter | business agent | IMPROVE: sales representative - Handelsvertreter is usually a sales representative.
348. die Symbolik | symbolics/symbolism | OK
349. der Tabakkonsum | tobacco consumption | OK
350. der Tagessatz | day composition | WRONG: daily rate - Tagessatz means a daily rate, not day composition.
351. der Taifun | typhoon | OK
352. der Tampon | tampon | OK
353. der Tanzkurs | dance course | OK
354. die Tarifrunde | round of pay negotiations | OK
355. die Tauglichkeit | fitness/suitability | OK
356. die Taxe | cab/taxi | OK
357. die Teilnahmebestätigung | confirmation of participation | OK
358. die Telearbeit | telework | OK
359. der Projektantrag | project application | OK
360. das Terrarium | terrarium | OK
361. der Protestant | Protestant/demonstrator/protester | OK
362. der Tiefgang | (AE) draft/(BE) draught/profoundness | OK
363. der Tiefpunkt | low/minima | OK
364. der Putz | plaster | OK
365. das Tierfutter | animal feed | OK
366. die Pyramide | pyramid | OK
367. die Tollwut | rabies | OK
368. die Topographie | topography | OK
369. die Transsexualität | transsexualism/transsexuality | OK
370. der Treppenlift | stair lift | OK
371. die Treppenstufe | stair/step | OK
372. der Troll | troll | OK
373. der Tüftler | handyman/tinkerer | OK
374. die Überquerung | crossing | OK
375. das Quad | quad/quad bike | OK
376. das Haupthaus | principal building | IMPROVE: main building - Haupthaus is the main building or main house.
377. die Umkleidekabine | cabin/changing room | OK
378. das Umsatzplus | increase in sales | OK
379. die Umsiedlung | relocation/resettlement | OK
380. der Umweltstandard | environment standard | IMPROVE: environmental standard - Environmental standard is the natural adjective-noun form.
381. die Unfallgefahr | risk of accident | OK
382. die Ungunst | disfavour | OK
383. der Unterausschuss | subcommittee | OK
384. das Unterbewusstsein | subconscious mind/subconsciousness | OK
385. der Untermieter | lodger/roomer/subtenant | OK
386. die Untreue | disloyalty/embezzlement/infidelity | OK
387. das Uran | uranium | OK
388. die Urbanisierung | urbanisation | OK
389. das Urlaubsland | holiday destination/vacation country | OK
390. die Verdopplung | doubling | OK
391. das Vereinshaus | clubhouse | OK
392. der Verkaufserlös | sales proceeds | OK
393. das Hausschwein | domestic pig | OK
394. die Verrechnung | game/clearing/offsetting | IMPROVE: clearing/offsetting - Verrechnung means offsetting or clearing; game is noise.
395. die Verschwörung | conspiracy/machination | OK
396. der Verteidigungsminister | minister of defence/secretary of defence | OK
397. das Vertragsrecht | contract law | OK
398. das Verwenden | use/utilisation | OK
399. der Vierzylinder | four-cylinder engine | OK
400. das Rampenlicht | footlight/limelight | OK
401. der Volljährige | adult/major | OK
402. die Vorsaison | season | WRONG: preseason - Vorsaison means the period before the main season.
403. das Vorstellungsvermögen | idea assets | WRONG: imagination - This means the power of imagination.
404. der Wächter | guard | OK
405. die Wahlfreiheit | freedom of choice | OK
406. der Wahlleiter | returning officer/election supervisor | OK
407. die Wahlurne | ballot box/voting box | OK
408. der Wall | barrier/bulwark/earth bank | OK
409. die Wallbox | wallbox/wall-mounted charging station | OK
410. die Wandlung | conversion/transformation/transsubstantiation | OK
411. der Warnstreik | token strike/warning strike | OK
412. das Wasserbad | bain-marie | OK
413. die Wassermasse | water mass | OK
414. die Wasserratte | water vole | OK
415. der Weichmacher | plasticiser/plasticizer | OK
416. das Weihnachtskonzert | Christmas concert | OK
417. der Raps | rape | WRONG: rapeseed - Raps is the crop rapeseed; rape is misleading for learners.
418. das Wertesystem | value system | OK
419. die Wissenschaftsministerin | academic discipline minister | WRONG: minister of science - Wissenschaftsministerin is a female science minister.
420. die Workstation | workstation | OK
421. die Wortwahl | choice of word/choice of words/word choice | OK
422. der Zeiger | hand/index/needle | OK
423. die Zeitzone | time zone | OK
424. die Zentralheizung | central heating | OK
425. der Zielpunkt | aim dot | IMPROVE: target point - Zielpunkt is a target or destination point.
426. die Zivilbevölkerung | civilian population | OK
427. die Zuhilfenahme | aid | OK
428. die Zukunftsaussicht | future outlook | OK
429. der Zukunftsplan | future plan | OK
430. der Zuruf | shout/call | OK
431. die Zwangspause | force break | WRONG: forced break - Zwangspause is a forced or compulsory break.
432. das Zweibettzimmer | twin room | OK
433. die Zweisamkeit | togetherness | OK
434. die Abfüllung | filling/bottling | OK
435. das Abseits | offside | OK
436. die Absolvierung | crossing | WRONG: completion - Absolvierung means completing something, not crossing.
437. die Äbtissin | abbess | OK
438. die Abtretung | assignment | OK
439. die Acne | acne | OK
440. die Adaption | adaptation | OK
441. der Adelige | noble/aristocrat | OK
442. das Hinterland | hinterland | OK
443. das Akronym | acronym | OK
444. das Ammoniak | ammonia | OK
445. der Andersdenkende | different-minded/dissenter/dissident | IMPROVE: dissenter/dissident - Andersdenkende is a person who thinks differently, usually a dissenter.
446. der Anlagenbauer | attachment builder | WRONG: plant manufacturer - Anlagenbauer builds industrial plants or systems, not attachments.
447. das Ansinnen | request | OK
448. der Anteilseigner | shareholder | OK
449. die Anthropologie | anthropology | OK
450. die Anwaltskosten | attorney's fee/lawyer's fees/solicitor's fee | OK
451. die Anwartschaft | expectancy | IMPROVE: entitlement/prospective right - Anwartschaft is a claim or entitlement, not just expectancy.
452. das Ar | are | OK
453. das Arbeitseinkommen | business income | WRONG: earned income/labor income - Arbeitseinkommen is income from work.
454. der Arztbrief | doc letter | WRONG: doctor's letter/medical report - Arztbrief is a medical letter or report from a doctor.
455. die Aster | aster | OK
456. der Asteroid | asteroid | OK
457. der Atemschutz | breathing protection/respiratory protection | OK
458. der Referenzwert | reference value | OK
459. das Atrium | atrium | OK
460. das Aufbauseminar | assembly department | WRONG: advanced seminar - Aufbauseminar is an advanced follow-up seminar.
461. die Auffrischung | refresher/freshening up | OK
462. der Aufschluss | close | WRONG: information/clarification - Aufschluss means clarification or information, not close.
463. der Aufschub | continuance/delay/extension | OK
464. der Aufwärtstrend | uptick | OK
465. die Ausnahmesituation | exception situation | OK
466. der Auspuff | exhaust/exhaust pipe/system | OK
467. der Auswuchs | end cluster | WRONG: outgrowth/excess - Auswuchs means an outgrowth or undesirable excess.
468. der Auswurf | sputum | OK
469. das Automatikgetriebe | automatic gearbox/automatic transmission | OK
470. der Auwald | riparian forest | OK
471. der Backstein | brick/clinker | OK
472. der Badeort | beach resort/seaside resort/spa | OK
473. das Bahngleis | railroad track/track | OK
474. das Reformationsjubiläum | Reformation anniversary | OK
475. die Barrikade | barricade | OK
476. das Bauernhaus | farmhouse | OK
477. das Bäumchen | small tree/sapling | OK
478. der Baumwipfelpfad | treetop walkway | OK
479. der Bauunternehmer | building contractor | OK
480. der Beratungsdienst | advice duty | WRONG: advisory service/counseling service - Beratungsdienst is a service offering advice.
481. das Bergland | mountainous country/highland | OK
482. der Berufsschüler | vocational school student | OK
483. der Bestatter | funeral director/mortician/undertaker | OK
484. die Bestrafung | penalisation/penalty/punishment | OK
485. die Bewegungsmöglichkeit | emotion chance | WRONG: possibility of movement/mobility option - This means a way or ability to move.
486. das Hochstift | prince-bishopric | OK
487. die Bewusstlosigkeit | unconsciousness | OK
488. der Bläser | wind player/blower | OK
489. der Reformator | reformer | OK
490. der Blitzschlag | lightning strike | OK
491. der Blühstreifen | wildflower strip | OK
492. die Bodenbearbeitung | tillage/tilling | OK
493. der Regentag | rainy day | OK
494. die Bootsfahrt | boat trip/boating trip | OK
495. die Borste | bristle | OK
496. die Brennnessel | nettle/stinging nettle | OK
497. der Brückenbau | bridge building | OK
498. der Bücherschrank | bookcase | OK
499. der Buddha | Buddha/Buddhahood | OK
500. die Bundesversammlung | Federal Convention/Federal Assembly | OK
501. der Bürge | surety/voucher | IMPROVE: guarantor/surety - This is a guarantor; voucher is misleading.
502. der Butler | butler | OK
503. der Cappuccino | cappuccino | OK
504. das Chassis | chassis | OK
505. der Christbaum | Christmas tree | OK
506. die Chronologie | chronology | OK
507. das Clubhaus | clubhouse | OK
508. der Dachziegel | roof tile | OK
509. die Dampfmaschine | steam engine | OK
510. die Dämpfung | damping | OK
511. der Dekor | decor | OK
512. das Deo | deodorant | OK
513. die Dialyse | dialysis | OK
514. das Digitalradio | radio | WRONG: digital radio - Digitalradio is specifically digital radio.
515. die Diversifikation | diversification | OK
516. die Doku | documentary | OK
517. der Mehrwert | added value | OK
518. die Doppelhaushälfte | semi | IMPROVE: semi-detached house - This is one half of a semi-detached house.
519. der Dortmunder | person from Dortmund | OK
520. die Dramatik | drama | OK
521. der Dreijährige | three-year-old | OK
522. die Dunstabzugshaube | extractor hood/range hood | OK
523. das Eigengewicht | property weight | WRONG: own weight/dead weight - This means an object's own weight.
524. die Eigentümergemeinschaft | owner community | IMPROVE: community of owners - This is the owners' association or community.
525. der Eileiter | Fallopian tube/oviduct/salpinx | OK
526. das Einatmen | inhaling | OK
527. der Einkaufskorb | shopping basket | OK
528. der Einkaufspreis | buying price | OK
529. die Einlagerung | storage | OK
530. der Einstein | boulder | OK
531. der Einsturz | collapse/structural failure | OK
532. der Eisberg | growler/iceberg | OK
533. der Eklat | scandal/stir | OK
534. der Reiseleiter | tour guide | OK
535. die Entstehungszeit | coming out time | WRONG: time of origin - Entstehungszeit means the time when something came into being.
536. das Epos | epic | OK
537. die Erstversorgung | initial treatment/first care | OK
