1. der Arbeitsminister | Secretary of Labour/Secretary of State for Employment | IMPROVE: labor minister/minister of labor - Current gloss is too country-specific for the general German title.
37. die Bastelanleitung | guidance | WRONG: craft instructions - Bastelanleitung is instructions for a craft project, not generic guidance.
38. das Bauchfett | belly fat | OK
39. die Bauchhöhle | abdominal cavity | OK
40. die Bauernfamilie | builder family | WRONG: farming family/farmer's family - Bauernfamilie is a farm or farming family; "builder" is wrong.
41. die Baugeschichte | history of construction | OK
42. der Bedarfsgegenstand | need item | WRONG: consumer product/commodity - Bedarfsgegenstand is an article for daily use, not a "need item."
43. der Grillplatz | barbecue area | OK
44. die Behausung | dwelling/habitation | OK
45. der Behindertenparkplatz | disabled parking space/handicapped parking spot/traffic handicapped parking | OK
46. die Beichte | confession | OK
47. das Bellen | barking | OK
48. die Benutzerin | user (female) | OK
49. der Bergahorn | sycamore/sycamore maple | OK
50. die Bergbaugeschichte | history of mining | OK
51. der Bergretter | mountain rescuer | OK
52. der Bergsee | mountain lake | OK
53. der Berufsschullehrer | vocational school teacher | OK
54. die Besitzung | estate/possession | OK
55. die Bestechung | bribe/bribery/corruption | OK
56. die Bestimmtheit | definiteness/firmness | OK
57. der Betriebsleiter | operations manager/plant manager | OK
58. die Bettruhe | bed rest | OK
59. die Grundschuld | land charge | OK
60. das Bienensterben | bee death | WRONG: bee mortality/bee die-off - Bienensterben refers to bees dying off, not a single bee death.
61. der Orgasmus | climax/orgasm | OK
62. das Bildarchiv | image archive | OK
63. die Billigung | approval | OK
64. die Bischöfin | bishop | OK
65. die Blindenschrift | Bible | WRONG: Braille - Blindenschrift means Braille, not Bible.
66. das Blitzgerät | flash unit | OK
67. das Örtchen | little place/loo | OK
68. die Blöße | clearing/nudity/target | OK
69. die Blütenpflanze | bloom plant | WRONG: flowering plant - Bl?tenpflanze means flowering plant; "bloom plant" is not idiomatic.
70. die Blutkonserve | stored blood | IMPROVE: blood unit/stored blood - "Stored blood" is understandable but "blood unit" is the usual medical gloss.
71. die Blutvergiftung | sepsis/septicemia | OK
72. der Blutverlust | blood loss | OK
73. die Blutversorgung | blood supply | OK
74. der Bodden | bay | OK
75. der Börsenkurs | market price/stock exchange price | OK
76. der Ortsausgang | town exit | OK
77. der Brauer | brewer | OK
78. der Breitengrad | latitude | OK
79. die Bremerin | person from Bremen (female) | OK
80. der Bremsweg | braking distance | OK
81. der Brennwert | caloric value/calorific value/energy value | OK
82. das Gruppenmitglied | group member | OK
83. das Bruchstück | fragment/piece | OK
84. die Bruderschaft | fraternity | OK
85. die Bücherhalle | library | OK
86. das Büffet | buffet | OK
87. der Bundesfreiwillige | federal volunteer | OK
88. das Bundesrecht | federal law | OK
89. die Burgruine | castle ruin | OK
90. das Büromöbel | bureau furniture | WRONG: office furniture - B?rom?bel means office furniture, not bureau furniture.
91. die Büste | bust/tailor's dummy | OK
92. das Cadmium | cadmium | OK
93. der Cannabiskonsum | cannabis use/consumption | OK
94. der Cast | cast (film/TV) | OK
95. der Cellist | cellist/cello player/violoncellist | OK
96. das Chalet | chalet | OK
97. der Chauffeur | chauffeur | OK
98. der Hackerangriff | hacker attack | OK
99. der Chronist | chronicler | OK
100. die Codierung | coding/encoding | OK
101. der Comedian | comedian | OK
102. die Computersimulation | computer simulation | OK
103. der Cowboy | cowboy | OK
104. der Crashkurs | crash course | OK
105. der Crashtest | crash test | OK
106. der Cursor | cursor | OK
107. das Dachfenster | louver/roof window/roof-light | IMPROVE: roof window/skylight - "Louver" is misleading here; Dachfenster is a roof window.
108. der Dampfer | steamboat/steamer/steamship | OK
109. das Darmbakterium | intestinal bacterium | OK
110. das Datenleck | data leak | OK
111. der Dauerregen | continuous rain | OK
112. das Debakel | debacle | OK
113. die Deflation | deflation | OK
114. das Delta | delta | OK
115. die Diakonisse | deaconess | OK
116. der Dokumentarfilmer | documentary filmmaker | OK
117. der Dolmetsch | interpreter | OK
118. die Domstadt | cathedral centre | WRONG: cathedral city - Domstadt is a city known for its cathedral, not a cathedral centre.
119. die Doppelmoral | double standard | OK
120. der Dorfladen | village business | WRONG: village shop - Dorfladen is a village shop, not a village business.
121. die Drehbewegung | filming emotion | WRONG: rotary movement - Drehbewegung is a rotation or turning movement, not filming emotion.
122. das Dreirad | tricycle | OK
123. die Druckmaschine | printing machine | OK
124. die Druckstelle | pressure sore | IMPROVE: pressure point/pressure mark - Druckstelle is usually a pressure mark or sore spot, not only a pressure sore.
125. der Dschihadist | jihadist | OK
126. die Durchfallerkrankung | diarrhea disease | IMPROVE: diarrheal illness/diarrhoea - More idiomatic learner gloss than "diarrhea disease."
127. der Ehevertrag | premarital agreement/prenup/prenuptial agreement | OK
128. der Eierkuchen | pancake | OK
129. der Eigenheimbesitzer | home possessor | WRONG: homeowner - Eigenheimbesitzer means a homeowner, not a home possessor.
130. das Einladungsschreiben | invitation letter | OK
131. die Einsatzleitung | operations management | OK
132. der Handwerksberuf | craft trade/craft profession | OK
133. der Einstand | debut/debut party/deuce | OK
134. das Einzelhandelsgeschäft | singles commercial transaction | WRONG: retail shop - Einzelhandelsgesch?ft means a retail business or shop, not a singles transaction.
135. die Eisenbahnlinie | rail line/railroad line/railway line | OK
136. das Eislaufen | skating | OK
137. die Eitelkeit | idle/vanity | WRONG: vanity - Eitelkeit is the noun "vanity"; "idle" is the wrong part of speech.
138. das Ekzem | eczema | OK
139. das Hauptzollamt | main customs office | OK
140. der Elektroschrott | e-scrap/e-waste/electronic waste | OK
141. der Elektrotechniker | electrical engineer | OK
142. das Elterngespräch | parent-teacher meeting/conversation with parents | OK
143. die Emigration | emigration | OK
144. der Emissionswert | emission value | OK
145. die Empfangsbestätigung | notice of receipt/receipt | OK
146. die Endnote | endnote | OK
147. die Energiedichte | energy density | OK
148. der Entsorger | waste-disposal company | OK
149. die Entwicklungsgeschichte | history of development/evolution | OK
150. die Erbauung | edification/construction | OK
151. die Erbkrankheit | hereditary disease | OK
152. die Erbschaftssteuer | capital transfer tax/death tax/estate tax | IMPROVE: inheritance tax - This is the usual term for Erbschaftssteuer.
153. die Erhitzung | heating/heating up | OK
154. die Ermahnung | admonition/exhortation/rebuke | OK
155. die Ermittlerin | investigator | OK
156. das Ethanol | ethanol | OK
157. die Ethikkommission | ethics committee/independent ethics committee | OK
158. der Ethikrat | ethics advice | WRONG: ethics council - Ethikrat is an ethics council, not ethics advice.
159. die Ethnie | ethnic group | OK
160. das Etui | case | OK
161. der Europaabgeordnete | assemblyman | WRONG: Member of the European Parliament - Europaabgeordnete is an MEP, not a generic assemblyman.
162. die Ortszeit | local time | OK
163. das Exoskelett | exoskeleton | OK
164. der Fachausdruck | technical expression/technical term | OK
165. der Oszillator | oscillator | OK
166. der Fahrradständer | bicycle parking rack/bicycle stand/bike rack | OK
167. die Fährte | strain/track/trail | IMPROVE: track/trail - "Strain" is misleading; F?hrte is an animal or person track.
168. die Fäkalie | faeces/feces | OK
169. der Faktencheck | fact check | OK
170. der Fallout | fall-out | OK
171. die Hausaufgabenbetreuung | homework supervision/homework support | OK
172. der Farbwechsel | color change | OK
173. das Farsi | Farsi | OK
174. die Faszie | fascia | OK
175. das Faultier | sloth | OK
176. die Hemmschwelle | on the verge | WRONG: inhibition threshold - Hemmschwelle means an inhibition threshold, not "on the verge."
177. der Fellow | fellow (academic) | OK
178. das Fernrohr | telescope | OK
179. das Festspielhaus | festival theatre | OK
180. die Feststellungsklage | observation claim | WRONG: declaratory action - Feststellungsklage is a legal action for a declaration, not an observation claim.
181. der Feuerstein | ferrocerium/flint/flintstone | IMPROVE: flint - Feuerstein primarily means flint; the extra alternatives are less learner-friendly.
182. die Packstation | rabble station | WRONG: parcel locker/Packstation - Packstation is an automated parcel locker, not a rabble station.
183. die Filmbranche | film industry | OK
184. der Filmproduzent | film producer | OK
185. das Filmset | film set/movie set | OK
186. das Filmtheater | cinema/movie theater | OK
187. die Finanzpolitik | financial policy | OK
188. die Finanzspritze | liquidity injection | OK
189. die Parade | parade | OK
190. die Hemmung | inhibition | OK
191. der Fischmarkt | fish market | OK
192. das Fischsterben | Pisces death | WRONG: fish kill/fish mortality - Fischsterben means fish dying off, not "Pisces death."
193. der Flachbildschirm | flatscreen | OK
194. der Flammkuchen | tarte flambée | OK
195. die Fleischproduktion | meat production | OK
196. der Flickenteppich | rag rug | IMPROVE: patchwork - The figurative learner gloss is "patchwork"; "rag rug" is only literal or narrow.
197. die Flüchtlingsfrage | refugee issue/refugee question | OK
198. die Flüchtlingskonvention | Refugee Convention | OK
199. die Flügelspannweite | wingspan | OK
200. das Flussbett | river bed/riverbed | OK
201. das Flüssiggas | liquefied gas/liquid gas | IMPROVE: liquefied petroleum gas/LPG - Fl?ssiggas usually means LPG, not any liquid gas.
202. das Flussufer | river bank/riverside | OK
203. der Font | font | OK
204. die Formalie | formality | OK
205. das Förmchen | tart mould | OK
206. der Forschergeist | spirit of inquiry/research spirit | OK
207. das Forschungsschiff | research ship/research vessel | OK
208. der Forschungszweck | research purposes | OK
209. die Fragmentierung | fragmentation | OK
210. die Frauenbeauftragte | women's representative | OK
211. der Frauenberuf | women's profession/female-dominated occupation | OK
212. das Freibier | free beer | OK
213. der Freiburger | burger | WRONG: person from Freiburg - Freiburger is a person or thing from Freiburg; "burger" is wrong.
214. der Freihandel | business | WRONG: free trade - Freihandel means free trade, not business.
215. der Freiheitsgrad | degree of freedom | OK
216. die Freikirche | free church | OK
217. der Freitagmittag | Friday lunchtime | OK
218. die Freitreppe | open staircase/outdoor steps | OK
219. die Frischhaltefolie | cling film/plastic wrap | OK
220. der Frischling | boar piglet/freshman/shoat | OK
221. die Frischluft | fresh air | OK
222. der Frühstücksraum | breakfast room | OK
223. der Fünfjährige | five-year-old | OK
224. der Funkamateur | broadcast amateur | WRONG: radio amateur/ham radio operator - Funkamateur is a radio amateur, not a broadcast amateur.
225. das Für | the pros (in 'das Für und Wider') | OK
226. die Fürbitte | intercession | OK
227. der Fußgängerüberweg | crosswalk/zebra | OK
228. der Hengst | male/stallion/stud | IMPROVE: stallion - "Male" is too broad; Hengst is a stallion.
229. der Gag | gag | OK
230. der Gartenbesitzer | garden owner | OK
231. das Gasnetz | gas network | OK
232. der Gasometer | gasholder/gasometer | OK
233. der Gastwirt | publican | OK
234. der Gauleiter | gauleiter | OK
235. das Gebein | bones/remains | OK
236. das Gebläse | blower | OK
237. der Pensionär | pensioner | OK
238. die Geburtenzahl | birth count | IMPROVE: number of births/birth rate - "Birth count" is literal and less idiomatic.
239. die Gedankenwelt | idea Earth | WRONG: world of thought - Gedankenwelt means a world of thoughts or ideas; "Earth" is a mistranslation of Welt.
240. die Gehbehinderung | handicap | WRONG: walking disability - Gehbehinderung specifically affects walking, not any handicap.
241. der Gehversuch | walking attempt/walking test | OK
242. der Geiger | fiddler/violinist | OK
243. die Geigerin | violinist (female) | OK
244. die Himbeere | raspberry | OK
245. die Gemüsebrühe | vegetable broth | OK
246. die Generalsekretärin | general secretary | OK
247. der Generalverdacht | general suspicion | OK
248. die Geodäsie | geodesy/geodetics/surveying | OK
249. die Geräuschkulisse | ambient noise/background noise | OK
250. die Gerichtskosten | court costs | OK
251. der Gerichtssaal | courtroom | OK
252. der Germane | Teuton/Teutons | IMPROVE: Germanic person/Teuton - "Teuton" is archaic; "Germanic person" is clearer for learners.
253. die Gerüchteküche | grapevine/rumour mill | OK
254. der Gesamtschaden | damage | IMPROVE: total damage - Gesamtschaden is total damage, not damage in general.
255. das Geschenkpapier | gift wrap paper | OK
256. der Geschichtslehrer | history teacher | OK
257. das Geschlechtsorgan | genitalia/sex organ/sexual organ | OK
258. die Geschwindigkeitsüberschreitung | speeding | OK
259. der Gesichtszug | facial feature/feature/lineament | OK
260. der Gesundheitsexperte | health expert | OK
261. der Gesundheitstourismus | health tourism | OK
262. der Getränkemarkt | beverage market | OK
263. die Getreideart | cereal type/grain type | OK
264. die Gewöhnung | habituation/getting used to | OK
265. das Gießen | moulding | IMPROVE: pouring/casting - Gie?en means pouring or casting; "moulding" is too narrow.
266. die Gilde | guild | OK
267. das Gleichnis | parable/simile | OK
268. die Gräfin | countess | OK
269. der Grand | grand (card game) | OK
270. der Gratulant | congratulator | OK
271. der Grenzbahnhof | border station/border railway station | OK
272. die Tagesordnung | agenda | OK
273. der Großherzog | grand duke | OK
274. das Großherzogtum | grand duchy | OK
275. das Grundkapital | capital stock/share capital | OK
276. die Grundmauer | basis wall | WRONG: foundation wall - Grundmauer is a foundation wall, not a basis wall.
277. die Grundschullehrerin | elementary school teacher/primary school teacher | OK
278. der Grundstückspreis | property price/land price | OK
279. die Halskette | necklace/necklet | OK
280. der Halsschmerz | sore throat | OK
281. die Häme | malice/glee | OK
282. die Handelsgesellschaft | commercial company | OK
283. der Handschlag | handshake | OK
284. das Härchen | hair/little hair | OK
285. die Harfe | harp | OK
286. die Harnblase | urinary bladder | OK
287. die Haselnuss | hazel/hazelnut/hazelnut tree | OK
288. das Hauptanliegen | main concern | OK
289. der Höchststand | record high/highest level/peak | OK
290. der Hauptgang | main course | OK
291. die Hauptmahlzeit | main meal | OK
292. der Hauptmarkt | main market | OK
293. die Hauptseite | main page | OK
294. die Hauptspeise | main course/main dish | OK
295. die Hauptverkehrsstraße | arterial road/main artery road/main road | OK
296. der Hauptweg | main route | OK
297. der Hausangestellte | domestic employee/domestic helper/domestic worker | OK
298. der Hauseingang | entrance/front door | OK
299. die Haushaltsberatung | budget consultation | OK
300. das Haushaltsgesetz | budget act | OK
301. der Hausverkauf | house sale | OK
302. die Hautkrankheit | skin disease | OK
303. das Hebräisch | Hebrew | OK
304. die Heckscheibe | rear window | OK
305. der Hedgefonds | hedge fund | OK
306. der Hefeteig | leavened dough/yeast dough | OK
307. der Hehl | secret (in 'kein Hehl daraus machen') | OK
308. der Heimatvertriebene | expellee | OK
309. das Heimkind | institution child | IMPROVE: child in care/institutionalized child - "Institution child" is not idiomatic English.
310. das Heimkino | home cinema/home theatre | OK
311. die Herabsetzung | dethronement | WRONG: reduction/lowering - Herabsetzung means reduction or lowering, not dethronement.
312. der Herrschende | ruler/ruling figure | OK
313. das Hertz | hertz | OK
314. die Hilfsbedürftige | person in need of help | OK
315. der Hinderungsgrund | basis | WRONG: obstacle/impediment - Hinderungsgrund means a reason preventing something, not a basis.
316. das Hinterbein | hind leg | OK
317. die Hinweistafel | information board | OK
318. die Hirnblutung | brain bleeding | IMPROVE: brain hemorrhage - More natural medical gloss than "brain bleeding."
319. der Hirnforscher | brain explorer | WRONG: brain researcher - Hirnforscher means brain researcher, not brain explorer.
320. die Hirnhautentzündung | meningitis | OK
321. der Hobbyfotograf | hobby photographer | OK
322. der Hobbykoch | hobby cook | OK
323. die Hotline | hotline | OK
324. die Hocke | crouch/squat | OK
325. die Hoffnungslosigkeit | hopelessness | OK
326. das Hole | hole | OK
327. der Holzsteg | timber bridge | IMPROVE: wooden footbridge/walkway - Holzsteg is a wooden walkway or footbridge, not usually a timber bridge.
328. die Holzwirtschaft | timber industry | OK
329. die Horde | horde/crowd | OK
330. der Hundekot | dog dirt | IMPROVE: dog feces/dog mess - "Dog dirt" is regional; a clearer learner gloss is dog feces.
331. das Ibuprofen | ibuprofen | OK
332. der Industriebereich | industry area | WRONG: industrial sector - Industriebereich means an industrial sector or area, not "industry area."
333. das Industriedenkmal | industry monument | OK
334. der Infarkt | infarction | OK
335. die Hundert | hundred | OK
336. die Informationsseite | information angle | WRONG: information page - Informationsseite means an information page, not an information angle.
337. der Inlandsflug | domestic flight | OK
338. die Instandsetzungsarbeit | repair work/maintenance work | OK
339. die Interaktivität | activity | WRONG: interactivity - Interaktivit?t means interactivity, not activity.
340. der Interessenskonflikt | conflict of interest | OK
341. die Pharmaindustrie | pharmaceutical industry | OK
342. der Irrweg | wrong path/dead end | OK
343. der IRS | IRS | OK
344. der Jahresvergleich | annual comparison | OK
345. die Jahrmillion | millions of years | OK
346. das Jobticket | job ticket | OK
347. der Jongleur | juggler | OK
348. der Jugendchor | adolescence chancel | WRONG: youth choir - Jugendchor means youth choir, not adolescence chancel.
349. die Jugendmannschaft | youth team | OK
350. der Kahlschlag | clearcutting/cutover/deforestation | OK
351. der Kaiserschmarrn | sugared pancake with raisins | OK
352. der Kalorienverbrauch | calorie expenditure | OK
353. die Kameradin | comrade | OK
354. die Kanzel | cockpit/pulpit | OK
355. der Kaplan | chaplain | OK
356. die Hypertonie | high blood pressure/hypertension/hypertonia | OK
357. das Karriereende | career end | OK
358. das Kartell | cartel | OK
359. die Käserei | cheese dairy | OK
360. die Kaskade | acrobatic leap/cascade/waterfall | OK
361. der Kastenwagen | delivery van/panel van | OK
362. der Kennwert | characteristic value/key figure | OK
363. der Keuchhusten | pertussis/whooping cough | OK
364. der Kieferorthopäde | orthodontist | OK
365. der Kinderchor | child chancel | WRONG: children's choir - Kinderchor means children's choir, not child chancel.
366. der Kindergartenplatz | kindergarten place | IMPROVE: kindergarten spot/place - "Kindergarten place" is understandable but "spot" is more natural.
367. das Kinderhospiz | child hospice | OK
368. das Infrastrukturprojekt | infrastructure project | OK
369. die Klangwelt | chord Earth | WRONG: world of sound - Klangwelt means sound world, not chord Earth.
370. das Klauen | stealing | OK
371. der Kleidungsstil | clothing style | OK
372. das Kleingewerbe | small business | OK
373. der Klempner | plumber/tinsmith | OK
374. der Kleriker | clergyman | OK
375. das Klimasystem | climate system | OK
376. das Klingeln | ringing/buzzing | OK
377. der Klostergarten | cloister garden | OK
378. die Klosterkirche | monastery church | OK
379. die Koalitionsvereinbarung | coalition agreement | OK
380. das Kobalt | cobalt | OK
381. die Kokosnuss | coconut | OK
382. die Kolonialzeit | time | WRONG: colonial period - Kolonialzeit means colonial period, not just time.
383. die Koloskopie | colonoscopy | OK
384. die Kommandozeile | command line | OK
385. die Kommissionierung | order picking | OK
386. die Kompanie | company | OK
387. der iPod | iPod | OK
388. der Kontrolleur | inspector | OK
389. die Konzeptionierung | conceptualisation | OK
390. das Koordinatensystem | coordinate system | OK
391. die Kopflaus | head louse | OK
392. die Kordel | cord | OK
393. der Podest | podium | OK
394. der Kork | cork/plug/stopper | OK
395. das Kortison | cortisone | OK
396. die Kosmetikerin | beautician/beauty specialist | OK
397. die Kostensenkung | cost reduction/cost cutting | OK
398. das Kräftemessen | dish | WRONG: test of strength/trial of strength - Kr?ftemessen means a contest of strength, not a dish.
399. die Krähe | crow/rook | OK
400. der Krater | crater | OK
401. der Kreditrahmen | credit limit/credit line | OK
402. der Kreiswahlleiter | district returning officer/district election officer | OK
403. das Kriegsjahr | war year | OK
404. der Kriegstote | war casualty/war dead | OK
405. das Küchentuch | kitchen towel | OK
406. die Jahreskarte | annual pass | OK
407. die Kundenberatung | client advice | OK
408. der Kunstpreis | art prize | OK
409. die Kunststofftechnik | plastic equipment | WRONG: plastics technology - Kunststofftechnik means plastics technology, not plastic equipment.
410. der Küstenort | coastal town | OK
411. der Küstenstreifen | coastal strip | OK
412. die Jugendkultur | youth culture | OK
413. die Lagunenstadt | lagoon centre | WRONG: lagoon city - Lagunenstadt is a lagoon city, not a lagoon centre.
414. die Länderspielpause | break | WRONG: international break - L?nderspielpause is a sports international break, not just any break.
415. die Lebensader | lifeline | OK
416. der Lebensort | place of residence | OK
417. die Lebenswissenschaft | life academic discipline | WRONG: life science - Lebenswissenschaft means life science, not life academic discipline.
418. das Lebenszeichen | life signs/sign of life/vital signs | OK
419. die Leberzirrhose | cirrhosis of the liver/hepatic cirrhosis | OK
420. der Lehrstuhlinhaber | chair owner | WRONG: chair holder/professor holding a chair - Lehrstuhlinhaber is a chair holder, not a chair owner.
421. die Leichenschau | autopsy | IMPROVE: post-mortem examination/coroner's inquest - Leichenschau is an official examination, not necessarily an autopsy.
422. das Leichtgewicht | lightweight | OK
423. das Leistungsdatum | benefit date | WRONG: service date - Leistungsdatum is the date a service is performed, not a benefit date.
424. die Letter | character/letter | OK
425. die Lichtgeschwindigkeit | speed of light | OK
426. der Lidschatten | eye shadow | OK
427. das Liebespaar | couple | OK
428. die Lieblingsmusik | favourite music | OK
429. der Liederabend | song recital | OK
430. das Liedgut | song estate | WRONG: song repertoire/body of songs - Liedgut means a corpus of songs, not a song estate.
431. die Loge | box seat/gallery | OK
432. die Lohnabrechnung | pay slip/payslip | OK
433. der Lokalmatador | local hero/local heroine/local jock | OK
434. das Löschfahrzeug | vehicle | WRONG: fire engine/firefighting vehicle - L?schfahrzeug is a fire engine, not just a vehicle.
435. die Lügenpresse | lying press | OK
436. die Lupine | lupine/lupinus | OK
437. der Mahnbescheid | answer | WRONG: dunning notice/payment order - Mahnbescheid is a legal dunning or payment order, not an answer.
438. der Maibaum | maypole | OK
439. das Mainufer | May bank | WRONG: bank of the Main - Mainufer means the riverbank of the Main, not "May bank."
440. das Mammut | mammoth | OK
441. die Mandarine | mandarin orange/tangerine | OK
442. die Männerdomäne | male preserve | OK
443. das Marihuana | marijuana | OK
444. der Markenartikel | branded product | OK
445. die Martinskirche | St. Martin's Church | OK
446. das Martyrium | martyrdom | OK
447. das Mausoleum | mausoleum | OK
448. der Medikationsplan | medication plan | OK
449. das Meereis | sea ice | OK
450. das Meinungsforschungsinstitut | opinion research institute/polling institute | OK
451. die Membrane | membrane | OK
452. die Menschenhand | human hand | OK
453. der Messias | Messiah | OK
454. das Messinstrument | measuring instrument | OK
455. das Metronom | metronome | OK
456. das Kanzleramt | chancellery/chancellorship/chancellory | OK
457. der Milchbauer | dairy farmer | OK
458. die Millionenmetropole | million metropolis | IMPROVE: metropolis of millions/large metropolis - "Million metropolis" is a literal, awkward gloss.
459. die Minderheitsregierung | minority government | OK
460. die Kastration | castration | OK
461. die Mobilfunknummer | mobile phone number | OK
462. das Modellprogramm | model channel | WRONG: model program/pilot program - Modellprogramm is a model or pilot program, not a channel.
463. die Mondfinsternis | lunar eclipse | OK
464. die Morddrohung | death threat | OK
465. der Moslem | Moslem/Muslem/Muslim | OK
466. die Möwe | cob/cobb/gull | IMPROVE: seagull/gull - "Cob/cobb" is misleading; M?we is a gull.
467. der Müllberg | garbage heap | OK
468. die Mundschleimhaut | oral mucosa | OK
469. das Muttertier | dam/mother | OK
470. die Mutti | mommy/mummy | OK
471. der Nachbarort | neighbour village | IMPROVE: neighboring town/village - "Neighbour village" is not idiomatic English.
472. das Nachwort | afterword | OK
473. die Naivität | naivete/naivety/naiveté | OK
474. die Namensnennung | mention by name/attribution | OK
475. das Nassfutter | wet pet food | OK
476. der Nationaltrainer | national coach | OK
477. das Naturereignis | natural event/natural phenomenon | OK
478. die Nebensache | minor matter/minor point | OK
479. die Netzabdeckung | network coverage | OK
480. die Neurowissenschaft | neuroscience | OK
481. die Nichtigkeit | invalidity/nothingness/triviality | OK
482. die Notrufnummer | emergency call number | OK
483. die Novemberrevolution | German Revolution/November Revolution | OK
484. das Nummernschild | licence plate/licence tag | OK
485. der Nürnberger | person from Nuremberg | OK
486. der Nussbaum | walnut | WRONG: walnut tree - Nussbaum is the tree, not the nut.
487. der Nussknacker | nutcracker | OK
488. der Nutznießer | beneficiary/profiteer | OK
489. der Kaugummi | chewing gum | OK
490. der Oberkiefer | maxilla/upper jaw | OK
491. der Ochse | ox | OK
492. das Ölgemälde | oil/oil painting | IMPROVE: oil painting - ?lgem?lde is an oil painting, not oil.
493. die Olympiasiegerin | Olympic champion | OK
494. der Kerl | bloke/bruce/chap | IMPROVE: guy/bloke/chap - "Bruce" is not a useful general gloss.
495. der Optimist | optimist | OK
496. die Ordensfrau | nun/religious sister | OK
497. das Originaldokument | original document | OK
498. das Ortsrecht | local law/municipal law | OK
499. der Outback | Outback | OK
500. der Pachtvertrag | lease agreement | OK
501. die Packungsbeilage | patient information leaflet | OK
502. die Pädiatrie | paediatrics | OK
503. der Panther | panther | OK
504. die Paradoxie | paradox | OK
505. die Parkplatzsuche | car park search | OK
506. das Parteimitglied | party member | OK
507. die Partitur | score | OK
508. das Passfoto | passport photo | OK
509. die Pauke | kettledrum/timbal | OK
510. der Pegelstand | water level | OK
511. das Pergament | parchment/vellum | OK
512. die Personalangelegenheit | personnel matter | OK
513. das Verzeichnis | directory/index | OK
514. der Pfandbrief | covered bond | OK
515. die Kinderkrippe | nursery | OK
516. das Pfeifen | whistling | OK
517. der Pfingstmontag | Whit Monday | OK
518. die Poststelle | post office/mailroom | OK
519. der Pflichtteil | forced estate | WRONG: statutory share/compulsory portion - Pflichtteil is a forced heirship share, not a forced estate.
520. die Pharmakologie | pharmacology | OK
521. das Pi | pi | OK
522. das Plastikteil | plastic part | OK
523. der Plattenteller | dialect plate | WRONG: turntable/platter - Plattenteller is a turntable platter, not a dialect plate.
524. die Präsidentschaftswahl | presidential election | OK
525. die Polemik | polemic | OK
526. die Porzellanmanufaktur | porcelain manufactory | OK
527. die Positionsbestimmung | positioning | OK
528. die Präimplantationsdiagnostik | preimplantation diagnostics | OK
529. der Praxisraum | practice room/consulting room | OK
530. die Preisgabe | relinquishment | IMPROVE: disclosure/surrender - Preisgabe commonly means disclosure; "relinquishment" covers only one sense.
531. das Prisma | prism | OK
532. der Privatdetektiv | private eye/private investigator | OK
533. das Privatgrundstück | private property | OK
534. die Privatklinik | clinic | OK
535. die Produktionskapazität | production capacity | OK
536. der Profiler | profiler | OK
537. der Profiteur | profiteer | OK
538. der Protektionismus | protectionism | OK
539. der Prozessorkern | processor core | OK
540. die Kirchenmusik | church music | OK
541. die Puste | breath/wind | OK
542. die Quantifizierung | quantification | OK
543. die Quartalszahl | quarter count | WRONG: quarterly figure - Quartalszahl means a quarterly figure, not a quarter count.
544. das Quellwasser | spring water | OK
545. der Querdenker | contrarian | OK
546. der Rabbiner | rabbi | OK
547. der Raid | raid | OK
548. die Rationalität | rationality | OK
549. der Ratsbeschluss | council decision | OK
