1. die Blutuntersuchung | blood test | OK
460. das Uhrwerk | clockwork | OK
461. die Ukulele | uke/ukelele/ukulele | OK
462. die Umbuchung | change in reservation/rescheduling | OK
463. das Umgebungsgeräusch | ambience noise | IMPROVE: ambient noise - Ambient noise is the natural English phrase.
464. das Unbehagen | discomfort/discontent | OK
465. die Weinprobe | wineasting/winetasting | IMPROVE: wine tasting - The current gloss is misspelled; Weinprobe means wine tasting.
466. der Unfug | horseplay/mischief/nonsense | OK
467. das Uniklinikum | clinical curriculum | WRONG: university hospital - Uniklinikum means a university hospital.
468. die Unmöglichkeit | impossibility | OK
469. der Unterdruck | depression/low pressure/negative pressure | OK
470. das Unwohlsein | indisposition/malaise/sickness | OK
471. das Ursprungsland | country of origin | OK
472. die Vakanz | vacancy | OK
473. der Vektor | vector | OK
474. das Verbundgebiet | compound area | WRONG: network area/integrated area - Verbundgebiet means an area covered by an integrated network.
475. das Verdeck | deck | IMPROVE: soft top/convertible top - Verdeck usually means the folding top of a convertible.
476. der Vereinsvorsitzende | association chairman | OK
477. die Verfassungsänderung | amendment | IMPROVE: constitutional amendment - Verfassungs?nderung is specifically a constitutional amendment.
478. die Verfassungsbeschwerde | constitution complaint | WRONG: constitutional complaint - Verfassungsbeschwerde is a constitutional complaint.
479. der Verfechter | fencer | WRONG: advocate/champion - Verfechter means an advocate or champion of a cause.
480. der Verkaufsstand | sales booth/sales stall | OK
481. die Verkehrsbelastung | traffic load/traffic burden | OK
482. die Verkehrslage | traffic situation | OK
483. das Versandhaus | mail-order house | IMPROVE: mail-order company - Mail-order company is the natural English term.
484. die Versorgungsleitung | supply line | OK
485. die Weiterfahrt | onward journey | OK
486. die Vesper | vespers | OK
487. das Violett | purple/violet | OK
488. der Visionär | visionary | OK
489. das Vordach | roof | IMPROVE: canopy/porch roof - Vordach is a small projecting roof or canopy.
490. das Zebra | zebra | OK
491. der Waldbaum | forest tree | OK
492. der Wanderurlaub | hiking vacation | OK
493. die Wandfarbe | wall paint | OK
494. der Warenverkehr | movement of goods/trade in goods | OK
495. die Warte | lookout/watchtower | OK
496. der Waschraum | washroom | OK
497. der Waschtrockner | washerdryer | IMPROVE: washer-dryer - The standard spelling is washer-dryer.
498. der Wasseranschluss | water connection | OK
499. das Wattenmeer | mud flat/tidal plane | IMPROVE: Wadden Sea/tidal flats - Wattenmeer refers to tidal flats, especially the Wadden Sea.
500. die Webentwicklung | web development | OK
501. der Weblink | hyperlink/weblink | OK
502. die Weintraube | grape | OK
503. die Weiterbeschäftigung | amplitude activity | WRONG: continued employment - Weiterbesch?ftigung means continued employment.
504. die Weiterempfehlung | amplitude recommendation | WRONG: recommendation/referral - Weiterempfehlung means a recommendation or referral.
505. die Weltpremiere | world premiere | OK
506. die Weltrangliste | world ranking | OK
507. die Werkseinstellung | act adjustment | WRONG: factory setting - Werkseinstellung means factory setting.
508. das Werksgelände | company grounds | OK
509. der Wermutstropfen | disadvantage/downer/wormwood | OK
510. der Westdeutsche | West German | OK
511. die Wettquote | betting odds | OK
512. die Widrigkeit | adversity | OK
513. das Wildgatter | game fence | OK
514. das Wirtschaftsleben | business/economic life | OK
515. das Wochenbett | childbed/maternity period | OK
516. die Wohnsiedlung | housing estate | OK
517. das Wundermittel | miracle average | WRONG: miracle cure - Wundermittel means a miracle cure or wonder drug.
518. die Wurstware | sausage products | OK
519. die Wurzelbehandlung | root care | WRONG: root canal treatment - Wurzelbehandlung means root canal treatment.
520. das Zahlungsziel | payment aim | WRONG: payment term - Zahlungsziel means the deadline or term for payment.
521. der Zahnschmelz | enamel/tooth enamel | OK
522. die Zahnspange | braces | OK
523. der Zebrastreifen | crosswalk/marked crosswalk/zebra | OK
524. der Zeckenstich | tick engraving | WRONG: tick bite - Zeckenstich means a tick bite.
525. die Zeiterfassung | time acquisition | WRONG: time recording/time tracking - Zeiterfassung means recording or tracking work time.
526. die Zentralbibliothek | central library | OK
527. die Zerlegung | breakdown/dismantling | OK
528. die Zitrusfrucht | citrus fruit | OK
