bank	batch	word	field	severity	category	current	correct	why
adjectives	adjectives_001	übersichtlich	english	low	gloss	"clear"	"clearly laid out, well organised, easy to follow"	bare "clear" collides with `klar`/`deutlich` and misses the layout sense.
adjectives	adjectives_001	flächendeckend	english	low	gloss	"comprehensive"	"blanket, across the board, covering the whole area"	loses the spatial-coverage core and duplicates `umfassend` (111).
adjectives	adjectives_001	landesweit	english	low	gloss	"nationwide/statewide"	"statewide (of a Bundesland); regional" — nationwide is `bundesweit`	wrong sense first in a German-federal context.
adjectives	adjectives_001	anhaltend	english	low	gloss	"continuous/incessant"	"persistent, sustained, continuing"	"incessant" is too strong/negative.
adjectives	adjectives_001	gründlich	english	low	gloss	"diligent/thorough"	"thorough, careful"	"diligent" is `fleißig`; wrong sense first.
adjectives	adjectives_001	leistungsstark	english	low	gloss	"efficient"	"powerful, high-performance, high-achieving"	"efficient" is `effizient` (227); mistranslation of the core sense.
adjectives	adjectives_001	handwerklich	english	low	gloss	"artisanal"	"manual, craft-, in terms of craftsmanship"	far too narrow for the usual usage (handwerkliche Ausbildung/Fähigkeiten).
adjectives	adjectives_001	gleichnamig	english	low	gloss	"eponymous"	"of the same name, same-named"	"eponymous" reverses the direction of naming and is stylistically remote.
adjectives	adjectives_001	ordnungsgemäß	english	low	gloss	"duly"	"proper, in due form, compliant; duly"	adverb only, no adjective translation given.
adjectives	adjectives_001	olympisch	english	low	gloss	"olympic"	"Olympic"	needs a capital in English.
adjectives	adjectives_001	außerordentlich	english	low	gloss	"exceptionally/extraordinary"	"extraordinary, exceptional; exceptionally"	adverb before adjective in an adjective deck.
adjectives	adjectives_001	weitgehend	english	low	gloss	"largely/extensive"	"largely, to a large extent; far-reaching"	"extensive" is not what the adjective means.
adjectives	adjectives_001	bedingt	english	low	gloss	"conditional/conditioned"	add "only to a limited extent" (nur bedingt geeignet)	the most frequent everyday use is missing.
adjectives	adjectives_001	erhöht	english	low	gloss	"raised"	"increased, elevated, higher"	"raised" is unidiomatic for values/risks, the usual context.
adjectives	adjectives_001	einzig	english	low	gloss	"only/sole"	fine attributively; predicative use is rare — consider citing `einzige`	uninflected `einzig` is mostly adverbial ("einzig und allein").
adjectives	adjectives_002	praxisorientiert	english	high	gloss	oriented doctor's office	practice-oriented / hands-on	garbled machine gloss; *Praxis* here is "practice", not a doctor's surgery.
adjectives	adjectives_002	hautnah	english	high	gloss	near/close to covering	up close / at close quarters / first-hand	gloss is corrupted nonsense ("close to covering") and teaches nothing usable.
adjectives	adjectives_002	kreisfrei	english	high	gloss	free of circle	(town) independent of a rural district / unitary-authority	*Kreis* mistranslated as "circle"; the term is administrative.
adjectives	adjectives_002	mehrjährig	english	high	gloss	hardy	multi-year / lasting several years; (botany) perennial	"hardy" is *winterhart*; the given gloss is simply wrong.
adjectives	adjectives_002	bezüglich	word	high	notadj	listed as adjective, "referential", C1	remove — *bezüglich* is a preposition (+ genitive) "regarding/concerning"	non-adjective in the adjective deck; "referential" is not a sense it has.
adjectives	adjectives_002	gesellig	english	high	gloss	chummily/clubbable/clubby	sociable / convivial / companionable	first gloss is an adverb, the rest are obscure; core meaning absent.
adjectives	adjectives_002	hartnäckig	english	high	gloss	adamantine/besetting/bulldog	stubborn / persistent / tenacious	thesaurus junk; none of the three is a usable translation.
adjectives	adjectives_002	schräg	english	high	gloss	askance/askant/aslant	slanting / at an angle / crooked; (colloq.) odd, offbeat	archaic/rare adverbs only; the everyday senses are missing.
adjectives	adjectives_002	flott	english	high	gloss	able to navigate/afloat/fashionable	quick / brisk / snappy; (of a car etc.) running	leads with rare nautical senses; the core "quick, brisk" sense is absent.
adjectives	adjectives_002	formell	english	high	gloss	prim	formal	outright wrong translation of a very common word (and A1 tag compounds the harm).
adjectives	adjectives_002	fünft / sechst	word	high	notadj	fünft "fifth", sechst "sixth"	remove both (ordinal numerals, and bare stems that never occur uninflected)	numerals contaminating the adjective deck; only *fünfte(r)*, *sechste(r)* exist.
adjectives	adjectives_002	verbreitet	english	high	gloss	popular	widespread / common / prevalent	*verbreitet* says nothing about being liked; "popular" is *beliebt*.
adjectives	adjectives_002	plastisch	english	high	gloss	plastic	vivid / graphic; three-dimensional	false friend — the material sense is *Plastik-/Kunststoff-*; learners will misuse it.
adjectives	adjectives_002	einsam	english	high	gloss	alone/deserted/isolated	lonely / lonesome; (of a place) remote, deserted	the core sense "lonely" is missing and "alone" (= *allein*) is put first.
adjectives	adjectives_002	weitläufig	english	medium	gloss	distant/lengthy/long-drawn-out	spacious / sprawling / extensive; (of relatives) distant	the main spatial sense is absent.
adjectives	adjectives_002	winterlich	english	medium	gloss	hiemal/winterish/wintery	wintry	"hiemal" is obscure, "winterish" not English, "wintery" a US-leaning misspelling.
adjectives	adjectives_002	zusammengefasst	english	medium	gloss	summarily	summarised / in summary	"summarily" means "without formality/abruptly" — a different word.
adjectives	adjectives_002	energetisch	english	medium	gloss	energetic/energetically	energy-related (e.g. *energetische Sanierung*); (physics) energetic	false friend — "energetic (lively)" is *energisch/dynamisch*.
adjectives	adjectives_002	geistlich	english	medium	gloss	spiritual	religious / clerical / sacred (*geistliche Musik*)	"spiritual" is *geistig/spirituell*; *geistlich* is specifically ecclesiastical.
adjectives	adjectives_002	pflegerisch	english	medium	gloss	custodial	nursing / care-related	"custodial" suggests guardianship or prison, not nursing care.
adjectives	adjectives_002	nachweislich	english	medium	gloss	provable	demonstrable / proven / demonstrably	"provable" is *nachweisbar*; *nachweislich* asserts it has been proven.
adjectives	adjectives_002	entschieden	english	medium	gloss	determined/evident/obvious	decided / resolute / emphatic(ally)	"evident/obvious" is not a sense of *entschieden*.
adjectives	adjectives_002	königlich	english	medium	gloss	enormous/generous/royal	royal / regal; (fig.) lavish	the literal, dominant sense is buried in third place.
adjectives	adjectives_002	geladen	english	medium	gloss	armed/charged/invited	loaded (gun, lorry); charged (battery); invited; (colloq.) fuming	"armed" is wrong for *geladene Waffe* and "loaded" is missing.
adjectives	adjectives_002	faktisch	english	medium	gloss	effective	actual / de facto / in practice	"effective" invites confusion with *effektiv/wirksam*.
adjectives	adjectives_002	rückläufig	english	medium	gloss	retrograde	declining / falling / downward	statistical sense is the everyday one; "retrograde" is astronomical/pejorative.
adjectives	adjectives_002	gesucht	english	medium	gloss	affected/in demand	sought-after / in demand; (police) wanted	leads with the rare stylistic sense "contrived"; "wanted" missing.
adjectives	adjectives_002	zurückhaltend	english	medium	gloss	aloof/cautious/low-key	reserved / restrained / discreet	"aloof" is pejorative; the neutral core sense is absent.
adjectives	adjectives_002	quadratisch	english	medium	gloss	quadratic/square	square; (maths) quadratic	the technical maths sense is placed before the everyday one.
adjectives	adjectives_002	verboten	english	medium	gloss	forbidden/prohibited/verboten	forbidden / prohibited	the gloss leaks the German lemma itself as an "English" equivalent.
adjectives	adjectives_002	übergeordnet	english	medium	gloss	high-level/higher-level/importance	superordinate / higher-level / overarching	third element is a stray noun — corrupted gloss.
adjectives	adjectives_002	belastend	english	medium	gloss	annoying/be a strain/incriminating	stressful / burdensome; (law) incriminating	contains a verb phrase instead of an adjective, and "annoying" is too weak.
adjectives	adjectives_002	seriös	english	medium	gloss	reputable/serious	reputable / respectable / trustworthy	classic false friend; "serious" (= *ernst*) should not appear.
adjectives	adjectives_002	originell	english	medium	gloss	original/creative	inventive / novel / quirky	false friend — "original (authentic)" is *original/ursprünglich*, a separate entry (rank 1075).
adjectives	adjectives_002	prominent	english	medium	gloss	prominent	famous / well-known (celebrity)	German *prominent* is narrower — of public figures only; bare "prominent" misleads.
adjectives	adjectives_002	medial	english	medium	gloss	media/medial	media-related / in the media	English "medial" (= middle) is a false friend and should be dropped.
adjectives	adjectives_002	unangenehm	english	medium	gloss	disagreeable/nasty	unpleasant / uncomfortable / awkward	the standard equivalent is missing and "nasty" is too strong.
adjectives	adjectives_002	souverän	english	medium	gloss	sovereign	assured / masterful / commanding; (politics) sovereign	the frequent everyday sense (*souverän auftreten*) is absent.
adjectives	adjectives_002	prinzipiell	english	medium	gloss	on principle/principled	in principle / fundamental(ly)	"principled" (= *prinzipientreu*) is wrong.
adjectives	adjectives_002	bedarfsgerecht	english	medium	gloss	adequate	needs-based / tailored to demand	gloss loses the whole *Bedarf* component.
adjectives	adjectives_002	gehoben	english	medium	gloss	cheerful/elevated/exalted	elevated / refined / upmarket (register, class); (mood) buoyant	leads with a marginal sense; the register/quality sense dominates in use.
adjectives	adjectives_002	niederländisch	english	medium	gloss	Dutch/netherlands	Dutch	"netherlands" is a lower-cased country noun, not an adjective.
adjectives	adjectives_002	saarländisch	english	medium	gloss	saarlandic/saarlandish	Saarland (adj.) / from the Saarland	both forms are invented non-words, and lower-cased.
adjectives	adjectives_002	prozentual	english	medium	gloss	percentaged/percental	percentage (adj.) / in percentage terms	neither English form exists.
adjectives	adjectives_002	multimedial	english	medium	gloss	multimedially	multimedia (adj.)	gloss is a non-existent adverb; no adjective translation given.
adjectives	adjectives_002	tendenziell	english	medium	gloss	by trend	tending to / on the whole / broadly	"by trend" is not English.
adjectives	adjectives_002	sämtlich	word	medium	notadj	sämtlich "all/entire"	cite as *sämtliche* (attributive only)	bare stem never occurs uninflected — same class as *letzt/nächst*.
adjectives	adjectives_002	vorder	word	medium	notadj	vorder "fore/forward/front"	cite as *vordere(r)* (attributive only)	bare stem, never used predicatively or uninflected.
adjectives	adjectives_002	seltsam	english	medium	gloss	bizarre/eerie/queer	strange / odd / peculiar	core sense missing; "queer" is register-inappropriate for a learner app.
adjectives	adjectives_002	untersucht	word	medium	junk	untersucht "probed", A2	drop, or gloss as "examined/investigated"	bare verb participle, and "probed" is the wrong register/sense.
adjectives	adjectives_002	bare past participles as adjective lemmas	word	medium	junk	vorgestellt, definiert, gemacht, orientiert, betrieben, besucht, geschaffen, hergestellt, gebaut, verkauft, geschrieben, finanziert, aktualisiert	remove from the adjective deck (keep genuinely lexicalised ones like *gebraucht, besetzt, verboten, verletzt*)	corpus artefacts — these are verb forms, not dictionary adjectives.
adjectives	adjectives_002	bogus or redundant English -ic/-ical variants	english	medium	gloss	psychologisch "psychologic/…", theologisch "theologic/…", pharmazeutisch "pharmaceutic/…", geologisch "geologic/…", identisch "identic/…", architektonisch "architectonic/…", psychiatrisch "…/psychiatrical", statisch "…/statical", didaktisch "…/didactical", therapeutisch "…/therapeutical", klimatisch "…/climatical/climatically", akustisch "…/acoustical", analytisch "analytic/…", ethnisch "…/ethnical", archäologisch "…/archeological", abstrakt "…/conceptional"	keep one standard British form each (psychological, theological, pharmaceutical, geological, identical, architectural, psychiatric, static, didactic, therapeutic, climatic, acoustic, analytical, ethnic, archaeological, abstract/conceptual)	the non-existent or dispreferred variant is often listed first, so the app shows it.
adjectives	adjectives_002	American spellings and UK/US doublets in one gloss	english	low	gloss	hochkarätig "high-caliber", gelernt "learned/learnt", unberührt "unspoiled/unspoilt", vollwertig "full-fledged/fully-fledged", sommerlich "summerlike/summery", obig "above-mentioned/abovementioned", preisgekrönt "prize-winning/prizewinning", gebraucht "second-hand/secondhand"	one British form only: high-calibre, learnt, unspoilt, fully-fledged, summery, above-mentioned, prize-winning, second-hand	house style is British English, single form per sense.
adjectives	adjectives_002	typos in glosses	english	low	gloss	traditionsreich "rich in tradtion", aggressiv "thugish", einseitig "onesided"	"rich in tradition", "thuggish", "one-sided"	straight misspellings.
adjectives	adjectives_002	obscure, archaic or wrong sense placed first	english	low	gloss	pur "absolute/pure", neutral "neuter/neutral", brutal "bestial/…", gigantisch "gargantuan/…", fruchtbar "fecund/…", drohend "…/minatory", nahtlos "imperceptible/seamless", geheimnisvoll "arcane/mysterious", handlich "habile/handy", unterirdisch "subterranean/subterraneous/underground", schlau "…/leery", vertrauensvoll "optimistic/trustful", unabdingbar "inalienable/indispensable", solidarisch "solidary/…", versehentlich "…/indeliberate/…", fett "bold/fat", wert "valued/worth", redaktionell "editing/editorial", dumm "dumb/stupid", hell "bright/light/sharp"	lead with the everyday British-English equivalent and drop the rare/invented members	the app shows the first gloss, so learners meet "gargantuan", "habile", "solidary" before "huge", "handy", "in solidarity".
adjectives	adjectives_002	adverb, noun or phrase glosses for adjectives	english	low	gloss	konstant "…/constantly", strikt "…/strictly", molekular "…/molecularly", humorvoll "…/humorously", diagnostisch "…/diagnostically", verfassungsrechtlich "…/constitutionally", nennenswert "appreciable/significantly", einverstanden "agreed/agreement", bürokratisch "…/red tape", spielend "effortless/hands down", zwischenzeitlich "in the meantime/in the meanwhile", wettbewerbsfähig "capable of competition", urheberrechtlich "by copyright", schnellstmöglich "as soon as possible", hiesig "from hereabout/local", reizvoll "full of appeal", empfehlenswert "…/recommendable", förmlich "…/really", unbedingt "absolute/at all events/by all means"	give an adjective gloss (interim; competitive; copyright (adj.); appealing; worth recommending; as quick as possible; local; worth mentioning …)	mixing adverbs/nouns/paraphrases into an adjective deck blurs the part of speech.
adjectives	adjectives_002	relational adjectives glossed as bare nouns	english	low	gloss	betriebswirtschaftlich, kassenärztlich, datenschutzrechtlich, städtebaulich, zivilgesellschaftlich, gymnasial, allgemeinbildend, sonderpädagogisch, frühkindlich, universitär, polizeilich, strafrechtlich, behördlich	gloss as adjectives ("relating to business administration", "under statutory health insurance", "urban-planning (adj.)", "grammar-school (adj.)", "criminal-law (adj.)", "official, by the authorities" …)	a bare noun phrase leaves the learner unsure how to use the word.
adjectives	adjectives_002	missing common core sense	english	low	gloss	bösartig (no "malignant"), geschätzt (no "estimated"), glatt (no "slippery"), bedeckt (no "covered"), angezeigt (only the formal "appropriate"; no "displayed/reported"), bewegt (only "eventful"), pflanzlich (only "vegetable"; no "plant-based"), ganzjährig ("perennial" first), einjährig (only "one-year-old"), lateinisch ("Roman" questionable), sichtlich ("obvious" only; usually "visibly"), federführend ("leading"; better "in charge/lead"), alleinig ("exclusive"; better "sole"), grenzüberschreitend ("transnational"; better "cross-border"), mittelfristig ("middle-term" non-idiomatic), aussagekräftig ("expressive"; better "informative/telling"), niedergelassen (better "in private practice"), bestanden ("stood"), gefächert (only occurs in *breit gefächert*), konservativ ("tory" party-specific and lower-cased)	as noted in brackets	each loses or distorts the sense a learner most needs.
adjectives	adjectives_002	duplicate lemma pair	word	low	junk	geographisch (rank 1203) and geografisch (rank 1390), both "geographical"	keep one spelling	same word twice in one deck; also *demographisch* uses the -ph- variant inconsistently.
adjectives	adjectives_002	CEFR outliers	cefr	low	cefr	originell A1, formell A1, populär A1, geehrt A1, anstrengend A1, untersucht A2, befristet A2, winzig C1, zart C1, kindlich C1, schlau C1	roughly B2/B1 for the first group; B1/B2 for the last four	several non-basic words tagged A1/A2 and several common ones tagged C1.
adjectives	adjectives_002	German spelling variants	word	low	junk	essentiell, bayrisch	prefer *essenziell*, *bayerisch*	both given forms are permissible but are the secondary variants.
adjectives	adjectives_003	sauer	english	high	gloss	acid/angry/annoyed	sour/acidic/angry (annoyed)	the core A2 sense "sour" (taste) is missing entirely; "acid" is a noun-flavoured mistranslation.
adjectives	adjectives_003	siebt	word	high	notadj	siebt = "seventh"	drop (ordinal numeral; never occurs uninflected — only *siebte/siebter*)	bare ordinal stem and a numeral, not a usable adjective lemma.
adjectives	adjectives_003	rückgängig	english	high	gloss	declining/retrogressive	"(etw.) rückgängig machen = to cancel / undo / reverse"	the word occurs virtually only in the collocation *rückgängig machen*; the given gloss is wrong.
adjectives	adjectives_003	fündig	english	high	gloss	rich	"fündig werden = to strike lucky / find what one is looking for"	"rich" is simply wrong; the word is bound to *fündig werden*.
adjectives	adjectives_003	jährig	word	high	notadj	jährig = "-year-old/annual"	drop (bound suffix element: *dreijährig*, *volljährig*)	not a free-standing adjective; the gloss even admits it with a leading hyphen.
adjectives	adjectives_003	vorletzt	word	high	notadj	vorletzt = "second to last"	vorletzte (only inflected)	bare stem that never occurs uninflected — the `letzt` problem.
adjectives	adjectives_003	unerlässlich	english	high	gloss	essentially	essential/indispensable	adverb given for an adjective — factually wrong part of speech.
adjectives	adjectives_003	strafbar	english	high	gloss	accusable/actionable/amerciable	punishable/criminal (offence)	primary sense absent; "amerciable" is archaic legal jargon, "accusable" is not English usage.
adjectives	adjectives_003	zehnt	word	high	notadj	zehnt = "tenth"	drop (ordinal numeral, uninflected form does not occur; *der Zehnt* is a noun = tithe)	same as *siebt* — numeral/bare stem.
adjectives	adjectives_003	allererst	word	high	notadj	allererst = "very first"	allererste (only inflected)	bare stem; uninflected *allererst* only exists in *zuallererst* (adverb).
adjectives	adjectives_003	gläsern	english	high	gloss	glassen/glazen	glass (attr.)/glassy	both glosses are non-words in English.
adjectives	adjectives_003	acht	english	high	gloss	acht = "eighth"	acht = "eight" (the ordinal is *achte*) — and it is a cardinal numeral, not an adjective	wrong translation of a top-frequency word plus numeral contamination.
adjectives	adjectives_003	altersbedingt	english	high	gloss	conditioned by dude	age-related/due to age	corrupted gloss ("dude" for *Alter*); complete garbage.
adjectives	adjectives_003	ungenügend	english	high	gloss	F	insufficient/inadequate (also German school mark 6 = fail)	no translation at all, just a grade letter — and "F" is not even the German grade.
adjectives	adjectives_003	lesbisch	english	high	gloss	dykey/lesbian	lesbian	a slur is placed first as the primary gloss.
adjectives	adjectives_003	anorganisch	english	high	gloss	epenthetic/haphazard/inanimate	inorganic	wholly wrong; none of the three glosses means *anorganisch*.
adjectives	adjectives_003	vorbehaltlich	word	high	notadj	vorbehaltlich = "subject to/with reservation"	drop (preposition governing the genitive)	not an adjective — the gloss itself is prepositional.
adjectives	adjectives_003	greifbar	english	medium	gloss	concrete/palpably close/within reach	tangible/palpable/within reach	the standard equivalent "tangible" is missing; "palpably close" is not idiomatic.
adjectives	adjectives_003	rechnerisch	english	medium	gloss	calculative/mathematical	arithmetical/in numerical terms/on paper	"calculative" in English means scheming — a false lead.
adjectives	adjectives_003	erprobt	english	medium	gloss	approved/proved	tried and tested/proven	"approved" is *genehmigt*; the tested/reliable sense is lost.
adjectives	adjectives_003	alphabetisch	english	medium	gloss	alphabetical/alphabetically/in alphabatical order	alphabetical	misspelling "alphabatical" plus a redundant adverb and phrase.
adjectives	adjectives_003	naturgemäß	english	medium	gloss	in accordance with nature	naturally/by its very nature (also: in accordance with nature)	the dominant modern (adverbial, "as one would expect") sense is missing.
adjectives	adjectives_003	saftig	english	medium	gloss	hefty/juicy/vivid	juicy/succulent (fig. hefty)	the everyday sense is buried behind a figurative one; "vivid" is wrong.
adjectives	adjectives_003	gehalten	english	medium	gloss	controlled/selfcontrolled	restrained/subdued (of tone/colour); *gehalten sein zu* = obliged to	wrong sense and "selfcontrolled" is misspelled/unhyphenated.
adjectives	adjectives_003	sozialpolitisch	english	medium	gloss	sociopolitical	social-policy (related), concerning social policy	"sociopolitical" is *gesellschaftspolitisch* (rank 1429) — the two entries are now duplicates.
adjectives	adjectives_003	umständlich	english	medium	gloss	long-winded	awkward/laborious/complicated (of a person: fussy)	gloss covers only one narrow sub-sense of a common word.
adjectives	adjectives_003	unbestimmt	cefr	medium	cefr	A1	B2/C1	abstract legal/grammatical adjective tagged as beginner vocabulary.
adjectives	adjectives_003	ausschließlich	english	medium	gloss	exclusive	exclusively/solely (adv.); also "exclusive"	the word is overwhelmingly used as an adverb/preposition; the learner-relevant sense is absent.
adjectives	adjectives_003	beruhigend	english	medium	gloss	sedative/soothing	reassuring/calming/soothing	"sedative" is a noun and a medical narrowing; the everyday sense "reassuring" is missing.
adjectives	adjectives_003	erfahrungsgemäß	english	medium	gloss	empirical	in our experience/experience shows/as experience has shown	"empirical" is *empirisch*; this word is adverbial.
adjectives	adjectives_003	belastet	english	medium	gloss	fraught	burdened/polluted/contaminated (also: incriminated)	"fraught" captures none of the three main uses.
adjectives	adjectives_003	packend	english	medium	gloss	moving/thrilling	gripping/riveting/thrilling	"moving" is *rührend*; the standard equivalent "gripping" is absent.
adjectives	adjectives_003	abendlich	english	medium	gloss	vespertine	evening (attr.), in the evening	obscure literary English word as the sole gloss.
adjectives	adjectives_003	merkwürdig	english	medium	gloss	remarkable/strange	strange/odd/peculiar	false-friend sense ("remarkable" = *bemerkenswert*) placed first.
adjectives	adjectives_003	tariflich	english	medium	gloss	according/by negotiation/negotiated	under the collective (wage) agreement, contractually agreed	gloss is corrupted — "according" dangles with no complement.
adjectives	adjectives_003	volljährig	english	medium	gloss	full age	of age/legally an adult (18+)	not an English adjective phrase; unusable as given.
adjectives	adjectives_003	wasserdicht	english	medium	gloss	airtight/impermeable/waterproof	waterproof/watertight	"airtight" is *luftdicht* — wrong; the correct gloss is third.
adjectives	adjectives_003	befriedigend	english	medium	gloss	acceptable/adequate/fair	satisfactory (also German school mark 3)	the standard equivalent "satisfactory" is missing.
adjectives	adjectives_003	fatal	english	medium	gloss	fatal	disastrous/unfortunate/awkward (rarely "fatal"; deadly = *tödlich*)	untagged false friend — German *fatal* usually does not mean deadly.
adjectives	adjectives_003	gentechnisch	english	medium	gloss	genetically modified	genetic-engineering (related), by genetic engineering	"genetically modified" is *gentechnisch verändert* — the gloss swallows the participle.
adjectives	adjectives_003	unangemessen	english	medium	gloss	improper/inadequate/inadequately	inappropriate/unsuitable/improper	the primary equivalent "inappropriate" is missing and an adverb form is padded in.
adjectives	adjectives_003	arbeitslos	english	medium	gloss	jobless/on the dole/out of work	unemployed/out of work	"unemployed" — the word a learner needs — is absent; "on the dole" is colloquial.
adjectives	adjectives_003	ausnahmslos	english	medium	gloss	exceptionless/unexceptional/without exception	without exception/universal	"unexceptional" means ordinary — an outright wrong sense.
adjectives	adjectives_003	offensiv	english	medium	gloss	offensive	attacking/aggressive/proactive (sport, tactics)	false friend — German *offensiv* does not mean insulting.
adjectives	adjectives_003	grausam	english	medium	gloss	brutal/cold/cold-blooded	cruel/brutal	the primary equivalent "cruel" is missing; "cold" is misleading.
