1. das Schauspiel | drama/play/playhouse | IMPROVE: drama/play — Playhouse is Schauspielhaus, while Schauspiel means drama or play.
72. das Forscherteam | explorer team | WRONG: research team — Forscher are researchers, not explorers in this compound.
73. der Fragenkatalog | questionnaire | OK
74. die Funktionsfähigkeit | functionality/functioning/working order | OK
75. die Bundeswehr | German Federal Armed Forces | OK
76. das Gastspiel | guest performance | OK
77. die Geisteswissenschaft | humanities | OK
78. die Gemarkung | district | OK
79. die Gemüsesorte | vegetable variety | OK
80. die Gesamtlänge | footage/total length | OK
81. die Geschicklichkeit | dexterity | OK
82. die Notlage | distress/emergency | OK
83. das Glossar | glossary | OK
84. der Glühwein | mulled claret/mulled wine | OK
85. die Goldmedaille | gold medal | OK
86. der Gräber | graves (plural of Grab) | OK
87. das Hauptziel | main objective | OK
88. das Häuschen | cottage/hut/small house | OK
89. das Heck | back/stern | OK
90. der Heiligabend | Christmas Eve | OK
91. der Höchstbetrag | absolute value | WRONG: maximum amount — H?chstbetrag means a maximum amount, not an absolute value.
92. die Industrienation | industrial nation | OK
93. das Jugendalter | adolescence | OK
94. der Juwel | gemstone/jewel | OK
95. der Kinderspielplatz | child playground | OK
96. der Kirchturm | steeple | OK
97. die Klassifikation | classification | OK
98. das Kleinod | jewel | OK
99. das Kolleg | college/lecture | OK
100. die Zentralbank | central bank | OK
101. die Kompatibilität | compatibility | OK
102. der Kompost | compost | OK
103. die Bekanntheit | celebrity/notability/reputation | IMPROVE: awareness/fame — Bekanntheit refers to how well-known something is, not a celebrity as a person.
104. der Krankheitsverlauf | disease course | OK
105. die Kur | cure/electoral college/regime | IMPROVE: spa treatment/cure — Kur primarily means a health cure or spa treatment; the extra senses mislead here.
106. der Lagerbestand | stock/inventory | OK
107. die Landrätin | country councillor | WRONG: district administrator (female) — Landr?tin is a district administrator, not a country councillor.
108. der Launch | launch | OK
109. die Lebensgemeinschaft | life community | WRONG: cohabitation/partnership — Lebensgemeinschaft means a shared-life partnership, not a life community.
110. der Lebzeiten | lifetime (used in "zu Lebzeiten") | OK
111. die Lesbe | dyke/lesbian | IMPROVE: lesbian — The current entry includes a slur; the neutral learner translation is lesbian.
112. der Prüfstand | test bench | OK
113. die Restaurierung | conservation/renovation/restoration | OK
114. die Lüftung | ventilation | OK
115. der Lymphknoten | lymph node | OK
116. der Magistrat | municipal authorities | OK
117. die Mailadresse | mail address | OK
118. die Mandel | almond/shock/tonsil | OK
119. die Marge | margin | OK
120. der Medizinstudent | medical student | OK
121. das Messverfahren | expo action | WRONG: measuring method/measurement procedure — Messverfahren means a method of measurement, not expo action.
122. das Möbelhaus | furniture store | OK
123. das Computerspiel | computer game | OK
124. die Nächstenliebe | altruism/charity | OK
125. der Nachwuchswissenschaftler | offspring scientist | WRONG: early-career researcher/young scientist — Nachwuchswissenschaftler means a young researcher, not offspring scientist.
126. der Naturliebhaber | nature lover | OK
127. der Niedergang | companionway/decline/fall | OK
128. die Paarung | pairing/mating | OK
129. der Parasit | parasite | OK
130. der Pfeiler | pillar | OK
131. die Pflanzung | planting/plantation | OK
132. der Pole | Pole/Pole (Polish person) | IMPROVE: Polish man/Polish person — Der Pole means a Polish person; the entry is confusing with pole.
133. die Putze | cleaning lady (colloquial) | OK
134. der Ranger | ranger | OK
135. die Rast | break/rest | OK
136. der Rastplatz | service station | IMPROVE: rest area/service area — Rastplatz is a rest area; service station is only a possible facility there.
137. das Reinigen | cleaning | OK
138. der Rückenwind | following wind | OK
139. das Salzwasser | saltwater | OK
140. die Scheune | barn | OK
141. der Schlager | hit | OK
142. das Schöne | something beautiful | OK
143. das Schriftstück | writ | WRONG: document — Schriftst?ck means a written document; writ is too narrow and legal.
144. die Landstraße | country road/rural road | OK
145. das Skelett | basic structure/skeleton | OK
146. der Sockel | base/socket | OK
147. die Sommerrodelbahn | summer toboggan run | OK
148. das Sondervermögen | probe assets | WRONG: special fund/special assets — Sonderverm?gen means a special fund or assets, not probe assets.
149. die Bekleidung | clothes/clothing | OK
150. die Kammer | chamber | OK
151. das Streben | pursuit/striving | OK
152. der Stromspeicher | electricity storage | OK
153. der Suizid | suicide | OK
154. die Supervision | supervision | OK
155. die Textur | textualis/textura/texture | OK
156. die Umlage | apportionment/shared cost/levy | OK
157. die Umweltministerin | environment minister | OK
158. das Leiden | suffering | OK
159. die Vene | vein/vena | OK
160. der Vers | verse | OK
161. das Verschwinden | disappearance | OK
162. der Verwaltungsakt | administrative act | OK
163. die Verzinsung | accrual of interest/interest rate | OK
164. das Vorschulkind | infant school child | WRONG: preschool child — Vorschulkind means preschool child, not infant school child.
165. die Wassermenge | water abundance | WRONG: amount of water/water quantity — Wassermenge is a quantity of water, not water abundance.
166. der Wasserverbrauch | water consumption | OK
167. die Weinstraße | grape road | WRONG: wine route — Weinstra?e is a wine route, not a grape road.
168. der Wetterdienst | meteorological service/weather service | OK
169. die Willkommenskultur | welcoming culture | OK
170. die Winde | bindweed/winch | OK
171. die Wohnanlage | residential complex/housing complex | OK
172. die Zeremonie | ceremony | OK
173. die Zivilcourage | civil courage | OK
174. die Abendkasse | box office/evening/ticket office | IMPROVE: box office/ticket office — Evening is not a translation of Abendkasse in this sense.
175. die Besteuerung | taxation | OK
176. die Akustik | acoustics | OK
177. der Alien | alien | OK
178. der Animationsfilm | animation film | OK
179. die Einheit | unit/unity | OK
180. der Minderjährige | minor | OK
181. die Arbeitslosenversicherung | unemployment insurance | OK
182. das Aufkommen | volume/occurrence/yield | OK
183. die Aufzucht | breed | WRONG: rearing/raising — Aufzucht means rearing animals or young plants, not breed.
184. der Augenschein | appearance/inspection | OK
185. die Außentemperatur | external temperature/outside temperature | OK
186. das Automobil | auto/automobile/car | OK
187. das Backblech | baking plate/baking sheet/baking tin | OK
188. die Backware | pastries | OK
189. der Badesee | bathing lake/swimming lake | OK
190. der Sandstrand | sandy beach | OK
191. die Beurlaubung | leave of absence | OK
192. die Bevölkerungszahl | population | OK
193. der Boxer | boxer | OK
194. die Bude | shack | OK
195. der Clou | highlight | OK
196. der Schauplatz | scene/venue | OK
197. der Coupon | coupon | OK
198. die Betriebswirtschaftslehre | business administration/business economics/managerial economics | OK
199. das Dashboard | dashboard | OK
200. der Detektor | detector/receiver | OK
201. die Deutung | analysis/explanation/interpretation | OK
202. die Eigenheit | idiosyncrasy/mannerism/peculiarity | OK
203. die Einschreibung | friction | WRONG: enrolment/registration — Einschreibung means enrolment or registration, not friction.
204. die Tagung | conference/convention | OK
205. die Entwarnung | all-clear | OK
206. das Erbrecht | inheritance law/right of inheritance | OK
207. die Erfrischung | refreshment | OK
208. die Erörterung | discussion | OK
209. der Erzähler | narrator/teller | OK
210. die Essstörung | eating disorder | OK
211. das Etikett | label/tag | OK
212. der Falke | falcon/hawk | OK
213. der Farbstoff | dye | OK
214. das Finanzministerium | Ministry of Finance/Treasury | OK
215. der Fischer | fisher/fisherman | OK
216. die Flüchtlingsunterkunft | refugee accommodation | OK
217. die Frustration | exasperation/frustration | OK
218. der Funke | spark | OK
219. der Fußabdruck | footprint | OK
220. die Gasheizung | gas heater/gas heating | OK
221. der Gefährte | companion | OK
222. das Geldinstitut | financial institution | OK
223. der Geselle | companion/journeyman | OK
224. die Schwankung | fluctuation/variation | OK
225. die Grundidee | basis idea | IMPROVE: basic idea — Grundidee is idiomatically basic idea, not basis idea.
226. der Güterverkehr | freight traffic/goods traffic | OK
227. die Heimreise | homeward journey/journey home | OK
228. die Hülsenfrucht | legume | OK
229. die Isolation | insulation/isolation | OK
230. der Katalysator | catalyst/catalytic converter/catalyzer | OK
231. die Kennziffer | identification number/code | OK
232. der Klassenerhalt | avoiding relegation/staying in the league | OK
233. die Klippe | (coastal) rock/bar/cliff | OK
234. der Kohleausstieg | coal phase-out | OK
235. die Parallele | parallel | OK
236. der Kran | carrier/crane/faucet | OK
237. der Speiseplan | menu | OK
238. der Spitzenverband | central association/central organisation/umbrella association | OK
239. das Kunsthandwerk | handicraft | OK
240. der Landtagsabgeordnete | Landtag assemblyman | OK
241. die Sensibilisierung | sensitisation | OK
242. das Lebenswerk | lifetime achievement | OK
243. der Leistungsumfang | range of benefits/scope of indemnity/scope of performance | OK
244. der Lernerfolg | success | IMPROVE: learning success/learning outcome — Lernerfolg specifically means success in learning, not success in general.
245. das Lesezeichen | bookmark | OK
246. der Plastikmüll | plastic waste | OK
247. die Marine | marine/navy | OK
248. die Metastase | metastasis | OK
249. die Mitschülerin | classmate/fellow student (female) | OK
250. das Qualitätskriterium | criterion of quality/quality criterion | OK
251. das Naherholungsgebiet | area | WRONG: local recreation area — Naherholungsgebiet means a nearby recreation area, not just area.
252. der Naturwissenschaftler | natural scientist | OK
253. die Offenbarung | Apocalypse/Revelation/Revelations | OK
254. die Ostseeküste | coast | IMPROVE: Baltic Sea coast — Ostseek?ste specifically means the Baltic Sea coast.
255. der Patch | patch | OK
256. das Verlangen | desire/request | OK
257. das Pflegekind | foster child | OK
258. das Praxissemester | practical semester | OK
259. die Whatsapp | WhatsApp message | OK
260. die Produktionsfirma | production company | OK
261. die Professionalisierung | professionalisation | OK
262. das Prüfverfahren | action | WRONG: test procedure/examination procedure — Pr?fverfahren means a testing or examination procedure, not action.
263. der Publikumspreis | audience price | WRONG: audience award — Publikumspreis is an award chosen by the audience, not a price.
264. der Blutdruck | blood pressure | OK
265. der Ratenkredit | advice credit | WRONG: instalment loan/installment loan — Ratenkredit means an instalment loan, not advice credit.
266. der Regenbogen | rainbow | OK
267. die Regeneration | regeneration | OK
268. die Rotation | rotation | OK
269. die Sanierungsarbeit | restoration works | OK
270. der Schädel | cranium/skull | OK
271. der Referendar | student teacher/trainee teacher | OK
272. die Schriftgröße | font size | OK
273. das Stadtarchiv | city archive | OK
274. der Schulgarten | school garden | OK
275. der Schwamm | Menger sponge/dry rot/fungus | WRONG: sponge — Schwamm primarily means sponge; the current entry omits that meaning.
276. die Schweigepflicht | pledge of secrecy/requirement of confidentiality/vow of silence | OK
277. das Sein | being/essence/existence | OK
278. der Sommerreifen | summer tyre | OK
279. die Spendenaktion | donation action | WRONG: fundraising campaign/donation campaign — Spendenaktion means a fundraising campaign, not donation action.
280. das Tanzen | dance | IMPROVE: dancing — Das Tanzen is the activity of dancing, not a dance event.
281. der Stadtverkehr | centre communication | WRONG: city traffic/urban traffic — Stadtverkehr means urban traffic, not centre communication.
282. das Stroh | straw | OK
283. die Studienrichtung | study direction | WRONG: field of study — Studienrichtung means field of study, not study direction.
284. das Terrain | terrain | OK
285. der Tischler | cabinetmaker/joiner/woodworker | OK
286. das Todesopfer | casualty | IMPROVE: fatality/victim — Todesopfer is a person killed; casualty can be too broad.
287. die Untersuchungshaft | custody | IMPROVE: pre-trial detention — Untersuchungshaft specifically means detention pending trial.
288. die Unterwäsche | underclothes/underclothing/undergarments | OK
289. das Urlaubsziel | furlough aim | WRONG: holiday destination/vacation destination — Urlaubsziel means a holiday destination, not furlough aim.
290. die Versteigerung | auction/auctioning | OK
291. die Verwandtschaft | relationship/relatives | OK
292. der Verzug | delay | OK
293. der Vormonat | previous month | OK
294. die Vorrunde | preliminary round | OK
295. die Vorweihnachtszeit | pre-Christmas season | OK
296. das Vorwort | foreword/preface | OK
297. der Waldbrand | forest fire/wildfire | OK
298. der Waschbär | coon/dumpster bandit/dumpster panda | WRONG: raccoon — Waschb?r is the standard German word for raccoon.
299. die Weiterführung | amplitude command | WRONG: continuation — Weiterf?hrung means continuation, not amplitude command.
300. der Welpe | puppy/whelp | OK
301. der Welttag | Earth day | WRONG: world day/international day — Welttag means world day, not Earth Day specifically.
302. die Wikipedia | Wikipedia | OK
303. die Windel | diaper/nappy | OK
304. der Ableger | branch/layer/offshoot | OK
305. der Tänzer | dancer | OK
306. die Anatomie | anatomy | OK
307. die Anzahlung | binder/deposit/down payment | OK
308. die Apothekerin | druggist/pharmacist | OK
309. der Arbeitsaufwand | business complexity | WRONG: amount of work/workload — Arbeitsaufwand means work effort or workload, not business complexity.
310. die Arbeitsfläche | workspace/worksurface/worktop | OK
311. die Bahnstrecke | railroad track/railway track | OK
312. die Bauart | type of construction | OK
313. das Bewerbungsgespräch | job interview | OK
314. die Behebung | adjustment/rectification/removal | OK
315. die Beibehaltung | retention/continuation | OK
316. der Beifall | applause/clapping | OK
317. der Beitritt | accession/adhesion | OK
318. die Berufsfeuerwehr | professional fire brigade | OK
319. der Besteller | orderer | OK
320. das Betäubungsmittel | narcotic | OK
321. die Bewerbungsmappe | application portfolio | OK
322. die Bushaltestelle | bus shelter/bus stop | OK
323. das Bindegewebe | connective tissue | OK
324. der Teenager | teenager | OK
325. die Daseinsvorsorge | public services | OK
326. der Datenverkehr | data traffic | OK
327. die Berichterstattung | reporting | OK
328. der Detektiv | detective | OK
329. die Drehe | turn/spin (colloquial) | OK
330. das Dunkel | darkness/dark | OK
331. die Skepsis | scepticism | OK
332. die Einkehr | contemplation/stop for refreshment | OK
333. der Einrichtungsgegenstand | design item | WRONG: furnishing item/item of furniture — Einrichtungsgegenstand is a furnishing item, not a design item.
334. die Einwanderung | immigration | OK
335. die Einzigartigkeit | uniqueness | OK
336. der Elektroniker | electronics technician | OK
337. der Elternabend | parent-teacher conference | OK
338. das Endergebnis | end result/final result | OK
339. die Enthaltung | abstention/abstinence | OK
340. der Entzug | revoking/withdrawal | OK
341. die Epilepsie | epilepsy/grand mal | OK
342. die Erlangung | attainment | OK
343. das Fachpublikum | specialist audience/professional audience | OK
344. die Fahrlässigkeit | negligence | OK
345. das Fahrzeugpapier | vehicle document | OK
346. die Fälschung | forgery | OK
347. die Fee | fairy/fay/pixie | OK
348. der Feuerwehrmann | firefighter/fireman | OK
349. der Flugplatz | airfield | OK
350. die Folter | torture | OK
351. das Wohnen | habitation | IMPROVE: living/housing — Das Wohnen is living or housing; habitation is unnatural for learners.
352. der Geldbetrag | amount/sum | OK
353. das Gesamtergebnis | aggregate | WRONG: overall result/total result — Gesamtergebnis means the overall result, not aggregate alone.
354. die Geschäftstätigkeit | business activity/business operations | OK
355. der Gesellschaftsvertrag | company agreement | IMPROVE: articles of association/social contract — Gesellschaftsvertrag is a company founding agreement or social contract, not a generic company agreement.
356. das Gestell | rack | OK
357. der Gesundheitsminister | minister of health/secretary of health | OK
358. die Sonnenbrille | shades/sun glasses/sunglasses | OK
359. der Großkonzern | large enterprise | OK
360. die Grundordnung | basis order | WRONG: basic order/constitutional order — Grundordnung means a fundamental order, not basis order.
361. der Hausrat | household goods | OK
362. der Höhenunterschied | height difference | OK
363. der Hohlraum | cavity/hollow space | OK
364. die Individualisierung | individualisation | OK
365. der Insider | in-joke/inside joke/insider | OK
366. die Karikatur | burlesque/caricature/cartoon | OK
367. die Klassenlehrerin | class teacher/homeroom teacher | OK
368. die Klassifizierung | classification | OK
369. die Klimapolitik | climate policy | OK
370. das Komma | comma | OK
371. das Spielgerät | playground equipment | OK
372. der Urheber | author/originator | OK
373. das Kriegen | catch/tag/tig | WRONG: getting/receiving — Das Kriegen is nominalized kriegen, not the game of tag.
374. das Kulturangebot | cultural offerings | OK
375. die Kultusministerin | cult minister | WRONG: minister of education/culture (female) — Kultusministerin is an education/culture minister, not a cult minister.
376. der Lektor | lector/lecturer/literary editor | OK
377. der Liberale | liberal (person) | OK
378. der Loser | blockhead/idiot/loser | OK
379. der Markenname | brand name/proprietary name/trade name | OK
380. das Masern | measles | OK
381. das Mauerwerk | masonry | OK
382. der Missionar | missionary | OK
383. der Muttersprachler | native speaker | OK
384. das Blutgefäß | blood vessel | OK
385. die Neuorientierung | orientation | IMPROVE: reorientation — Neuorientierung means reorientation, not orientation in general.
386. das Opernhaus | opera house | OK
387. der Wegfall | cessation/omission | OK
388. der Pater | father (priest) | OK
389. das Personalwesen | human resources/personnel | OK
390. die Preiserhöhung | price increase | OK
391. der Pressesprecher | press officer | OK
392. das Raubtier | predator | OK
393. die Raumstation | space platform/space station | OK
394. das Reinigungsmittel | cleaning agent/detergent | OK
395. der Stürmer | attacker/forward/striker | OK
396. die Rückführung | command | WRONG: repatriation/return — R?ckf?hrung means returning or repatriating, not command.
397. der Rückruf | callback/recall | OK
398. der Rüstungsexport | armour export | WRONG: arms export — R?stungsexport means arms export, not armour export.
399. der Saisonstart | season start | OK
400. der Scheinwerfer | headlight/spotlight | OK
401. die Scheu | shyness | OK
402. das Schlagzeug | drum kit/drum set/drums | OK
403. das Schulwesen | school system | OK
404. die Schwalbe | dive/martin/swallow | OK
405. die Schwangerschaftswoche | week of pregnancy | OK
406. die Sehne | chord/sinew/tendon | OK
407. die Skala | gamut/scale | OK
408. die Sommerzeit | daylight saving time/summer time | OK
409. der Sonnenschirm | parasol | OK
410. das Einfamilienhaus | family house | IMPROVE: detached house/single-family home — Einfamilienhaus means a house for one family, usually detached.
411. der Spass | fun (Swiss spelling of Spaß) | OK
412. die Staatsoper | state opera | OK
413. der Starter | starter | OK
414. die Stellvertreterin | deputy | OK
415. der Sternsinger | carol singer/caroler/caroller | OK
416. die Sternstunde | moment of glory | OK
417. die Steuereinnahme | tax revenue | OK
418. das Strafrecht | criminal law | OK
419. der Strahlenschutz | radiation protection | OK
420. der Streich | prank/strike/trick | OK
421. die Synthese | synthesis | OK
422. der Taucher | diver/grebe | OK
423. das Teilgebiet | area/branch | OK
424. die Teilnahmegebühr | interest fee | WRONG: participation fee/entry fee — Teilnahmegeb?hr means a fee to participate, not interest fee.
425. das Testspiel | friendly match/test match | OK
426. die Trägerin | carrier/sponsor (female) | OK
427. die Transplantation | transplant/transplantation | OK
428. das Trauma | trauma | OK
429. die Trophäe | trophy/tropæum | OK
430. die Überwachungskamera | CCTV camera/surveillance camera | OK
431. der Umweltminister | environment minister | OK
432. die Umweltzone | environment zone | WRONG: low-emission zone/environmental zone — Umweltzone is the regulated low-emission zone for vehicles.
433. die Unfallchirurgie | trauma surgery | OK
434. die Veranlagung | predisposition/taxation | OK
435. der Zwilling | twin | OK
436. das Vergessen | forgetting/oblivion | OK
437. das Verkehrsaufkommen | traffic volume | OK
438. die Fachschule | professional school/technical college/technical school | OK
439. die Versorgungssicherheit | security of supply/supply reliability | OK
440. die Volksbank | folk bank | WRONG: Volksbank/cooperative bank — Volksbank is a cooperative bank name/type, not folk bank.
441. die Webcam | webcam | OK
442. der Bock | billy goat/buck/desire | OK
443. die Sünde | sin | OK
444. das Whiteboard | interactive whiteboard/whiteboard | OK
445. das Winterquartier | winter accommodation | OK
446. das Wirtschaftsjahr | financial year/fiscal year | OK
447. der Apotheker | pharmacist | OK
448. der Zeitgeist | spirit of the age/spirit of the times/zeitgeist | OK
449. der Zelten | camping | WRONG: tents — With der, Zelten is a plural form of Zelt here, not das Zelten meaning camping.
450. der Zivilsenat | civil life senate | WRONG: civil senate — Zivilsenat is a civil-law senate/chamber, not civil life senate.
451. die Abbuchung | debiting/direct debit/write-off | OK
452. der Abenteurer | adventurer/carpetbagger | OK
453. die Abschätzung | assessment | OK
454. das Aggregat | aggregate/aggregation/unit | OK
455. das Aktenzeichen | file number/file reference number/record token | OK
456. die Alarmanlage | alarm system/burglar alarm | OK
457. die Alster | Alster (river/lake in Hamburg) | OK
458. die Anspannung | tension | OK
459. die Anwendbarkeit | applicability | OK
460. die Arbeitgeberin | employer | OK
461. die Arbeitsstunde | business hour | WRONG: working hour/labour hour — Arbeitsstunde means an hour of work, not business hour.
462. die Ausgrabung | excavation | OK
463. die Außenwand | exterior wall | OK
464. der Badegast | bath guest | IMPROVE: bather/swimmer — Badegast is a person visiting a pool or bathing area; bath guest is a calque.
465. die Baugruppe | assembly/board/module | OK
466. der Begründer | founder | OK
467. der Behördengang | bureaucratic errand | OK
468. der Beifahrer | co-driver/front-seat passenger | OK
469. das Bergwerk | mine | OK
470. die Betäubung | anaesthetic/dazing/deadening | OK
471. der Betriebsarzt | business doc | WRONG: company doctor/occupational physician — Betriebsarzt means company doctor, not business doc.
472. das Bildungsministerium | Department of Education/Ministry of Education | OK
473. die Boutique | boutique | OK
474. der Branchenverband | sector association | OK
475. die Brennweite | focal distance/focal length/focal width | OK
476. der Brutplatz | breeding ground | OK
477. der Bulle | bull/cop/copper/cop (slang) | OK
478. das Bundeskartellamt | Federal Cartel Office | OK
479. der Bundesvorsitzende | federal chairperson | OK
480. die Busfahrt | bus journey | OK
481. das Cabrio | cabriolet/convertible/convertible car | OK
482. der Freiberufler | freelancer | OK
483. das Computerprogramm | computer program | OK
484. der Dachboden | attic/loft | OK
485. die Dämmerung | twilight | OK
486. die Diagonale | diagonal/slant | OK
487. die Disposition | disposition | OK
488. die Domäne | domain | OK
489. der Durchschnittspreis | average price | OK
490. das Eigen | property | WRONG: one's own/the self — Das Eigen refers to what is own or characteristic, not property in the usual noun sense.
491. die Eigenart | peculiarity | OK
492. das Einwohnermeldeamt | residents' registration office | OK
493. das Ensemble | ensemble | OK
494. die Energiepolitik | energy policy | OK
495. die Erwartungshaltung | expectations | OK
496. der Espresso | espresso | OK
497. die Familienfreundlichkeit | family friendliness | OK
498. der Festpreis | fixed price | OK
499. die Folgekosten | consequential charges/consequential costs/follow-up costs | OK
500. die Forschungsförderung | funding of science/research funding | OK
501. die Freischaltung | activation/unlocking | OK
502. die Freiwilligkeit | voluntariness | OK
503. das Fruchtfleisch | flesh/pod/pulp | OK
504. das Fundstück | find/discovery | OK
505. der Fünftklässler | fifth-grader | OK
506. die Gärtnerei | gardening/nursery | OK
507. das Gebüsch | bushes/copse/shrubbery | OK
508. der Gegenspieler | adversary/antagonist | OK
509. das Autohaus | car dealer/car dealership | OK
510. die Genesung | recovery | OK
511. die Gesamtsumme | sum | OK
512. die Geschäftsentwicklung | business development | OK
513. das Gesetzbuch | code | OK
514. das Gesundheitsrisiko | health hazard | OK
515. die Gunst | favour/favourableness | OK
516. das Handwerkszeug | hand tool | IMPROVE: tools/tools of the trade — Handwerkszeug is a set of tools or professional toolkit, not just one hand tool.
517. der Hashtag | hashtag | OK
518. das Hauptaugenmerk | focus | OK
519. der Freitagabend | Friday evening/Friday night | OK
520. die Herzfrequenz | heart frequency | WRONG: heart rate — Herzfrequenz means heart rate, not heart frequency.
521. der Hilfsdienst | help duty | WRONG: auxiliary service/relief service — Hilfsdienst means an auxiliary or relief service, not help duty.
522. die Hosentasche | pocket/trouser pocket | OK
523. die Humanmedizin | human medicine | OK
524. der Illustrator | illustrator | OK
525. der Immobilienpreis | real estate price | OK
526. die Industrieanlage | industrial plant/industrial facility | OK
527. die Infotafel | info banquet | WRONG: information board — Infotafel means an information board, not info banquet.
528. die Injektion | injection/shot | OK
529. die Charta | charter | OK
530. das Kernkraftwerk | nuclear power station/nuclear powerplant | OK
531. der Kessel | basin/boiler/cauldron | OK
532. das College | college | OK
533. die Körperhaltung | posture | OK
534. die Krebsart | type of cancer | OK
535. die Krebszelle | cancer cell | OK
536. der Kreditgeber | lender/creditor | OK
537. die Küchenzeile | kitchenette/kitchen units | OK
538. der Kursteilnehmer | course participant | OK
539. die Landesbank | regional bank | OK
540. der Landesbischof | country bishop | WRONG: regional bishop — Landesbischof is a regional Protestant bishop, not a country bishop.
541. das Landeskriminalamt | Land Office of Criminal Investigation | IMPROVE: state criminal police office — Landeskriminalamt is the state-level criminal police office.
542. die Locke | attack piece/curl/lock | OK
543. das Magnesium | magnesium | OK
544. die Mietpreisbremse | rent brake | WRONG: rent control/rent cap — Mietpreisbremse means rent control or rent cap, not rent brake.
545. der Montagmorgen | Monday morning | OK
546. die Mosaik | mosaic | OK
547. der Musikunterricht | music lessons | OK
548. die Mutation | mutation/voice mutation | OK
549. der Neueinsteiger | newcomer | OK
550. die Nutzfläche | area | IMPROVE: usable floor area/usable area — Nutzfl?che means usable floor area, not area in general.
551. die Oberbürgermeisterin | mayor (female)/lord mayor (female) | OK
552. das Tierheim | animal pound/animal rescue/animal shelter | OK
553. der Haken | check/hitch/hook | OK
554. die Passion | passion | OK
555. die Planstelle | established position | OK
556. die Produktinformation | product information | OK
